kind	severity	layer	slug	title	ed_idx	ed_type	ed_imprint	number	isbn_raw	suggest	release_date	has_cover	is_version	n_same_value	detail
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L139	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L142	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L145	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L148	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L151	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L154	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L157	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L160	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L163	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L166	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L169	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
