encore-ga-3-kai	アンコールが3回	['title']	5冊	['くらもちふさこ']
encore-watto-no-survival	アンコール・ワットのサバイバル	['title']	2冊	['洪在徹']
epic-of-golgo-13	Epic of ゴルゴ13	['imprint=SPコミックス. SP pocket wide']	5冊	['さいとう・たかを']
fujiko-fujio-a-black-yuumoa-tanpenshuu	藤子不二雄Aブラックユーモア短篇集	['imprint=Chukoコミックlite']	4冊	['藤子不二雄Ⓐ']
fukkatsu-cyborg-kuro-chan-gatoringu-selection	復活!サイボーグクロちゃんガトリングセレクション	['title']	1冊	['横内なおき']
fukkatsu-cyborg-kuro-chan-gatoringu-selection-riroodeddo	復活!サイボーグクロちゃんガトリングセレクションリローデッド	['title']	1冊	['横内なおき']
funsen-sanadamaru	奮戦!真田丸	['imprint=SP pocket wide']	1冊	['かわのいちろう']
ganso-urayasu-tekkin-kazoku-bakushou-selection	元祖!浦安鉄筋家族爆笑セレクション	['title']	3冊	['浜岡賢次']
gekiga-sengoku-bushou-bouryakuden	劇画戦国武将謀略伝	['imprint=SP pocket wide']	1冊	['さいとう・たかを']
gendaishi-no-naka-no-golgo-13	現代史の中のゴルゴ13	['imprint=SP pocket wide']	2冊	['さいとう・たかを']
genroku-yawahada-ki-tan-midare-mandala	元禄柔肌奇譚みだれまんだら	['imprint=SPコミックス. SP pocket wide']	1冊	['八月薫', '粕谷秀夫']
golgo-13-animeka-sakuhin-selection	ゴルゴ13アニメ化作品セレクション	['title']	4冊	['さいとう・たかを', 'さいとうプロダクション']
golgo-13-characters	ゴルゴ13 characters	['imprint=SPコミックス. SP pocket wide']	4冊	['さいとう・たかを']
golgo-13-shorty	ゴルゴ13 shorty	['imprint=SPコミックス. SP pocket wide']	8冊	['さいとう・たかを']
haisatsunin	拝札人	['imprint=パーフェクト・メモワール']	1冊	['さいとう・たかを']
haisatsunin-gunba	拝札人軍馬	['imprint=パーフェクト・メモワール']	1冊	['武本サブロー']
hanasaka-tenshi-tenten-kun-kandou-selection	花さか天使テンテンくん 感動セレクション	['title']	4冊	['小栗かずまた']
hannari-hanjirou	はんなり半次郎	['imprint=SP pocket wide']	3冊	['叶精作']
hanosuke	刃之介	['imprint=P-KC']	1冊	['さいとう・たかを']
hatsu-akiko-senshuu	波津彬子選集	['title']	4冊	['波津彬子']
hattori-hanzou-ninpouchou	服部半蔵忍法帖	['imprint=SP pocket wide']	1冊	['とみ新蔵']
hazuki-kaoru-kessaku-majisere-hna-taiken-oshiemasu	八月薫傑作マジセレHな体験教えます	['imprint=パーフェクト・メモワール']	1冊	['八月薫']
hideyoshi-gekokujou-no-shousha	秀吉下剋上の勝者	['imprint=Chukoコミックlite']	1冊	['石ノ森章太郎']
hideyoshi-kodoku-na-tenkabito	秀吉孤独な天下人	['imprint=Chukoコミックlite']	1冊	['石ノ森章太郎']
higanken	悲願剣	['imprint=パーフェクト・メモワール']	1冊	['さいとう・たかを']
hijiriyukisenshuu	ひじり悠紀選集	['title']	2冊	['聖悠紀']
hirata-hiroshi-senshuu	平田弘史選集	['title']	8冊	['平田弘史']
hissatsu-kunoichi-shiokinin	必殺くノ一仕置人	['imprint=SP pocket wide']	1冊	['武本サブロー']
hissatsu-yami-shigotonin-akusanjiki	必殺!闇仕事人悪三色	['imprint=パーフェクト・メモワール']	1冊	['甲良幹二郎', '石川フミヤス']
hitohira-encore	ひとひらアンコール	['title']	1冊	['桐原いづみ']
hondo-boukuu-sentoukitai	本土防空戦闘機隊	['imprint=SP pocket wide']	1冊	['滝沢聖峰']
honto-ni-atta-hna-taiken	ホントにあったHな体験	['imprint=SP pocket wide']	1冊	['群りゅうせい']
ieyasu-kami-to-natta-otoko	家康神となった男	['imprint=Chukoコミックlite']	1冊	['石ノ森章太郎']
ijime-teiaazu-selection	いじめ-ティアーズセレクション-	['title']	1冊	['五十嵐かおる']
ikenami-shoutarou-gekiga-selection	池波正太郎劇画セレクション	['title']	1冊	['山崎峰水']
ippon-bouchou-mantarou-selection	一本包丁満太郎セレクション	['title']	8冊	['ビッグ錠']
ishikawa-yako-senshuu	石川弥子選集	['title']	3冊	['石川弥子']
ittou-ryoudan-2012	一刀両断	['imprint=SP pocket wide']	1冊	['さいとう・たかを', 'さいとうプロダクション']
kagegariankooru	影狩りアンコール	['imprint=パーフェクト・メモワール', 'title']	2冊	['さいとう・たかを']
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	['imprint=Bunch world']	5冊	['原哲夫']
kaijou-tokushu-kyuunantai-itagaki-gou-umitaka	海上特殊救難隊-板垣豪-海鷹	['imprint=SP pocket wide']	1冊	['さいとう・たかを']
kaisetsuhonnouji-no-hen	怪説!?本能寺の変	['imprint=SP pocket wide']	1冊	['岡村賢二']
kanbe-sakumi-senshuu	神戸さくみ選集	['title']	2冊	['神戸さくみ']
kanjuku-chocolat	完熟ショコラ	['imprint=SP pocket wide']	1冊	['大見武士']
kanou-seisaku-best	叶精作best	['imprint=SP pocket wide']	2冊	['叶精作']
kanzaki-masaomi-senshuu	神崎将臣選集	['title']	1冊	['神崎将臣']
kaze-hikaru-shinsengumi-taishi-koi-selection	風光る新選組隊士恋セレクション	['title']	1冊	['渡辺多恵子']
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション	['title']	12冊	['宗美智子']
kemono-ken	けもの剣	['imprint=パーフェクト・メモワール']	1冊	['さいとう・たかを']
ken-tsukikage-jidaigeki-senshuu-midarebana	ケン月影時代劇選集みだれ花	['title']	1冊	['ケン月影']
