regress_years	slug	title	authors	edition	n_vols	worst_pair	isbn_pattern
9	yaiba	YAIBA	青山剛昌	bunkobon	10	1巻(2011-12-20)→2巻(2002-01)	有→有
9	youseiou	妖精王	山岸凉子	standard	5	2巻(1987-01)→5巻(1978-12-20)	有→無
9	zenikko	銭っ子	水島新司	standard	5	1巻(1986-07-25)→4巻(1977-07-10)	有→無
8	1-2-no-1-rou	1・2の三四郎	小林まこと	standard	20	6巻(1988-08-06)→7巻(1980-05)	有→有
8	1-2-no-ahho	1・2のアッホ!!	コンタロウ	standard	10	1巻(1986-03)→7巻(1978-03)	有→無
8	aa-ichirou	ああ一郎	こせきこうじ	standard	5	4巻(1990-05-10)→5巻(1982-03)	有→無
8	burai-za-kid	無頼・ザ・キッド	永井豪	standard	5	1巻(1986-02)→4巻(1978-08)	有→無
8	damenzu-walker	だめんず・うぉ～か～	倉田真由美	standard	19	1巻(2009-12)→2巻(2001-12-20)	有→有
8	doubutsu-no-oshaberi	動物のおしゃべり♥	神仙寺瑛	standard	29	1巻(2015-03-07)→2巻(2007-06)	有→有
8	garouden-boy	餓狼伝BOY	板垣恵介	standard	3	1巻(2012-09-20)→2巻(2004-08)	有→有
8	go-go-purin-teikoku	GO GO!ぷりん帝国	くぼたまこと	standard	6	1巻(2007-08)→5巻(1999-12-22)	有→有
8	hard-ando-ruuzu	ハード＆ルーズ	かわぐちかいじ・狩撫麻礼	standard	7	1巻(1993-05)→2巻(1985-02)	有→有
8	himitsu-sentai-gorenger	秘密戦隊ゴレンジャー	石森章太郎	standard	5	1巻(1985-06)→4巻(1977-12)	有→無
8	jinsei-wa-barairo-da	人生はバラ色だ。	はしだ由花里	standard	2	1巻(2008-09)→2巻(2000-01-11)	有→有
8	karate-baka-ichidai	空手バカ一代	影丸譲也・影丸譲也とJ・Kプロ	standard	26	12巻(1983-01)→18巻(1975-09)	有→無
8	karate-sensou	空手戦争	守谷哲巳	standard	11	1巻(1986-08-06)→7巻(1978-02-20)	有→無
8	kaze-to-ki-no-uta	風と木の詩	竹宮惠子	bunkobon	10	8巻(2003-01)→9巻(1995-09)	有→有
8	kick-off	キックオフ	ちば拓	standard	12	1巻(1991-03-19)→4巻(1983-05)	有→有
8	maboroshi-no-futsuu-shoujo	幻想の普通少女	内田春菊	bunkobon	3	1巻(2009-01)→3巻(2001-04)	有→有
8	monokage-ni-ashibyoushi	物陰に足拍子	内田春菊	standard	4	1巻(1998-12)→3巻(1990-01-12)	有→有
8	mosaren-bugi	猛者連ブギ	かわぐちかいじ	standard	9	7巻(1992-03-03)→8巻(1984-07)	有→無
8	onnakui	女喰い	みね武・広山義慶・広尾満・小嶋悟	standard	10	2巻(2003-07)→3巻(1995-08-15)	有→有
8	oyakodeka	おやこ刑事	大島やすいち・林律雄	standard	25	7巻(1988-01-08)→11巻(1980-01-15)	有→無
8	ps-genki-desu-shunpei	P.S.元気です、俊平	柴門ふみ	deluxe	9	5巻(1999-06-22)→6巻(1991-01-23)	有→有
8	puramo-kiyoushirou-shin	新・プラモ狂四郎	やまと虹一	deluxe	2	1巻(1999-11-05)→2巻(1991-04-06)	有→有
8	purodeyuusaa-ni-naritai	プロデューサーになりたい	磯山晶	standard	3	1巻(2004-08)→3巻(1996-08-09)	有→有
8	ribon-no-kishi	リボンの騎士	手塚治虫	standard	6	3巻(2009)→4巻(2001-06-29)	有→有
8	sasaki-sama-ni-negai-o	ササキ様に願いを	みずしな孝之	standard	5	1巻(2004-11)→2巻(1996-07)	有→有
8	satsunan-jigenryuu	薩南示現流	とみ新蔵	standard	2	1巻(2012-06)→2巻(2004-10)	有→有
8	sebangou-0	背番号0	寺田ヒロオ	standard	3	1巻(1968-09-25)→6巻(1960-08-05)	無→無
8	sengoku-1991	SENGOKU	山科けいすけ	standard	3	1巻(2002-12)→2巻(1994-01)	有→有
8	shin-piihyoro-ikka	新・ぴーひょろ一家	姫木薫理	standard	5	1巻(2005-10)→2巻(1997-03)	有→有
8	shinsetsu-sakamotsu-chan	新説!さかもっちゃん	柳内大樹	standard	2	1巻(2019-03)→2巻(2011-01)	有→有
8	scramble-egg-yanagisawa	すくらんぶるエッグ	柳沢きみお	standard	12	1巻(1986-11-30)→5巻(1978-12-15)	有→無
8	super-sub	Superサブ	望月三起也	standard	3	1巻(1993-11-24)→2巻(1985-07-01)	有→有
8	takopon	タコポン	いましろたかし	standard	3	1巻(2003-07)→2巻(1995-12)	有→有
8	taraobannai	多羅尾伴内	石ノ森章太郎	standard	4	1巻(1986-04-05)→4巻(1978-08-20)	有→無
8	tennis-boy	テニスボーイ	小谷憲一	standard	14	4巻(1990-01-19)→10巻(1982-08)	有→無
8	tokimeki-no-jin	ときめきのジン	村生ミオ	standard	9	1巻(1989-03)→9巻(1981-12)	有→無
8	ultra-seven	ウルトラセブン	桑田次郎	standard	4	1巻(1986-07-18)→3巻(1978-07)	有→無
8	wani-bunsho	ワニ分署	篠原とおる	standard	12	1巻(1986-10)→2巻(1978-09)	有→無
8	wankorobee	わんころべえ	あべゆりこ	standard	2	1巻(1993-04-06)→2巻(1985-08-06)	有→有
8	yakyuukyou-no-uta	野球狂の詩	水島新司	standard	17	1巻(1984-03)→11巻(1976-06-05)	有→無
8	zakoken-maruchou	ざこ検〔○潮〕	高田靖彦	standard	4	1巻(2009-08)→2巻(2001-03-30)	有→有
7	akagi	アカギ	福本伸行	standard	36	1巻(2000-10)→2巻(1993-01)	有→有
7	battle-thunder	バトルサンダー	島本和彦	standard	3	1巻(1998-12-18)→2巻(1991-07-06)	有→有
7	chinpui	チンプイ	藤子・F・不二雄・藤子不二雄Ⓐ	standard	4	3巻(1997-04-25)→4巻(1990-02)	有→有
7	chrome-kidoutai	攻殻機動隊	士郎正宗	deluxe	2	1巻(2008-03)→2巻(2001-06)	有→有
7	comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	琴川彩・風忍・洋介犬・河原達弘・瀬河美紀・井上芳之助・稲川淳二・桜水樹・ダイナミックプロダクション・野口千里・津上柊子・河村万理・鯖玉弓・黒百合姫・こきま大	standard	4	1巻(2005-07)→3巻(1998-07-26)	有→無
7	genji-monogatari-yanagawa	源氏物語	柳川創造	standard	3	1巻(1989-10-30)→3巻(1982-10)	有→無
7	gilgamesh	ギルガメッシュ	石ノ森章太郎	standard	6	1巻(1985-09-20)→5巻(1978-01-15)	有→無
7	golgo-13	ゴルゴ13	さいとう・たかを・さいとうプロダクション	standard	220	138巻(2013-03-14)→140巻(2006-05-05)	有→有
7	gunka-no-hibiki	軍靴の響き	かわぐちかいじ	standard	3	1巻(1998-01)→2巻(1991-07-24)	有→有
7	hikaru-kaze	光る風	山上たつひこ	shinsoban	2	0巻(2015-04)→1巻(2008-07)	有→有
7	hustler-the-kid	ハスラー.ザ.キッド	黒咲一人	standard	4	4巻(1986-09-05)→5巻(1979-06)	有→無
