n	type	imprint	series_key	excluded	isbns
9	standard	BIG COMICS SPECIAL	qid:Q348436|name:Monster		9784091817907,9784091818027,9784091818034,9784091818041,9784091818058,9784091818065,9784091818072,9784091818089,9784091818096
9	standard	My first wide	qid:Q351742|name:みゆき		9784091621047,9784091621054,9784091621092,9784091621108,9784091635051,9784091635143,9784091635242,9784091635334,9784091635433
9	standard	ヤングジャンプ・コミックスセレクション	qid:Q3519218|name:DOG SOLDIER		9784834221510,9784834221527,9784834221534,9784834221541,9784834221558,9784834221565,9784834221572,9784834221589,9784834221596
9	standard	ビッグコミックスワイド	qid:Q3776891|name:やったろうじゃん!!		9784091858610,9784091858627,9784091858634,9784091858641,9784091858658,9784091858665,9784091858672,9784091858689,9784091858696
9	standard	SP comics = SPコミックス. SP pocket wide	qid:Q4022589|name:剣客商売		9784845866755,9784845868353,9784845868599,9784845869107,9784845869572,9784845870219,9784845870363,9784845870769,9784845871711
9	standard	My first big special	qid:Q4348970|name:銀牙伝説ウィード	除外レーベル	9784091181183,9784091181558,9784091181787,9784091182036,9784091182302,9784091198082,9784091198297,9784091198594,9784091198952
9	standard		qid:Q452246|name:電影少女		9784087827361,9784087827378,9784087827385,9784087827392,9784087827408,9784087827415,9784087827422,9784087827439,9784087827446
9	standard	Princess comics alpha	qid:Q4721168|name:幻獣の星座		9784253272414,9784253272421,9784253272438,9784253272445,9784253272452,9784253272469,9784253272476,9784253272483,9784253272490
9	standard	アクション・コミックス	qid:Q5209147|name:西遊妖猿伝		9784575812695,9784575812701,9784575812718,9784575812725,9784575812732,9784575812749,9784575814354,9784575815573,9784575821048
9	standard	少年サンデーコミックススペシャル	qid:Q531917|name:かってに改蔵		9784091220769,9784091220776,9784091220783,9784091220790,9784091220806,9784091220844,9784091220851,9784091220868,9784091220875
9	standard	SC special	qid:Q5366793|name:超人ロック		9784796241205,9784796241212,9784796241250,9784796241274,9784796241359,9784796241458,9784796241496,9784796241526,9784796241571
9	standard	My first big	qid:Q551359|name:バイオレンスジャック	除外レーベル	9784091093509,9784091093554,9784091093592,9784091093738,9784091093769,9784091093851,9784091094032,9784091094087,9784091094131
9	standard	講談社プラチナコミックス	qid:Q6782739|name:修羅の門 第弐門	除外レーベル	9784065104378,9784065104446,9784065104811,9784065104835,9784065107454,9784065107461,9784065107478,9784065107492,9784065110294
9	standard	Missy comics	qid:Q6917997|name:ハイスクール!奇面組		9784776746447,9784776746584,9784776746645,9784776746652,9784776746850,9784776746867,9784776747055,9784776747079,9784776747260
9	standard	SP comics. リイドカフェ・コミックス	qid:Q731579|name:彼女のカレラ		9784845868421,9784845868537,9784845868650,9784845868810,9784845868957,9784845869060,9784845869190,9784845869435,9784845869534
9	standard	My first big	qid:Q7678636|name:MAJOR	除外レーベル	9784091080608,9784091080752,9784091080844,9784091081155,9784091081216,9784091081322,9784091083418,9784091083807,9784091091826
9	standard	ジャンプコミックスセレクション	qid:Q8062701|name:テニスボーイ		9784834212211,9784834212228,9784834212235,9784834212242,9784834212259,9784834212266,9784834212273,9784834212280,9784834212297
9	standard	Shueishaジャンプremix	qid:Q8062771|name:暗殺教室	除外レーベル	9784081137107,9784081137114,9784081137121,9784081137138,9784081137145,9784081137152,9784081137169,9784081137176,9784081137183
9	standard	KCスペシャル	qid:Q8194595|name:ブレイクショット		9784063056266,9784063056273,9784063056280,9784063056297,9784063056303,9784063056310,9784063056327,9784063056334,9784063056341
9	standard	Shueishaジャンプremix	qid:Q849446|name:ニセコイ	除外レーベル	9784081137732,9784081137749,9784081137763,9784081137770,9784081137787,9784081137794,9784081137800,9784081137817,9784081137824
9	standard	講談社プラチナコミックス	qid:Q966701|name:シバトラ	除外レーベル	9784063750768,9784063750942,9784063776126,9784063776461,9784063776669,9784063776850,9784063777116,9784063777284,9784063777482
8	standard	アニメKC	name:Clamp|name:ちょびっツ	除外レーベル	9784063101546,9784063101553,9784063101645,9784063101652,9784063101669,9784063101676,9784063101720,9784063101737
8	standard	ガムコミックスプラス	name:中山文十郎|name:まほろまてぃっく		9784847035548,9784847035609,9784847035616,9784847035678,9784847035685,9784847035760,9784847035777,9784847035814
8	standard		name:中貫えり|name:ジャンク×ジャングル		9784022142009,9784022142016,9784022142023,9784022142030,9784022142047,9784022142054,9784022142061,9784022142078
8	standard	My first big special	name:九和かずと|name:築地魚河岸三代目	除外レーベル	9784091181725,9784091182012,9784091182289,9784091182562,9784091182920,9784091183170,9784091183415,9784091183651
8	standard	ビッグコミックスワイド	name:勝鹿北星|name:Masterキートン		9784091858214,9784091858221,9784091858238,9784091858245,9784091858252,9784091858269,9784091858276,9784091858290
8	standard	アニメKC	name:富野由悠季|name:機動戦士ガンダムSEED	除外レーベル	9784063101744,9784063101751,9784063101768,9784063101775,9784063101782,9784063101799,9784063101805,9784063101812
8	standard	ヤンマガKC	name:押切蓮介|name:でろでろ		9784063823998,9784063824193,9784063824438,9784063824544,9784063824674,9784063824797,9784063824872,9784063825015
8	standard	KCスペシャル	name:村田ひでお|name:破壊王ノリタカ!		9784063057560,9784063057591,9784063057607,9784063057614,9784063057621,9784063057638,9784063057645,9784063057652
8	standard	ボニータコミックス	name:東宮千子|name:海老原さん家は今日も大変!		9784253092913,9784253092920,9784253092937,9784253092944,9784253092951,9784253092968,9784253092975,9784253092982
8	standard		qid:Q1016880|name:北斗の拳		9784087826012,9784087826036,9784087826043,9784087826067,9784087826074,9784087826104,9784087826111,9784087826135
8	standard	My first big special	qid:Q1073074|name:スプライト	除外レーベル	9784091181879,9784091181916,9784091182180,9784091182463,9784091182845,9784091183071,9784091183552,9784091193988
8	standard		qid:Q11261144|name:死神くん		9784834281217,9784834281224,9784834281231,9784834281248,9784834281255,9784834281262,9784834281279,9784834281286
8	standard	My first big special	qid:Q11263734|name:ひかりの空	除外レーベル	9784098034031,9784098034239,9784098034482,9784098034628,9784098034888,9784098035151,9784098035366,9784098035632
8	standard	KPC	qid:Q11265118|name:赤灯えれじい	除外レーベル	9784063748512,9784063748598,9784063748680,9784063748758,9784063748871,9784063748970,9784063749069,9784063749151
8	standard	ジャンプコミックスセレクション	qid:Q11279292|name:やるっきゃ騎士		9784834217018,9784834217025,9784834217032,9784834217049,9784834217056,9784834217063,9784834217070,9784834217087
8	standard	EARTH STAR COMICS	qid:Q113565765|name:四十七大戦		9784803010114,9784803010695,9784803011470,9784803012088,9784803012453,9784803012941,9784803013467,9784803014181
8	standard		qid:Q11372142|name:めいわく荘の人々		9784861761683,9784861761690,9784861761829,9784861761836,9784861761980,9784861761997,9784861762260,9784861762277
8	standard	ジャンプコミックスセレクション	qid:Q11377235|name:神様はサウスポー		9784834215113,9784834215120,9784834215137,9784834215144,9784834215151,9784834215168,9784834215175,9784834215182
8	standard	Comic魂別冊叶精作	qid:Q11412214|name:実験人形ダミー・オスカー		9784073400844,9784073403166,9784073406938,9784073411550,9784073414162,9784074302499,9784074305223,9784074308125
8	standard	少年サンデーコミックススペシャル	qid:Q11414072|name:湘南爆走族		9784098520831,9784098520848,9784098526758,9784098528158,9784098528493,9784098528813,9784098530045,9784098530052
8	standard	SP comics. リイドカフェ・コミックス	qid:Q11430528|name:鬼畜島		9784845868414,9784845868438,9784845868827,9784845869206,9784845870066,9784845870493,9784845870875,9784845871919
8	standard		qid:Q11451518|name:お天気お姉さん		9784063530520,9784063530704,9784063530711,9784063530872,9784063530889,9784063530995,9784063531015,9784063531121
8	standard	なかよしメディアブックス	qid:Q11518743|name:あずきちゃん	除外レーベル	9784063245806,9784063245820,9784063245875,9784063245905,9784063245929,9784063245950,9784063245981,9784063246506
8	standard	スコラSCスペシャル	qid:Q11523385|name:微熱MY LOVE		9784796296557,9784796296588,9784796296625,9784796296663,9784796296724,9784796296748,9784796296762,9784796296786
8	standard	KCスペシャル	qid:Q11523385|name:胸さわぎの放課後		9784061013957,9784061013964,9784061013971,9784061013988,9784061013995,9784061014008,9784061014022,9784061014039
8	standard	Shueishaジャンプremix	qid:Q115276749|name:カラダ探し	除外レーベル	9784081137404,9784081137411,9784081137428,9784081137435,9784081137442,9784081137459,9784081137466,9784081137473
8	standard	集英社ガールズリミックス	qid:Q11560265|name:ぽっかぽか	除外レーベル	9784081061822,9784081061907,9784081061983,9784081062324,9784081062409,9784081062959,9784081063253,9784081063376
8	standard	KPC	qid:Q11569561|name:ぎゅわんぶらあ自己中心派	除外レーベル	9784063532319,9784063532418,9784063532555,9784063532678,9784063532845,9784063532968,9784063533156,9784063533279
8	standard	アスペクトコミックス	qid:Q11638680|name:天からトルテ!		9784757200760,9784757200944,9784757201934,9784757203099,9784757204379,9784757204515,9784757205338,9784757206946
8	standard	SJR	qid:Q11645932|name:ゴールデンカムイ	除外レーベル	9784081152155,9784081152162,9784081152179,9784081152186,9784081152193,9784081152209,9784081152216,9784081152223
8	bunkobon	祥伝社コミック文庫	qid:Q11668955|name:花のあすか組!		9784396380410,9784396380427,9784396380458,9784396380465,9784396380502,9784396380519,9784396380526,9784396380533
8	standard	ジャンプ コミックス セレクション	qid:Q11669300|name:ホールインワン		9784834212310,9784834212327,9784834212334,9784834212341,9784834212358,9784834212365,9784834212372,9784834212389
8	standard	アフタヌーンKCDX	qid:Q1191638|name:寄生獣		9784063346640,9784063346657,9784063346800,9784063346817,9784063346923,9784063346978,9784063347227,9784063347340
8	standard	KPC	qid:Q1319237|name:愛と誠	除外レーベル	9784063531879,9784063531954,9784063532081,9784063532142,9784063532302,9784063532401,9784063532562,9784063532685
8	standard	漫画名作館スペシャル	qid:Q1319237|name:男の星座		9784872700787,9784872700794,9784872700800,9784872700817,9784872700824,9784872700831,9784872700848,9784872700855
8	standard	小学館叢書	qid:Q1358489|name:忍者武芸帳		9784091973214,9784091973221,9784091973238,9784091973245,9784091973252,9784091973269,9784091973276,9784091973283
8	standard	潮ライブラリー	qid:Q193300|name:ブッダ		9784267015113,9784267015120,9784267015137,9784267015144,9784267015151,9784267015168,9784267015175,9784267015182
8	standard		qid:Q193300|name:三つ目がとおる		9784835455068,9784835455075,9784835455082,9784835455099,9784835455105,9784835455112,9784835455129,9784835455136
8	standard	Akita top comics wide	qid:Q193300|name:火の鳥		9784253242516,9784253242523,9784253242592,9784253243964,9784253246149,9784253246156,9784253246163,9784253246170
8	standard	KCDX	qid:Q1937859|name:なるたる		9784063932232,9784063932249,9784063932331,9784063932348,9784063932539,9784063932546,9784063932683,9784063932690
8	standard	DENGEKI COMICS	qid:Q2233404|name:はやて×ブレード		9784840227391,9784840229579,9784840231152,9784840233200,9784840235358,9784840237512,9784840239646,9784840241762
8	standard	YKコミックス	qid:Q2290191|name:一騎当千		9784785957247,9784785957384,9784785957544,9784785957803,9784785958022,9784785958251,9784785958855,9784785959029
8	standard	ちばてつや全集	qid:Q2339941|name:少年よラケットを抱け		9784834283419,9784834283426,9784834283433,9784834283440,9784834283457,9784834283464,9784834283471,9784834283488
8	standard	Shueishaジャンプremix	qid:Q2532959|name:ぬらりひょんの孫	除外レーベル	9784081137480,9784081137497,9784081137503,9784081137541,9784081137558,9784081137565,9784081137572,9784081137589
8	standard		qid:Q256425|name:ベルサイユのばら		9784087813555,9784835453941,9784835453958,9784835453965,9784835453972,9784835453989,9784835453996,9784835454009
8	standard	単行本コミックス	qid:Q268789|name:天馬の血族		9784048536165,9784048536172,9784048536189,9784048536196,9784048536202,9784048536219,9784048536226,9784048536233
8	standard	講談社プラチナコミックス	qid:Q2715658|name:社長島耕作	除外レーベル	9784065100097,9784065100486,9784065100493,9784065100578,9784065100974,9784065100981,9784065100998,9784065102923
8	standard	Kodansha platinum comic	qid:Q2715658|name:課長島耕作		9784063530094,9784063530100,9784063530148,9784063530155,9784063530193,9784063530209,9784063530360,9784063530438
8	standard	KPC	qid:Q2715658|name:課長島耕作	除外レーベル	9784063717273,9784063717280,9784063717471,9784063717648,9784063717891,9784063718102,9784063718324,9784063718508
8	standard	講談社プラチナコミックスmini	qid:Q2715658|name:課長島耕作	除外レーベル	9784063732047,9784063732078,9784063732139,9784063732160,9784063732207,9784063732245,9784063732290,9784063732306
8	standard	YK ours comics	qid:Q2723165|name:クロノクルセイド		9784785932916,9784785932923,9784785933111,9784785933128,9784785933326,9784785933333,9784785933562,9784785933579
8	standard	Akita top comics wide	qid:Q2875041|name:仁義S		9784253247214,9784253247221,9784253247238,9784253247245,9784253247252,9784253247269,9784253247276,9784253247283
8	standard	Akita top comics wide	qid:Q2875041|name:本気!		9784253186162,9784253240321,9784253240338,9784253240345,9784253240352,9784253240369,9784253240376,9784253240383
8	standard	アニメKC	qid:Q311589|name:ラブひな	除外レーベル	9784063101294,9784063101300,9784063101317,9784063101331,9784063101348,9784063101362,9784063101386,9784063101409
8	standard	講談社バイリンガル・コミックス	qid:Q311589|name:ラブひな		9784770027153,9784770027160,9784770027177,9784770027436,9784770028112,9784770028129,9784770028136,9784770028143
8	bunkobon	集英社文庫コミック版	qid:Q3325226|name:硬派銀次郎		9784086170185,9784086170192,9784086170208,9784086170215,9784086170222,9784086170239,9784086170246,9784086170253
8	standard	My first wide	qid:Q351742|name:クロスゲーム		9784091632036,9784091632159,9784091632234,9784091632319,9784091632388,9784091632470,9784091632562,9784091632654
8	standard	My first big special	qid:Q351742|name:タッチ	除外レーベル	9784098037766,9784098037964,9784098038237,9784098038411,9784098038657,9784098038848,9784098043064,9784098043736
8	standard	講談社プラチナコミックス	qid:Q352353|name:中華一番!	除外レーベル	9784063779288,9784063779318,9784063856897,9784063857047,9784065114674,9784065114988,9784065172766,9784065173640
8	standard	ヤンマガKC	qid:Q376174|name:柔道部物語		9784063823820,9784063823950,9784063824063,9784063824230,9784063824407,9784063824599,9784063824735,9784063824810
8	standard	スーパービジュアル・コミックス	qid:Q3776891|name:ジャストミート		9784091603319,9784091603326,9784091603333,9784091603340,9784091603357,9784091603364,9784091603371,9784091603388
8	standard	ガンガンコミックスonline	qid:Q3785783|name:魔法陣グルグル		9784757542259,9784757542266,9784757542471,9784757542488,9784757542778,9784757542785,9784757543089,9784757543096
8	standard	FC	qid:Q38842|name:ハッピー・マニア		9784396764654,9784396764661,9784396764685,9784396764722,9784396764746,9784396764784,9784396764814,9784396764838
8	standard	あすかコミックス・スペシャル	qid:Q445827|name:日出処の天子		9784049230017,9784049230024,9784049230031,9784049230048,9784049230055,9784049230062,9784049230079,9784049230086
8	standard	ビッグコミックス	qid:Q463084|name:動物のお医者さん		9784098627325,9784098627332,9784098627349,9784098627356,9784098627363,9784098627370,9784098627387,9784098627424
8	standard		qid:Q471133|name:バビル2世		9784253103879,9784253103886,9784253103893,9784253103909,9784253103916,9784253103923,9784253103930,9784253103947
8	standard	Kibo comics : カジュアルワイド	qid:Q471133|name:三国志		9784267906817,9784267906824,9784267906831,9784267906879,9784267906886,9784267906893,9784267906916,9784267906923
8	standard	My first wide	qid:Q471133|name:史記		9784091621290,9784091621337,9784091621399,9784091621610,9784091621634,9784091621696,9784091621764,9784091621832
8	standard	ベツコミフラワーコミックススペシャル	qid:Q6139039|name:メンズ校		9784098708758,9784098708765,9784098708772,9784098708789,9784098708802,9784098708819,9784098708826,9784098708833
8	standard	SJR	qid:Q622057|name:Claymore	除外レーベル	9784081151455,9784081151462,9784081151479,9784081151486,9784081151493,9784081151509,9784081151516,9784081151523
8	standard	Missy comics	qid:Q6739981|name:孔雀王		9784776744337,9784776744498,9784776744573,9784776744856,9784776744955,9784776745464,9784776745518,9784776745747
8	standard	KPC	qid:Q6964569|name:猿ロック	除外レーベル	9784063744460,9784063744576,9784063744637,9784063744736,9784063744743,9784063744958,9784063745733,9784063745757
8	standard	Goma books	qid:Q7046075|name:F		9784777118014,9784777118021,9784777118038,9784777118137,9784777118144,9784777119226,9784777119233,9784777119240
8	standard	サンエイムック	qid:Q721651|name:ナニワ金融道		9784779629075,9784779629273,9784779629716,9784779629945,9784779630361,9784779630590,9784779631115,9784779631344
8	standard	SP comics = SPコミックス. SP pocket wide	qid:Q7564122|name:夢幻の軍艦大和		9784845869237,9784845869251,9784845869329,9784845869374,9784845869459,9784845869497,9784845869602,9784845869671
8	standard	BEAM COMIX	qid:Q7680576|name:しあわせのかたち		9784757206977,9784757206984,9784757207400,9784757717251,9784757717268,9784757717275,9784757717282,9784757717299
8	standard	Shueishaジャンプremix	qid:Q8056336|name:ムヒョとロージーの魔法律相談事務所	除外レーベル	9784081138692,9784081138708,9784081138715,9784081138722,9784081138739,9784081138746,9784081138753,9784081138760
8	standard	Shueishaジャンプremix	qid:Q8955318|name:黒子のバスケ	除外レーベル	9784081136339,9784081136346,9784081136407,9784081136414,9784081136483,9784081136490,9784081136551,9784081136568
8	standard	Wings comics bunko	qid:Q8977645|name:ドラゴン・フィスト		9784403500947,9784403500954,9784403500961,9784403500978,9784403500985,9784403500992,9784403501005,9784403501012
8	standard	Princess comics alpha	qid:Q9099435|name:花冠の竜の国		9784253196611,9784253196628,9784253196635,9784253196642,9784253196659,9784253196703,9784253196710,9784253196727
8	standard	GFC super	qid:Q9124165|name:聖戦記エルナサーガ		9784757507234,9784757507241,9784757507494,9784757507708,9784757507791,9784757508057,9784757508217,9784757508422
8	standard	KBR	qid:Q9124928|name:シュート!		9784334808402,9784334808419,9784334808440,9784334808457,9784334808464,9784334808471,9784334808488,9784334808501
8	standard	KPC	qid:Q9124928|name:シュート!熱き挑戦	除外レーベル	9784063717242,9784063717372,9784063717457,9784063717549,9784063717624,9784063717778,9784063717853,9784063717938
8	standard	Wings comics bunko	qid:Q9182951|name:きらきら馨る		9784403500695,9784403500701,9784403500718,9784403500725,9784403500732,9784403500749,9784403500756,9784403500763
8	standard	講談社プラチナコミックスmini	qid:Q9187051|name:荒岩流クッキングパパ	除外レーベル	9784063715330,9784063732030,9784063732085,9784063732122,9784063732177,9784063732214,9784063732252,9784063732283
8	standard	ガムコミックスプラス	qid:Q9190399|name:月詠		9784847038433,9784847038556,9784847038686,9784847038693,9784847038723,9784847038730,9784847038754,9784847038761
8	standard	講談社のテレビまんがえほん	qid:Q958256|name:天才バカボン		9784063148015,9784063148022,9784063148039,9784063148046,9784063148053,9784063148060,9784063148077,9784063148084
8	standard	SHONEN MAGAZINE COMICS	qid:Q966701|name:金田一少年の事件簿		9784063584042,9784063584059,9784063845440,9784063846973,9784063847567,9784063847901,9784063848304,9784063848830
8	standard	Wada Shinji collection	qid:Q987957|name:怪盗アマリリス		9784257904045,9784257904052,9784257904069,9784257904076,9784257904083,9784257904090,9784257904106,9784257904113
7	standard	My first big	name:あべ善太|name:味いちもんめ	除外レーベル	9784091080226,9784091080714,9784091080882,9784091081124,9784091097040,9784091097279,9784091097767
7	standard	KPC	name:さいとう・プロ|name:日本沈没	除外レーベル	9784063530575,9784063530681,9784063530766,9784063530841,9784063530940,9784063717709,9784063717716
7	standard	KPC	name:さいふうめい|name:哲也	除外レーベル	9784063741759,9784063741766,9784063741841,9784063741858,9784063741865,9784063746143,9784063748536
7	standard	Shueisha jump remix	name:ゆでたまご|name:キン肉マン	除外レーベル	9784081060061,9784081060122,9784081060184,9784081060245,9784081062478,9784081067657,9784089050583
7	standard	ガムコミックスプラス	name:シネクドキ|name:エルフさんは痩せられない。		9784847068010,9784847068119,9784847068232,9784847068362,9784847068485,9784847068539,9784847068577
7	standard	ジャンプコミックスセレクション	name:原康史|name:プロレス・スターウォーズ		9784834216516,9784834216523,9784834216530,9784834216547,9784834216554,9784834216561,9784834216578
7	standard	SP pocket wide	name:坂岡真|name:鬼役		9784845847297,9784845847334,9784845849239,9784845852697,9784845854110,9784845864720,9784845866557
7	standard	SP pocket wide	name:梶研吾|name:“殺医”ドクター蘭丸		9784845840786,9784845840809,9784845842438,9784845848430,9784845848447,9784845848805,9784845848812
7	standard	ジェッツコミックス	name:氷室冴子|name:なんて素敵にジャパネスク		9784592142119,9784592142126,9784592142133,9784592142140,9784592142157,9784592142164,9784592142171
7	standard	バーガーSC	name:菊地秀行|name:退魔針|sub:魔殺ノート		9784796243575,9784796243766,9784796244015,9784796244169,9784796244329,9784796244435,9784796244640
7	standard	中公コミックス	name:藤子不二雄|name:新プロゴルファー猿		9784124102529,9784124102604,9784124102642,9784124102680,9784124102727,9784124102765,9784124102802
7	standard	ヤングガンガンコミックス	name:行徒|name:学園革命伝ミツルギ		9784757532441,9784757532755,9784757532786,9784757533011,9784757533028,9784757533462,9784757533479
7	standard	Shueishaジャンプremix	name:貴家悠|name:テラフォーマーズ	除外レーベル	9784081137206,9784081137213,9784081137220,9784081137237,9784081137244,9784081137251,9784081137268
7	standard	ゼノンコミックスDX	qid:Q1016880|name:蒼天の拳		9784199800535,9784199800542,9784199800580,9784199800597,9784199800658,9784199800665,9784199800757
7	standard	ゼノンコミツクスDX	qid:Q1016880|name:蒼天の拳		9784199800764,9784199800825,9784199800832,9784199800887,9784199800894,9784199800931,9784199800948
7	standard	My first big	qid:Q1048873|name:あずみ	除外レーベル	9784091083388,9784091090249,9784091090690,9784091091079,9784091095831,9784091095930,9784091096098
7	standard	ジャンプコミックスセレクション	qid:Q11242326|name:激!!極虎一家		9784834213218,9784834213225,9784834213232,9784834213249,9784834213256,9784834213263,9784834213270
7	standard	ぶんか社コミックス	qid:Q11264155|name:KATANA		9784821170470,9784821183456,9784821184606,9784821185917,9784821186952,9784821187614,9784821188789
7	standard	FTCシリーズ	qid:Q11264757|name:そばっかす!		9784903421018,9784903421056,9784903421070,9784903421094,9784903421117,9784925148962,9784925148979
7	standard	ジャンプ コミックス セレクション	qid:Q11271813|name:キックオフ		9784834212518,9784834212525,9784834212532,9784834212549,9784834212556,9784834212563,9784834212570
7	standard	Akita top comics wide	qid:Q11272388|name:恐怖新聞		9784253189231,9784253189248,9784253189255,9784253245012,9784253245029,9784253245036,9784253245043
7	bunkobon	MF文庫	qid:Q11279292|name:冒険してもいい頃		9784840106238,9784840106375,9784840106597,9784840106788,9784840106924,9784840107075,9784840107280
7	standard	SC special	qid:Q11281884|name:レモンエンジェル		9784796242646,9784796242677,9784796242752,9784796242790,9784796242851,9784796242936,9784796243001
7	standard	ヤングジャンプ・コミックスセレクション	qid:Q11281884|name:レモンエンジェル		9784834221619,9784834221626,9784834221633,9784834221640,9784834221657,9784834221664,9784834221671
7	standard	ジャンプコミックスセレクション	qid:Q11364491|name:朝太郎伝		9784834211016,9784834211023,9784834211030,9784834211047,9784834211054,9784834211061,9784834211078
7	standard	EARTH STAR COMICS	qid:Q11369454|name:ジャバウォッキー		9784803005240,9784803005257,9784803005264,9784803005332,9784803005349,9784803005554,9784803005561
7	standard	KCスペシャル	qid:Q11380043|name:おがみ松吾郎		9784063056075,9784063056082,9784063056099,9784063056105,9784063056129,9784063056143,9784063056150
7	standard	Gコミックス	qid:Q11399093|name:ザ・シェフ		9784537155891,9784537156041,9784537156171,9784537156331,9784537156546,9784537156737,9784537161137
7	standard	Leed cafe comics	qid:Q11412214|name:魔物語		9784845859573,9784845859702,9784845862221,9784845862641,9784845862979,9784845865697,9784845866595
7	standard	講談社プラチナコミックス	qid:Q11459841|name:宇宙兄弟	除外レーベル	9784065106457,9784065106990,9784065107416,9784065107423,9784065107430,9784065108192,9784065108208
7	standard	KPC	qid:Q11466555|name:龍狼伝	除外レーベル	9784063743319,9784063743326,9784063743456,9784063743616,9784063743753,9784063743906,9784063744095
7	standard	講談社プラチナコミックス	qid:Q11466555|name:龍狼伝	除外レーベル	9784063857108,9784063857139,9784063857146,9784063857177,9784063857191,9784063857351,9784065107973
7	standard	講談社プラチナコミックス	qid:Q11466555|name:龍狼伝 中原繚乱編	除外レーベル	9784065104286,9784065104293,9784065104354,9784065104361,9784065107997,9784065108000,9784065108031
7	standard	ジャンプコミックスセレクション	qid:Q11468284|name:荒野の少年イサム		9784834210712,9784834210729,9784834210736,9784834210743,9784834210750,9784834210767,9784834210774
7	standard	バーガーSC	qid:Q11472796|name:ラグナロック・ガイ		9784796241137,9784796241182,9784796241236,9784796241298,9784796241328,9784796241380,9784796241403
7	standard	KPC	qid:Q11478325|name:巨人の星	除外レーベル	9784063744118,9784063744316,9784063744491,9784063744712,9784063744866,9784063745054,9784063745184
7	standard	My first big special	qid:Q1153258|name:今日から俺は!!	除外レーベル	9784091181114,9784091181442,9784091181688,9784091197993,9784091198228,9784091198518,9784091198860
7	standard	My first big	qid:Q11553717|name:銀平飯科帳	除外レーベル	9784098031146,9784098031375,9784098031788,9784098031979,9784098032198,9784098032396,9784098032655
7	standard	YK best	qid:Q11575458|name:Bad boys		9784785951931,9784785951948,9784785951955,9784785951962,9784785962319,9784785962470,9784785962708
7	standard	My first big	qid:Q11611979|name:哭きの竜	除外レーベル	9784091185617,9784091185808,9784091186041,9784091186270,9784091186492,9784091186737,9784091187024
7	standard	KPC	qid:Q11667877|name:空手小公子小日向海流	除外レーベル	9784063742312,9784063742428,9784063742602,9784063858136,9784063858204,9784063858433,9784063858488
7	standard	バンブーコミックス	qid:Q1195859|name:天		9784812453711,9784812453803,9784812454800,9784812455753,9784812456781,9784812458662,9784812460320
7	standard	Shueishaジャンプremix	qid:Q1324593|name:銀魂	除外レーベル	9784081138166,9784081138173,9784081138180,9784081138197,9784081138203,9784081138210,9784081138227
7	standard	BIG COMICS SPECIAL	qid:Q1332841|name:サンクチュアリ		9784091841315,9784091841322,9784091841339,9784091841346,9784091841353,9784091841360,9784091841377
7	standard	ビッグコミックススペシャル	qid:Q1332841|name:サンクチュアリ		9784098625109,9784098625697,9784098625826,9784098626380,9784098626489,9784098627196,9784098627202
7	standard	Young king comics neo	qid:Q1335515|name:トライガンマキシマム		9784785933272,9784785933289,9784785933487,9784785933494,9784785933685,9784785933692,9784785934767
7	standard	My first wide	qid:Q1387797|name:烈火の炎		9784091622150,9784091622167,9784091622204,9784091622259,9784091622297,9784091622334,9784091622396
7	standard	サンデーGXコミックス	qid:Q1626187|name:逆境ナイン		9784091573315,9784091573322,9784091573339,9784091573346,9784091573353,9784091573360,9784091590268
7	standard	KCスペシャル	qid:Q1721423|name:アクター		9784063055580,9784063055610,9784063055627,9784063055634,9784063055641,9784063055658,9784063055665
7	standard	ビッグコミックス	qid:Q17230546|name:あじさいの唄		9784091863119,9784091863126,9784091863133,9784091863140,9784091863157,9784091863164,9784091863171
7	standard	The complete works of Fujiko・F・Fujio	qid:Q17572|name:ドラえもん		9784091434630,9784091434692,9784091434753,9784091434838,9784091434890,9784091434944,9784091435019
7	standard	My first big	qid:Q188129|name:シャカリキ!	除外レーベル	9784091080165,9784091080240,9784091080387,9784091080622,9784091080721,9784091091819,9784091091895
7	standard	小学館叢書	qid:Q193300|name:陽だまりの樹		9784091970213,9784091970220,9784091970237,9784091970244,9784091970251,9784091970268,9784091970275
7	anime	少年サンデーコミックス・アニメ版	qid:Q219948|name:うる星やつら	除外レーベル	9784091218209,9784091218353,9784091218360,9784091218377,9784091218384,9784091218391,9784091218407
7	standard	KCDX	qid:Q256425|name:聖徳太子		9784063767117,9784063767124,9784063767315,9784063767322,9784063767421,9784063767438,9784063767445
7	standard	SP comics = SPコミックス. SP pocket	qid:Q2661273|name:鬼平犯科帳		9784845868476,9784845868711,9784845869008,9784845869312,9784845869626,9784845870523,9784845870783
7	standard	講談社プラチナコミックス	qid:Q2715658|name:部長島耕作	除外レーベル	9784063858235,9784063858242,9784063858389,9784063858396,9784063858518,9784063858600,9784063858761
7	standard	Shueisha girls remix	qid:Q271610|name:ハチミツとクローバー	除外レーベル	9784081092437,9784081095315,9784081095353,9784081095391,9784081095506,9784081095582,9784081095742
7	standard	KC Kiss	qid:Q2738694|name:あさきゆめみし		9784065263174,9784065263181,9784065263198,9784065263204,9784065268155,9784065268162,9784065268179
7	standard	少年チャンピオン・コミックスエクストラ	qid:Q2875041|name:本気!		9784253132466,9784253132473,9784253132480,9784253132497,9784253132503,9784253132510,9784253132527
