n	type	imprint	series_key	excluded	isbns
51	standard	KPC	qid:Q2280124|name:頭文字D	除外レーベル	9784063750430,9784063750447,9784063750539,9784063750591,9784063750782,9784063750904,9784063750959,9784063776072,9784063776140,9784063776379,9784063776492,9784063776614,9784063776706,9784063776805,9784063776898,9784063777062,9784063777147,9784063777215,9784063777291,9784063777437
49	standard	KPC	name:木内一雅|name:代紋TAKE2	除外レーベル	9784063743890,9784063743944,9784063743999,9784063744088,9784063744200,9784063744286,9784063744378,9784063744446,9784063744569,9784063744613,9784063744729,9784063744903,9784063744941,9784063745023,9784063745108,9784063745160,9784063745269,9784063745344,9784063745436,9784063745511
49	standard	My first big special	name:雁屋哲|name:美味しんぼア・ラ・カルト	除外レーベル	9784091172280,9784091172464,9784091172679,9784091172877,9784091173096,9784091173379,9784091173614,9784091173843,9784091174116,9784091174444,9784091174703,9784091174857,9784091175144,9784091175434,9784091175663,9784091175908,9784091176127,9784091176455,9784091181909,9784091182791
46	standard	My first big	name:雁屋哲|name:美味しんぼ	除外レーベル	9784091080295,9784091080516,9784091080912,9784091081742,9784091083395,9784091084255,9784091084330,9784091091031,9784091091390,9784091091550,9784091091789,9784091092014,9784091092137,9784091092311,9784091092557,9784091092670,9784091092731,9784091092793,9784091092977,9784091093103
45	standard	My first big special	name:坂田信弘|name:風の大地	除外レーベル	9784091172013,9784091172266,9784091172440,9784091172655,9784091172860,9784091173089,9784091173362,9784091173607,9784091173836,9784091174109,9784091174437,9784091174697,9784091174840,9784091175137,9784091175427,9784091175656,9784091175892,9784091176110,9784091176448,9784091176714
45	standard	KPC	qid:Q9124928|name:シュート!	除外レーベル	9784063532593,9784063532746,9784063532920,9784063533071,9784063533200,9784063533392,9784063533545,9784063533651,9784063533774,9784063533897,9784063534030,9784063534153,9784063534252,9784063534368,9784063534450,9784063534559,9784063534672,9784063534771,9784063534863,9784063534986
43	standard	KPC	qid:Q2715658|name:ハロー張りネズミ	除外レーベル	9784063531190,9784063531206,9784063531220,9784063531305,9784063531329,9784063531428,9784063531473,9784063531572,9784063531640,9784063531732,9784063531787,9784063531862,9784063531947,9784063532074,9784063532135,9784063532296,9784063532395,9784063532548,9784063532661,9784063532838
43	standard	KPC	qid:Q3514183|name:釣りキチ三平	除外レーベル	9784063717136,9784063717228,9784063717365,9784063717440,9784063717532,9784063717617,9784063717761,9784063717846,9784063717945,9784063718058,9784063718188,9784063718287,9784063718409,9784063718461,9784063718607,9784063718683,9784063718799,9784063719017,9784063719178,9784063719321
40	standard	講談社プラチナコミックス	qid:Q1721423|name:ジパング	除外レーベル	9784063857672,9784063857689,9784063857696,9784063857719,9784063857726,9784063857764,9784063857832,9784063857962,9784063858037,9784063858143,9784063858211,9784063858310,9784063858365,9784063858440,9784063858495,9784063858556,9784063858594,9784063858693,9784063858747,9784063858884
40	standard	KPC	qid:Q8194595|name:鉄拳チンミ	除外レーベル	9784063533446,9784063533460,9784063533477,9784063533514,9784063533613,9784063533743,9784063533866,9784063533996,9784063534108,9784063534221,9784063534313,9784063534429,9784063715255,9784063715262,9784063715347,9784063715446,9784063715569,9784063715637,9784063715750,9784063715835
38	standard	REKC	qid:Q2280124|name:バリバリ伝説		9784063510010,9784063510027,9784063510034,9784063510041,9784063510058,9784063510065,9784063510072,9784063510089,9784063510096,9784063510102,9784063510119,9784063510126,9784063510133,9784063510140,9784063510157,9784063510164,9784063510171,9784063510188,9784063510195,9784063510201
38	standard	講談社プラチナコミックス	qid:Q618883|name:将太の寿司	除外レーベル	9784063748673,9784063748857,9784063749052,9784063749250,9784063749496,9784063856477,9784063856491,9784063856606,9784063856637,9784063856767,9784063856798,9784063856989,9784063857054,9784063857221,9784063857283,9784063857535,9784063857597,9784065102749,9784065103340,9784065105016
38	standard	講談社プラチナコミックス	qid:Q966701|name:金田一少年の事件簿	除外レーベル	9784063749182,9784063749380,9784063750638,9784063750812,9784063750973,9784063776829,9784063777161,9784063777345,9784063777536,9784063777550,9784063777796,9784063777932,9784063778144,9784063778328,9784063778533,9784063778700,9784063778915,9784063779097,9784063779226,9784063779400
37	standard	KPC	qid:Q1056339|name:行け!稲中卓球部	除外レーベル	9784063530179,9784063530186,9784063530223,9784063530230,9784063530247,9784063530254,9784063530322,9784063530339,9784063530377,9784063530384,9784063530452,9784063717990,9784063718126,9784063718232,9784063718355,9784063718430,9784063718560,9784063718645,9784063718751,9784063718829
37	standard	My first big special	qid:Q11503682|name:静かなるドン	除外レーベル	9784091181237,9784091181541,9784091181770,9784091182029,9784091182296,9784091182586,9784091182951,9784091183194,9784091183439,9784091183699,9784091183934,9784091184221,9784091184399,9784091184603,9784091184825,9784091184993,9784091185228,9784091185426,9784091185686,9784091185914
