decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	4	MID	9784063113402	1988-04-16	天才バカボン(4)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	3	9784063113396	5	9784063113488	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	6	MID	9784063113495	1988-05-17	天才バカボン(6)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	7	MID	9784063113587	1988-06-17	天才バカボン(7)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	8	MID	9784063113594	1988-06-17	天才バカボン(8)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	9	MID	9784063113679	1988-07-16	天才バカボン(9)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	10	MID	9784063113686	1988-07-16	天才バカボン(10)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	11	MID	9784063113754	1988-08-17	天才バカボン(11)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	12	MID	9784063113761	1988-08-17	天才バカボン(12)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	13	MID	9784063113853	1988-09-17	天才バカボン(13)	赤塚不二夫	講談社	講談社	o	o	o	o	o	o	o	o	5	9784063113488	14	9784063113860	版元o+ISBN連番o+日付o(既存候補1件も有)	rakuten-local	
APPLY	ACCEPT	toki-no-gyouja	時の行者	canon:extra[5]	6	shinsoban	SPコミックス	SPコミックス	3	MID	9784845808946	1993-05-21	時の行者(3)	横山光輝	リイド社	リイド社	o	o	o	o	o	o	o	o	1	9784845808922	4	9784845808953	版元o+ISBN連番o+日付o(既存候補2件も有)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	2	MID	9784063131253	1990-02-17	プラモ狂四郎(2)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	1	9784063131246	4	9784063131277	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	3	MID	9784063131260	1990-03-17	プラモ狂四郎(3)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	1	9784063131246	4	9784063131277	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	5	MID	9784063131284	1990-05-17	プラモ狂四郎(5)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	4	9784063131277	6	9784063131291	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
HOLD	REVIEW_TOKEN	senmonogatari	千物語	seed4	0	standard	通常版		1	LEAD	9784871830799	1987-12-01	千物語	よしだけい	オーク出版サービス	桜桃書房	o	o	o	x	x	x		o			7	9784871831864	楽天題に巻番号が無い=単巻本か1巻か判別不能	rakuten-local	
HOLD	REVIEW	tensai-bakabon	天才バカボン	canon:volumes	0	standard	通常版	講談社コミックス	19	MID	9784061093188	1975-08	天才バカボン(19)	赤塚不二夫	講談社	講談社	?	?	x	o	o	o		x	18		20		同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
DROP	ACCEPT	tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	seed4	0	standard	通常版	少年サンデーコミックス	1	LEAD	9784091206480	2006-09-15	TV ANIMATION MAJOR[キャラクターズハンドブック]HEROES 1	満田 拓也	小学館	小学館	o	o	o	o	o	o		o			2	9784091214744	頁自体が掲載対象外(キャラクターブック/ガイド類)= 巻を足す前に頁のdropを判断する	rakuten-local	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0912/09120648.jpg
