layer	stem	title	ei	etype	label	number	kind	isbn	date	rak_title	rak_author	rak_publisher	other_slug	other_title	in_db	route	layer_note
A_種2のみ(本番未描画)	bastard	BASTARD!!	1	aizoban	愛蔵版	1	ELEAD	9784087030013	1993-03	BASTARD!!	萩原一至/岸間信明	集英社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	1	ELEAD	9784253178174	2007-11	ドカベン スーパースターズ編(1)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	2	ELEAD	9784253178181	2008-02	ドカベン スーパースターズ編(2)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	3	ELEAD	9784253178198	2008-05	ドカベン スーパースターズ編(3)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	4	ELEAD	9784253178204	2008-08	ドカベン スーパースターズ編(4)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	5	ELEAD	9784253178211	2008-10	ドカベン スーパースターズ編(5)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	6	ELEAD	9784253178228	2009-01	ドカベン スーパースターズ編(6)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	7	ELEAD	9784253178235	2009-04	ドカベン スーパースターズ編(7)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	8	ELEAD	9784253178242	2009-07	ドカベン スーパースターズ編(8)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	1	bunkobon	文庫版	9	ELEAD	9784253178259	2009-10	ドカベン スーパースターズ編(9)	水島新司	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
