slug	title	authors	canonical済	worst	page_shape	cluster_shape
love-pack	ラブパック	大和和紀		24年 bunkobon 1巻(2002-12)→3巻(1978-05-25)	standard[通常版]/講談社コミックスフレンド 3冊 1974-02-10〜1974-03-10 ; bunkobon[文庫版]/講談社漫画文庫 3冊 1978-05-25〜2002-12 ; deluxe[デラックス版]/KCデラックス 3冊 1997-06-13〜1997-06-13	sid38787/ed46587 deluxe[KCデラックス] 3冊 1997-06-13〜1997-06-13 ISBN3 || sid38787/ed46588 standard[KCスペシャル] 2冊 1985-06-06〜1985-07-06 ISBN2 || sid38787/ed46589 bunkobon[講談社漫画文庫] 5冊 1978-03-31〜2002-12 ISBN2 || sid38787/ed46590 standard[講談社コミックスフレンド] 3冊 1974-02〜1974-03 ISBN3
maboroshi-tantei	まぼろし探偵	桑田二郎		20年 standard 2巻(1991-01-28)→4巻(1971-08-01)	standard[通常版]/ヒット・コミックス 10冊 1971-08-01〜1992-01-31	sid19866/ed23378 standard[-] 20冊 1991-01-28〜2005 ISBN7 || sid19866/ed23379 standard[ヒット・コミックス] 8冊 1970-12-15〜1972-05-01 ISBN0 || sid19866/ed23380 standard[ヒット・コミック] 1冊 1971-09-15〜1971-09-15 ISBN0 || sid19866/ed23381 standard[サンコミックス] 4冊 1976-03〜1976-05 ISBN0
majuu-sensen	魔獣戦線	石川賢・石川賢とダイナミックプロ・ダイナミックプロ		20年 standard 1巻(1997-07)→4巻(1977-02-25)	standard[通常版]/パワァコミックス 4冊 1977-02-25〜1997-07 ; deluxe[デラックス版]/アクションコミックスデラックス 2冊 1986-09-28〜1986-10-27 ; bunkobon[文庫版]/双葉文庫名作シリーズ 2冊 2002-11-25〜2002-11-25	sid48144/ed59252 bunkobon[双葉文庫名作シリーズ] 2冊 2002-11〜2002-11 ISBN2 || sid48144/ed59253 standard[パワァコミックス] 3冊 1976-06-10〜1977-01-10 ISBN0 || sid119592/ed136283 deluxe[アクションコミックスデラックス] 1冊 1986-09-28〜1986-09-28 ISBN0 || sid119592/ed136284 standard[100てんランドコミックス] 1冊 1981-12〜1981-12 ISBN0 || sid166062/ed184278 standard[ACTION COMICS] 3冊 1997-07〜1997-07 ISBN3 || sid166062/ed184279 standard[パワァコミックス] 1冊 1977-02-25〜1977-02-25 ISBN0 || sid166063/ed184280 deluxe[アクションコミックスデラックス] 1冊 1986-10-27〜1986-10-27 ISBN1
makai-tenshou	魔界転生	とみ新蔵		21年 standard 2巻(2020-12)→3巻(1999-07)	standard[通常版]/ヤマト・コミックス・スペシャル 3冊 1999-06〜2020-12 ; bunkobon[文庫版]/講談社漫画文庫 2冊 2003-04〜2003-04	sid4619/ed5477 standard[SP comics] 2冊 2020-12〜2020-12 ISBN2 || sid4619/ed5478 bunkobon[リイド文庫] 2冊 2003-04〜2003-04 ISBN2 || sid4619/ed5479 standard[SPコミックス] 2冊 1999-06〜1999-07 ISBN2 || sid4619/ed5480 standard[SP pocket wide] 2冊 2016-03〜2016-03 ISBN2 || sid48145/ed59254 standard[KPC] 1冊 2005-09〜2005-09 ISBN1 || sid48145/ed59255 bunkobon[講談社漫画文庫] 1冊 1998-11〜1998-11 ISBN1 || sid119672/ed136367 standard[ASUKA COMICS DX] 2冊 1997-05-01〜1997-06 ISBN2 || sid119672/ed136368 standard[ヤマト・コミックス・スペシャル] 2冊 1987-02〜1987-03 ISBN2 || sid119672/ed136369 standard[あすかコミックスDX] 1冊 2003-08〜2003-08 ISBN1 || sid119672/ed136370 standard[-] 1冊 1996-07-27〜1996-07-27 ISBN1 || sid166139/ed184359 standard[講談社プラチナコミックス] 1冊 2013-12〜2013-12 ISBN1
makaitensei	魔界転生	石川賢・九後奈緒子		21年 standard 2巻(2020-12)→3巻(1999-07)	standard[通常版]/ヤマト・コミックス・スペシャル 3冊 1999-06〜2020-12 ; bunkobon[文庫版]/講談社漫画文庫 2冊 2003-04〜2003-04	sid4619/ed5477 standard[SP comics] 2冊 2020-12〜2020-12 ISBN2 || sid4619/ed5478 bunkobon[リイド文庫] 2冊 2003-04〜2003-04 ISBN2 || sid4619/ed5479 standard[SPコミックス] 2冊 1999-06〜1999-07 ISBN2 || sid4619/ed5480 standard[SP pocket wide] 2冊 2016-03〜2016-03 ISBN2 || sid48145/ed59254 standard[KPC] 1冊 2005-09〜2005-09 ISBN1 || sid48145/ed59255 bunkobon[講談社漫画文庫] 1冊 1998-11〜1998-11 ISBN1 || sid119672/ed136367 standard[ASUKA COMICS DX] 2冊 1997-05-01〜1997-06 ISBN2 || sid119672/ed136368 standard[ヤマト・コミックス・スペシャル] 2冊 1987-02〜1987-03 ISBN2 || sid119672/ed136369 standard[あすかコミックスDX] 1冊 2003-08〜2003-08 ISBN1 || sid119672/ed136370 standard[-] 1冊 1996-07-27〜1996-07-27 ISBN1 || sid166139/ed184359 standard[講談社プラチナコミックス] 1冊 2013-12〜2013-12 ISBN1
mama-no-baiorin	ママのバイオリン	ちばてつや		28年 standard 1巻(1997-04-23)→4巻(1969-08-30)	standard[通常版]/虫コミックス 4冊 1969-08-30〜1997-06-24 ; bunkobon[文庫版]/ちばてつや漫画文庫 4冊 1978-03〜1978-06	sid37107/ed44237 standard[虫コミックス] 4冊 1969-05-30〜1969-08-30 ISBN0 || sid37107/ed44238 bunkobon[ちばてつや漫画文庫] 4冊 1978-03〜1978-06 ISBN0 || sid37107/ed44239 standard[ちばてつや全集] 3冊 1997-04-23〜1997-06-24 ISBN3 || sid37107/ed44240 standard[ホーム・コミックス] 1冊 1977-01〜1977-01 ISBN0 || sid37107/ed44241 standard[母と娘でみる漫画名作館] 3冊 1989-04〜1989-04 ISBN1
mandaraya-no-ryouta	まんだら屋の良太	畑中純		24年 standard 1巻(2004-01)→2巻(1980-02-25)	standard[通常版]/マンサンコミックス 53冊 1980-02-25〜2004-01 ; bunkobon[文庫版]/徳間コミック文庫 8冊 1996-01-31〜1997-01-30	sid23526/ed27646 standard[Goma books] 1冊 2018-07〜2018-07 ISBN1 || sid23526/ed27647 bunkobon[徳間コミック文庫] 8冊 1996-01〜1997-01 ISBN8 || sid23526/ed27648 standard[マンサンコミックス] 53冊 1979-12-06〜1989-11 ISBN0 || sid23526/ed27649 standard[マンサンQコミックス] 1冊 2004-01〜2004-01 ISBN1
meitantei-kageman	名たんていカゲマン	山根あおおに		26年 standard 1巻(2004-11)→4巻(1978-06)	standard[通常版]/てんとう虫コミックス 11冊 1978-06〜2004-11	sid15248/ed17854 standard[てんとう虫コミックス] 15冊 1976-10〜1981-11 ISBN0 || sid15248/ed17855 standard[ぴっかぴかコミックス] 3冊 2005-02-05〜2005-04-05 ISBN3 || sid15248/ed17856 standard[てんとう虫コミックスライブラリー] 3冊 2004-11〜2004-11 ISBN3
ninja-bugeichou-kagemaruden	忍者武芸帳〈影丸伝〉	白土三平		21年 bunkobon 2巻(1997-06)→5巻(1976-04-20)	standard[通常版]/ゴールデン・コミックス 12冊 1966-08-10〜1967-01-10 ; bunkobon[文庫版]/小学館文庫 17冊 1976-04-20〜1997-10-10	sid31694/ed37283 standard[ゴールデン・コミックス] 12冊 1966-08-10〜1967-01-10 ISBN0 || sid31694/ed37284 bunkobon[小学館文庫] 3冊 1997-08-10〜1997-10-10 ISBN3 || sid31695/ed37285 bunkobon[小学館文庫] 17冊 1976-04-20〜1976-12-20 ISBN6 || sid31696/ed37286 bunkobon[小学館文庫] 5冊 1997-06〜1997-09 ISBN5
ninpou-hiwa	忍法秘話	白土三平・赤目プロ		28年 standard 1巻(1992-05-10)→6巻(1964-03)	standard[通常版]/- 22冊 1964-03〜1992-09-10 ; bunkobon[文庫版]/小学館文庫 6冊 1996-06-10〜1996-10-10	sid31689/ed37263 standard[-] 22冊 1963-09〜1965-09 ISBN0 || sid31689/ed37264 bunkobon[小学館文庫] 3冊 1996-08-10〜1996-10-10 ISBN3 || sid31689/ed37265 standard[ゴールデン・コミックス] 9冊 1968-04-30〜1969-01-10 ISBN0 || sid31689/ed37266 standard[小学館叢書] 5冊 1992-05-10〜1992-09-10 ISBN5 || sid153642/ed171536 bunkobon[小学館文庫] 3冊 1996-06-10〜1996-08-10 ISBN3
