imprint	label	type	slug	title	巻数	書影数	書影	初刊	最終
クイーンズセレクション	通常版	standard	hatsukoi-dogs	初恋dogs	2	2	2/2	2025-09-27	2025-11-01
ジャンプ コミックス セレクション	ジャンプ コミックス セレクション	shinsoban	dooberumandeka	ドーベルマン刑事	15	0	0/15	1987-06	1988-10
ジャンプ コミックス セレクション	ジャンプ コミックス セレクション	shinsoban	hole-in-one	ホールインワン	8	8	8/8	1990-07-19	1991-02-19
ジャンプ コミックス セレクション	ジャンプ コミックス セレクション	shinsoban	kick-off	キックオフ	7	0	0/7	1991-03-19	1991-09
ジャンプ コミックス セレクション	ジャンプ コミックス セレクション	shinsoban	toudai-itchokusen	東大一直線	1	0	0/1	1990-07-24	1990-07-24
ジャンプC・セレクション(1989)	ジャンプC・セレクション(1989)	shinsoban	black-angels	ブラック・エンジェルズ	12	0	0/12	1989-10-19	1990-09-19
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	1-2-no-ahho	1・2のアッホ!!	6	0	0/6	1986-03	1986-08
ジャンプコミックスセレクション	ジャンプコミックスセレクション	standard	asatarou-den	朝太郎伝	7	7	7/7	1987-10	1988-04-24
ジャンプコミックスセレクション	ジャンプコミックスセレクション(1986)	shinsoban	astro-kyuudan	アストロ球団	9	9	9/9	1986-03-24	1987-01-24
ジャンプコミックスセレクション	通常版	standard	bugiugi-arigeetaa	ぶぎ・うぎアリゲーター	1	0	0/1	1990-04-16	1990-04-16
ジャンプコミックスセレクション	ジャンプコミックスセレクション(ホーム社)	shinsoban	captain	キャプテン	15	0	0/15	1986-03-24	1987-05-24
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	dogusare-kyuudan	どぐされ球団	5	0	0/5	1988-05	1988-12
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	kouya-no-shounen-isamu	荒野の少年イサム	7	0	0/7	1987-03-24	1987-09-24
ジャンプコミックスセレクション	通常版	standard	otoko-hanada-hidejirou	男花田秀治郎	2	2	2/2	1994-08-19	1994-09-19
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	ricky-typhoon	リッキー台風	5	0	0/5	1991-10-18	1992-02-19
ジャンプコミックスセレクション	通常版	standard	sesame-street	せさみ☆すとりーと	4	4	4/4	1997-02-19	1997-05-19
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	susume-pirates	すすめ!!パイレーツ	6	0	0/6	1986-09	1987-02
ジャンプコミックスセレクション	通常版	standard	tanpenshuu	短編集	2	2	2/2	1995-05-24	1995-06-24
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	tennis-boy	テニスボーイ	9	0	0/9	1989-10-19	1990-06-19
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	toilet-hakase	トイレット博士	2	2	2/2	1996-12-17	1997-01-22
ジャンプコミックスセレクション	ジャンプコミックスセレクション	shinsoban	violence-tokkyuu	バイオレンス特急	3	0	0/3	1989-07-19	1989-09-19
ジャンプコミックセレクション	ジャンプコミックセレクション	shinsoban	dooberumandeka	ドーベルマン刑事	1	0	0/1	1987-10	1987-10
ジャンプ・コミックスセレクション	ジャンプ・コミックスセレクション	shinsoban	boku-no-doubutsuen-nikki	ぼくの動物園日記	5	0	0/5	1989-04-19	1989-08-24
ジャンプ・コミックス・セレクション	ジャンプ・コミックス・セレクション	shinsoban	gattsu-ranpei	ガッツ乱平	11	0	0/11	1994-08-19	1995-06-19
スクパラセレクション	通常版	standard	panda-kaa-chan-no-damedame-diet	パンダ母ちゃんのダメダメダイエット	1	1	1/1	2010-04	2010-04
デザートベストセレクション	通常版	standard	omoikkiri-kandousuru-dokusha-taiken-shuki	思いっきり感動する読者体験手記	1	1	1/1	2000-08-08	2000-08-08
デュオセレクション	通常版	standard	aoi-yoru-aoi-sakebi	蒼い夜 青い叫び	1	1	1/1	1986-03-31	1986-03-31
デュオセレクション	通常版	standard	hokori-takaki-senjou	誇り高き戦場	1	0	0/1	1984-09	1984-09
デュオセレクション	通常版	standard	rome-de-yoru-datta	ローマで夜だった	1	1	1/1	1985-03-30	1985-03-30
デュオセレクション	通常版	standard	suna-no-kyojin	砂の巨人	1	0	0/1	1984-10-30	1984-10-30
デュオ・セレクション	通常版	standard	biikyuu-paradise	B級パラダイス!	1	1	1/1	1985-04-20	1985-04-20
デュオ・セレクション	通常版	standard	good-bye	GOOD BYE	1	0	0/1	1985-05	1985-05
デュオ・セレクション	通常版	standard	suponsaa-kara-hitokoto	依頼人から一言	1	1	1/1	1984-08	1984-08
