verdict	slug	title	wiki_article	本番巻	wiki対	採用巻	SAME	ADOPT_MONTH	ADOPT_DAY	ADOPT_GAIN	BLOCK_PROD	BLOCK_SPLIT	NOT_IN_WIKI	ALREADY_OVERRIDDEN
APPLY	zekureatoru-kami-manga-senki	ゼクレアトル 神マンガ戦記	ゼクレアトル〜神マンガ戦記〜	4	4	1	3	0	0	1	0	0	0	0
APPLY	zenryoku-usagi	全力ウサギ	全力ウサギ	4	6	1	3	0	0	1	0	0	0	0
APPLY	zerosen	ゼロセン	ゼロセン (漫画)	8	8	1	7	0	0	1	0	0	0	0
APPLY	zettai-kakusei-tenshi-misutoresu-fortune	絶対覚醒天使ミストレス☆フォーチュン	絶対覚醒天使ミストレス☆フォーチュン	1	1	1	0	0	1	0	0	0	0	0
APPLY	zipang-shinsou-kairyuu	ジパング深蒼海流	ジパング 深蒼海流	23	23	1	22	0	0	1	0	0	0	0
APPLY	zombie-heroine-to-akuninzura-no-hage	ゾンビヒロインと悪人面のハゲ	ゾンビヒロインと悪人面のハゲ	3	3	1	2	1	0	0	0	0	0	0
APPLY	zombie-men	ZOMBIE MEN	ZOMBIEMEN	1	1	1	0	0	0	1	0	0	0	0
APPLY	zutto-saki-no-hanashi	ずっと先の話	ずっと先の話	1	1	1	0	0	0	1	0	0	0	0
SKIP_PAGE	oishinbo	美味しんぼ	美味しんぼ	187	242	151	35	151	0	0	0	0	1	0
SKIP_PAGE	haguregumo	浮浪雲	浮浪雲	120	114	112	0	112	0	0	0	0	8	0
SKIP_PAGE	shizukanaru-don	静かなるドン	静かなるドン	162	202	108	38	106	1	1	16	0	0	0
SKIP_PAGE	abu-san	あぶさん	あぶさん	107	108	104	1	104	0	0	0	2	0	0
SKIP_PAGE	onihei-hankachou	鬼平犯科帳	鬼平犯科帳	270	328	90	140	0	0	90	14	0	0	26
SKIP_PAGE	edomae-no-shun-ginzayanagisushisandaime	江戸前の旬	江戸前の旬	133	159	86	44	55	5	26	1	0	2	0
SKIP_PAGE	kaze-no-daichi	風の大地	風の大地	97	84	83	1	83	0	0	0	0	13	0
SKIP_PAGE	mogura-no-uta	土竜の唄	土竜の唄	95	105	83	11	78	5	0	0	1	0	0
SKIP_PAGE	soumubu-soumuka-yamaguchi-roppeeta	総務部総務課山口六平太	総務部総務課山口六平太	81	81	77	2	77	0	0	0	2	0	0
SKIP_PAGE	major	MAJOR	MAJOR	78	91	76	1	62	14	0	0	0	1	0
SKIP_PAGE	inochi-no-utsuwa	いのちの器	いのちの器	139	139	72	35	55	9	8	32	0	0	0
SKIP_PAGE	tasogare-ryuuseigun	黄昏流星群	黄昏流星群	93	78	71	6	71	0	0	0	1	15	0
SKIP_PAGE	futari-etchi	ふたりエッチ	ふたりエッチ	95	102	67	15	31	0	36	3	10	0	0
SKIP_PAGE	meshibanakeijitachibana	めしばな刑事タチバナ	めしばな刑事タチバナ	60	64	57	2	51	0	6	0	1	0	0
SKIP_PAGE	zipang	ジパング	ジパング (漫画)	65	65	55	5	0	0	55	0	5	0	0
SKIP_PAGE	inuyasha	犬夜叉	犬夜叉	56	87	53	0	45	8	0	0	3	0	0
