file	slug	rakuten_kana	reason
chousenteki-heiwaron	chousenteki-heiwaron	チョウセンテキ ヘイワ ロン	ALIGN_FAIL
choushokukai	choushokukai	チョウショクカイ　イチ	ALIGN_FAIL
chousokuhenkei-jairozettaa	chousokuhenkei-jairozettaa	チヨウソク ヘンケイ ジヤイロゼツター	ALIGN_FAIL
chromnoid	chromnoid	クロムノイド コンゴウ イデンシ	ALIGN_FAIL
chronograffiti	chronograffiti	クロノ グラフィティ	ALIGN_FAIL
chuunibyou-kyoushikyoku	chuunibyou-kyoushikyoku	チュウニビョウ キョウシキョク ハート オブ ダークネス	ALIGN_FAIL
cicacicaboom	cicacicaboom	チカ チカ ブーン	ALIGN_FAIL
clockwork	clockwork	クロック ワーク	ALIGN_FAIL
countdown	countdown	カウント ダウン	ALIGN_FAIL
crossline	crossline	クロスライン イチカン	ALIGN_FAIL
daijuusan-hokenshitsu	daijuusan-hokenshitsu	ダイ ジュウサン ホケンシツ	ALIGN_FAIL
daishinyuu	daishinyuu	ダイシンユウ　イチ	ALIGN_FAIL
daiyojouhan-daimonogatari	daiyojouhan-daimonogatari	ダイヨジョウハン ダイ モノガタリ	ALIGN_FAIL
dandelion	dandelion	ダンデ ライオン	ALIGN_FAIL
danjonmeshi	danjonmeshi	ダンジョンメシ　イッカン	ALIGN_FAIL
ddnangels	ddnangels	ディーエヌエンジェルス　イチ	ALIGN_FAIL
dekinbooi	dekinbooi	デキン ボーイ カンゼンバン	ALIGN_FAIL
dhanrepooto	dhanrepooto	ディーハン レポート	ALIGN_FAIL
dogfighter	dogfighter	ドッグ ファイタ-	ALIGN_FAIL
dokidoki-locomotion	dokidoki-locomotion	トウホウ テツワン コマチ ドキドキ ロコモーション	ALIGN_FAIL
dollhouse	dollhouse	エイガコミカライズ　ドールハウス	ALIGN_FAIL
doteppara	doteppara	ドテッパラ タカハシノボル タンペンシュウ	ALIGN_FAIL
dreamscape	dreamscape	ドリーム スケープ	ALIGN_FAIL
drsuranpu	drsuranpu	ドクター スランプ	ALIGN_FAIL
eikyuuho-kouyuuroku	eikyuuho-kouyuuroku	ナガクボ コウユウロク リユウキユウ ユタ ハル	ALIGN_FAIL
eisenfaust	eisenfaust	アイゼン ファウスト テンポウ ニンジャデン	ALIGN_FAIL
enperaazu-sangokushi	enperaazu-sangokushi	エンペラーズ　サンゴクシ　イチ	ALIGN_FAIL
extrastrous	extrastrous	エキストラストラ　ダイ1カン	ALIGN_FAIL
finrandia	finrandia	フィンランディア サンタ ヨウセイ ガッコウ	ALIGN_FAIL
flashback	flashback	フラッシュ バック	ALIGN_FAIL
foolproof	foolproof	フールプルーフ　イチ	ALIGN_FAIL
fugurumakan-raihouki	fugurumakan-raihouki	ヒャッケイ フグルマカン ライホウキ	ALIGN_FAIL
fukushuuki	fukushuuki	フクシュウキ カンゼンバン プラス カゲマル ジョウヤ タンペンシュウ	ALIGN_FAIL
fushidara	fushidara	フシダラ ツマガフリンヲスルリユウ イチ	ALIGN_FAIL
futsugyou	futsugyou	フツギョウ ダンソウマジュツシトキンノキシ	ALIGN_FAIL
fuuaayuuchuunenjoojiakiyamamonogatari	fuuaayuuchuunenjoojiakiyamamonogatari	フー アー ユー	ALIGN_FAIL
fuufumeshi	fuufumeshi	フウフメシ　イチ	ALIGN_FAIL
fuyuzakura	fuyuzakura	ヒオウ シラビョウシ ガイデン フユ ザクラ	ALIGN_FAIL
gekitourobotto-hero	gekitourobotto-hero	ゲキトウ ロボット ヒーロー	ALIGN_FAIL
gekkoushou	gekkoushou	ゲッコウショウ　ジョウ	ALIGN_FAIL
gelateria-supernova	gelateria-supernova	ジェラテリア スーパー ノヴァ	ALIGN_FAIL
genjuujiten	genjuujiten	ゲンジュウ ジテン	ALIGN_FAIL
geobreeders	geobreeders	ジオ ブリーダーズ	ALIGN_FAIL
getsutekiaijin	getsutekiaijin	ルナティック ラヴァーズ	ALIGN_FAIL
ginban-kaleidoscope	ginban-kaleidoscope	ギンバン カレイド スコープ	ALIGN_FAIL
girlfriend	girlfriend	ガール フレンド	ALIGN_FAIL
goaisatsu	goaisatsu	タジマレットウタンペンシュウ ゴアイサツ	ALIGN_FAIL
gokudougari	gokudougari	ゴクドウガリ ホウ デ サバケヌ オトコタチヘン	ALIGN_FAIL
gokudoukishu	gokudoukishu	ゴクドウ キシュ	ALIGN_FAIL
gokurakugo	gokurakugo	ゴクラクゴ リュウテイ キタン イザナイバナシ	ALIGN_FAIL
gokushinka	gokushinka	ゴクシンカ　イチ	ALIGN_FAIL
gokuyuuki	gokuyuuki	ゴクユウキ 〜サトリノデスロード〜 テンゲ	ALIGN_FAIL
googootoraemon	googootoraemon	ゴー ゴー トラエモン	ALIGN_FAIL
gundriver	gundriver	ガン ドライバー	ALIGN_FAIL
guresanpo	guresanpo	グレサンポ ビワコトカインドトカ	ALIGN_FAIL
