file	slug	rakuten_kana	reason
rokkuboukenki	rokkuboukenki	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
rokufukujin	rokufukujin	ロクフクジン ヒエダ レイジロウ ノ フィールド ノート ヨリ ヨウカイ ハンター	ALIGN_FAIL
romijurishiki	romijurishiki	ロミジュリシキ レツアイ コレクション	ALIGN_FAIL
ronrinesu	ronrinesu	チキュウタンサホウコク ロンリネス　ジョウ	ALIGN_FAIL
roomshare	roomshare	ルームシェア ヤジュウホストトフタリグラシ	ALIGN_FAIL
rosutowaarudo	rosutowaarudo	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
ruutosoromon	ruutosoromon	ルー ト ソロモン	ALIGN_FAIL
ryouseika	ryouseika	リョウセイカ　マジワルウンメイノバン	ALIGN_FAIL
ryuusamurai	ryuusamurai	リュウザムライ イチ	ALIGN_FAIL
ryuuseikachou	ryuuseikachou	リュウセイ カチョウ	ALIGN_FAIL
saijaku-ruuzudoggusu	saijaku-ruuzudoggusu	サイジャク ルーズ ドッグス	ALIGN_FAIL
sanguriaru	sanguriaru	サングリアル オウ エノ ラシンバン	ALIGN_FAIL
satsuidokutaa-ranmaru	satsuidokutaa-ranmaru	サツイ ドクター ランマル	ALIGN_FAIL
sayonara-haidoranjia	sayonara-haidoranjia	サヨナラ ハイドランジア ジョウ	ALIGN_FAIL
scorebook	scorebook	スコア ブック	ALIGN_FAIL
seishun-protagonist	seishun-protagonist	セイシュンプロタゴニスト ボクタチハレンアイカジョウ イチ	ALIGN_FAIL
seishunbinta	seishunbinta	セイシュン ビンタ	ALIGN_FAIL
sekkahiden	sekkahiden	セッカヒデン 〜ランテイコウキュウシマツキ〜　1	ALIGN_FAIL
sennenoukoku	sennenoukoku	アクマクン フッカツ センネン オウコク	ALIGN_FAIL
sennomesensei	sennomesensei	セン ノ メ センセイ	ALIGN_FAIL
sensei-tometekudasai	sensei-tometekudasai	センセイ トメテ クダサイ	ALIGN_FAIL
sensoumeshi	sensoumeshi	センソウ メシ	ALIGN_FAIL
serapuchi	serapuchi	セラプチ オワリ ノ セラフ ヨンコマヘン	ALIGN_FAIL
sevengunners	sevengunners	セブン ガナーズ	ALIGN_FAIL
shadowrun	shadowrun	シャドウ ラン	ALIGN_FAIL
shajouwarashi	shajouwarashi	シャジョウ ワラシ	ALIGN_FAIL
sharakuna	sharakuna	シャラクナ〜カイキシンレイケンブンロク〜　ダイイチカン	ALIGN_FAIL
sheerlore	sheerlore	タグチササヤイッ ハルカワミサキレンサクシュウ シアロア	ALIGN_FAIL
shigatsukaidan	shigatsukaidan	オオシマ ユミコ センシュウ	ALIGN_FAIL
shikabana	shikabana	シカバナ ハナ シタイ コト	ALIGN_FAIL
shikabanchouruizufu	shikabanchouruizufu	シカバン チョウルイ ズフ	ALIGN_FAIL
shikarijouzuna-kare	shikarijouzuna-kare	シカリ ジョウズナ カレ	ALIGN_FAIL
shikatsushi	shikatsushi	シカツシ ジョオウ ノ ホウイガク	ALIGN_FAIL
shikeishuu	shikeishuu	シケイシュウ　イジョウハンザイシャノマツロ　イチ	ALIGN_FAIL
shikyuuji	shikyuuji	シキュウジ コウコウキュウジニアスハナイ1	ALIGN_FAIL
shimainou	shimainou	シマイノウ　1 ヨロボシ　デイガン	ALIGN_FAIL
shinjukuhime	shinjukuhime	シンジュク ヒメ	ALIGN_FAIL
shinogigoroshi	shinogigoroshi	シノギ ゴロシ ヤミカギョウ シオキニン	ALIGN_FAIL
shinpen-shouwaruneko	shinpen-shouwaruneko	シンペン ショウワル ネコ	ALIGN_FAIL
shinshuu-kouketsujou	shinshuu-kouketsujou	マンガ シンシュウ コウケツジョウ	ALIGN_FAIL
shinsounoizu	shinsounoizu	シンソウ ノイズ	ALIGN_FAIL
shiranui-monogatari	shiranui-monogatari	シラヌイ モノガタリ ハカタ ヨウイキ	ALIGN_FAIL
shirobako	shirobako	シロバコ カミノヤマコウコウアニメーションドウコウカイ1	ALIGN_FAIL
shishosei	shishosei	シショセイ　カンイチ	ALIGN_FAIL
shishuuoroshi	shishuuoroshi	サイトウ タカオ ジダイ ゲキガ センシュウ シシュウ オロシ	ALIGN_FAIL
shitenrin	shitenrin	サクラノミネネ ガシユウ シテンリン	ALIGN_FAIL
shoufumarii	shoufumarii	ショウフ マリー	ALIGN_FAIL
shoukinkubi	shoukinkubi	ショウキンクビ イチ	ALIGN_FAIL
shounenjiimen	shounenjiimen	ショウネン ジーメン	ALIGN_FAIL
shuningayuku	shuningayuku	シュニン ガ ユク	ALIGN_FAIL
shuuenchi	shuuenchi	シュウエンチ ジョウ	ALIGN_FAIL
siegfried	siegfried	ニーベルング ノ ユビワ	ALIGN_FAIL
sokubakuai	sokubakuai	ソクバクアイ カレシ オ ヒキコモラセル ヒャク ノ ホウホウ	ALIGN_FAIL
sorofesshonaru	sorofesshonaru	ソロフェッショナル ソロカツダンシトボッチジョシノコウボウセン1	ALIGN_FAIL
souboutei-kowasubeshi	souboutei-kowasubeshi	ウシオ ト トラ	ALIGN_FAIL
spotlight	spotlight	スポット ライト	ALIGN_FAIL
sprichworterbuch	sprichwoerterbuch	シュプリヒヴェルター ブーフ	ALIGN_FAIL
sssspecial	sssspecial	エス エス エス スペシヤル	ALIGN_FAIL
sukarukiraa-jiyatsukiou	sukarukiraa-jiyatsukiou	スカル キラー ジャキオウ	ALIGN_FAIL
sumairingu	sumairingu	スマイリング ハレヤカナ ロード	ALIGN_FAIL
sumairufomii	sumairufomii	スマイル フォー ミー	ALIGN_FAIL
surooruupu	surooruupu	スローループ　イチ	ALIGN_FAIL
suspicion	suspicion	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
suteigumata	suteigumata	スティグマタ セイコン ソウサ	ALIGN_FAIL
sutochiru	sutochiru	ストチル　イチ	ALIGN_FAIL
tabemonogatari	tabemonogatari	タベモノガタリ　イチ	ALIGN_FAIL
takarazuka	takarazuka	タカラヅカ ユメノジカンキコウ	ALIGN_FAIL
takedakedake	takedakedake	タケダケ ダケ タケダケイ ゲンテイ	ALIGN_FAIL
tanpenshuu	tanpenshuu	モウチャン ワ ツヨカッタ	ALIGN_FAIL
tanteigeemu	tanteigeemu	タンテイ ゲーム	ALIGN_FAIL
tasogareryuuseigunmasutaapiisu-aiseikou	tasogareryuuseigunmasutaapiisu-aiseikou	タソガレ リュウセイグン マスターピース エイアイ セイコウ	ALIGN_FAIL
tatsujinden	tatsujinden	タツジンデン キュウマンリ オ カゼ ニ ノリ	ALIGN_FAIL
tedaremonra	tedaremonra	テダレモンラ イチ	ALIGN_FAIL
tekkanomakihei	tekkanomakihei	テッカ ノ マキヘイ	ALIGN_FAIL
tenjounoniji	tenjounoniji	テンジョウ ノ ニジ	ALIGN_FAIL
tenmatenpei	tenmatenpei	テンマ テンペイ	ALIGN_FAIL
tensousha	tensousha	テンソウシャ ミナガワリョウジタンペンシュウ	ALIGN_FAIL
tenyoritakaku	tenyoritakaku	テン ヨリ タカク	COLLISION:ten-yori-takaku
teppentsu	teppentsu	テッペンッ　イチ	ALIGN_FAIL
tesukatoripoka	tesukatoripoka	テスカトリポカ イチ	ALIGN_FAIL
tokimekiarisu	tokimekiarisu	テイホン トキメキ アリス	ALIGN_FAIL
tonkaradani-monogatari	tonkaradani-monogatari	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
toosenbou	toosenbou	トオセンボウ イチ	ALIGN_FAIL
toratsugumi	toratsugumi	トラツグミ ツグミプロジェクト1	ALIGN_FAIL
torawarekon	torawarekon	トラワレコン　ウソカラハジマルデキアイセイカツ	ALIGN_FAIL
toukaidou-hisamekagerou	toukaidou-hisamekagerou	トウカイドウ ヒサメ カゲロウ	ALIGN_FAIL
toukyoumaku	toukyoumaku	トウキョウ マク	ALIGN_FAIL
toukyouzman	toukyouzman	トウキョウ ゼットマン カンゼンバン	ALIGN_FAIL
trickster	trickster	トリック スタ-	ALIGN_FAIL
tsukimaru	tsukimaru	ワイルド ムーン	ALIGN_FAIL
tsumitobatsu	tsumitobatsu	ツミ ト バツ	COLLISION:tsumi-to-batsu
tsutsujimori	tsutsujimori	ツツジモリ イヒンセイリシマツロク1	ALIGN_FAIL
uchuueesu	uchuueesu	ウチュウ エース	ALIGN_FAIL
uchuujinmahha	uchuujinmahha	ウチュウジン マッハ カンゼンバン	ALIGN_FAIL
uhauchuusennou	uhauchuusennou	ハギオ モト サクヒンシュウ	ALIGN_FAIL
ultrabaroque-deprogrammer	ultrabaroque-deprogrammer	ウルトラ バロック デプログラマー	ALIGN_FAIL
ultramixkorekushon	ultramixkorekushon	ウルトラミックス コレクション	ALIGN_FAIL
utatanehime	utatanehime	ウタタネヒメ ビームコミックス	ALIGN_FAIL
utauheiankyou	utauheiankyou	ウタウ ヘイアンキョウ	ALIGN_FAIL
uzumakiboruto	uzumakiboruto	ボルトサイキョウ ダッシュ ジェネレーションズ	ALIGN_FAIL
vaajinnakankei	vaajinnakankei	ヴァージンナ カンケイ	ALIGN_FAIL
venechiafuukin	venechiafuukin	ヴェネチア フウキン	ALIGN_FAIL
wagatomo-frankenstein	wagatomo-frankenstein	ワガ トモ フランケンシュタイン	ALIGN_FAIL
waihaasashioya	waihaasashioya	ワイ ワ アサシオ ヤ	ALIGN_FAIL
wanpakukisha	wanpakukisha	ワンパク キシャ	ALIGN_FAIL
warabechouchin	warabechouchin	ワラベ チョウチン	ALIGN_FAIL
warattegoran	warattegoran	ガタロウ センセイ アリガトウ	ALIGN_FAIL
washuuya-midarechou	washuuya-midarechou	コウショク イチダイ オトコ イブン ワシュウヤ ミダレチョウ	ALIGN_FAIL
watashihabara	watashihabara	ワタシハバラ　1 タカグチサトスミケッサクシュウ	ALIGN_FAIL
watashinomura	watashinomura	ワタクシ ノ ムラ	ALIGN_FAIL
yamitsuki	yamitsuki	ヤミツキ イノリノシンレイニッキジョウ	ALIGN_FAIL
yasemashou	yasemashou	ヤセマショウ ヨンジュッサイマンガカガハントシデジュウゴキロマジダイエットシタキロク	ALIGN_FAIL
yokakushi	yokakushi	ガシュウ ヒャッキ ヤコウショウ	ALIGN_FAIL
yomigaerutetsuwan-atom	yomigaerutetsuwan-atom	ヨミガエル テツワン アトム	ALIGN_FAIL
yomotsuhegui-shishanokuninokajitsu	yomotsuhegui	ヨモツヘグイ シシャノクニノカジツ1	ALIGN_FAIL
yonkomabin	yonkomabin	マンキツ マンタマ ニッキ ヨンコマビン	ALIGN_FAIL
youkaihantaa	youkaihantaa	ヨウカイハンター チノマキ	ALIGN_FAIL
yugetatsuran	yugetatsuran	ユゲタツラン イチ	ALIGN_FAIL
yukinohana	yukinohana	ユキ ノ ハナ	COLLISION:yuki-no-hana
yukiwarisou	yukiwarisou	オオヤ チキ サクヒンシユウ	ALIGN_FAIL
yumeguritsu	yumeguritsu	ユメグリッ　イチ	ALIGN_FAIL
yumetagae	yumetagae	ユメタガエ カザミイツキシリーズ　14	ALIGN_FAIL
yurigokoro	yurigokoro	コミックバン ユリゴコロ ジョウ	ALIGN_FAIL
yurimoyou	yurimoyou	ユリモヨウ　サキミヤヨンシマイノコイ　1	ALIGN_FAIL
yurinatsu	yurinatsu	ユリナツ イチ ミンシュクカガヤ	ALIGN_FAIL
yuritetsu	yuritetsu	ユリテツ シリツ ユリガサキ ジョシコウ テツドウブ	ALIGN_FAIL
yuujousanmyaku	yuujousanmyaku	ユウジョウ サンミャク カンゼンバン	ALIGN_FAIL
yuureidan	yuureidan	ユウレイダン ヤマギシリョウコゼンシュウ　17	ALIGN_FAIL
yuuwakusha	yuuwakusha	ユウ ワク シャ	ALIGN_FAIL
zerosen-koushinkyoku	zerosen-koushinkyoku	ゼロセン コウシンキョク カンゼンバン	ALIGN_FAIL
zombiepowder	zombiepowder	ゾンビ パウダー	ALIGN_FAIL
zuuzuushii	zuuzuushii	ズーズー シー	ALIGN_FAIL
