tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
EXISTS	1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	5	ELEAD	9784061013865	1988-07-06	1・2の三四郎(5)	小林まこと	講談社						9784061				8	9784061726840	1980-08	講談社	5	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0610/06101386.jpg
EXISTS	1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	6	ELEAD	9784061013872	1988-08-06	1・2の三四郎(6)	小林まこと	講談社						9784061				8	9784061726840	1980-08	講談社	5	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0610/06101387.jpg
EXISTS	1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	7	ELEAD	9784061013889	1988-09-06	1・2の三四郎(7)	小林まこと	講談社						9784061				8	9784061726840	1980-08	講談社	5	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0610/06101388.jpg
EXISTS	3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	1	ELEAD	9784091330512	1988-10-26	3-Three(1)	惣領冬実	小学館						9784091				5	9784091911452	1997-02	小学館	4	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	2	ELEAD	9784091330529	1989-01-26	3-Three(2)	惣領冬実	小学館						9784091				5	9784091911452	1997-02	小学館	4	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	3	ELEAD	9784091330536	1989-04-26	3-Three(3)	惣領冬実	小学館						9784091				5	9784091911452	1997-02	小学館	4	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	4	ELEAD	9784091330543	1989-07-26	3-Three(4)	惣領冬実	小学館						9784091				5	9784091911452	1997-02	小学館	4	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	aitora	#アイトラ	seed4	1	deluxe	デラックス版	講談社コミックスデラックス. 月刊少年マガジン	1	ELEAD	9784065346846	2024-03-15	#アイトラ(1)	ねこうめ	講談社						9784065				2	9784065369432	2024-10-17	講談社	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6846/9784065346846_1_2.jpg
EXISTS	alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	1	ELEAD	9784253073882	1987-02	妖精国の騎士(第1巻)	中山星香	秋田書店						9784253				6	9784253176316	2002-04-10	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3882/9784253073882.jpg
EXISTS	alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	2	ELEAD	9784253073899	1987-06	妖精国の騎士(第2巻)	中山星香	秋田書店						9784253				6	9784253176316	2002-04-10	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3899/9784253073899.jpg
EXISTS	alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	3	ELEAD	9784253073905	1987-11	妖精国の騎士(第3巻)	中山星香	秋田書店						9784253				6	9784253176316	2002-04-10	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3905/9784253073905.jpg
EXISTS	alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	4	ELEAD	9784253073912	1988-04	妖精国の騎士(第4巻)	中山星香	秋田書店						9784253				6	9784253176316	2002-04-10	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3912/9784253073912.jpg
EXISTS	alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	5	ELEAD	9784253073929	1988-09	妖精国の騎士(第5巻)	中山星香	秋田書店						9784253				6	9784253176316	2002-04-10	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3929/9784253073929.jpg
EXISTS	bacchus	バッコス	canon:volumes	0	standard	通常版	ビッグコミックス	1	ELEAD	9784091702128	1991-01-01	バッコス	白土三平	小学館						9784091				2		1979-01-01	小学館	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	bastard	BASTARD!!	seed4	1	aizoban	愛蔵版	Young jump愛蔵版	1	ELEAD	9784087030013	1993-03	BASTARD!!	萩原一至/岸間信明	集英社						9784087				2	9784087826708	2003-05	集英社	5	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0013/9784087030013.jpg
EXISTS	blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	1	ELEAD	9784091330307	2010-01-26	BLUE(1)	千葉 コズエ	小学館						9784091				6	9784091338488	2011-06-29	小学館	16	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09133030.jpg
EXISTS	blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	2	ELEAD	9784091332240	2010-04-26	BLUE(2)	千葉 コズエ	小学館						9784091				6	9784091338488	2011-06-29	小学館	4	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2240/9784091332240.jpg
EXISTS	blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	3	ELEAD	9784091333445	2010-08-26	BLUE(3)	千葉 コズエ	小学館						9784091				6	9784091338488	2011-06-29	小学館	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3445/9784091333445.jpg
EXISTS	blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	4	ELEAD	9784091335241	2010-11-26	BLUE(4)	千葉 コズエ	小学館						9784091				6	9784091338488	2011-06-29	小学館	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5241/9784091335241.jpg
EXISTS	blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	5	ELEAD	9784091336835	2011-02-25	BLUE(5)	千葉 コズエ	小学館						9784091				6	9784091338488	2011-06-29	小学館	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6835/9784091336835.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	1	ELEAD	9784253178174	2007-11	ドカベン スーパースターズ編(1)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317817.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	2	ELEAD	9784253178181	2008-02	ドカベン スーパースターズ編(2)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317818.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	3	ELEAD	9784253178198	2008-05	ドカベン スーパースターズ編(3)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317819.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	4	ELEAD	9784253178204	2008-08	ドカベン スーパースターズ編(4)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317820.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	5	ELEAD	9784253178211	2008-10	ドカベン スーパースターズ編(5)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8211/9784253178211.jpg
