title	kana	authors	vols	lacking
いいことから始めよう : スヌーピーと仲間たちからの生きるヒント	イイコトカラハジメヨウ:スヌーピートナカマタチカラノイキルヒント	エイブラハム・J・ツワルスキー/チャールズ・M・シュルツ コミック	[1]	v1書影無(楽天)
異人茶跡 : 茶路綿延	イジンチャアト:チャロワタノベ	張李雅作	[5]	巻不連続[5];v1書影無(楽天)
OTOMO THE COMPLETE WORKS.	オオトモザコンプリートワークス	大友克洋	[2, 3, 4, 8, 21, 22, 23]	巻不連続[2, 3, 4, 8, 21, 22, 23];v1書影無(楽天)
男は知らないディープな話 : マンガよもんがセレクション : ローソン限定版	オトコワシラナイディープナハナシ:マンガヨモンガセレクション:ローソンゲンテイバ		[1]	著者無;v1書影無(楽天)
On blue : boys love anthology for ultimate entertainment.	オンブルー:boysloveanthologyforultimateentert		[56]	巻不連続[56];著者無;v1書影無(楽天)
心霊&サイコ戦慄の恐怖体験	シンレイ&amp;サイコセンリツノキョウフタイケン		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 62 (のんびり・ラーメン編)	オモイデショクドウ		[62]	巻不連続[62];著者無;v1書影無(楽天)
俺流!絶品めし.	オレリュウ!ゼッピンメシ		[28, 29, 30, 31, 32, 33, 34]	巻不連続[28, 29, 30, 31, 32, 33, 34];著者無;v1書影無(楽天)
くっ殺ヒロインズ. SP9	クッコロヒロインズ		[9]	巻不連続[9];著者無;v1書影無(楽天)
コミック艶.	コミックエン		[19, 20, 21, 22, 23, 24]	巻不連続[19, 20, 21, 22, 23, 24];著者無;v1書影無(楽天)
ごはん日和.	ゴハンビヨリ		[33, 34, 35, 36, 37, 38]	巻不連続[33, 34, 35, 36, 37, 38];著者無;v1書影無(楽天)
冴えてる一言 : 水木しげるマンガの深淵をのぞくと「生きること」がラクになる	サエテルヒトコト:ミズキシゲルマンガノシンエンオノゾクトイキルコトガラクニナル	久坂部羊	[1]	v1書影無(楽天)
少女漫画家「家」の履歴書	ショウジョマンガカイエノリレキショ	週刊文春	[1]	v1書影無(楽天)
新考察鬼滅の刃大正鬼殺伝奇考	シンコウサツキメツノヤイバタイショウキサツデンキコウ	金谷俊一郎	[1]	v1書影無(楽天)
『呪術廻戦0』"純"愛考察本 : 歪んだ呪いの解き方	ジュジュツカイセンゼロジュンアイコウサツボン:ユガンダノロイノトキカタ		[1]	著者無;v1書影無(楽天)
新しい教養としてのポップカルチャー : マンガ、アニメ、ゲーム講義	アタラシイキョウヨウトシテノポップカルチャー:マンガアニメゲームコウギ	内藤理恵子	[1]	v1書影無(楽天)
うまく描けるスターターキットつき誰でもまんが家になれちゃうBOOK	ウマクカケルスターターキットツキダレデモマンガカニナレチャウブック		[1]	著者無;v1書影無(楽天)
カフェ・シナモンへようこそ! : シナモロール4コマまんが	カフェシナモンエヨウコソ:シナモロールヨンコママンガ		[1]	著者無;題不一致(NDL/楽天):シナモロール4コマまんが カ
鬼滅の妖異学 : 人と鬼のあいだにあるもの	キメツノヨウイガク:ヒトトオニノアイダニアルモノ	諏訪淳一郎	[1]	v1書影無(楽天)
殺し愛 = Love of Kill : Art Collection All	コロシアイ	Fe	[1]	v1書影無(楽天)
アウトドアごはん. No.	アウトドアゴハン		[8, 9, 10, 11]	巻不連続[8, 9, 10, 11];著者無;v1書影無(楽天)
思い出食堂. No. 63 (学食のカツカレー♪編)	オモイデショクドウ		[63]	巻不連続[63];著者無;v1書影無(楽天)
コジコジのすべて : COJI COJI fan book	コジコジノスベテ:COJICOJIfanbook	Sakura Momoko	[1]	v1書影無(楽天)
こんなS彼に抱かせたいBL : We ♥ サディスティック攻	コンナエスカレニダカセタイビーエル:ウィ♥サディスティックゼメ		[1]	著者無;v1書影無(楽天)
死ぬかと思った危ない話 : 本当にあった笑える話	シヌカトオモッタアブナイハナシ:ホントウニアッタワラエルハナシ		[1]	著者無;v1書影無(楽天)
あなたが体験した怖い話 : 前世と今世 : 因果は巡る	アナタガタイケンシタコワイハナシ:ゼンセトコンセ:インガワメグル		[1]	著者無;v1書影無(楽天)
熟れおじ×オメガバースBL : 平均年齢45歳、理性を失くして喘ぎまくる	ウレオジオメガバースビーエル:ヘイキンネンレイヨンジュウゴサイリセイオナクシテア		[1]	著者無
エロマンガベスト100+ = THE 100 BEST ERO-MANGAS	エロマンガベストヒャクプラス	新野安, 氷上絢一 編著/永山薫 [ほか]	[1]	v1書影無(楽天)
キャラとモノの基本スケール図鑑 : マンガ・イラスト・アニメ制作の場面設定に役立つ!	キャラトモノノキホンスケールズカン:マンガイラストアニメセイサクノバメンセッテイ	ユニバーサル・パブリシング 編著	[1]	題不一致(NDL/楽天):増補新版 キャラとモノの基本
くっ殺ヒロインズ. SP10	クッコロヒロインズ		[10]	巻不連続[10];著者無;v1書影無(楽天)
触手部屋 : 正義のヒロイン肉獄陵辱でメス堕ちアクメ	ショクシュベヤ:セイギノヒロインニクゴクリョウジョクデメスオチアクメ		[1]	著者無;v1書影無(楽天)
伊藤理佐 : 総特集 : おんなの人生、濃縮還元。	イトウリサ:ソウトクシュウ:オンナノジンセイノウシュクカンゲン		[1]	著者無;題不一致(NDL/楽天):総特集 伊藤理佐
思い出食堂 : 別館. 2022特別編	オモイデショクドウ:ベッカン		[2022]	巻不連続[2022];著者無;v1書影無(楽天)
思い出食堂. No. 64 (ひき肉入りオムレツ♨編)	オモイデショクドウ		[64]	巻不連続[64];著者無;v1書影無(楽天)
合本マンガが好きで好きで好きでたまらない	ガッポンマンガガスキデスキデスキデタマラナイ		[1]	著者無;v1書影無(楽天)
今日もわたしをひとり占め : テレ東の漫画家真船佳奈の	キョウモワタシオヒトリジメ:テレトウノマンガカマフネカナノ	真船佳奈	[1]	v1書影無(楽天)
ゲゲゲの娘日記	ゲゲゲノムスメニッキ	水木悦子 [著]	[1]	v1書影無(楽天)
「少年マガジン」編集部で伝説のマンガ最強の教科書 : 感情を揺さぶる表現は、こう描け!	ショウネンマガジンヘンシュウブデデンセツノマンガサイキョウノキョウカショ:カンジ	石井徹	[1]	v1書影無(楽天)
うつには祖母がよく効きます	ウツニワソボガヨクキキマス	こうのみさと	[1]	v1書影無(楽天)
怪奇!真夏の恐怖体験 : 本当にあった笑える話	カイキ!マナツノキョウフタイケン:ホントウニアッタワラエルハナシ		[1]	著者無;v1書影無(楽天)
喫茶店懐かしいナポリタン : 思い出食堂特別編集	キッサテンナツカシイナポリタン:オモイデショクドウトクベツヘンシュウ		[1]	著者無;v1書影無(楽天)
「週刊少年マガジン」はどのようにマンガの歴史を築き上げてきたのか? : 1959-2009	シュウカンショウネンマガジンワドノヨウニマンガノレキシオキズキアゲテキタノカ:セ	伊藤和弘	[1]	v1書影無(楽天)
思い出食堂Bランチ : 特別編集. 大盛りカツ丼編	オモイデショクドウBランチ:トクベツヘンシュウ		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 65 (そうめんと夏休み編)	オモイデショクドウ		[65]	巻不連続[65];著者無;v1書影無(楽天)
貸本屋とマンガの棚	カシホンヤトマンガノタナ	高野慎三	[1]	v1書影無(楽天)
鬼滅の社会学 : 家族愛・武士道から〈侠の精神〉の復権まで	キメツノシャカイガク:カゾクアイブシドウカラキョウノセイシンノフッケンマデ	井上芳保	[1]	v1書影無(楽天)
くっ殺ヒロインズ. SP11	クッコロヒロインズ		[11]	巻不連続[11];著者無;v1書影無(楽天)
コミケplus.	コミケプラス		[17, 18]	巻不連続[17, 18];著者無;v1書影無(楽天)
あなたが体験した怖い話 : 真夏の最凶心霊譚	アナタガタイケンシタコワイハナシ:マナツノサイキョウシンレイタン		[1]	著者無;v1書影無(楽天)
カラーコミックコレクション : 別冊コミックアンリアル.	カラーコミックコレクション:ベッサツコミックアンリアル		[9]	巻不連続[9];著者無;v1書影無(楽天)
キン肉マン技	キンニクマンワザ	ゆでたまご/学研図鑑編集室 編集・制作	[1]	題不一致(NDL/楽天):キン肉マン「技」初回限定ケー
金色のガッシュ!!と雷句誠原画展 : official visual book	コンジキノガッシュ!!トライクマコトゲンガテン:officialvisualbo	雷句誠	[1]	題不一致(NDL/楽天):金色のガッシュ!!と雷句誠原
思い出食堂. No. 66 (お好み焼き編)	オモイデショクドウ		[66]	巻不連続[66];著者無;v1書影無(楽天)
桜木花道に学ぶ"超"非常識な生き方48	サクラギハナミチニマナブチョウヒジョウシキナイキカタヨンジュウハチ	遠越段	[1]	v1書影無(楽天)
悪魔の食べ物 : スタミナラーメン、激カラムーチョ、ドーナツ : 真夜中のガーリックライス	アクマノタベモノ:スタミナラーメン、ゲキカラムーチョ、ドーナツ:マヨナカノガーリ		[1]	著者無;v1書影無(楽天)
おつまみと季節の料理 : 和庵のひと肴 : 鶏鍋、舞茸の天ぷら、餃子	オツマミトキセツノリョウリ:ワアンノヒトサカナ:トリナベ、マイタケノテンプラ、ギ		[1]	著者無;題不一致(NDL/楽天):おつまみと季節の料理 和庵の
くっ殺ヒロインズ. SP12	クッコロヒロインズ		[12]	巻不連続[12];著者無;v1書影無(楽天)
CHRONICLE of DREAMS : いままでの全部	クロニクルオブドリームス:イママデノゼンブ	宮崎夏次系	[1]	題不一致(NDL/楽天):宮崎夏次系 CHRONICL
癒された!懐かしの猫マンガ : 完全保存版 : 伝説の猫24作品が大集結! : 1960~2000's	イヤサレタナツカシノネコマンガ:カンゼンホゾンバン:デンセツノネコニジュウヨンサ		[1]	著者無;v1書影無(楽天)
淫紋悪堕ち : 快楽によって正義を裏切る美少女たち	インモンアクオチ:カイラクニヨッテセイギオウラギルビショウジョタチ		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 67 (人生最後のグラタン編)	オモイデショクドウ		[67]	巻不連続[67];著者無;v1書影無(楽天)
このマンガがすごい!	コノマンガガスゴイ	『このマンガがすごい!』編集部	[2023]	巻不連続[2023];v1書影無(楽天)
コミックマーケットへようこそ : 準備するから準備会	コミックマーケットエヨウコソ:ジュンビスルカラジュンビカイ	おーちようこ/コミックマーケット準備会	[1]	v1書影無(楽天)
あなたが体験した怖い話 : 守護霊vs. 邪悪霊	アナタガタイケンシタコワイハナシ:シュゴレイvs.ジャアクレイ		[1]	著者無;v1書影無(楽天)
ANIME & MANGA Digital COLORING Guide : Choose the Colors That Bring Your Drawings to Life!	アニメアンドマンガデジタルカラーリングガイド:チューズザカラーズザットブリングユ	Teruko Sakurai [著]	[1]	v1書影無(楽天)
カラッポの主人公 : 名作マンガ再々読	カラッポノシュジンコウ:メイサクマンガサイサイドク	上田啓太	[1]	v1書影無(楽天)
危機の時代に読み解く『風の谷のナウシカ』	キキノジダイニヨミトクカゼノタニノナウシカ	朝日新聞社/赤坂憲雄, 杏, 稲葉振一郎, 大木毅, 大澤真幸, 大童澄瞳, 叶精二, 川上弘美, 小泉悠, 河野真太郎, 佐藤雄亮, 杉本バウエンスジェシカ, 鈴木涼美, 鈴木敏夫, 竹宮惠子, 長沼毅, 福岡伸一, 宮崎哲弥	[1]	v1書影無(楽天)
銀河鉄道の夜 : new version四次稿編	ギンガテツドウノヨル:newversionヨジコウヘン	宮沢賢治原作 ; ますむらひろし作画 ; 増村昭子彩色	[3, 4]	巻不連続[3, 4];v1書影無(楽天)
ゴーストワールド	ゴーストワールド	ダニエル・クロウズ著 ; 山田祐史, Presspop Lab日本語翻訳 ; 峯岸康隆編集	[1]	v1書影無(楽天)
The Long Journey's Diary|A COMIC|	ザロングジャーニーズダイアリーアコミック	浅田弘幸	[1]	v1書影無(楽天)
週刊文春エンタ+特集80年代!少年マンガの熱狂	シュウカンブンシュンエンタプラストクシュウハチジュウネンダイショウネンマンガノネ		[1]	著者無;v1書影無(楽天)
