sid	series_key	title	kana	n_isbn	isbn1
104445	name:SHOOWA|name:月影	月影	ゲツエイ	1	9784812485736
104450	name:恋煩シビト|name:月影楼で逢いましょう|sub:遊郭オメガバース	月影楼で逢いましょう	ツキカゲロウ デ アイマショウ	1	9784815500672
104455	name:九条Aoi|name:月曜日のマリア	月曜日のマリア	ゲツヨウビ ノ マリア	1	9784537130522
104457	name:河井英杞|name:月曜日の約束	月曜日の約束	ゲツヨウビ ノ ヤクソク	1	9784835217840
104461	name:思い当たる|name:月極はっぴぃあぱーとめんと	月極はっぴぃあぱーとめんと	ツキギメ ハッピィ アパートメント	1	9784073075080
104467	name:藤田丈士|name:月華の剣士	月華の剣士	ゲッカ ノ ケンシ	1	9784881994726
104477	name:篠原正美|name:月食夜合戦	月食夜合戦	ゲッショクヤガッセン	1	9784883174089
104478	name:春泥|name:月食奇譚	月食奇譚	ゲッショク キタン	1	9784863496408
104481	name:藤峰式|name:有休オメガ	有休オメガ	ユウキュウ オメガ	1	9784865895520
104483	name:木下ネリ|name:有原さんの秘密の事情	有原さんの秘密の事情	アリハラサン ノ ヒミツ ノ ジジョウ	1	9784796410342
104486	name:橋本健午|name:有害図書と青少年問題	有害図書と青少年問題	ユウガイ トショ ト セイショウネン モンダイ	1	9784750316475
104487	name:詩野うら|name:有害無罪玩具	有害無罪玩具	ユウガイ ムザイ ガング	1	9784047355316
104488	name:RIN。|name:有川教授は溺愛が過ぎるようです。	有川教授は溺愛が過ぎるようです。	アリカワ キョウジュ ワ デキアイ ガ スギル 	1	9784821135646
104489	name:さり|name:有未さんと卯月くん	有未さんと卯月くん	アリスエ サン ト ウズキ クン	1	9784815500139
104490	name:有田景|name:有田景商店街	有田景商店街	アリタ ケイ ショウテンガイ	1	9784821183098
104493	name:奥田益也|name:有藤道世	有藤道世	アリトウ ミチヨ	1	9784324026304
