sid	series_key	title	kana	n_isbn	isbn1
2	qid:Q1001784|name:うえきの法則プラス	うえきの法則プラス	ウエキ ノ ホウソク プラス	5	9784091270375
57	qid:Q1010233|name:銀河戦国群雄伝ライ 異聞	銀河戦国群雄伝ライ 異聞	ギンガ センゴク グンユウデン ライ	1	9784840225625
78	qid:Q1015799|name:DEAR BOYS ACT2	DEAR BOYS ACT2	ディア ボーイズ アクト ツー	6	9784063708899
81	qid:Q1015799|name:DEAR BOYS ACTⅢ	DEAR BOYS ACTⅢ	ディア ボーイズ アクト スリー	6	9784063712018
82	qid:Q1015799|name:DEAR BOYS ILLUSTRATIONS	DEAR BOYS ILLUSTRATIONS	ディア ボーイズ イラストレーションズ	2	9784063301281
86	qid:Q1015799|name:Dear boys the early days	Dear boys the early days	ディア ボーイズ ジ アーリー デイズ	1	9784063335866
89	qid:Q1015799|name:G-taste mini	G-taste mini	ジィ テイスト ミニ	1	9784063351163
107	qid:Q1016880|name:ショーグン	ショーグン	ショーグン	7	9784063056761
110	qid:Q1016880|name:ドーベルマン刑事スペシャル	ドーベルマン刑事スペシャル	ドーベルマン ケイジ スペシャル	13	9784537159028
153	qid:Q102248386|name:やさしいあなた…	やさしいあなた…	ヤサシイ アナタ …	1	9784863495722
157	qid:Q1036246|name:JIN 仁	JIN 仁	Jin	3	9784088592961
158	qid:Q1036246|name:JIN　仁	JIN　仁	ジン	6	9784086191593
164	qid:Q1036246|name:クライマー列伝	クライマー列伝	クライマー レツデン	1	9784903955063
233	qid:Q1040261|name:紅茶王子の姫君	紅茶王子の姫君	コウチャ オウジ ノ ヒメギミ	1	9784592188469
241	qid:Q1040463|name:トリコ外伝	トリコ外伝	トリコ ガイデン	1	9784088747637
285	qid:Q104538840|name:ピアニシモでささやいて第二楽章	ピアニシモでささやいて第二楽章	ピアニシモ デ ササヤイテ ダイニ ガクショウ	9	9784063191868
311	qid:Q1048873|name:AZUMI	AZUMI	アズミ	17	9784091838292
340	qid:Q1049521|name:赤ちゃんと僕トリビュート	赤ちゃんと僕トリビュート	アカチャン ト ボク トリビュート	1	9784592198079
352	qid:Q1049526|name:ナムジ 大國主	ナムジ 大國主	ナムジ オオクニヌシ	4	9784041203743
366	qid:Q1049526|name:機動戦士ガンダムUC(ユニコーン)episode EX(エクストラ)2獅子の帰還	機動戦士ガンダムUC(ユニコーン)episode EX(エクストラ)2獅子の帰還	キドウ センシ ガンダム ユニコーン エピソード	1	9784041097229
414	qid:Q1049596|name:海月姫外伝BARAKURA	海月姫外伝BARAKURA	クラゲヒメ ガイデン バラクラ	1	9784063377613
415	qid:Q1049596|name:海月姫映画化スペシャル	海月姫映画化スペシャル	クラゲヒメ エイガカ スペシャル	1	9784063856224
443	qid:Q1050794|name:ばら色の真珠|sub:わたなべまさこ名作集	ばら色の真珠	バライロ ノ シンジュ	1	9784834280913
604	qid:Q10534429|name:ブラフマンover boost	ブラフマンover boost	ブラフマン over boost	2	9784861767845
619	qid:Q1056339|name:『行け!稲中卓球部』20周年メモリアルBOX「おめでたい。」	『行け!稲中卓球部』20周年メモリアルBOX「おめでたい。」	イケ イナチュウ タッキュウブ 20シュウネン 	1	9784063584905
622	qid:Q1056339|name:グリーンヒル05	グリーンヒル05	グリーンヒル 05	2	9784063716436
629	qid:Q1056339|name:僕といっしょ05	僕といっしょ05	ボク ト イッショ 05	5	9784063715606
656	qid:Q105711506|name:もぐささんは食欲と闘う	もぐささんは食欲と闘う	モグサ サン ワ ショクヨク ト タタカウ	5	9784088904962
668	qid:Q1057739|name:ファイブスター物語リブート	ファイブスター物語リブート	ファイブ スター ストーリーズ リブート	7	9784041200438
709	qid:Q1062844|name:江口寿史	江口寿史	エグチ ヒサシ	1	9784575287233
724	qid:Q106308250|name:ハコヅメ～交番女子の逆襲～別章アンボックス	ハコヅメ～交番女子の逆襲～別章アンボックス	ハコズメ コウバン ジョシ ノ ギャクシュウ ベ	1	9784065237809
725	qid:Q1063594|name:School Rumble STAY WITH ME,PLEASE	School Rumble STAY WITH ME,PLEASE	スクール ランブル ステイ ウィズ ミー プリー	1	9784063750522
726	qid:Q1063594|name:School Rumble Z	School Rumble Z	スクール ランブル ゼット	1	9784063841558
764	qid:Q106478449|name:悪の秘密結社ネコ	悪の秘密結社ネコ	アク ノ ヒミツ ケッシャ ネコ	4	9784781624990
783	qid:Q106479058|name:Fellows!（Q）	Fellows!（Q）	フェローズ キュー	1	9784047276284
823	qid:Q1065383|name:こどもの体温/彼は花園で夢を見る	こどもの体温/彼は花園で夢を見る	カレ ワ ハナゾノ デ ユメ オ ミル	1	9784592888376
831	qid:Q1065383|name:彼は花園で夢を見る	彼は花園で夢を見る	カレ ワ ハナゾノ デ ユメ オ ミル	1	9784403615580
852	qid:Q106994523|name:漫画･うんちく書店	漫画･うんちく書店	マンガ ウンチク ショテン	1	9784840152952
911	qid:Q107554737|name:コミック格闘王	コミック格闘王	コミック カクトウ オウ	1	9784797610017
913	qid:Q107554737|name:スパイハンドラー 怜とミレイ	スパイハンドラー 怜とミレイ	スパイ ハンドラー レイ ト ミレイ	1	9784063716283
915	qid:Q107554737|name:真犯人は!?名探偵が解き明かす!驚愕!暗殺事件の謎	真犯人は!?名探偵が解き明かす!驚愕!暗殺事件の謎	シンハンニン ワ !? メイタンテイ ガ トキア	1	9784801951105
993	qid:Q108110337|name:Pure Love Seasons2	Pure Love Seasons2	ピュア ラブ シーズン ツー	2	9784091358592
1031	qid:Q108415280|name:天使のたまごin東京	天使のたまごin東京	テンシ ノ タマゴ in トウキョウ	1	9784051518639
1109	qid:Q10855535|name:乱歩の美食 (グルメ) スペシャル	乱歩の美食 (グルメ) スペシャル	ランポ ノ グルメ スペシャル	1	9784537163940
1144	qid:Q10856127|name:生きる2010	生きる2010	イキル 2010	1	9784883793112
1164	qid:Q10875442|name:えとせとら	えとせとら	エトセトラ	9	9784063337532
1190	qid:Q108776381|name:そういえば＆といえば	そういえば＆といえば	ソウイエバ アンド ト イエバ	1	9784253130677
1254	qid:Q108776608|name:アイドル伝説えり子	アイドル伝説えり子	アイドル デンセツ エリコ	1	9784091044150
1360	qid:Q10884012|name:ユダヤ人大富豪の教え スイス篇	ユダヤ人大富豪の教え スイス篇	ユダヤジン ダイフゴウ ノ オシエ	2	9784479793106
1385	qid:Q10885113|name:マンガ歌舞伎入門	マンガ歌舞伎入門		1	9784062565684
1400	qid:Q10898950|name:36℃のキセキ	36℃のキセキ	36ド ノ キセキ	1	9784048539524
1423	qid:Q10911276|name:ひみつのきんいろモザイク	ひみつのきんいろモザイク	ヒミツ ノ キンイロ モザイク	1	9784832243446
1727	qid:Q11049344|name:トランスフォーマー ギャラクシーフォース	トランスフォーマー ギャラクシーフォース	トランスフォーマー ギャラクシー フォース	1	9784063320305
1729	qid:Q11049344|name:ロックマンX2	ロックマンX2	ロックマン エックス ツー	2	9784063217704
1731	qid:Q11049344|name:ロックマンX4	ロックマンX4	ロックマン X 4	2	9784063218435
1764	qid:Q11072255|name:そんな声だしちゃイヤ!スペシャル	そんな声だしちゃイヤ!スペシャル	ソンナ コエ ダシチャ イヤ	1	9784091301475
1771	qid:Q11072255|name:ガ・マ・ンできない・スペシャル	ガ・マ・ンできない・スペシャル	ガマン デキナイ スペシャル	1	9784091350756
1793	qid:Q11078068|name:メダロット コイシマル編	メダロット コイシマル編	メダロット	2	9784063932935
1796	qid:Q11078068|name:メダロット3	メダロット3	メダロット 3	2	9784063343984
1797	qid:Q11078068|name:メダロット4	メダロット4	メダロット 4	2	9784063344783
1798	qid:Q11078068|name:メダロット5	メダロット5	メダロット 5	2	9784063345841
1799	qid:Q11078068|name:メダロットG	メダロットG	メダロット G	2	9784063239836
1841	qid:Q11104431|name:夜来香 (イエライシャン)	夜来香 (イエライシャン)	イエライシャン	1	9784775514689
1883	qid:Q111112209|name:あばよ～ベイビーイッツユー～	あばよ～ベイビーイッツユー～	アバヨ ベイビー イッツ ユー	1	9784845860388
1890	qid:Q111112457|name:やっかいな初恋は…先輩と	やっかいな初恋は…先輩と	ヤッカイ ナ ハツコイ ワ センパイ ト	1	9784098703401
1977	qid:Q11133984|name:鬼灯の冷徹白い猫好好セレクション	鬼灯の冷徹白い猫好好セレクション	ホオズキ ノ レイテツ シロイ マオ ハオハオ 	1	9784063774641
1978	qid:Q11133984|name:鬼灯の冷徹紅い金魚草セレクション	鬼灯の冷徹紅い金魚草セレクション	ホオズキ ノ レイテツ アカイ キンギョソウ セ	1	9784063774382
2046	qid:Q11190769|name:Sakura	Sakura	サクラ	1	9784832244023
2106	qid:Q1121064|name:YUI SHOP MINI	YUI SHOP MINI		2	9784063349023
2168	qid:Q11225662|name:KEN ＆ JETの魔界召喚	KEN ＆ JETの魔界召喚	ケン アンド ジェット ノ マカイ ショウカン	1	9784022758088
2219	qid:Q112268538|name:はちみつグラサージュ～執事、はじめました～	はちみつグラサージュ～執事、はじめました～	ハチミツ グラサージュ シツジ ハジメマシタ	1	9784834262711
2220	qid:Q112268538|name:アオイ冬子	アオイ冬子	アオイ フユコ	2	9784904312698
2356	qid:Q11241387|name:RYU-TMRのレゲー解体劇場 昭和アーケードゲーム編	RYU-TMRのレゲー解体劇場 昭和アーケードゲーム編	リュウ ティーエムアール ノ レゲー カイタイ 	1	9784847039966
2388	qid:Q11242326|name:極!!男塾スペシャル	極!!男塾スペシャル	ゴク !! オトコジュク スペシャル	4	9784537163629
2398	qid:Q11242326|name:私立極道高校2011スペシャル	私立極道高校2011スペシャル	シリツ キワメミチ コウコウ 2011 スペシャ	2	9784537160475
2410	qid:Q11244277|name:B.M.N.ジャパン	B.M.N.ジャパン	B M N ジャパン	12	9784253210713
2412	qid:Q11244277|name:ぎゃんぐきんぐ	ぎゃんぐきんぐ	ギャング キング	1	9784785953072
2530	qid:Q11256790|name:マンガ 法律の抜け穴スペシャル	マンガ 法律の抜け穴スペシャル	マンガホウリツノヌケアナスペシャル	1	9784426289089
2553	qid:Q11256860|name:アドリブ王子くん	アドリブ王子くん		1	9784893679017
2559	qid:Q11256997|name:プリンセス・プリンシパル	プリンセス・プリンシパル	プリンセス ・ プリンシパル	1	9784199507014
2572	qid:Q11257131|name:ミントAVE.	ミントAVE.	ミント アベニュー	1	9784898291672
2669	qid:Q11258510|name:あかい他人（全）	あかい他人（全）	アカイ タニン ゼン	1	9784047264670
2699	qid:Q11258517|name:クールにいきましょう	クールにいきましょう	クール ニ イキマショウ	2	9784088560922
2770	qid:Q11259142|name:ゴルフは気持ち (メンタル)	ゴルフは気持ち (メンタル)	ゴルフ ワ メンタル	2	9784537137927
2771	qid:Q11259142|name:ゴルフは気持ちスペシャル	ゴルフは気持ちスペシャル	ゴルフ ワ キモチ スペシャル	7	9784537153309
2886	qid:Q11259883|name:圧縮(ぎゅぎゅっと)!西郷どん	圧縮(ぎゅぎゅっと)!西郷どん	ギュギュッ ト セゴ ドン	1	9784087457537
2899	qid:Q11259887|name:ゼロインZERO	ゼロインZERO	ゼロイン zero	1	9784047123922
2904	qid:Q11259887|name:ヴァンドレッドすぺしゃるすてーじ	ヴァンドレッドすぺしゃるすてーじ	ヴァンドレッド スペシャル ステージ	1	9784047122956
2967	qid:Q11260222|name:本日の猫事情plus	本日の猫事情plus	ホンジツ ノ ネコ ジジョウ plus	1	9784396782030
2969	qid:Q11260222|name:猫なんかよんでもこない。＆ねこきゅん!!	猫なんかよんでもこない。＆ねこきゅん!!	ネコ ナンカ ヨンデモ コナイ 。＆ネコキュン!	1	9784408175539
3025	qid:Q11260418|name:ファイナルファンタジー11リボン	ファイナルファンタジー11リボン	ファイナル ファンタジー 11 リボン	1	9784047267060
3060	qid:Q11261066|name:まいっちんぐマチコ先生ピンクボックス	まいっちんぐマチコ先生ピンクボックス	マイッチング マチコ センセイ ピンク ボックス	1	9784792603922
3061	qid:Q11261066|name:まいっちんぐマチコ先生未収録作品集	まいっちんぐマチコ先生未収録作品集	マイッチング マチコ センセイ	1	9784408165523
3085	qid:Q11261247|name:おおきぼん太|sub:あこや貝とオマールえび	おおきぼん太	オオキ ボンタ	1	9784862976451
3135	qid:Q11261397|name:パワー全開!!!赤ちゃんのお通～り!	パワー全開!!!赤ちゃんのお通～り!	パワー ゼンカイ アカチャン ノ オトオーリ	1	9784072149072
3157	qid:Q11261772|name:ザールブルグの錬金術士　second season	ザールブルグの錬金術士　second season	ザールブルグ ノ レンキンジュツシ	3	9784047261204
3176	qid:Q11262067|name:まるごとみい子!|sub:こっちむいて!みい子ベストセレクション	まるごとみい子!	マルゴト ミイコ	1	9784098706990
3182	qid:Q11262649|name:ばくおん!!～天野恩紗のニコイチ繁盛記～	ばくおん!!～天野恩紗のニコイチ繁盛記～	バクオン アマノ オンサ ノ ニコイチ ハンジョ	3	9784253257626
3183	qid:Q11262649|name:ばくおん!!～鈴乃木凜の野望～	ばくおん!!～鈴乃木凜の野望～	バクオン スズノキ リン ノ ヤボウ	1	9784253233774
3258	qid:Q11263734|name:親玉'S スペシャル	親玉'S スペシャル	マスターズ スペシャル	1	9784537160963
3261	qid:Q11263734|name:霧島嵐児スペシャル	霧島嵐児スペシャル	キリシマ ランジ スペシャル	1	9784537161977
3279	qid:Q11263891|name:ゼルダの伝説	ゼルダの伝説	ゼルダ ノ デンセツ	5	9784870255593
3312	qid:Q11264025|name:アイカツ!まんが＆12星座うらない	アイカツ!まんが＆12星座うらない	アイカツ マンガ アンド ジュウニ セイザ ウラ	1	9784092805040
3313	qid:Q11264025|name:アイカツ!まんが＆まんが家カツドウ!	アイカツ!まんが＆まんが家カツドウ!	アイカツ マンガ アンド マンガカ カツドウ	1	9784092805026
3314	qid:Q11264025|name:アイカツ!まんが＆クイズ	アイカツ!まんが＆クイズ	アイカツ マンガ アンド クイズ	1	9784092805095
3368	qid:Q11264195|name:へろへろくんめっちゃワールド	へろへろくんめっちゃワールド	ヘロヘロクン メッチャ ワールド	6	9784063320701
3386	qid:Q11264440|name:100％オレンジピンク	100％オレンジピンク	100パーセント オレンジ ピンク	1	9784776794271
3426	qid:Q11264488|name:この愛…とめられない!	この愛…とめられない!	コノ アイ トメラレナイ	1	9784063410426
3528	qid:Q11264875|name:屑～Female～	屑～Female～	クズ フィーメール	1	9784048925563
3529	qid:Q11264875|name:屑～Male～	屑～Male～	クズ メール	1	9784048925570
3549	qid:Q11265076|name:OH MY DOG!まっすぐにいこう。～キキの場合～	OH MY DOG!まっすぐにいこう。～キキの場合～	オー マイ ドッグ マッスグ ニ イコウ キキ 	1	9784420154239
3557	qid:Q11265076|name:パティスリーMON 完結編	パティスリーMON 完結編	パティスリー モン	1	9784088452227
3573	qid:Q11265118|name:赤灯えれじい東京物語	赤灯えれじい東京物語	セキトウ エレジイ トウキョウ モノガタリ	1	9784063617856
3588	qid:Q11265327|name:ケイリン野郎GP	ケイリン野郎GP	ケイリン ヤロウ GP	4	9784778010270
3589	qid:Q11265327|name:ケイリン野郎best selection	ケイリン野郎best selection	ケイリン ヤロウ best selection	2	9784778011123
3654	qid:Q11265507|name:あやかし恋物語(ラブファンタジア)	あやかし恋物語(ラブファンタジア)	アヤカシ ラブ ファンタジア	1	9784098700134
3805	qid:Q11266338|name:Ns'あおいthose days	Ns'あおいthose days	Ns' アオイ those days	2	9784063725681
3810	qid:Q11266338|name:銀行渉外担当竹中治夫 大阪編	銀行渉外担当竹中治夫 大阪編	ギンコウ ショウガイ タントウ タケナカ ハルオ	2	9784063933116
3894	qid:Q11267551|name:映画ドラえもんクイズ全百科	映画ドラえもんクイズ全百科	エイガ ドラエモン クイズ オール ヒャッカ	1	9784092811874
3914	qid:Q11267671|name:星のカービィ ぷぷぷスペシャルコレクション	星のカービィ ぷぷぷスペシャルコレクション	ホシ ノ カービィ プププ スペシャル コレクシ	1	9784091415141
3954	qid:Q11267908|name:遠くにありて…	遠くにありて…	トオクニアリテ	1	9784048521062
3965	qid:Q11267967|name:トゥルー・カラーズ	トゥルー・カラーズ	トゥルー カラーズ	1	9784872573312
3988	qid:Q11268005|name:これはゾンビですか?はい、メガ盛りマシマシです	これはゾンビですか?はい、メガ盛りマシマシです	コレ ワ ゾンビ デスカ ハイ メガモリ マシマ	1	9784047127197
3990	qid:Q11268005|name:サイシュー＆ロイド める!!	サイシュー＆ロイド める!!	サイシュー アンド ロイド メル	1	9784047126299
3997	qid:Q11268113|name:北の寿司姫ワイドSP	北の寿司姫ワイドSP	キタ ノ スシ ヒメ ワイド SP	1	9784537162943
4006	qid:Q11268113|name:江戸前の旬ワイドSP|sub:銀座柳寿司三代目	江戸前の旬ワイドSP	エドマエ ノ シュン ワイド SP	16	9784537163827
4141	qid:Q11269589|name:サムライダー'88	サムライダー'88	サムライダー '88	3	9784063351293
4165	qid:Q11269890|name:東京レイヴンズ 東京フォックス	東京レイヴンズ 東京フォックス	トウキョウ レイヴンズ トウキョウ フォックス	1	9784047128019
4166	qid:Q11269890|name:東京レイヴンズ-Girls Photograph-	東京レイヴンズ-Girls Photograph-	トウキョウ レイヴンズ ガールズ フォトブグラフ	1	9784040701875
4167	qid:Q11269890|name:東京レイヴンズANOTHER×holiday	東京レイヴンズANOTHER×holiday	トウキョウ レイヴンズ アナザー ホリデイ	1	9784040703428
4168	qid:Q11269890|name:東京レイヴンズRED AND WHITE	東京レイヴンズRED AND WHITE	トウキョウ レイヴンズ レッド アンド ホワイト	2	9784047129078
4176	qid:Q11270027|name:くノ一紅騎兵 青春探偵団～砂の城～	くノ一紅騎兵 青春探偵団～砂の城～	クノイチ コウキヘイ	1	9784063860436
4205	qid:Q11270364|name:コミックいわて．ログ	コミックいわて．ログ	コミックイワテログ	1	9784903602226
4253	qid:Q11270830|name:主任がゆく! よりぬき 喝	主任がゆく! よりぬき 喝	シュニン ガ ユク ヨリヌキ カツ	1	9784821174980
4254	qid:Q11270830|name:主任がゆく!よりぬきコラボセレクション	主任がゆく!よりぬきコラボセレクション	シュニン ガ ユク!ヨリヌキ コラボ セレクショ	1	9784821174676
4259	qid:Q11270830|name:有閑みわさんカラフル	有閑みわさんカラフル	ユウカン ミワサン カラフル	1	9784812483466
4342	qid:Q11270865|name:軽井沢シンドロームSPROUT	軽井沢シンドロームSPROUT	カルイザワ シンドローム sprout	7	9784253147774
4348	qid:Q11270871|name:パチンカー血風録Ⅱ	パチンカー血風録Ⅱ		1	9784893674784
4407	qid:Q11271654|name:もっふりモフ☆モフまんが＆クイズ	もっふりモフ☆モフまんが＆クイズ	モッフリ モフモフ マンガ アンド クイズ	1	9784092805033
4408	qid:Q11271654|name:モフ☆モフ	モフ☆モフ	モフ モフ	1	9784091411600
4464	qid:Q11272388|name:うしろの百太郎サイ・レポート	うしろの百太郎サイ・レポート	ウシロノヒャクタロウサイレポート	1	9784062028264
4495	qid:Q11272388|name:恐怖新聞Ⅱ	恐怖新聞Ⅱ	キョウフ シンブン ツー	6	9784253054249
4527	qid:Q11272449|name:日本の歴史 きのうのあしたは…	日本の歴史 きのうのあしたは…	ニホン ノ レキシ キノウ ノ アシタ ワ	1	9784904826294
4538	qid:Q11272649|name:桜とゆ～れい	桜とゆ～れい	サクラ ト ユーレイ	1	9784041204757
4605	qid:Q11273362|name:剣術抄 新宿もみじ池	剣術抄 新宿もみじ池	ケンジュツショウ	1	9784845847457
4619	qid:Q11273362|name:魔界転生	魔界転生	マカイ テンショウ	8	9784845823031
4668	qid:Q11273723|name:ザ・マスコミ	ザ・マスコミ	ザ マスコミ	1	9784801700567
4715	qid:Q11274171|name:蝶獣戯譚〔Ⅱ〕	蝶獣戯譚〔Ⅱ〕	チョウジュウ ギタン 2	5	9784845841936
4750	qid:Q11274553|name:世紀末☆ダーリン	世紀末☆ダーリン	セイキマツ ダーリン	4	9784882718307
4780	qid:Q11274761|name:極楽!!めちゃモテ委員長～闇への案内人～	極楽!!めちゃモテ委員長～闇への案内人～	ゴクラク メチャモテ イインチョウ ヤミ エノ 	1	9784091388094
4792	qid:Q11274881|name:Bomber girl xxx	Bomber girl xxx	ボンバー ガール トリプルエックス	1	9784785924850
4795	qid:Q11274881|name:THE MOMOTAROH PART.2	THE MOMOTAROH PART.2	ザ モモタロウ	1	9784088766317
4796	qid:Q11274881|name:THE MOMOTAROHスペシャル	THE MOMOTAROHスペシャル	ザ モモタロウ スペシャル	5	9784537157185
4797	qid:Q11274881|name:Turkey junkie	Turkey junkie	ターキー ジャンキー	1	9784776721512
4800	qid:Q11274881|name:リベロの武田	リベロの武田	リベロ ノ タケダ	2	9784776719533
4802	qid:Q11274881|name:真島、爆ぜる!!スペシャル	真島、爆ぜる!!スペシャル	マジマ バゼル スペシャル	2	9784537158656
4803	qid:Q11274881|name:真島クンすっとばす!!スペシャル	真島クンすっとばす!!スペシャル	マジマクン スットバス スペシャル	4	9784537161205
4854	qid:Q11275100|name:君がとなりにいるだけで～愛すべき動物たち～	君がとなりにいるだけで～愛すべき動物たち～	キミ ガ トナリ ニ イル ダケ デ アイスベキ	1	9784091670823
4941	qid:Q11276104|name:Girl 25	Girl 25	ガール ニジュウゴ	1	9784063793512
4962	qid:Q11276104|name:ヒゲの妊婦（43）	ヒゲの妊婦（43）	ヒゲ ノ ニンプ 43	1	9784063377194
4969	qid:Q11276104|name:女子高生チヨ（64）	女子高生チヨ（64）	ジョシコウセイ チヨ 64	1	9784063376739
4983	qid:Q11276108|name:宇宙戦艦ヤマト 新たなる旅立ち	宇宙戦艦ヤマト 新たなる旅立ち	ウチュウ センカン ヤマト アラタナル タビダチ	1	9784840112482
5186	qid:Q11277747|name:B＆D	B＆D	ビー アンド ディー	1	9784838728091
5197	qid:Q11277855|name:たわけmono	たわけmono	タワケ モノ	1	9784884756697
5204	qid:Q11277855|name:信長の理望～ん創造	信長の理望～ん創造	ノブナガ ノ リボーン ソウゾウ	1	9784845851225
5242	qid:Q11278120|name:あの日、僕らは…	あの日、僕らは…	アノ ヒ ボクラ ワ	1	9784091337788
5277	qid:Q11278175|name:魔女っ娘つくねちゃん かおす	魔女っ娘つくねちゃん かおす	マジョッコ ツクネチャン カオス	1	9784063731491
5279	qid:Q11278175|name:魔女っ娘つくねちゃんプラス	魔女っ娘つくねちゃんプラス	マジョッコ ツクネチャン +	1	9784063730203
5282	qid:Q11278381|name:あくの秘密結社	あくの秘密結社	アク ノ ヒミツ ケッシャ	1	9784041206843
5319	qid:Q11278399|name:学園ホラー＆ミステリースペシャル	学園ホラー＆ミステリースペシャル	ガクエン ホラー ＆ ミステリー スペシャル	1	9784537150872
5380	qid:Q11278712|name:フリーアルバイターケン＆ジョー	フリーアルバイターケン＆ジョー	フリー アルバイター ケン ＆ ジョー	1	9784832282391
5388	qid:Q11278744|name:アイデン＆ティティ	アイデン＆ティティ	アイデン ＆ ティティ	1	9784043434015
5390	qid:Q11278744|name:アイデン＆ティティ32	アイデン＆ティティ32	アイデン アンド ティティ 32	1	9784883791507
5477	qid:Q11278947|name:さのばびっちパワード	さのばびっちパワード	サノバビッチ パワード	3	9784063366600
5508	qid:Q11279025|name:小さな恋のものがたりチッチとサリーBEST SELECTION|sub:58年分の連載から作者が選んだ傑作集	小さな恋のものがたりチッチとサリーBEST SELECTION	チイサナ コイ ノ モノガタリ チッチ ト サリ	1	9784054067714
5509	qid:Q11279025|name:小さな恋のものがたり初恋セレクション	小さな恋のものがたり初恋セレクション	チイサナ コイ ノ モノガタリ ハツコイ セレク	3	9784054037731
5597	qid:Q11279278|name:天地無用!魎皇鬼 第2期	天地無用!魎皇鬼 第2期	テンチ ムヨウ リョウオウキ ダイ2キ	1	9784873762050
5732	qid:Q11279601|name:今日からヒットマンスペシャル	今日からヒットマンスペシャル	キョウ カラ ヒットマン スペシャル	12	9784537157956
5735	qid:Q11279601|name:今日からヒットマンワイドSP	今日からヒットマンワイドSP	キョウ カラ ヒットマン ワイド SP	9	9784537163711
5777	qid:Q11279774|name:めるへんめーかー	めるへんめーかー	メルヘン メーカー	1	9784575288230
5926	qid:Q11280180|name:ダイジョ～ブよ	ダイジョ～ブよ	ダイジョーブ ヨ	1	9784088625126
5966	qid:Q11280185|name:チャームエンジェル☆星魂	チャームエンジェル☆星魂	チャーム エンジェル スター ソウル	1	9784091316998
6005	qid:Q11280195|name:ボン蔵スペシャル	ボン蔵スペシャル	ボンクラ スペシャル	1	9784537161588
6007	qid:Q11280195|name:天上天下唯我独尊 スペシャル	天上天下唯我独尊 スペシャル	テンジョウ テンゲ ユイガ ドクソン	5	9784537157963
6011	qid:Q11280195|name:疾風迅雷スペシャル	疾風迅雷スペシャル	シップウ ジンライ スペシャル	2	9784537160536
6014	qid:Q11280195|name:親父とおかんスペシャル	親父とおかんスペシャル	オヤジ ト オカン スペシャル	1	9784537160352
6016	qid:Q11280195|name:親父スペシャル	親父スペシャル	オヤジ スペシャル	2	9784537159882
6023	qid:Q11280216|name:…のような気がする	…のような気がする	ノ ヨウナ キ ガ スル	1	9784575727227
6028	qid:Q11280216|name:アイスエイジ2	アイスエイジ2	アイス エイジ 2	3	9784088655833
6122	qid:Q11280478|name:優駿の門 G1	優駿の門 G1	ユウシュン ノ モン G1	18	9784862255389
6123	qid:Q11280478|name:優駿の門 ピエタ	優駿の門 ピエタ	ユウシュン ノ モン ピエタ	1	9784253243124
6125	qid:Q11280478|name:優駿の門G1	優駿の門G1	ユウシュン ノ モン G1	7	9784862255303
6128	qid:Q11280478|name:優駿の門ピエタ	優駿の門ピエタ	ユウシュン ノ モン ピエタ	11	9784253251143
6193	qid:Q11280549|name:神様ドォルズ-隻・詩緒-	神様ドォルズ-隻・詩緒-	カミサマ ドォルズ セキ ウタオ	1	9784091572790
6205	qid:Q11280638|name:Soul flower	Soul flower		1	9784896016574
6256	qid:Q11281107|name:ぼく、オタリーマン。DX	ぼく、オタリーマン。DX	ボク オタリーマン DX	1	9784806142744
6297	qid:Q11281122|name:うてなの結婚 6	うてなの結婚 6	ウテナ ノ ケッコン 6	1	9784086186322
6510	qid:Q11286734|name:XBLADE+CROSS	XBLADE+CROSS	クロスブレイド クロス	6	9784063763676
6606	qid:Q11294123|name:カスカベアキラARTWORKS	カスカベアキラARTWORKS	カスカベ アキラ ART WORKS	1	9784048706476
6619	qid:Q11294333|name:Baby, please kill me.	Baby, please kill me.		1	9784832241350
6657	qid:Q11294917|name:カラスヤサトシの37歳の遠足ガイド	カラスヤサトシの37歳の遠足ガイド	カラスヤ サトシ ノ 37サイ ノ エンソク ガ	1	9784253230940
6658	qid:Q11294917|name:カラスヤサトシのおしゃれ歌留多	カラスヤサトシのおしゃれ歌留多	カラスヤ サトシ ノ オシャレ カルタ	1	9784063757378
6660	qid:Q11294917|name:カラスヤサトシの初体験	カラスヤサトシの初体験	カラスヤ サトシ ノ ハツタイケン	1	9784799713587
6664	qid:Q11294917|name:カラスヤサトシの日本びっくりカレー	カラスヤサトシの日本びっくりカレー	カラスヤ サトシ ノ ニッポン ビックリ カレー	1	9784403621475
6731	qid:Q11300740|name:スケオタデイズ 飛び出せ!海外遠征編	スケオタデイズ 飛び出せ!海外遠征編	スケオタ デイズ	1	9784040686943
6797	qid:Q11301333|name:柔肌みだれ壺	柔肌みだれ壺	ヤワハダ ミダレ ツボ	1	9784434053344
6850	qid:Q11301333|name:虎落笛お妖	虎落笛お妖	モガリブエ オヨウ	1	9784867045060
6852	qid:Q11301333|name:読者告白業界別禁断（秘）不倫白書	読者告白業界別禁断（秘）不倫白書	ドクシャ コクハク ギョウカイベツ キンダン マ	1	9784776732426
7071	qid:Q11315075|name:マンガで分かる心療内科 アランの幸福論編	マンガで分かる心療内科 アランの幸福論編	マンガ デ ワカル シンリョウ ナイカ	1	9784785959975
7095	qid:Q11315637|name:幻想奇譚～ミステリ＆ファンタジー～	幻想奇譚～ミステリ＆ファンタジー～	ゲンソウ キタン ミステリ アンド ファンタジー	1	9784091670809
