kind	season	anime_title	page_slug	gensaku
A_LINKED/AL側に居る	2018-SPRING	フューチャーカード バディファイトX オールスターファイト		ブシロード 田村光久 / 小学館 漫画連載：｢月刊コロコロコミック｣田村光久 キャラクター原案：Quily メインモンスター原案：なかざき冬 ムラナコ 原作設定
A_LINKED/AL側に居る	2018-SPRING	ベイブレードバースト 超ゼツ		森多ヒロ『 ベイブレードバースト (小学館「月刊コロコロコミック」連載中) 』
A_LINKED/AL側に居る	2018-SPRING	僕のヒーローアカデミア（3期）		堀越耕平 （集英社「 週刊少年ジャンプ 」連載）
A_LINKED/AL側に居る	2018-SUMMER	銀魂.銀ノ魂篇 後半		空知英秋 連載：「 週刊少年ジャンプ 」 発行：集英社 監修：藤田陽一
A_LINKED/AL側に居る	2018-WINTER	斉木楠雄のΨ難（第2期）		麻生周一 (集英社『週刊少年ジャンプ』連載)
A_LINKED/AL側に居る	2019-FALL	僕のヒーローアカデミア（4期）		堀越耕平 （集英社「 週刊少年ジャンプ 」連載）
A_LINKED/AL側に居る	2019-SPRING	ポプテピピック TVスペシャル		大川ぶくぶ（竹書房「まんがライフWIN」） 企画・プロデュース：須藤孝太郎
A_LINKED/AL側に居る	2019-SUMMER	7SEEDS	7seeds	田村由美「 7SEEDS 」（小学館「flowersフラワーコミックスα」刊）
A_LINKED/AL側に居る	2019-WINTER	斉木楠雄のΨ難 完結編		麻生周一 (集英社『週刊少年ジャンプ』連載)
A_LINKED/AL側に居る	2020-FALL	進撃の巨人 The Final Season Part1		諫山創 （別冊少年マガジン連載／講談社）
A_LINKED/AL側に居る	2020-SPRING	ULTRAMAN	ultraman-2012	円谷プロダクション 清水栄一×下口智裕（月刊ヒーローズ連載）
A_LINKED/AL側に居る	2020-SPRING	ノー・ガンズ・ライフ 第2期	no-guns-life	カラスマタスク（集英社/ウルトラジャンプ連載）
A_LINKED/AL側に居る	2020-SPRING	無限の住人-IMMORTAL-	mugen-no-juunin	沙村広明 『 無限の住人 』（講談社「アフタヌーン」所蔵）
A_LINKED/AL側に居る	2020-SUMMER	バキ 大擂台賽編		板垣恵介 （秋田書店「週刊少年チャンピオン」連載）
A_LINKED/AL側に居る	2020-SUMMER	放課後ていぼう日誌	houkago-teibou-nisshi	小坂泰之（秋田書店「ヤングチャンピオン烈」連載）
A_LINKED/AL側に居る	2020-SUMMER	食戟のソーマ 豪ノ皿		附田祐斗・佐伯俊 協力：森崎友紀 （集英社 ジャンプコミックス刊）
A_LINKED/AL側に居る	2020-WINTER	7SEEDS	7seeds	田村由美「 7SEEDS 」（小学館「flowersフラワーコミックスα」刊）
A_LINKED/AL側に居る	2020-WINTER	ケンガンアシュラ	kengan-ashura	サンドロビッチ・ヤバ子 作画： だろめおん （小学館「マンガワン」連載中）
A_LINKED/AL側に居る	2020-WINTER	斉木楠雄のΨ難 Ψ始動編		麻生周一 (集英社『週刊少年ジャンプ』連載)
A_LINKED/AL側に居る	2021-FALL	終末のワルキューレ	shuumatsu-no-valkyrie	「 終末のワルキューレ 」[作画]アジチカ [原作]梅村真也 [構成]フクイタクミ（「月刊コミックゼノン」連載／コアミックス）
A_LINKED/AL側に居る	2021-SPRING	キングダム 第3シリーズ		原泰久 （集英社「週刊ヤングジャンプ」連載）
A_LINKED/AL側に居る	2021-SPRING	ベイブレードバースト ダイナマイトバトル		森多ヒロ『 ベイブレードバースト (小学館「月刊コロコロコミック」』
A_LINKED/AL側に居る	2021-SPRING	僕のヒーローアカデミア（5期）		堀越耕平（集英社「 週刊少年ジャンプ 」連載）
A_LINKED/AL側に居る	2021-WINTER	7SEEDS（第2期）	7seeds	田村由美「 7SEEDS 」（小学館「flowersフラワーコミックスα」刊）
A_LINKED/AL側に居る	2021-WINTER	Dr.STONE（第2期）		稲垣理一郎 ・ Boichi （集英社「 週刊少年ジャンプ 」連載）
A_LINKED/AL側に居る	2022-FALL	ジョジョの奇妙な冒険 ストーンオーシャン	jojo-no-kimyou-na-bouken-stone-ocean	荒木飛呂彦 （集英社ジャンプコミックス刊）
A_LINKED/AL側に居る	2022-FALL	ポプテピピック TVアニメ―ション作品第二シリーズ		大川ぶくぶ（竹書房「まんがライフWIN」） 企画・プロデュース：キングレコード
A_LINKED/AL側に居る	2022-FALL	僕のヒーローアカデミア（6期）		堀越耕平 （集英社「 週刊少年ジャンプ 」連載）
