分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	boku-wa-imasugu-zense-no-kioku-o-sutetai-akogare-no-inaka-wa-jingai-makyou-deshita-comic	僕は今すぐ前世の記憶を捨てたい。～憧れの田舎は人外魔境でした～@COMIC	None	コロナ・コミックス	TOブックス	4	978486794x3	978486699x1	9784866999050
HEAD(前半別社)	boku-wa-tomodachi-ga-sukunai	僕は友達が少ない	None	MFコミックス	KADOKAWA	20	978404x12	97848401x8	9784840133463,9784840137997,9784840140355,9784840140768,9784840144384,9784840147
HEAD(前半別社)	bonkotsu-shinpei-no-monster-life	凡骨新兵のモンスターライフ@COMIC	None	コロナ・コミックス	TOブックス	4	978486794x3	978486699x1	9784866994529
HEAD(前半別社)	botsuraku-reijou-no-okinimesuma-ma	没落令嬢のお気に召すまま	None	ガンガンコミックスup!	スクウェア・エニックス	3	9784301x2	97847575x1	9784757596078
HEAD(前半別社)	boushiya-ellipsis	帽子屋エリプシス	None	ビーズログコミックス	エンターブレイン	3	978404x2	97847577x1	9784757744318
HEAD(前半別社)	boushoku-no-beruseruku	暴食のベルセルク	None	Ride Comics	マイクロマガジン社	15	978486716x11	978489637x4	9784896378221,9784896378580,9784896379044,9784896379785
HEAD(前半別社)	boushokuki-no-ken	暴食妃の剣	None	ガルドコミックス	オーバーラップ	9	97848240x6	978486554x3	9784865546514,9784865547320,9784865548761
HEAD(前半別社)	boyish-kanojo-ga-kawaisugiru	ボーイッシュ彼女が可愛すぎる	None	ガンガンコミックスpixiv	スクウェア・エニックス	6	9784301x4	97847575x2	9784757597556,9784757598652
HEAD(前半別社)	brafman	ブラフマン	None	CR comics	ジャイブ	5	978486176x4	9784902314x1	9784902314830
HEAD(前半別社)	brave10s	BRAVE10S	None	MFコミックス	KADOKAWA	9	978404x5	97848401x4	9784840140881,9784840144766,9784840147767,9784840150934
HEAD(前半別社)	buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	None	Shusui digital comics TL (teens love) シリーズ	青泉社	10	978486778x6	9784910429x4	9784910429007,9784910429175,9784910429403,9784910429724
HEAD(前半別社)	bungaku-shojo	文学処女	None	LINE COMICS	LINE Digital Frontier	11	978486697x5	9784908588x3 / 9784909767x3	9784908588150,9784908588211,9784908588365,9784909767004,9784909767288,9784909767
