slug	src_stem	title	remaining_gaps
dainiji-chousen-sensou-yugio	dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	(1巻が無い):[1]
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	(1巻が無い):[1]
katakoi-kekkon	katakoi-kekkon	片恋結婚	(1巻が無い):[1]
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	(1巻が無い):[1]
moto-yakuza-wa-shinshi-de-moujuu	moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	(1巻が無い):[1]
haishin-chuu-megami-channel	haishin-chuu-megami-channel	【配信中】女神チャンネル!	(1巻が無い):[1]
linkman	linkman	リンクマン	(1巻が無い):[1]
collar-me	collar-me	Collar me	(1巻が無い):[1]
honomi-bureikutsu	honomi-bureikutsu	ほのみぶれいくっ!	(1巻が無い):[1]
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	(1巻が無い):[1]
sora-made-itchau	sora-made-itchau	空までイっちゃう	(1巻が無い):[1]
16-nen-kimi-o-omou-to-konnani-ookiku	16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	(1巻が無い):[1]
moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	(1巻が無い):[1]
minami-kun-wa-sono-koe-ni-jirasaretai	minami-kun-wa-sono-koe-ni-jirasaretai	南くんはその声に焦らされたい	(1巻が無い):[1]
kiken-na-chouai	kiken-na-chouai	危険な寵愛	(1巻が無い):[1]
chou-ten-chan	chou-ten-chan	超てんちゃん!	(1巻が無い):[1]
yuru-days	yuru-days	ゆるデイズ	(1巻が無い):[1]
hereteku-no-ana	hereteku-no-ana	ヘレテクの穴	(1巻が無い):[1]
love-taishitsu	love-taishitsu	恋愛体質	(1巻が無い):[1]
saitsuyo-akuyaku-reijou-nikki	saitsuyo-akuyaku-reijou-nikki	さいつよ☆悪役令嬢日記	(1巻が無い):[1]
