slug	src_stem	title	remaining_gaps
kasuribana	kasuribana	掏摸花	(1巻が無い):[1]
supeshiyaru-banguutara-mama	supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	(1巻が無い):[1]
takamari-shisuu-esukareeshon	takamari-shisuu-esukareeshon	たかまり指数エスカレーション	(1巻が無い):[1]
biiparu-kozou-no-autodoa-kyouhon	biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	(1巻が無い):[1]
dai-chouhen-doraemon-1984	dai-chouhen-doraemon-1984	大長編ドラエもん	(1巻が無い):[1]
miyazawa-kenji-mangakan-1985	miyazawa-kenji-mangakan-1985	宮沢賢治・漫画館	(1巻が無い):[1]
kasei-yakiyoku	kasei-yakiyoku	華星夜曲	(1巻が無い):[1]
kaika-ansatsuchou-tenpousen	kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	(1巻が無い):[1]
yamamoto-fuutarou-kun	yamamoto-fuutarou-kun	山本風太郎くん	(1巻が無い):[1]
mindy-land	mindy-land	Mindy land	(1巻が無い):[1]
shounangurafutei	shounangurafutei	湘南グラフティ	(1巻が無い):[1]
matamoya-daikichi	matamoya-daikichi	またもや大吉	(1巻が無い):[1]
sadistic-sayaka-chan	sadistic-sayaka-chan	サディスティックさやかちゃん!	(1巻が無い):[1]
yuujin-brand	yuujin-brand	遊人ブランド	(1巻が無い):[1]
karutteto	karutteto	かるってと	(1巻が無い):[1]
zeruda-no-densetsu-4-koma-manga-gekijou	zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	(1巻が無い):[1]
shinuhodo-kisu-shite	shinuhodo-kisu-shite	死ぬほどKISSして	(1巻が無い):[1]
lovers	lovers	Lovers	(1巻が無い):[1]
usagi-1994	usagi-1994	うさぎ	(1巻が無い):[1]
kureyon-shin-chan-gemu-book	kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	(1巻が無い):[1]
comic-bii-tarou	comic-bii-tarou	コミックビー太郎	(1巻が無い):[1]
batsutsu	batsutsu	バツッ!!	(1巻が無い):[1]
yume-ha-taafu-o-kakemeguru	yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	(1巻が無い):[1]
dotou-no-saikyou-suit-suima-kun	dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	(1巻が無い):[1]
optional-tour	optional-tour	オプショナル・ツアー	(1巻が無い):[1]
ai-1995	ai-1995	愛	(1巻が無い):[1]
koukoukyoushimonogatari	koukoukyoushimonogatari	高校教師物語	(1巻が無い):[1]
makai-densetsu	makai-densetsu	魔界伝説	(1巻が無い):[1]
comic-cue	comic-cue	Comic cue	(1巻が無い):[1]
holy-maruo-1996	holy-maruo-1996	Holy	(1巻が無い):[1]
evangelion-anthology-comic	evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	(1巻が無い):[1]
oku-sama-hi-no-youjin	oku-sama-hi-no-youjin	奥様火の用心!	(1巻が無い):[1]
pet-boy-s	pet-boy-s	Pet-boy's	(1巻が無い):[1]
chuchu-hunter	chuchu-hunter	Chu❤chuハンター	(1巻が無い):[1]
crash-junky-spirit	crash-junky-spirit	Crash junky × spirit	(1巻が無い):[1]
papa-no-kokoro	papa-no-kokoro	パパのココロ	(1巻が無い):[1]
la-vie-en-rose-1998	la-vie-en-rose-1998	ラヴィアンローズ	(1巻が無い):[1]
kandouou-rendetsu	kandouou-rendetsu	感動王列伝	(1巻が無い):[1]
zettai-reido	zettai-reido	絶対麗奴	(1巻が無い):[1]
megurikuruharu	megurikuruharu	めぐりくるはる	(1巻が無い):[1]
zoku-kanaike-no-hitobito	zoku-kanaike-no-hitobito	続 金井家の人々	(1巻が無い):[1]
supooshon-kid	supooshon-kid	スポーションKID	(1巻が無い):[1]
saishinban-heisei-tensai-bakabon	saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	(1巻が無い):[1]
kikou-kiden-hiwou-senki	kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	(1巻が無い):[1]
mayonaka-no-raburetaa	mayonaka-no-raburetaa	真夜中のラブレター	(1巻が無い):[1]
kasumigaseki-furiimeeson	kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	(1巻が無い):[1]
hana-ichimonme	hana-ichimonme	花いちもんめ	(1巻が無い):[1]
grand-vacances	grand-vacances	グラン・バカン	(1巻が無い):[1]
wada-radio-no-jojo-ni-poiman	wada-radio-no-jojo-ni-poiman	和田ラヂヲの徐々にポイマン	(1巻が無い):[1]
zoku-kindan-no-koi-o-shiyou	zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	(1巻が無い):[1]
tanimura-hitoshi-no-bakuretsu-tabiuchi-special	tanimura-hitoshi-no-bakuretsu-tabiuchi-special	谷村ひとしの爆裂旅打ちスペシャル	(1巻が無い):[1]
hodogaya-saichuusokuha-seven	hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	(1巻が無い):[1]
comic-shin-genjitsu	comic-shin-genjitsu	Comic新現実	(1巻が無い):[1]
fate-kishi	fate-kishi	Fate騎士	(1巻が無い):[1]
oppai-no-tatsujin	oppai-no-tatsujin	おっぱいの達人	(1巻が無い):[1]
bushigin	bushigin	武士銀	(1巻が無い):[1]
tv-animation-major-characters-handbook-heroes	tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	(1巻が無い):[1]
watashi-no-ojou-sama	watashi-no-ojou-sama	わたしのお嬢様	(1巻が無い):[1]
hontou-ni-atta-nama-maji-giretsu-byouin-esupii	hontou-ni-atta-nama-maji-giretsu-byouin-esupii	本当にあった〔○生〕マジギレッ病院SP	(1巻が無い):[1]
teiaazu-tou-tiara	teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	(1巻が無い):[1]
dfk	dfk	DFK	(1巻が無い):[1]
nakayoshi-orijinaruban-sakuhinshuu	nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	(1巻が無い):[1]
tousei-gensou-hakubutsushi	tousei-gensou-hakubutsushi	当世幻想博物誌	(1巻が無い):[1]
kaina-surugajou-gozen-jiai	kaina-surugajou-gozen-jiai	腕 駿河城御前試合	(1巻が無い):[1]
karabuki-shitene	karabuki-shitene	からぶき♥してね	(1巻が無い):[1]
gaddesu-megami-no-ketsumyaku	gaddesu-megami-no-ketsumyaku	ガッデス 女神の血脈	(1巻が無い):[1]
mondeki	mondeki	モンでき。	(1巻が無い):[1]
koyoi-omae-to	koyoi-omae-to	今宵おまえと	(1巻が無い):[1]
kizuato	kizuato	痕	(1巻が無い):[1]
da-capo-3	da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	(1巻が無い):[1]
shin-mimibukuro-kaidan-hyakumonogatari	shin-mimibukuro-kaidan-hyakumonogatari	新耳袋 怪談百物語	(1巻が無い):[1]
bouken-kyouryuukan	bouken-kyouryuukan	まんが 冒険恐竜館	(1巻が無い):[1]
booska-plus	booska-plus	ブースカプラス	(1巻が無い):[1]
romeo	romeo	Romeo	(1巻が無い):[1]
nanimo-kikazu-ni-dakasetekure	nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	(1巻が無い):[1]
hoshi-no-kirby-manpukupupupufantajii	hoshi-no-kirby-manpukupupupufantajii	星のカービィ	(1巻が無い):[1]
