slug	title
20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu	蔵出し選集!!コミック乱創刊20周年記念特別編集
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション
ai-no-mystery-senshuu	愛のミステリー 選集
alice-club-mihappyou-selection	アリスくらぶ未発表セレクション
all-karaaban-hoozuki-no-reitetsu-selection	オールカラー版鬼灯の冷徹セレクション
big-comic-selection-meisaku-tanpenshuu	ビッグコミックセレクション名作短編集
blue-giant-live-selection	ブルージャイアントライブセレクション
capcom-selection-maleficarum	カプコン・セレクションマレフィカールム
comic-super-famicom-selection	COMICスーパーファミコンセレクション
daikyoufu-horror-tokusenshuu	大恐怖ホラー特選集
encore-ellie-doing	アンコール★エリーDoing!
encore-ga-3-kai	アンコールが3回
encore-watto-no-survival	アンコール・ワットのサバイバル
hijiriyukisenshuu	ひじり悠紀選集
ikenami-shoutarou-gekiga-selection	池波正太郎劇画セレクション
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション
ken-tsukikage-jidaigeki-senshuu-midarebana	ケン月影時代劇選集みだれ花
koko-wa-yes-to-ittekure-encore	ここはYESと言ってくれ アンコール
kuradashi-senshuu-comic-ran-soukan-20-shuunen-kinen-tokubetsu-henshuu	蔵出し選集!!コミック乱創刊20周年記念特別編集
kyoufu-shinrei-jubaku-selection	恐怖!心霊呪縛セレクション
kyouseisaku-selection	叶精作セレクション
last-encore	ラストアンコール
mei-tantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	名探偵浅見光彦＆旅情ミステリーコミックセレクション
miiko-selection	みい子セレクション
mystery-selection	ミステリーセレクション
nakayama-seika-selection	中山星香セレクション
nekokaburi-encore	ネコかぶりアンコール!
nico-sezz-selection	ニコセッズセレクション
ooshima-yumiko-selection	大島弓子セレクション
playback	プレイバック
reinousha-ogata-katsumi-selection-yamamoto-mayuri-tokushuu	霊能者緒方克巳セレクション 山本まゆり特集
ryojou-mystery-tokusenshuu	旅情ミステリー特選集
sai-tou-takao-jidai-gekiga-tanpen-selection	さいとう・たかを時代劇画短編セレクション
sasayaki-o-encore	ささやきをアンコール
sekai-no-owari-no-encore-encore	世界の終わりの世界録(アンコール)
shirato-sanpei-senshuu	白土三平選集
shisaku-nansensu-senshuu	思索ナンセンス選集
shuukan-shounen-magazine-meisaku-selection-climax-o-mou-ichido	週刊少年マガジン名作セレクションクライマックスをもう一度
taiyaku-yorinuki-ijiwaru-baa-san	対訳よりぬきいじわるばあさん
taiyaku-yorinuki-kobo-chan	対訳よりぬきコボちゃん
takashina-ryouko-gensou-roman-selection	高階良子幻想ロマンセレクション
takashina-ryouko-satsujin-jiken-selection	高階良子殺人事件セレクション
tatsuki-ryou-senshuu	たつき諒選集
watanabe-masako-meisaku-selection	わたなべまさこ名作セレクション
wayu-pureibakku	和由プレイバック
yamamura-misa-ryojou-sasupensu-comic-selection	山村美紗旅情サスペンスコミックセレクション
yori-nuki-pii-tan	よりぬきピータン!!
yorinuki-asari-chan	よりぬきあさりちゃん
yorinuki-hina-chan-no-nichijou	よりぬきひなちゃんの日常
yorinuki-hiroshi-san	よりぬきヒロシさん
yorinuki-katsuo-kun	よりぬきカツオくん
yorinuki-katte-ni-shirokuma	よりぬきかってにシロクマ
yorinuki-kikuni-san	よりぬきキクニさん
yorinuki-masuo-san	よりぬきマスオさん
yorinuki-namihei-san	よりぬき波平さん
yorinuki-patalliro	よりぬきパタリロ
yorinuki-poyopoyo-kansatsu-nikki	よりぬきポヨポヨ観察日記 ヒアヒア!ポヨと暮らそう編
yorinuki-sugekoma-kun-special	よりぬき!すげこまくん!スペシャル
yorinuki-tonari-no-801chan	よりぬきとなりの801ちゃん
yorinuki-urayasu-tekkin-kazoku	よりぬき!浦安鉄筋家族
yorinuki-wakame-chan	よりぬきワカメちゃん
yorinuki-youchien-senki-madara	よりぬき幼稚園戦記まだら
