first_date	latest_date	n_vols	slug	title	missing	genres	authors
1988-04-22	1989-01-25	5	ane-san-wa-iinchou	あねさんは委員長	both	comedy,school	こなみ詔子
1987-04-03	1989-04-05	5	za-nigao-show	Theにがおショー!	both	comedy	カトリーヌあやこ
1988-06-01	1989-04-15	5	banana-kids	バナナキッズ	both	comedy	(unknown)
1979-08-25	1989-06-01	5	gakuran-kaikyou	がくらん海峡	both	action,school	中島徳博
1987-10-30	1989-09-29	5	dontatchi-hitomiko	どんたっち!瞳子	both	comedy	千倉由紀夫
1989-11-16	1989-11-16	5	fureai-kankaku	ふれあい間隔	both	comedy	さかもと瓢作
1988-10-01	1989-12-06	5	kasuga-no-tsubone-1988	春日局	both	historical	久松文雄
1989-03-15	1989-12-15	5	test-run	テスト・ラン	both	sci-fi,drama	松田慎太郎
1988-09-17	1989-12-16	5	oo-taiken-jidai	Oh!体験時代	both	comedy	ますなが芳
1989-07-27	1990-01-01	5	hanabira-no-tou	花びらの塔	both	fantasy,romance,drama	花村えい子
1990-01-01	1990-01-01	5	the-king	ザ・キング	both	action	司敬
1990-02-26	1990-02-26	5	naive	ナイーヴ	both	romance,school	志水三喜郎
1987-10-06	1990-04-06	5	yubiwa-monogatari	指輪物語	both	romance,drama	高杉菜穂子
1987-06-15	1990-05-20	5	milky-comic	milky comic	both	comedy	PJ1
1989-12-01	1990-07-04	5	abunai-kinyoubi	危ない金曜日	both	mystery,drama	古川肇
1989-12-08	1990-07-12	5	sakusesu-tappei	サクセス辰平	both	comedy	石井さだよし
1989-09-19	1990-10-19	5	2-choume-no-donkihoote	2丁目のドンキホーテ	both	comedy,drama	八潮路つとむ
1989-08-25	1990-10-25	5	little-cop	リトルコップ	both	action,comedy	小林たつよし
1989-08-30	1990-10-30	5	katteni-shido	かってに志土	both	baseball,sports	吉村哲也
1986-10-25	1990-11-01	5	shiyounan-bakusouzoku	湘南爆走族	both	action,drama	西城隆詞
1990-10-31	1990-11-30	5	shinran	親鸞	both	historical	バロン吉元
1989-04-06	1990-12-06	5	i-boy	アイ・boy	both	romance	あさぎり夕
