tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	hidoku-shinaide	酷くしないで	seed4	1	deluxe	デラックス版	ビーボーイコミックスデラックス	1	ELEAD	9784799730812	2016-10	酷くしないで(1)	ねこ田米蔵	リブレ	o	o	o	o	o	9784799				10	9784799752128	2021-04-09	リブレ	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	hole-in-one	ホールインワン	canon:extra[0]	1	bunkobon	集英社文庫コミック版	集英社文庫コミック版	1	ELEAD	9784086178013	2002-03	ホールインワン(1)	鏡丈二/金井たつお	集英社	o	o	o	o	o	9784086				3	9784086178037	2002-05	集英社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	hole-in-one	ホールインワン	canon:extra[0]	1	bunkobon	集英社文庫コミック版	集英社文庫コミック版	2	ELEAD	9784086178020	2002-03	ホールインワン(2)	鏡丈二/金井たつお	集英社	o	o	o	o	o	9784086				3	9784086178037	2002-05	集英社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	houkago-hokenshitsu	放課後保健室	seed4	1	bunkobon	文庫版	秋田文庫	1	ELEAD	9784253180924	2012-01	放課後保健室(1)	水城せとな	秋田書店	o	o	o	o	o	9784253				2	9784253180931	2012-01-04	秋田書店	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	1	ELEAD	9784575720013	1994-11	ルパン三世(第1巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	2	ELEAD	9784575720020	1994-11	ルパン三世(第2巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	3	ELEAD	9784575720037	1994-11	ルパン三世(第3巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	4	ELEAD	9784575720044	1994-11	ルパン三世(第4巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	5	ELEAD	9784575720051	1994-11	ルパン三世(第5巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	6	ELEAD	9784575720136	1995-02	ルパン三世(第6巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	7	ELEAD	9784575720143	1995-02	ルパン三世(第7巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	8	ELEAD	9784575720150	1995-02	ルパン三世(第8巻)	モンキー・パンチ	双葉社	o	o	o	o	o	9784575				9	9784575720204	1995-04	双葉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	silent-m-bius	サイレントメビウス	seed4	1	bunkobon	文庫版	ぶんか社コミック文庫	1	ELEAD	9784821171101	2011-03	サイレントメビウス(1)	麻宮騎亜	ぶんか社	o	o	o	o	o	9784821				3	9784821171484	2012-08	ぶんか社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	silent-m-bius	サイレントメビウス	seed4	1	bunkobon	文庫版	ぶんか社コミック文庫	2	ELEAD	9784821171439	2011-05	サイレントメビウス(2)	麻宮騎亜	ぶんか社	o	o	o	o	o	9784821				3	9784821171484	2012-08	ぶんか社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	susanoou	凄ノ王	canon:extra[0]	1	shinsoban	フェニックスKC(1996)	フェニックスKC	1	ELEAD	9784063290103	1996-06-21	凄ノ王	永井豪	講談社	o	o	o	o	o	9784063				2	9784063290110	1996-07-23	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	tetsuwan-atom	鉄腕アトム	canon:extra[6]	7	shinsoban	講談社コミックス(1993)	講談社コミックス	1	ELEAD	9784063133585	1992-11	鉄腕アトム(1)	手塚治虫	講談社	o	o	o	o	o	9784063				6	9784063133691	1993-03	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	tetsuwan-atom	鉄腕アトム	canon:extra[6]	7	shinsoban	講談社コミックス(1993)	講談社コミックス	2	ELEAD	9784063133608	1992-11	鉄腕アトム(2)	手塚治虫	講談社	o	o	o	o	o	9784063				6	9784063133691	1993-03	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	tetsuwan-atom	鉄腕アトム	canon:extra[6]	7	shinsoban	講談社コミックス(1993)	講談社コミックス	3	ELEAD	9784063133646	1992-12	鉄腕アトム(3)	手塚治虫	講談社	o	o	o	o	o	9784063				6	9784063133691	1993-03	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	tetsuwan-atom	鉄腕アトム	canon:extra[6]	7	shinsoban	講談社コミックス(1993)	講談社コミックス	4	ELEAD	9784063133677	1993-01	鉄腕アトム(4)	手塚治虫	講談社	o	o	o	o	o	9784063				6	9784063133691	1993-03	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	tetsuwan-atom	鉄腕アトム	canon:extra[6]	7	shinsoban	講談社コミックス(1993)	講談社コミックス	5	ELEAD	9784063133684	1993-02	鉄腕アトム(5)	手塚治虫	講談社	o	o	o	o	o	9784063				6	9784063133691	1993-03	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	young-shima-kousaku-shuninhen	ヤング島耕作 主任編	seed4	0	standard	通常版	イブニングKC	1	ELEAD	9784063521825	2007-04	ヤング島耕作主任編(1)	弘兼憲史	講談社	o	o	o	o	o	9784063				2	9784063522266	2008-05-23	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	go-west-2004	Go!west	canon:extra[0]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	1	ELEAD	9784872879452	1998-12	GO WEST	有坂亜摘	宙出版	x	o	x	x	o	9784896				5	9784896010770	1993-10	ムービック	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	go-west-2004	Go!west	canon:extra[2]	3	shinsoban	fukkan.com	fukkan.com	1	ELEAD	9784872879452	1998-12	GO WEST	有坂亜摘	宙出版	x	x	o	x	o	9784835				2	9784835440873	2004-02	復刊ドットコム	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	momoiro-anzuiro-sakurairo	ももいろあんずいろさくらいろ	canon:volumes	0	standard	通常版	バンブーコミックス	1	ELEAD	9784812487716	2014-08-25	ももいろあんずいろさくらいろ(1)	咲	竹書房	x	x	o	o	o	9784801				2	9784801950115	2014-11	竹書房	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	raika	雷火	seed4	0	deluxe	デラックス版	バーガーSC deluxe	1	ELEAD	9784882750291	1988-09-22	雷火(1)	藤原カムイ/寺島優	スコラ	x	o	o	o	o	9784796				2	9784882750338	1988-10-22	スコラ	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	seishoujo	聖少女	canon:volumes	0	standard	通常版	Worldコミックス	1	ELEAD	9784088490106	1990-08-04	聖:少女	深沢かすみ	集英社	x	o	x	x	o	9784765				2	9784765920599	1983-11	久保書店	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	susanoou	凄ノ王	canon:volumes	0	standard	通常版	少年マガジンKC	1	ELEAD	9784063290103	1996-06-21	凄ノ王	永井豪	講談社	x	x	x	o	o	9784061				8	9784061727373	1981-03-10	講談社	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
REJECT_EDITION	x-men	X-MEN	canon:extra[1]	2	shinsoban	マーヴル・スーパー・コミックス	マーヴル・スーパー・コミックス	1	ELEAD	9784106031106	2003-09-15	X-men	チャック・オ-スティン/麻宮騎亜	新潮社	x	o	x	x	o	9784796				6	9784796840064	1995-05-19	小学館集英社プロダクション	1	版元prefix不一致 ※種2に在るのに本番未描画=結線もれ	
