slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
watari	ワタリ	canon:extra[0]	1	bunkobon	小学館文庫(1983)	小学館文庫	小学館	2	[1]	[2, 3, 4, 5, 6, 7]	9784091900425	1983-12	[0, 2, 3, 4, 5]
x-men	X-MEN	canon:extra[0]	1	shinsoban	バンブーコミックス	バンブーコミックス	竹書房	3	[1, 2]	[3, 11]	9784884757304	1994-08	[0, 3, 4]
x-men	X-MEN	canon:extra[1]	2	shinsoban	マーヴル・スーパー・コミックス	マーヴル・スーパー・コミックス	小学館集英社プロダクション	6	[1, 2, 3, 4, 5]	[6, 9, 12, 13]	9784796840064	1995-05-19	[0, 1, 3, 4]
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	seed4	0	standard	通常版		朝日新聞社	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]		1980-04	[1]
youma-no-fuuin	妖魔の封印	seed4	1	deluxe	デラックス版	マイコミックスデラックス	東京三世社	3	[1, 2]	[3, 5]	9784885706219	1993-02	[0, 2]
young-and-tears	Young and tears	canon:volumes	0	standard	通常版	Bunkasha comics	ぶんか社	2	[1]	[2, 3]	9784821197606	1999-08	[1]
young-shima-kousaku-shuninhen	ヤング島耕作 主任編	seed4	0	standard	通常版	イブニングKC	講談社	2	[1]	[2, 3, 4]	9784063522266	2008-05-23	[1]
zakoken-maruchou	ざこ検〔○潮〕	canon:volumes	0	standard	通常版	ビッグコミックス	小学館	2	[1]	[2, 3, 5, 6]	9784091861528	2001-03-30	[1]
zenikko	銭っ子	canon:extra[0]	1	shinsoban	秋田コミックスACセレクト	秋田コミックスACセレクト	秋田書店	2	[1]	[2, 3]	9784253108843	1986-09-20	[0, 2]
zero-no-hakutaka	ゼロの白鷹	canon:extra[1]	2	shinsoban	ジャンプスーパーエース	ジャンプスーパーエース	集英社	2	[1]	[2, 3]	9784420137256	1990-03-09	[0, 1, 3]
zoku-thermae-romae	続テルマエ・ロマエ	seed4	1	standard	通常版	集英社		2	[1]	[2, 3]	9784087926200	2025-03-04	[0]
