slug	title	seed_max	page_max	missing	status	title_id	next_cid
meitantei-conan	名探偵コナン	14	109	95	ongoing	20044232	20044232_015
marugoshi-deka	まるごし刑事	5	75	70	completed	1120584	1120584_006
onihei-hankachou	鬼平犯科帳	65	128	63	ongoing	9280	9280_066
patalliro	パタリロ!	50	104	54	ongoing	172962	172962_051
keirin-yarou	ケイリン野郎	4	56	52	completed	185679	185679_005
mandaraya-no-ryouta	まんだら屋の良太	18	53	35	completed	1340981	1340981_019
shaman-king	シャーマンキング	2	35	33	completed	60011690	60011690_003
jingi	仁義	1	33	32	completed	698733	698733_002
tokyo-daigaku-monogatari	東京大学物語	5	34	29	completed	20078135	20078135_006
kumotori-zanpei	雲盗り暫平	6	34	28	completed	245756	245756_007
konjiki-no-gash	金色のガッシュ!!	6	33	27	completed	1215607	1215607_007
dandadan	ダンダダン	1	25	24	ongoing	20184493	20184493_002
tableau-gate	タブロウ・ゲート	2	26	24	completed	142403	142403_003
black-jack	ブラック・ジャック	1	25	24	completed	252461	252461_002
yaiteru-futari	焼いてるふたり	2	25	23	completed	2319529	2319529_003
daichouhen-doraemon	大長編ドラえもん	1	24	23	completed	348970	348970_002
dragon-kishidan	ドラゴン騎士団	6	26	20	completed	147787	147787_007
ikki-tousen	一騎当千	4	24	20	completed	42300	42300_005
desire-2nd-season	DESIRE 2nd season	7	25	18	completed	20144205	20144205_008
lupin-iii-y	ルパン三世Y	2	20	18	completed	344383	344383_003
dotsu-kouren	ドッ硬連	2	20	18	completed	973045	973045_003
shitamachi-tekkoujo-funtouki-natsu-chan-toukyouhen	下町鉄工所奮闘記ナッちゃん東京編	3	21	18	completed	393914	393914_004
rokudenashi-blues	ろくでなしblues	25	42	17	completed	152558	152558_026
tetsujin-28-gou	鉄人28号	7	24	17	completed	29980	29980_008
auction-house	オークション・ハウス	17	34	17	completed	20141289	20141289_018
pikupiku-sentarou	ぴくぴく仙太郎	20	37	17	completed	38260	38260_021
yume-no-ishibumi	夢の碑	3	20	17	completed	502184	502184_004
trinity-7-shichinin-no-masho-tsukai	トリニティセブン 7人の魔書使い	18	34	16	ongoing	141260	141260_019
captain-tsubasa	キャプテン翼	21	37	16	completed	150199	150199_022
sarai	サライ	3	19	16	completed	234262	234262_004
bats-terry	バツ＆テリー	8	24	16	completed	1146580	1146580_009
ninpou-hiwa	忍法秘話	6	22	16	completed	496885	496885_007
puzzle-game-highschool	パズルゲーム☆はいすくーる	18	34	16	completed	300951	300951_019
dragon-quest-daino-daibouken	ドラゴンクエスト ダイの大冒険	22	37	15	completed	196188	196188_023
mad-buru-34	マッド・ブル34	4	19	15	completed	1251598	1251598_005
kaze-no-field	風のフィールド	2	17	15	completed	973064	973064_003
shiroi-kaze	白い風	10	25	15	completed	228417	228417_011
sakuranbo-monogatari	桜桃物語	1	16	15	completed	60011297	60011297_002
offside	オフサイド	15	29	14	completed	20005926	20005926_016
gekitou-arawashi-koukou-gorufubu	激闘!!荒鷲高校ゴルフ部	2	16	14	completed	1886462	1886462_003
tetsunabe-no-jan	鉄鍋のジャン!	13	27	14	completed	143154	143154_014
dan-doh	DAN DOH!!	15	29	14	completed	211050	211050_016
kaguyahime	輝夜姫	14	27	13	completed	199155	199155_015
hi-no-ryousen	緋の稜線	12	25	13	completed	905699	905699_013
fuuunjitachi	風雲児たち	21	34	13	completed	9350	9350_022
m-use	マウス	1	14	13	completed	527869	527869_002
boy	BOY	20	33	13	completed	152557	152557_021
haguhagu	はぐはぐ	2	15	13	completed	242055	242055_003
inugami	犬神	2	14	12	completed	2337185	2337185_003
seikimatsu-leader-den-takeshi	世紀末リーダー伝たけし!	13	25	12	completed	153678	153678_014
manga-de-wakaru-shinryounaika	マンガで分かる心療内科	11	23	12	completed	175272	175272_012
tenjounoniji	天上の虹	11	23	12	completed	2137127	2137127_012
imouto	妹	2	14	12	completed	330311	330311_003
tsuideni-tonchinkan	ついでにとんちんかん	6	18	12	completed	271733	271733_007
oruchuban-ebichu	おるちゅばんエビちゅ	3	15	12	completed	20027543	20027543_004
seito-sho-kun	生徒諸君!	12	24	12	completed	132028	132028_013
itamae-onimasa	板前鬼政	4	16	12	completed	2254117	2254117_005
slam-dunk	SLAM DUNK	20	31	11	completed	20131967	20131967_021
jigoku-sensei-nube	地獄先生ぬ～べ～	20	31	11	completed	152560	152560_021
survival	サバイバル	11	22	11	completed	8800	8800_012
hana-no-asuka-gumi	花のあすか組!	16	27	11	completed	147667	147667_017
dear-boys	Dear boys	12	23	11	completed	15910	15910_013
shakariki	シャカリキ!	7	18	11	completed	185688	185688_008
switch-2002	Switch	2	13	11	completed	237888	237888_003
mobile-suit-gundam-daburuoo-79	機動戦士ガンダム0079	1	12	11	completed	20079656	20079656_002
nippon-chinbotsu	日本沈没	4	15	11	completed	233102	233102_005
captain	キャプテン	15	26	11	completed	202787	202787_016
pureibooru	プレイボール	11	22	11	completed	202788	202788_012
tenshi-kinryouku	天使禁猟区	10	20	10	completed	199158	199158_011
sasuke	サスケ	10	20	10	completed	490305	490305_011
dark-edge	DARK EDGE	5	15	10	completed	378964	378964_006
eikou-naki-tensaitachi	栄光なき天才たち	7	17	10	completed	10001584	10001584_008
4koma-chibimarukochan	4コマちびまる子ちゃん	3	13	10	completed	574003	574003_004
arthur-garage	アーサーgarage	5	15	10	completed	17300	17300_006
rookies	Rookies	15	24	9	completed	150196	150196_016
boku-no-chikyuu-o-mamotte	ぼくの地球を守って	12	21	9	completed	199154	199154_013
cyborg-009	サイボーグ009	27	36	9	completed	269037	269037_028
whistle	ホイッスル!	15	24	9	completed	207666	207666_016
angel-heart	エンジェル・ハート	24	33	9	completed	257963	257963_025
shin-lupin-sansei	新ルパン三世	12	21	9	completed	357476	357476_013
yakumo-tatsu	八雲立つ	10	19	9	completed	327682	327682_011
mr-fullswing	Mr.FULLSWING	15	24	9	completed	206771	206771_016
sensei	先生!	11	20	9	completed	153674	153674_012
papa-told-me-cocohana-ver	Papa told me Cocohana ver	5	14	9	ongoing	218033	218033_006
rockn-call	Rock'n爆音	4	13	9	completed	2299632	2299632_005
gang-king	ギャングキング	28	37	9	completed	173270	173270_029
ninja-bugeichou	忍者武芸帳	8	17	9	completed	490466	490466_009
yakushiji-ryouko-no-kaiki-file-kiri-no-houmonsha	薬師寺涼子の怪奇事件簿 霧の訪問者	2	11	9	completed	217033	217033_003
sanbanchou-hagiwaraya-no-bijin	三番町萩原屋の美人	6	15	9	completed	150833	150833_007
kyou-mo-otenki	今日もお天気	1	10	9	completed	251521	251521_002
seifuku-play	制服プレイ	3	12	9	completed	1197890	1197890_004
dr-slump	Dr.スランプ	9	18	9	completed	188054	188054_010
karin	火輪	8	17	9	completed	184308	184308_009
kodomo-nanka-daikirai	子供なんか大キライ!	9	18	9	completed	259640	259640_010
hot-doc	ホットDOC	3	12	9	completed	632957	632957_004
uchi-no-kaisha-no-chiisai-senpai-no-hanashi	うちの会社の小さい先輩の話	5	13	8	ongoing	724134	724134_006
aka-chan-to-boku	赤ちゃんと僕	10	18	8	completed	173731	173731_011
yamato-wa-koi-no-mahoroba	やまとは恋のまほろば	1	9	8	completed	1212036	1212036_002
sekai-de-ichiban-yasashii-ongaku	世界でいちばん優しい音楽	8	16	8	completed	255227	255227_009
tottemo-luckyman	とっても!ラッキーマン	8	16	8	completed	152561	152561_009
boukenshitemo-ii-koro	冒険してもいい頃	3	11	8	completed	20042032	20042032_004
cynical-hysterie-hour	シニカル・ヒステリー・アワー	6	14	8	completed	310629	310629_007
mikan-enikki	みかん・絵日記	6	14	8	completed	172955	172955_007
obotchama-kun	おぼっちゃまくん	16	24	8	completed	147028	147028_017
bishoujo-suit-sailor-moon	美少女戦士セーラームーン	10	18	8	completed	625785	625785_011
tetsu-no-linebarrels	鉄のラインバレル	18	26	8	completed	482915	482915_019
break-shot	ブレイクショット	8	16	8	completed	283521	283521_009
oyakodeka	おやこ刑事	16	24	8	completed	231169	231169_017
kimagure-orange-road	きまぐれオレンジ☆ロード	10	18	8	completed	20133324	20133324_011
after-0	アフター0	2	10	8	completed	234409	234409_003
aru-sekkeishi-no-kiroku	ある設計士の忌録	1	9	8	ongoing	824882	824882_002
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	4	12	8	completed	642057	642057_005
black-cat	Black cat	12	20	8	completed	188060	188060_013
atagoul-wa-neko-no-mori	アタゴオルは猫の森	9	17	8	completed	146239	146239_010
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	2	10	8	completed	1007288	1007288_003
shinseiki-evangerion	新世紀エヴァンゲリオン	7	14	7	completed	20051726	20051726_008
zankokuna-kami-ga-shihaisuru	残酷な神が支配する	10	17	7	completed	269368	269368_011
koe-de-oshigoto	こえでおしごと!	3	10	7	completed	20028498	20028498_004
watashi-no-meshia-sama	私の救世主さま	6	13	7	completed	141200	141200_007
ring-ni-kakero	リングにかけろ	18	25	7	completed	227963	227963_019
miyamoto-kara-kimi-e	宮本から君ヘ	5	12	7	completed	20071773	20071773_006
rising-impact	ライジングインパクト	10	17	7	completed	259482	259482_011
yato-no-kamitsukai	夜刀の神つかい	5	12	7	completed	378956	378956_006
lupin-iii-h	ルパン三世H	1	8	7	completed	344386	344386_002
hamidashikko	はみだしっ子	6	13	7	completed	299338	299338_007
j-dream	Jドリーム	7	14	7	completed	20007991	20007991_008
eien-no-nohara	永遠の野原	9	16	7	completed	323537	323537_010
tokkou-artemis	特攻!アルテミス	13	20	7	completed	1682453	1682453_014
hanakyabetsu-hiyokomame	花きゃべつひよこまめ	7	14	7	completed	60000438	60000438_008
douseiai	同棲愛	4	11	7	completed	257244	257244_005
hana-ni-naretsu	花になれっ!	9	16	7	completed	355677	355677_010
maps	マップス	10	17	7	completed	143162	143162_011
muyounosuke	無用ノ介	8	15	7	completed	9360	9360_009
wild-half	WILD HALF	10	17	7	completed	241422	241422_011
duel-masters	デュエル・マスターズ	10	17	7	completed	20055777	20055777_011
koizora	恋空	3	10	7	completed	9240	9240_004
yoshibari-oobaado	夜縛◆夜明曲	2	9	7	completed	473741	473741_003
silent-m-bius	サイレントメビウス	8	15	7	completed	60002970	60002970_009
fuchin-senkan-kii	不沈戦艦紀伊	3	10	7	completed	1120574	1120574_004
suikoden-2006	水滸伝	3	10	7	completed	1814998	1814998_004
nozokiya	のぞき屋	1	8	7	completed	20009712	20009712_002
hamster-shiiku-nikki	ハムスター飼育日記	1	8	7	completed	617789	617789_002
jojo-no-kimyou-na-bouken-stone-ocean	ジョジョの奇妙な冒険 ストーンオーシャン	11	17	6	completed	184471	184471_012
drama-queen	ドラマクイン	1	7	6	ongoing	20184549	20184549_002
denei-shoujo	電影少女	9	15	6	completed	193030	193030_010
futatsu-no-spica	ふたつのスピカ	10	16	6	completed	150108	150108_011
dien-bien-phu	ディエンビエンフー	6	12	6	completed	423164	423164_007
ikenai-luna-sensei-r	いけない!ルナ先生R	2	8	6	completed	2243030	2243030_003
natural	NATURAL	5	11	6	completed	308722	308722_006
soul-gadget-radiant	SOUL GADGET RADIANT	4	10	6	completed	214190	214190_005
midori-no-makibaoo	みどりのマキバオー	10	16	6	completed	192946	192946_011
baron	バロン	2	8	6	completed	1034097	1034097_003
mirai-no-utena	未来のうてな	5	11	6	completed	300954	300954_006
dragon-fist	ドラゴン・フィスト	8	14	6	completed	258461	258461_009
dear-boys-act-3	DEAR BOYS ACT 3	15	21	6	completed	139900	139900_016
kashou-no-tsuki	火宵の月	8	14	6	completed	173750	173750_009
kami-sama-wa-sausupoo	神様はサウスポー	6	12	6	completed	29830	29830_007
akai-kiba	紅い牙	5	11	6	completed	288244	288244_006
raika	雷火	15	21	6	completed	366130	366130_016
hana-kanmuri-no-ryuu-no-kuni	花冠の竜の国	7	13	6	completed	219073	219073_008
hanagoromo-yumegoromo	花衣夢衣	11	17	6	completed	220260	220260_012
ricky-typhoon	リッキー台風	3	9	6	completed	1251599	1251599_004
kurotsubaki	玄椿	6	12	6	completed	303773	303773_007
bakkure-ippei	ばっくれ一平!	2	8	6	completed	648824	648824_003
za-naniwa-kinyuudou	ザ・ナニワ金融道	2	8	6	completed	20187600	20187600_003
kochira-osaka-shakaibu	こちら大阪社会部	3	9	6	completed	1214538	1214538_004
motor-rocks	モーターロック	3	9	6	completed	60005876	60005876_004
dollgun	ドールガン	3	9	6	completed	1069149	1069149_004
i-s-1997	I''s	9	15	6	completed	193031	193031_010
gyara	ギャラ	2	8	6	completed	60014390	60014390_003
tanikamen	谷仮面	6	12	6	completed	187694	187694_007
akumagari	悪魔狩り	1	7	6	completed	130178	130178_002
koroshiya-1	殺し屋1	4	10	6	completed	1579418	1579418_005
gravitation	グラビテーション	6	12	6	completed	236306	236306_007
kamui-den	カムイ伝	15	21	6	completed	482975	482975_016
jinki-extend	JINKI:EXTEND	3	9	6	completed	287570	287570_004
kappa-no-sanpei	河童の三平	2	8	6	completed	722202	722202_003
pelican-road	ペリカンロード	8	14	6	completed	234242	234242_009
saiyuu-youenden	西遊妖猿伝	10	16	6	completed	229210	229210_011
yuuwaku-private-doll	誘惑プライベート・ドール	2	8	6	completed	1221109	1221109_003
milk-time-ni-sasayaite	ミルクタイムにささやいて	3	9	6	completed	274389	274389_004
sento-haipaa-keibitai	聖・はいぱあ警備隊	5	11	6	completed	199157	199157_006
noumiso-purun	脳みそプルン!	2	8	6	completed	1075408	1075408_003
hei-omachi	へい!お待ちっ!	4	10	6	completed	299273	299273_005
bird-1994	Bird	2	8	6	completed	455946	455946_003
berubara-kids	ベルばらKids	1	7	6	completed	2062770	2062770_002
angel-densetsu	エンジェル伝説	10	15	5	completed	188057	188057_011
watashi-ni-shinasai	わたしに××しなさい!	14	19	5	completed	40610	40610_015
love-monster	ラブ・モンスター	7	12	5	completed	153673	153673_008
venus-versus-virus	Venus Versus Virus	2	7	5	completed	184823	184823_003
koko-ha-green-uddo	ここはグリーン・ウッド	6	11	5	completed	200980	200980_007
ninja-slayer	ニンジャスレイヤー	14	19	5	completed	239573	239573_015
tensai-family-company	天才ファミリー・カンパニー	6	11	5	completed	144180	144180_007
shi-to-kanojo-to-boku	死と彼女とぼく	5	10	5	completed	179918	179918_006
outer-zone	アウターゾーン	10	15	5	completed	187105	187105_011
tennen-kokekkoo	天然コケッコー	9	14	5	completed	213094	213094_010
kijin-douji-zenki	鬼神童子Zenki	7	12	5	completed	10001365	10001365_008
mari-to-shingo	摩利と新吾	8	13	5	completed	333226	333226_009
ryou	リョウ	8	13	5	completed	193483	193483_009
iketeru-police	イケてる刑事	4	9	5	completed	234182	234182_005
imadoki-no-kodomo	いまどきのこども	8	13	5	completed	213283	213283_009
iara	イアラ	1	6	5	completed	478102	478102_002
kimi-no-te-ga-sasayaiteiru	君の手がささやいている	5	10	5	completed	284040	284040_006
moshikashite-vamp	もしかしてヴァンプ	5	10	5	completed	252784	252784_006
nante-suteki-ni-japanesque	なんて素敵にジャパネスク	6	11	5	completed	200979	200979_007
marionette	マリオネット	4	9	5	completed	333227	333227_005
seisenki-eruna-saaga	聖戦記エルナサーガ	8	13	5	completed	20007058	20007058_009
chibi-to-boku	ちびとぼく	5	10	5	completed	221098	221098_006
shinigami-kun	死神くん	8	13	5	completed	262160	262160_009
sorya-naize-baby	そりゃないぜBABY	6	11	5	completed	303779	303779_007
tennen-sozai-de-ikou	天然素材でいこう。	5	10	5	completed	246701	246701_006
shake	シャケ	2	7	5	completed	1120567	1120567_003
joyuu	女優	5	10	5	completed	20043624	20043624_006
kaze-no-tategami	風のたてがみ	1	6	5	completed	1039683	1039683_002
seinaru-hanayome-no-hanran	聖なる花嫁の反乱	5	10	5	completed	26470	26470_006
bass-hunter-wataru	バス・ハンター渡	5	10	5	completed	597034	597034_006
trend-no-joou-miho	トレンドの女王ミホ	5	10	5	completed	288478	288478_006
utahime	う・た・ひ・め	7	12	5	completed	60003083	60003083_008
haruka-too-ki-kuni-no-mono-gatari	はるか遠き国の物語	11	16	5	completed	362911	362911_012
hyouryuu-kyoushitsu	漂流教室	6	11	5	completed	280864	280864_007
i-ll	I'll	9	14	5	completed	183515	183515_010
seiden	聖伝	5	10	5	completed	237419	237419_006
tsuki-no-ko	月の子	8	13	5	completed	183494	183494_009
demon-sacred	デーモン聖典	6	11	5	completed	223308	223308_007
kenshin	拳神	14	19	5	completed	518718	518718_015
reikan-shouhou-kabushiki-kaisha	霊感商法株式会社	10	15	5	completed	242828	242828_011
haizoku-occulty	牌賊!オカルティ	1	6	5	completed	224162	224162_002
iriyaddo	イリヤッド	10	15	5	completed	504061	504061_011
yamikariudo	闇狩人	1	6	5	completed	959468	959468_002
versailles-no-bara	ベルサイユのばら	9	14	5	completed	221524	221524_010
kupido-no-itazura	クピドの悪戯	2	7	5	completed	60010343	60010343_003
waratte-denka	笑って!殿下	3	8	5	completed	271806	271806_004
utsu-gohan	鬱ごはん	1	6	5	completed	2285458	2285458_002
shinkirou-kazoku	蜃気楼家族	1	6	5	completed	323759	323759_002
yume-furu-rabbit-town	夢降るラビット・タウン	5	10	5	completed	143165	143165_006
sugina-revolution	すぎなレボリューション	3	8	5	completed	282291	282291_004
j-dream-hishouhen	Jドリーム飛翔編	5	10	5	completed	20007992	20007992_006
black-brain	BLACK BRAIN	5	10	5	completed	310390	310390_006
slayers	スレイヤーズ	1	6	5	completed	145069	145069_002
hokuto-no-ken	北斗の拳	27	31	4	completed	285122	285122_028
ping-pong	ピンポン	5	9	4	completed	183146	183146_006
durarara	デュラララ!!	4	8	4	completed	144908	144908_005
hyouryuu-net-cafe	漂流ネットカフェ	3	7	4	completed	9190	9190_004
gegege-no-kitarou	ゲゲゲの鬼太郎	13	17	4	completed	60009412	60009412_014
kami-no-hidari-te-akuma-no-migite	神の左手悪魔の右手	2	6	4	completed	477638	477638_003
akuma-de-sourou	悪魔で候	7	11	4	completed	204940	204940_008
mekakushi-no-kuni	目隠しの国	5	9	4	completed	172960	172960_006
togari	トガリ	4	8	4	completed	310233	310233_005
hime-chan-no-ribbon	姫ちゃんのリボン	6	10	4	completed	153671	153671_007
chuu-bura	ちゅーぶら!!	3	7	4	completed	152272	152272_004
fukuyadou-honpo	福家堂本舗	7	11	4	completed	218037	218037_008
naki-no-ryuu	哭きの竜	5	9	4	completed	390926	390926_006
hen	変	9	13	4	completed	356302	356302_010
eiyuu-densetsu-sora-no-kiseki-esushii	英雄伝説空の軌跡SC	3	7	4	completed	294819	294819_004
global-garden	GLOBAL GARDEN	4	8	4	completed	300956	300956_005
kiss	キス	4	8	4	completed	173739	173739_005
night-head	NIGHT HEAD	4	8	4	completed	336564	336564_005
tenma-no-ketsuzoku	天馬の血族	20	24	4	completed	302459	302459_021
bonbonzaka-koukou-engekibu	ボンボン坂高校演劇部	8	12	4	completed	348127	348127_009
honey	Honey	5	9	4	completed	246706	246706_006
hamster-no-kenkyuu-report	ハムスターの研究レポート	4	8	4	completed	485440	485440_005
zenryaku-milk-house	前略・ミルクハウス	6	10	4	completed	249106	249106_007
ningen-club	人間倶楽部	11	15	4	completed	10001587	10001587_012
shomuni	ショムニ	3	7	4	completed	256299	256299_004
bell-epoque	ベル・エポック	7	11	4	completed	323536	323536_008
kirakira-kaoru	きらきら馨る	8	12	4	completed	144121	144121_009
senya-koiuta	千夜恋歌	5	9	4	completed	287771	287771_006
dream-buster	ドリームバスター	3	7	4	completed	2340443	2340443_004
sono-otoko-wagamama-ni-tsuki	その男、ワガママにつき	6	10	4	completed	262122	262122_007
saradinaasa	サラディナーサ	5	9	4	completed	303764	303764_006
shiawase-wa-konna-katachi-de-yattekuru	幸せはこんなカタチでやってくる	3	7	4	completed	283906	283906_004
yabou	野望	3	7	4	completed	228621	228621_004
bajiru-shi-no-yuugana-seikatsu	バジル氏の優雅な生活	5	9	4	completed	246761	246761_006
toukyou-monogatari	東京物語	3	7	4	completed	394543	394543_004
green-no-kifujin	芝の貴婦人	4	8	4	completed	446921	446921_005
genji-monogatari	源氏物語	6	10	4	completed	183265	183265_007
aria	ARIA	8	12	4	completed	917946	917946_009
tokyo-babylon	東京BABYLON	3	7	4	completed	237420	237420_004
ookami-no-kuchi	狼の口	4	8	4	completed	20062990	20062990_005
hi-izuru-tokoro-no-tenshi	日出処の天子	7	11	4	completed	20037543	20037543_008
takeda-shingen	武田信玄	6	10	4	completed	248453	248453_007
pharaoh-no-haka	ファラオの墓	4	8	4	completed	302468	302468_005
meiryoutei-gotou-seijuurou	明稜帝梧桐勢十郎	6	10	4	completed	251039	251039_007
yotabanashi	ヨタ話	1	5	4	completed	264930	264930_002
kagami-no-miko-ayaka-kuroi-bara-juuji	鏡の巫女アヤカ黒い薔薇十字	1	5	4	completed	260907	260907_002
neko-no-te-kashimasu	猫の手貸します!	2	6	4	completed	224933	224933_003
fune-o-tateru	船を建てる	2	6	4	completed	380034	380034_003
pink-no-usagi	ピンクのうさぎ	6	10	4	completed	39700	39700_007
nokemono-to-hanayome	ノケモノと花嫁	4	8	4	completed	1134234	1134234_005
yakouun-no-sarissa	夜光雲のサリッサ	11	15	4	completed	555537	555537_012
otogi-matsuri	おとぎ奉り	8	12	4	completed	421014	421014_009
kinyoku-impossible-jogakuen	禁欲いんぽっしぶる女学園	1	5	4	ongoing	20102762	20102762_002
alien-street	エイリアン通り	4	8	4	completed	308723	308723_005
ikaseru-camera-de-totte-mita	イカセルカメラで撮ってみた	1	5	4	completed	20085904	20085904_002
marcello-storia	マルチェロ物語	4	8	4	completed	199169	199169_005
kareta-hana-ni-namida-o	枯れた花に涙を	4	8	4	ongoing	2249255	2249255_005
shouko-no-file	翔子の事件簿	13	17	4	completed	142392	142392_014
9-banme-no-musashi-mission-blue	9番目のムサシ ミッション・ブルー	4	8	4	completed	200741	200741_005
fruits-kajuu-100paasento	フルーツ果汁100％	3	7	4	completed	246772	246772_004
night-blood	NIGHT BLOOD	2	6	4	completed	1251581	1251581_003
onna-kenji-reona	女検事・玲緒奈	4	8	4	completed	1187617	1187617_005
j-dream-kanzen-nenshou-hen	Jドリーム完全燃焼編	4	8	4	completed	20007993	20007993_005
juubei-kurenai-henge	十兵衛紅変化	4	8	4	completed	249108	249108_005
map-mappy	MAPマッピィ	2	6	4	completed	892190	892190_003
sayonara-koibito-mata-kite-tomodachi	さよなら恋人、またきて友だち	2	6	4	ongoing	20008276	20008276_003
shingeki-no-kyojin-before-za-fall	進撃の巨人 Before the fall	14	17	3	completed	236205	236205_015
citrus	Citrus +	7	10	3	completed	679990	679990_008
city-hunter	シティーハンター	32	35	3	completed	257962	257962_033
tetsuwan-atom	鉄腕アトム	18	21	3	completed	138430	138430_019
hadashi-no-gen	はだしのゲン	7	10	3	completed	50000506	50000506_008
rozen-maiden	Rozen Maiden	7	10	3	completed	211625	211625_008
tensei-shitara-slime-datta-ken-mamono-no-kuni-no-arukikata	転生したらスライムだった件 魔物の国の歩き方	3	6	3	completed	434807	434807_004
koukyoushihen-eureka-seven	交響詩篇 エウレカセブン	3	6	3	completed	20155806	20155806_004
senrei	洗礼	3	6	3	completed	477637	477637_004
nekomekozou	猫目小僧	2	5	3	completed	280863	280863_003
sugar-apple-fairy-tale	シュガーアップル・フェアリーテイル	1	4	3	completed	20045444	20045444_002
wata-no-kunihoshi	綿の国星	4	7	3	completed	199174	199174_005
maoyuu-maou-yuusha-oka-no-mukou-e	まおゆう魔王勇者 丘の向こうへ	5	8	3	completed	203722	203722_006
fuufu-no-hiketsu-wa-banshaku-desu	夫婦のヒケツは晩酌です	1	4	3	ongoing	20187687	20187687_002
yami-kagishi	闇鍵師	1	4	3	completed	221117	221117_002
tsubasa-o-motsu-mono	翼を持つ者	3	6	3	completed	322463	322463_004
deadman	Deadman	3	6	3	completed	20044949	20044949_004
butterfly	バタフライ	2	5	3	completed	369391	369391_003
majo-no-hanaya-san	魔女の花屋さん	1	4	3	ongoing	2260553	2260553_002
sabbath-cafe	サバス・カフェ	4	7	3	completed	566535	566535_005
ahiru-no-ouji-sama	あひるの王子さま	3	6	3	completed	134036	134036_004
corrector-yui	コレクター・ユイ	2	5	3	completed	485758	485758_003
tsugou-no-ii-hate	都合のいい果て	1	4	3	completed	2334166	2334166_002
kagemusha-tokugawa-ieyasu	影武者徳川家康	4	7	3	completed	446223	446223_005
naniwa-tomoare	ナニワトモアレ	28	31	3	completed	21040	21040_029
rashanu	ラシャーヌ!	4	7	3	completed	245325	245325_005
cobra-1995	COBRA	12	15	3	completed	255938	255938_013
code-geass-soubou-no-ozu-o2	コードギアス双貌のオズO2	2	5	3	completed	473768	473768_003
piinatsu-ga-ippai	ぴー夏がいっぱい	3	6	3	completed	566536	566536_004
gaatoruudo-no-recipe	ガートルードのレシピ	2	5	3	completed	314940	314940_003
overman-king-gainer	オーバーマンキングゲイナー	4	7	3	completed	330949	330949_005
sommelier	ソムリエ	6	9	3	completed	153680	153680_007
0man	0マン	4	7	3	completed	142295	142295_005
seijuu-denshou-dark-angel	聖獣伝承ダークエンジェル	2	5	3	completed	1340989	1340989_003
otoko-oidon	男おいどん	6	9	3	completed	38690	38690_007
gekkou	月光	2	5	3	completed	303797	303797_003
lupin-iii-m-neo	ルパン三世M neo	1	4	3	completed	20026656	20026656_002
spectreman	スペクトルマン	4	7	3	completed	284448	284448_005
domestic	ドメスティック	2	5	3	completed	387983	387983_003
gifuu-doudou-naoe-kanetsugu-maeda-deka-tsukigatari	義風堂々!!直江兼続前田慶次月語り	6	9	3	completed	257964	257964_007
again	アゲイン	3	6	3	completed	476143	476143_004
koikoi-seitokai	こいこい★生徒会	2	5	3	completed	184816	184816_003
ryuu-no-nemuru-hoshi	竜の眠る星	2	5	3	completed	223324	223324_003
goyoukiba	御用牙	15	18	3	completed	271194	271194_016
bibabareebooru	ビバ!バレーボール	3	6	3	completed	1353781	1353781_004
majutsushi-oofen-mubouhen	魔術士オーフェン無謀編	3	6	3	completed	558656	558656_004
patalliro-saiyuuki	パタリロ西遊記!	5	8	3	completed	192984	192984_006
mvp-wa-yuzurenai	MVPは譲れない!	4	7	3	completed	242191	242191_005
kenshuui-nanako	研修医なな子	4	7	3	completed	294515	294515_005
akai-tsurugi	緋色い剣	7	10	3	completed	10001162	10001162_008
g-c-u	G.C.U	4	7	3	completed	144593	144593_005
kira-kira	キラキラ!	5	8	3	completed	19140	19140_006
boku-wa-mini-ni-koishiteru	僕はミニに恋してる	3	6	3	completed	20042033	20042033_004
koyamasou-no-kirawaremono	小山荘のきらわれ者	4	7	3	completed	278117	278117_005
totteoki-maxion	とっておきMaxion	1	4	3	completed	320105	320105_002
darkness-psycho	ダークネス・サイコ	4	7	3	completed	200765	200765_005
shounen-nureyasuku-koi-narigatashi	少年濡れやすく恋成りがたし	4	7	3	completed	20005688	20005688_005
one-zero-nine	One zero nine	1	4	3	completed	752403	752403_002
kokonattsu-abenyuu	ココナッツAVE.	3	6	3	completed	1006662	1006662_004
masurao-hihon-gikeiki-hagen-yashima	ますらお 秘本義経記 波弦、屋島	2	5	3	completed	60002523	60002523_003
muken-jigoku	無間地獄	2	5	3	completed	14080	14080_003
shin-dabide-no-hoshi	新・堕靡泥の星	7	10	3	completed	262304	262304_008
hanazukan	花図鑑	2	5	3	completed	442434	442434_003
maraya	マラヤ	1	4	3	completed	1099243	1099243_002
seishunbinta	青春ビンタ!	3	6	3	completed	144626	144626_004
shippuu-karen-jinrai-komusume	疾風可憐迅雷狐娘!	2	5	3	completed	149630	149630_003
neko-ja-naimon	ネコじゃないモン!	10	13	3	completed	144997	144997_011
iona	イオナ	6	9	3	completed	548557	548557_007
sayonara-black-kigyou	さよならブラック企業	2	5	3	completed	20073554	20073554_003
hana-no-keiji	花の慶次	18	21	3	completed	297447	297447_019
alexandrite	ALEXANDRITE	4	7	3	completed	308717	308717_005
passion-parade	パッション・パレード	3	6	3	completed	199171	199171_004
