slug	title	seed_max	page_max	missing	status	title_id	next_cid
mou-yamete-kaifuku-shinaide-kenja-sama	もうやめて回復しないで賢者様!	3	4	1	ongoing	2236899	2236899_004
critical-lovers	CRITICAL LOVERS	1	2	1	completed	336718	336718_002
omoide-poroporo	おもひでぽろぽろ	1	2	1	completed	231186	231186_002
shiryou-majutsu-no-yougisha	死霊魔術の容疑者	3	4	1	ongoing	20111793	20111793_004
shikii-no-juunin	敷居の住人	6	7	1	completed	11130	11130_007
street-fighter-zero	ストリートファイターZERO	1	2	1	completed	1206849	1206849_002
yatsu-yatsu-yatsu-yatsu	奴奴奴奴!	2	3	1	ongoing	1955352	1955352_003
unsouya-no-ossan-ga-naze-ka-fukugyou-de-zettai-muteki-kenshi-o-tsutomeru-koto-ni	運送屋のおっさんがなぜか副業で絶対無敵剣士を務めることに	4	5	1	ongoing	1723935	1723935_005
mr-morning	Mr. Morning	1	2	1	completed	706635	706635_002
michizure-limited	みちづれリミテッド	1	2	1	completed	900244	900244_002
hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	1	2	1	completed	1181325	1181325_002
senjou-no-seijo	戦場の聖女	7	8	1	ongoing	1501374	1501374_008
orichalcum-reycal	オリハルコン・レイカル	2	3	1	completed	256020	256020_003
yakoudou-ki-tan	夜行堂奇譚	4	5	1	ongoing	20074076	20074076_005
attack	アタック!!	10	11	1	completed	300406	300406_011
jaa-anta-ga-tsukutte-miroyo	じゃあ、あんたが作ってみろよ	4	5	1	ongoing	1483304	1483304_005
manyuuki	まんゆうき	2	3	1	completed	356407	356407_003
suterare-koushaku-fujin-wa-heion-na-seikatsu-o-onozomi-no-you-desu-comic	捨てられ公爵夫人は、平穏な生活をお望みのようです@COMIC	2	3	1	ongoing	20137624	20137624_003
kimusume-love-kinshirei	鬼娘恋愛禁止令	1	2	1	completed	1106542	1106542_002
kyuutei-o-kubi-ni-natta-shokubutsu-madoushi-wa-surooraifu-o-ouka-suru	宮廷をクビになった植物魔導師はスローライフを謳歌する	5	6	1	ongoing	1352009	1352009_006
houkago-isekai-futari-tabi	放課後異世界ふたり旅	2	3	1	ongoing	1949429	1949429_003
mune-no-uchi-niwa	むねのうちには	1	2	1	completed	668606	668606_002
hatsuhana	初華	1	2	1	completed	197650	197650_002
takara-shimai	宝姉妹	2	3	1	completed	20138864	20138864_003
exit	EXIT	11	12	1	completed	394553	394553_012
kainin-shoya	懐妊初夜	3	4	1	completed	20115071	20115071_004
medete-haru	愛でて春	3	4	1	ongoing	20134931	20134931_004
homohomo-7	ホモホモ7	1	2	1	completed	397434	397434_002
cool-na-futari-wa-mikake-ni-yoranai	クールなふたりは見かけによらない	5	6	1	ongoing	1523677	1523677_006
tsuihousareta-sareta-kishi-zuki-seijo-wa-kyou-mo-shiawase	追放された騎士好き聖女は今日も幸せ	3	4	1	ongoing	1722249	1722249_004
konyaku-haki-sareta-karen-reijou-wa-teikoku-no-koushaku-kishi-sama-ni-dekiai-dekiaisareru	婚約破棄された可憐令嬢は、帝国の公爵騎士様に溺愛される	3	4	1	ongoing	1657134	1657134_004
nakatoori-diary	中通りダイアリー	1	2	1	ongoing	20166268	20166268_002
kokoro-o-tozashita-koushaku-kakka-to-konyaku-shita-hazu-nanoni-naze-taisetsu-ni-sarete-shimattemasu	心を閉ざした公爵閣下と婚約したはずなのに、なぜか大切にされてしまってます!	3	4	1	ongoing	1630758	1630758_004
sore-tte-douka-to-omoimasu	それってどうかと思います!	3	4	1	ongoing	1923723	1923723_004
konyaku-haki-sareta-node-osouji-maid-ni-nattara-warawanai-kikoushi-sama-ni-dekiai-saremashita	婚約破棄されたのでお掃除メイドになったら笑わない貴公子様に溺愛されました	5	6	1	completed	20073846	20073846_006
kikan-gentei-daiyon-kishidan-no-kitchen-maid-kekkon-shitakunai-node-shuushoku-shimashita-comic	期間限定、第四騎士団のキッチンメイド～結婚したくないので就職しました～@COMIC	3	4	1	ongoing	20066886	20066886_004
robin	ロビン	2	3	1	completed	604964	604964_003
seven-days	セブンデイズ	1	2	1	completed	202681	202681_002
sotsugyousei	卒業生	1	2	1	completed	197389	197389_002
yuusha-party-o-oidasareta-kiyou-binbou	勇者パーティを追い出された器用貧乏	19	20	1	ongoing	1094816	1094816_020
