slug	title	authors	year	publisher	total_volumes
sugata-sanshirou-1987	姿三四郎	(unknown)	1954	shinchosha	2
heishi-svejk-no-bouken	兵士シュヴェイクの冒険	(unknown)	1972	(unknown)	4
comic-cherry-moon	COMICチェリームーン	(unknown)	1986	(unknown)	2
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	(unknown)	1987	tokyo-sanseisha	3
banana-kids	バナナキッズ	(unknown)	1988	byakuya-shobo	5
lemon-hakusho-1988	レモン白書	(unknown)	1988	fujimi-shobo	2
machine-head	マシンヘッド	(unknown)	1989	byakuya-shobo	7
senmonogatari	千物語	(unknown)	1989	oto-shobo	2
shin-bikkuriman-omoshiro-land	新・ビックリマンおもしろランド	(unknown)	1989	akita	6
fushigi-no-umi-no-nadia	ふしぎの海のナディア	(unknown)	1990	tokuma	12
uizaadorii-4koma-4-ga-oukoku	ウィザードリィ4コマまんが王国	(unknown)	1991	futabasha	3
pose-file	ポーズ・ファイル	(unknown)	1992	(unknown)	7
kattobi-demae-bouya	かっとび!!出前坊や	(unknown)	1994	mediafactory	2
samurai-spirits-4koma-ketteiban	サムライスピリッツ 4コマ決定版	(unknown)	1994	shinseisha-game	2
street-fighter-4-4koma-manga-oukoku	ストリートファイターⅡ 4コマまんが王国	(unknown)	1994	futabasha	4
super-suto-4	スーパーストⅡ　4コマ決定版	(unknown)	1994	shinseisha-game	2
chuugoku-gekiga-sonshi-no-heihou	中国劇画孫子の兵法	(unknown)	1994	(unknown)	8
4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	(unknown)	1994	shinseisha-game	2
haikei-catalog-mangaka-animeetaa-hikkei-no-shashin-shiryoushuu	背景カタログ	(unknown)	1994	(unknown)	8
rinta-no-momoiro-comic	りん太のももいろコミック	(unknown)	1995	(unknown)	19
kapukon-bishoujo-suit	カプコン美少女戦士	(unknown)	1995	shinseisha-game	3
doujinshi-doujin-sofuto-nyuushu-manual	同人誌同人ソフト入手マニュアル	(unknown)	1995	kubo-shoten	4
angelique-ensemble	アンジェリークアンサンブル	(unknown)	1996	koei	3
comic-angelique-carnival	コミックアンジェリークカーニバル	(unknown)	1996	koei	2
studio-jiburi-sakuhin-kanren-shiryoushuu	スタジオジブリ作品関連資料集	(unknown)	1996	tokuma	5
