slug	title	category	miss_total	cover_rakuten	cover_ndl	author_ng	date_disorder	gaps
nomizukushi-sakezukushi	呑みづくし酒づくし	F_NO_DATA	1	0	0	0	0	standard:[2]
youma-no-fuuin	妖魔の封印	F_NO_DATA	1	0	0	0	0	deluxe:[4]
ariel-comic	ARIEL COMIC	F_NO_DATA	2	0	0	0	0	standard:[6, 7]
nee-try-shite	ねえトライ（try）して!	F_NO_DATA	1	0	0	0	0	standard:[2]
power-bomb-theater	パワーボムtheater	F_NO_DATA	2	0	0	0	0	standard:[2, 3]
kenrou-densetsu	犬狼伝説	F_NO_DATA	1	0	0	0	0	standard:[2]
hana-no-deka	花の慶次	F_NO_DATA	1	0	0	0	0	standard:[19]
quartet	かるてっと	F_NO_DATA	1	0	0	0	0	standard:[2]
mameda-sensei	まめだ先生	F_NO_DATA	1	0	0	0	0	standard:[2]
manga-girishia-shinwa-1991	まんがギリシア神話	F_NO_DATA	4	0	0	0	0	standard:[2, 4, 5, 7]
image	イマージュ	F_NO_DATA	2	0	0	0	0	standard:[14, 15]
jiimago-rhapsody	ジイマゴらぷそでぃー	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
waibaan-no-kodomotachi	ワイバーンの子供たち	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
intron-depot	INTRON DEPOT	F_NO_DATA	1	0	0	0	0	standard:[2]
oruchuban-ebichu	おるちゅばんエビちゅ	F_NO_DATA	8	0	0	0	0	standard:[5, 6, 7, 8, 9, 10, 11, 12]
pose-file	ポーズ・ファイル	F_NO_DATA	2	0	0	0	0	standard:[2, 7]
zenkan-shutsugeki	全艦出撃!!	F_NO_DATA	1	0	0	0	0	standard:[2]
shouta-no-sushi	将太の寿司	F_NO_DATA	1	0	0	0	0	standard:[28]
sora-no-ue-no-aren	空の上のアレン	F_NO_DATA	1	0	0	0	0	standard:[3]
hashire-merosu	走れメロス	F_NO_DATA	1	0	0	0	0	standard:[2]
umanari-1-haron-theater	馬なり1ハロン劇場	F_NO_DATA	9	0	0	0	0	standard:[25, 26, 27, 28, 29, 30, 31, 32, 33]
kuooto-ando-half	1/4×1/2	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
sleeping-beauty-clinic	Sleeping beauty clinic	F_NO_DATA	1	0	0	0	0	standard:[2]
alice-no-ochakai	アリスのお茶会	F_NO_DATA	1	0	0	0	0	standard:[5]
takeru-1997-2	タケル	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
pink-chan-v	ピンクちゃんV	F_NO_DATA	1	0	0	0	0	standard:[2]
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	F_NO_DATA	1	0	0	0	0	standard:[2]
ryoushuu	領袖	F_NO_DATA	1	0	0	0	0	standard:[7]
cobra-1995	Cobra	F_NO_DATA	2	0	0	0	0	standard:[13, 14]
crew-1994	Crew 1994	F_NO_DATA	1	0	0	0	0	standard:[8]
x-men-1994-3	X-MEN	F_NO_DATA	3	0	0	0	0	standard:[2, 7, 12]
x-men-1994-5	X-MEN	F_NO_DATA	2	0	0	0	0	standard:[11, 12]
x-men-1994	X-MEN	F_NO_DATA	3	0	0	0	0	standard:[7, 11, 12]
chotto-dake-kaettekita-dokutaa-slump	ちょっとだけかえってきたDr.SLUMP	F_NO_DATA	1	0	0	0	0	standard:[2]
piasu-club	ピアスクラブ	F_NO_DATA	19	0	0	0	0	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23]
fire-emblem-4-koma-manga-gekijou	ファイアーエムブレム4コママンガ劇場	F_NO_DATA	1	0	0	0	0	standard:[3]
yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	F_NO_DATA	2	0	0	0	0	standard:[5, 7]
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	F_NO_DATA	1	0	0	0	0	standard:[2]
canon-1995	CANON	F_NO_DATA	1	0	0	0	0	standard:[7]
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	F_NO_DATA	1	0	0	0	0	standard:[3]
shousetsu-fajji	小説FUDGE	F_NO_DATA	5	0	0	0	0	standard:[5, 6, 7, 9, 10]
gensou-tairiku	幻想大陸	F_NO_DATA	3	0	0	0	0	standard:[3, 4, 5]
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	F_NO_DATA	1	0	0	0	0	standard:[2]
dr-typhoon-1996	Dr.Typhoon	F_NO_DATA	2	0	0	0	0	standard:[4, 7]
perfect-angel-lip	Perfectエンジェルリップ	F_NO_DATA	1	0	0	0	0	standard:[3]
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	F_NO_DATA	2	0	0	0	0	standard:[2, 4]
yatteranneeze	やってらんねェぜ!	F_NO_DATA	3	0	0	0	0	standard:[2, 3, 5]
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	F_NO_DATA	1	0	0	0	0	standard:[3]
ring-1996	リング	F_NO_DATA	1	0	0	0	0	standard:[2]
anata-ni-mo-angel	アナタにもAngel	F_NO_DATA	1	0	0	0	0	standard:[3]
jinjuu-houretsuden	仁獣芳烈伝	F_NO_DATA	1	0	0	0	0	standard:[11]
mazin-saga-nagai	魔神サーガ	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
generous-kiss	GENEROUS KISS	F_NO_DATA	2	0	0	0	0	standard:[3, 5]
dekirukana	できるかな	F_NO_DATA	1	0	0	0	0	standard:[2]
shiro-no-fiorenteiina	白のフィオレンティーナ	F_NO_DATA	6	0	0	0	0	bunkobon:[3, 4, 5, 6, 7, 8]
duel-masters	DUEL MASTERS	F_NO_DATA	1	0	0	0	0	standard:[16]
psychic-academy-koura-banshou	サイキックアカデミー煌羅万象	F_NO_DATA	1	0	0	0	0	standard:[9]
kinshin-soukan-ando-esuemu-taiken	近親相姦＆SM体験	F_NO_DATA	9	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10]
valkyrie-profile-2000	VALKYRIE PROFILE	F_NO_DATA	3	0	0	0	0	standard:[3, 5, 6]
la-blue-girl	ラ・ブルー・ガール	F_NO_DATA	1	0	0	0	0	standard:[2]
taiyou-no-romance	太陽のロマンス	F_NO_DATA	2	0	0	0	0	standard:[2, 3]
bishou-hari	美少玻璃	F_NO_DATA	1	0	0	0	0	standard:[4]
haruka-naru-toki-no-naka-de	遥かなる時空の中で	F_NO_DATA	2	0	0	0	0	standard:[10, 11]
ginga-densetsu-weed	銀牙伝説Weed	F_NO_DATA	2	0	0	0	0	standard:[40, 44]
best-of-naka-tomoko	閑古鳥の巣	F_NO_DATA	1	0	0	0	0	standard:[2]
denkou-sekka-boys	電光石火BOYS	F_NO_DATA	1	0	0	0	0	standard:[2]
clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	F_NO_DATA	2	0	0	0	0	deluxe:[2, 3]
dogs	DOGS	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	F_NO_DATA	1	0	0	0	0	standard:[2]
nippon-banashi	ニッポン昔話	F_NO_DATA	1	0	0	0	0	standard:[2]
pachisuro-yancha-bugi	パチスロやんちゃブギ	F_NO_DATA	8	0	0	0	0	standard:[3, 4, 7, 10, 11, 13, 15, 18]
shin-kaiketsu-jouki-tanteidan	真・快傑蒸気探偵団	F_NO_DATA	1	0	0	0	0	standard:[8]
dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	F_NO_DATA	1	0	0	0	0	standard:[2]
valkyrie-profile	VALKYRIE PROFILE	F_NO_DATA	2	0	0	0	0	standard:[5, 6]
shota-komi	ショタコミ	F_NO_DATA	2	0	0	0	0	standard:[2, 3]
minami-no-teiou-special	ミナミの帝王スペシャル	F_NO_DATA	20	0	0	0	0	standard:[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]
gamurakan	臥夢螺館	F_NO_DATA	1	0	0	0	0	standard:[2]
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	F_NO_DATA	3	0	0	0	0	standard:[3, 5, 6]
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	F_NO_DATA	1	0	0	0	0	standard:[12]
kai-riki-ran-shin-quan	怪・力・乱・神クワン	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
tokusen-ol-shinkaron	特選OL進化論	F_NO_DATA	33	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]
dare-nimo-ienai-hi	誰にも言えない(秘)	F_NO_DATA	24	0	0	0	0	standard:[7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 22, 23, 24, 29, 30, 31, 34, 35, 37, 39, 40, 41, 42]
toriyama-akira-marusaku-gekijou-aratame	鳥山明○作劇場「改」	F_NO_DATA	1	0	0	0	0	standard:[2]
uiui-days	ういうい❤days	F_NO_DATA	1	0	0	0	0	standard:[5]
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	F_NO_DATA	2	0	0	0	0	standard:[9, 10]
gang-king	ギャングキング	F_NO_DATA	2	0	0	0	0	standard:[28, 29]
daiki-no-baka-h-special	大紀のバカHスペシャル	F_NO_DATA	7	0	0	0	0	standard:[3, 4, 5, 6, 7, 8, 9]
yakushiji-ryouko-no-kaiki-file-kiri-no-houmonsha	薬師寺涼子の怪奇事件簿 霧の訪問者	F_NO_DATA	1	0	0	0	0	standard:[7]
tobaku-datenroku-kaiji	賭博堕天録カイジ	F_NO_DATA	7	0	0	0	0	standard:[17, 18, 19, 20, 21, 22, 23]
arasu-kagayakeru-tsubasa	Alas～輝ける翼	F_NO_DATA	1	0	0	0	0	standard:[9]
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	F_NO_DATA	1	0	0	0	0	standard:[4]
mobile-suit-gundam-seed-destiny-2005	機動戦士ガンダムSEED DESTINY	F_NO_DATA	7	0	0	0	0	standard:[5, 6, 7, 8, 9, 10, 11]
mobile-suit-gundam-san	機動戦士ガンダムさん	F_NO_DATA	1	0	0	0	0	standard:[22]
tokusen-kobo-chan	特選コボちゃん	F_NO_DATA	3	0	0	0	0	standard:[2, 3, 15]
dokusha-toukou-shinrei-taiken	読者投稿心霊体験	F_NO_DATA	24	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27]
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	F_NO_DATA	3	0	0	0	0	standard:[7, 8, 9]
higurashi-no-naku-koro-ni-himatsubushihen	ひぐらしのなく頃に 暇潰し編	F_NO_DATA	1	0	0	0	0	standard:[3]
atori-show	アトリ抄	F_NO_DATA	1	0	0	0	0	standard:[5]
kingdom	キングダム	F_NO_DATA	4	0	0	0	0	aizoban:[15, 16, 17, 18]
horikou-hanemono-ranger	堀高ハネモノレンジャー	F_NO_DATA	1	0	0	0	0	standard:[2]
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	F_NO_DATA	1	0	0	0	0	standard:[4]
papillon	パピヨン	F_NO_DATA	1	0	0	0	0	standard:[6]
parabellum	パラベラム	F_NO_DATA	1	0	0	0	0	standard:[2]
love-drug	ラブドラッグ	F_NO_DATA	4	0	0	0	0	standard:[5, 6, 7, 8]
umimachi-diary	海街diary	F_NO_DATA	1	0	0	0	0	standard:[5]
shirasunamura	白砂村	F_NO_DATA	4	0	0	0	0	standard:[4, 5, 6, 7]
yurihime-wild-rose	百合姫Wildrose	F_NO_DATA	1	0	0	0	0	standard:[2]
neko-puni	ねこぷに	F_NO_DATA	16	0	0	0	0	standard:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
tales-of-destiny-director-cut-cut-toki-no-rion	テイルズオブデスティニーディレクターズカット 儚き刻のリオン	F_NO_DATA	1	0	0	0	0	standard:[3]
muse-no-gakuen-de-aou	ミューズの学園で逢おう	F_NO_DATA	1	0	0	0	0	standard:[3]
rikei-kun	理系クン	F_NO_DATA	1	0	0	0	0	standard:[3]
reikan-koumuten-ripea	霊感工務店リペア	F_NO_DATA	1	0	0	0	0	standard:[7]
onape	オナぺ	F_NO_DATA	2	0	0	0	0	standard:[3, 4]
tales-of-vesperia-4-koma-kings	テイルズオブヴェスペリア4コマKINGS	F_NO_DATA	1	0	0	0	0	standard:[3]
yuuutsuna-asa	憂鬱な朝	F_NO_DATA	2	0	0	0	0	standard:[6, 7]
tokumorikobo-chan	特盛!コボちゃん	F_NO_DATA	4	0	0	0	0	standard:[6, 7, 10, 11]
rinjou	臨場	F_NO_DATA	1	0	0	0	0	standard:[2]
hard-nuts	ハードナッツ	F_NO_DATA	1	0	0	0	0	standard:[4]
goshujin-sama-no-oshioki	ご主人様のおしおき?	F_NO_DATA	1	0	0	0	0	standard:[2]
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	F_NO_DATA	1	0	0	0	0	standard:[15]
saiyaku-wa-boku-o-sukisugiru	災厄は僕を好きすぎる	F_NO_DATA	1	0	0	0	0	standard:[5]
yuugiou-zearu	遊☆戯☆王ZEXAL	F_NO_DATA	2	0	0	0	0	standard:[6, 7]
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	さいとう・たかを池波正太郎時代劇画ワイドセレクション	F_NO_DATA	8	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9]
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	F_NO_DATA	3	0	0	0	0	standard:[14, 15, 17]
kizuato	痕	F_NO_DATA	1	0	0	0	0	standard:[3]
kyouka-ayakashi-hichou	鏡花あやかし秘帖	F_NO_DATA	1	0	0	0	0	standard:[2]
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	F_NO_DATA	5	0	0	0	0	standard:[6, 7, 8, 9, 10]
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみた。	F_NO_DATA	1	0	0	0	0	standard:[5]
shachou-to-anan	社長とあんあん❤	F_NO_DATA	1	0	0	0	0	standard:[10]
ryuutei-no-mon	竜蹄の門	F_NO_DATA	1	0	0	0	0	standard:[5]
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	F_NO_DATA	75	0	0	0	0	standard:[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 110, 112, 153, 204, 205, 207, 208, 220, 221, 222]
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	F_NO_DATA	8	0	0	0	0	standard:[2, 4, 5, 6, 7, 8, 9, 10]
esudii-gundam-gaiden-kishi-gundam-monogatari-seikihei-monogatari-hen	SDガンダム外伝 騎士ガンダム物語 聖機兵物語編	F_NO_DATA	1	0	0	0	0	standard:[2]
otokuyou-mainichi-kaa-san	お徳用毎日かあさん	F_NO_DATA	3	0	0	0	0	standard:[2, 4, 6]
oogata-shinjin-no-kyouikugakari	大型新人の教育係	F_NO_DATA	1	0	0	0	0	standard:[2]
crew-de-gozaimasu	CREWでございます!	F_NO_DATA	1	0	0	0	0	standard:[2]
dogs-sato-2023	Dogs	F_NO_DATA	1	0	0	0	0	standard:[2]
sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	F_NO_DATA	1	0	0	0	0	standard:[2]
sherlock-ooinaru-game	SHERLOCK大いなるゲーム	F_NO_DATA	1	0	0	0	0	standard:[2]
akuma-to-keiyaku	アクマと契約	F_NO_DATA	1	0	0	0	0	deluxe:[2]
sayonara-jitensha	サヨナラ自転車	F_NO_DATA	1	0	0	0	0	standard:[2]
zootopia	ズートピア	F_NO_DATA	1	0	0	0	0	standard:[2]
dragless-sex	ドラッグレス・セックス	F_NO_DATA	1	0	0	0	0	standard:[2]
finding-dory	ファインディング・ドリー	F_NO_DATA	1	0	0	0	0	standard:[2]
guresanpo	グレさんぽ	F_NO_DATA	1	0	0	0	0	standard:[2]
honda-kanoko-no-hondana	本田鹿の子の本棚	F_NO_DATA	43	0	0	0	0	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	F_NO_DATA	4	0	0	0	0	standard:[3, 4, 18, 19]
neko-youkai	ねこようかい	F_NO_DATA	7	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8]
neko-youkai-gorogoro	ねこようかいゴロゴロ	F_NO_DATA	7	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8]
neko-youkai-mugyutsu	ねこようかいムギュッ!	F_NO_DATA	7	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8]
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	F_NO_DATA	1	0	0	0	0	standard:[2]
chibikasu-kun	チビカスくん	F_NO_DATA	47	0	0	0	0	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]
mashou-no-ahosuta-san	マショウのあほすたさん	F_NO_DATA	1	0	0	0	0	standard:[2]
sekai-o-sukuu-tame-ni-watashi-to-asachun-dekimasu-ka	世界を救うために亜人(わたし)と朝チュンできますか?	F_NO_DATA	1	0	0	0	0	standard:[8]
douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne	どうやら私の身体(からだ)は完全無敵のようですね	F_NO_DATA	8	0	0	0	0	standard:[4, 5, 6, 7, 8, 9, 10, 11]
in-hand-2019	インハンドプロローグ	F_NO_DATA	3	0	0	0	0	standard:[3, 4, 5]
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	F_NO_DATA	1	0	0	0	0	standard:[2]
imootaru-princess-hajimemashita	人外姫様(イモータルプリンセス)、始めました	F_NO_DATA	1	0	0	0	0	standard:[13]
suki-ni-sasete-miseru-kara	好きにさせてみせるから!	F_NO_DATA	1	0	0	0	0	standard:[2]
nichi-nichi-sora-no-tayori	日・日・天(そら)のたより	F_NO_DATA	1	0	0	0	0	standard:[8]
shiori-experience-2021	Shiori experience	F_NO_DATA	14	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
pachinko	ぱちん娘(こ)。	F_NO_DATA	1	0	0	0	0	standard:[6]
new-normal	ニューノーマル	F_NO_DATA	1	0	0	0	0	standard:[6]
himekishi-wa-barubaroi-no-yome	姫騎士は蛮族(バルバロイ)の嫁	F_NO_DATA	2	0	0	0	0	standard:[8, 9]
heisei-kochikame-13-nen	平成こち亀13年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-14-nen	平成こち亀14年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-15-nen	平成こち亀15年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-16-nen	平成こち亀16年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-17-nen	平成こち亀17年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-18-nen	平成こち亀18年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-19-nen	平成こち亀19年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
netoraretemo-anata-no-kanojo	寝取られてもアナタのカノジョ。	F_NO_DATA	2	0	0	0	0	standard:[2, 3]
heisei-kochikame-20-nen	平成こち亀 20年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-21-nen	平成こち亀 21年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-22-nen	平成こち亀 22年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-23-nen	平成こち亀23年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-24-nen	平成こち亀24年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-25-nen	平成こち亀25年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
skill-rendaa-no-torikaeshi	技巧貸与(スキル・レンダー)のとりかえし	F_NO_DATA	1	0	0	0	0	standard:[8]
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	F_NO_DATA	1	0	0	0	0	standard:[206]
kusattemo-neko-nanode	くさっても猫なので	F_NO_DATA	1	0	0	0	0	standard:[2]
heisei-kochikame-26-nen	平成こち亀26年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-27-nen	平成こち亀27年	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 6]
heisei-kochikame-28-nen	平成こち亀28年	F_NO_DATA	3	0	0	0	0	standard:[2, 3, 4]
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	F_NO_DATA	1	0	0	0	0	standard:[2]
jiiteiiyuu-ikari-no-desu-yamada	GTU-怒りのDEATH山田-	F_NO_DATA	1	0	0	0	0	standard:[2]
