slug	title	category	miss_total	cover_rakuten	cover_ndl	author_ng	date_disorder	gaps
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	A_FILL_OK	8	0	8	10	0	standard:[2, 3, 4, 5, 6, 9, 10, 11]
beck	BECK	A_FILL_OK	1	0	1	0	0	deluxe:[9]
red-eyes	red Eyes	A_FILL_OK	19	19	0	0	0	deluxe:[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]
harukanaru-toki-no-naka-de	遙かなる時空の中で	A_FILL_OK	1	1	0	0	0	standard:[9]
damenzu-walker	だめんず・うぉ～か～	A_FILL_OK	1	1	0	0	0	standard:[5]
pururun-seminar	ぷるるんゼミナール	A_FILL_OK	3	3	0	0	0	standard:[3, 4, 5]
sky-high	スカイハイ	A_FILL_OK	1	0	1	0	0	standard:[3]
nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	A_FILL_OK	1	0	1	0	0	standard:[2]
tenka-musou	天下無双	A_FILL_OK	1	1	0	0	0	deluxe:[3]
bakuon-rettou	爆音列島	A_FILL_OK	1	1	0	0	0	standard:[10]
onmitsu-kenshi	隠密剣士	A_FILL_OK	2	2	0	0	0	deluxe:[3];standard:[2]
toaru-kagaku-no-railgun	とある科学の超電磁砲	A_FILL_OK	6	0	6	0	0	standard:[13, 14, 15, 16, 17, 18]
guranpuri-tengoku	グランプリ天国	A_FILL_OK	1	0	1	0	0	standard:[2]
euromanga	euromanga	A_FILL_OK	5	0	5	0	0	standard:[2, 3, 4, 5, 6]
shima-kousaku-zenshuu	島耕作全集	A_FILL_OK	4	0	4	0	0	standard:[4, 6, 7, 8]
jump-sq-comic-selection	ジャンプSQ.Comic Selection	A_FILL_OK	1	0	1	1	0	standard:[4]
s	S	A_FILL_OK	1	0	1	0	0	standard:[13]
uta-no-purinsusamatsu	うたの☆プリンスさまっ♪	A_FILL_OK	1	0	1	0	0	standard:[2]
meshibana-deka-tachibana	めしばな刑事タチバナ	A_FILL_OK	1	0	1	0	0	standard:[55]
gokudoumeshi	極道めし	A_FILL_OK	5	5	0	0	0	standard:[2, 3, 4, 5, 6]
kaina	腕	A_FILL_OK	1	0	1	0	0	standard:[2]
gate	ゲート	A_FILL_OK	1	0	1	0	0	standard:[26]
shin-mimibukuro	新耳袋	A_FILL_OK	3	0	3	0	0	standard:[2, 3, 4]
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	A_FILL_OK	2	0	2	0	0	standard:[3, 4]
kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	A_FILL_OK	2	0	2	0	0	standard:[3, 4]
fate-strange-fake-2019	フェイト/ストレンジフェイク	A_FILL_OK	1	0	1	0	0	standard:[2]
kusuriya-no-hitorigoto-shino-2017	薬屋のひとりごと	A_FILL_OK	6	6	0	0	0	standard:[7, 8, 9, 11, 12, 13]
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	A_FILL_OK	2	2	0	0	0	standard:[2, 3]
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	A_FILL_OK	2	0	2	4	0	standard:[2, 3]
kumo-desu-nanika	蜘蛛ですが、なにか?	A_FILL_OK	8	0	8	16	0	standard:[7, 8, 9, 10, 11, 12, 13, 14]
niwatori-fighter	ニワトリ・ファイター	A_FILL_OK	1	1	0	0	0	standard:[10]
koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	恋ヶ窪くんにはじめてを奪われました	A_FILL_OK	3	3	0	0	0	standard:[6, 7];deluxe:[8]
densetsu-no-yarichin-vs-teppeki-no-shiriana	伝説のヤリチンvs鉄壁の尻穴	A_FILL_OK	2	2	0	0	0	standard:[2, 3]
sora-ga-suki	空がすき!	B_PARTIAL	16	1	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
doyoubinoehon	土曜日の絵本	B_PARTIAL	2	1	0	0	0	standard:[3, 5]
shamo-1990	軍鶏	B_PARTIAL	5	0	2	41	0	standard:[2, 4, 6, 7, 8]
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	B_PARTIAL	3	0	2	0	0	standard:[3, 4, 5]
manga-grimm-douwa	まんがグリム童話	B_PARTIAL	37	0	24	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]
yuu-gi-ou-5ds	遊・戯・王5D's	B_PARTIAL	6	5	0	0	0	standard:[3, 4, 5, 6, 7, 8]
soshite-kozure-ookami-shikaku-no-ko	そして-子連れ狼刺客の子	B_PARTIAL	3	0	2	0	0	standard:[2, 3, 4]
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	B_PARTIAL	75	0	7	3	0	standard:[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 110, 112, 153, 204, 205, 207, 208, 220, 221, 222]
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	B_PARTIAL	9	0	2	0	0	standard:[8, 9, 10, 11, 12, 13, 14, 15, 16]
trinity-seven	トリニティセブン	B_PARTIAL	11	0	7	0	0	standard:[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
sabaku-no-maou	沙漠の魔王	C_VERSION_MIX	2	0	0	0	1	standard:[4, 6]
sebangou-0	背番号0	C_VERSION_MIX	2	1	0	0	1	standard:[3, 5]
judo-itchokusen	柔道一直線	C_VERSION_MIX	2	0	0	0	1	standard:[11, 12]
robot-santou-hei	ロボット三等兵	C_VERSION_MIX	2	0	0	0	1	standard:[6, 8]
toilet-hakase	トイレット博士	C_VERSION_MIX	4	0	0	0	1	standard:[7, 24, 25, 26]
dabide-no-hoshi	堕靡泥の星	C_VERSION_MIX	1	0	0	0	1	standard:[20]
gendai-juukyouden	現代柔侠伝	C_VERSION_MIX	5	0	0	0	1	standard:[4, 5, 7, 8, 9]
haikara-san-ga-tooru	はいからさんが通る	C_VERSION_MIX	11	0	0	0	1	standard:[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
hime-2006	姫	C_VERSION_MIX	1	0	0	5	1	standard:[3]
seibonjinden	聖凡人伝	C_VERSION_MIX	4	0	0	0	1	bunkobon:[7];standard:[6, 8, 9]
ultra-seven-1978	ウルトラセブン	C_VERSION_MIX	2	0	0	0	1	standard:[2, 4]
ura-deka	うら刑事	C_VERSION_MIX	4	0	0	0	1	standard:[4, 6, 7, 8]
tanpopo-san-no-uta	たんぽぽさんの詩	C_VERSION_MIX	1	1	0	0	1	standard:[3]
ninja-hattori-kun	忍者ハットリくん	C_VERSION_MIX	4	4	0	0	1	standard:[6, 7, 8, 9]
shin-karate-jigokuhen	新カラテ地獄変	C_VERSION_MIX	1	0	0	0	1	standard:[14]
nihonnorekishi	日本の歴史	C_VERSION_MIX	2	0	0	0	1	standard:[2, 4]
nippon-no-rekishi-2007-2	日本の歴史	C_VERSION_MIX	2	0	0	0	1	standard:[8, 9]
shinpan-himitsu-tantei-jieiei	秘密探偵JA	C_VERSION_MIX	1	1	0	0	1	bunkobon:[10]
kyattsuai	キャッツ❤アイ	C_VERSION_MIX	2	0	0	0	1	standard:[19, 20]
ue-o-shita-e-no-giretta	上を下へのジレッタ	C_VERSION_MIX	1	0	0	0	1	bunkobon:[2]
sekainorekishi	世界の歴史	C_VERSION_MIX	6	0	0	6	1	standard:[4, 5, 6, 8, 10, 12]
mobile-suit-z-gundam	機動戦士Zガンダム	C_VERSION_MIX	7	0	0	0	1	standard:[4, 5, 6, 7, 8, 9, 10]
otonashi-genjuu	音無し幻十	C_VERSION_MIX	8	0	0	0	1	standard:[2, 3, 4, 5, 6, 7, 8, 9]
mobile-suit-gundam-f90	Mobile suit gundam F90	C_VERSION_MIX	8	0	0	0	1	standard:[3, 4, 5, 6, 7, 8, 9, 10]
doughnuts-books	Doughnuts books	C_VERSION_MIX	4	0	0	0	1	standard:[28, 30, 31, 33]
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	C_VERSION_MIX	1	1	0	0	1	standard:[2]
lilliput	リリパット	C_VERSION_MIX	2	0	0	0	1	standard:[6, 8]
ruriiro-princess	るり色プリンセス	C_VERSION_MIX	9	0	0	0	1	standard:[5, 6, 7, 8, 9, 10, 11, 12, 13]
perman	パーマン	C_VERSION_MIX	2	0	0	0	1	standard:[9, 10]
red-mask	レッドマスク	C_VERSION_MIX	1	0	0	0	1	standard:[4]
tokyo-monogatari	東京物語	C_VERSION_MIX	2	2	0	0	1	standard:[7, 8]
shoichi	Shoichi	C_VERSION_MIX	1	0	0	0	1	standard:[8]
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	C_VERSION_MIX	1	0	0	0	1	standard:[4]
seiden-rg-veeda	聖伝 RG VEDA	C_VERSION_MIX	2	0	1	0	1	standard:[7, 9]
oedo-hankachou-tansakuya-gai	大江戸犯科帖 探索屋ガイ	C_VERSION_MIX	1	0	0	0	1	standard:[2]
