title	kana	authors	vols	lacking
アウトドアごはん	アウトドアゴハン		[1, 1]	巻不連続[1, 1];著者無;v1書影無(楽天)
叶精作DX	カノウセイサクDX	叶, 精作, 1949-	[1]	v1書影無(楽天)
「鬼滅の暗号」解読の書	キメツノアンゴウカイドクノショ	瀧音能之	[1]	v1書影無(楽天)
鬼滅の刃鬼殺隊血闘史最終考察	キメツノヤイバキサツタイケットウシサイシュウコウサツ		[1]	著者無;v1書影無(楽天)
恐怖!心霊&絶叫体験	キョウフ!シンレイ&amp;ゼッキョウタイケン		[1]	著者無;v1書影無(楽天)
劇画ハーレム.	ゲキガハーレム		[1]	著者無;v1書影無(楽天)
コロナ禍でマンガ/マンガ研究ができること	コロナカデマンガ/マンガケンキュウガデキルコト	日本マンガ学会編集	[1]	v1書影無(楽天)
サイボーグ009. 地下帝国"ヨミ"編	サイボーグ009	石ノ森章太郎	[1]	題不一致(NDL/楽天):サイボーグ009 地下帝国“
THE GENGA ART OF“The Haunted Castle”	ザゲンガアートオブザホーンテッドキャッスル	藤子・F・不二雄/藤子プロ 監修・協力	[1]	題不一致(NDL/楽天):THE GENGA ART 
自然なしぐさイラストポーズ集 : 自然体のキャラクターがすぐ描ける	シゼンナシグサポーズシュウ:シゼンタイノキャラクターガスグエガケル		[1]	著者無;v1書影無(楽天)
進撃の巨人 = Attack on titan	シンゲキノキョジン	諫山創著	[34]	巻不連続[34];v1書影無(楽天)
新谷かおるARTWORKS : 戦闘機から美少女まで	シンタニカオルアートワークス:セントウキカラビショウジョマデ	新谷かおる	[1]	v1書影無(楽天)
呪術廻戦 : 不倶戴天呪術戦役	ジュジュツカイセン:フグタイテンジュジュツセンエキ		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 56 (駅そば&牛丼編)	オモイデショクドウ		[56]	巻不連続[56];著者無;v1書影無(楽天)
俺流!絶品めし.	オレリュウ!ゼッピンメシ		[22, 23, 24, 25, 26, 27]	巻不連続[22, 23, 24, 25, 26, 27];著者無;v1書影無(楽天)
君と、はじめて : hatsu H anthology	キミト、ハジメテ:hatsuHanthology		[1]	著者無;v1書影無(楽天)
「鬼滅の刃」に学ぶ : なぜ、コロナ禍の中で大ヒットしたのか	キメツノヤイバニマナブ:ナゼコロナカノナカデダイヒットシタノカ	一条真也	[1]	v1書影無(楽天)
コミック艶.	コミックエン		[13, 14, 15, 16, 17, 18]	巻不連続[13, 14, 15, 16, 17, 18];著者無;v1書影無(楽天)
ごはん日和.	ゴハンビヨリ		[27, 28, 29, 30, 31, 32]	巻不連続[27, 28, 29, 30, 31, 32];著者無;v1書影無(楽天)
女のブラック掲示板.	オンナノブラックケイジバン		[2]	巻不連続[2];著者無;v1書影無(楽天)
『ガロ』に人生を捧げた男 : 全身編集者の告白	ガロニジンセイオササゲタオトコ:ゼンシンヘンシュウシャノコクハク	白取千夏雄	[1]	v1書影無(楽天)
『鬼滅の刃』が教えてくれた魂の名言	キメツノヤイバガオシエテクレタタマシイノメイゲン	『鬼滅の刃』名言研究会 [著]	[1]	v1書影無(楽天)
くっ殺ヒロインズ. SP5	クッコロヒロインズ		[5]	巻不連続[5];著者無;v1書影無(楽天)
劇画シークレット.	ゲキガシークレット		[3, 4]	巻不連続[3, 4];著者無;v1書影無(楽天)
