巻数,タイトル,最新巻発売月,未発売,状態,著者,出版社,総巻数(全版合計),slug,URL
94,キン肉マン,2026-10,予約,ongoing,ゆでたまご,shueisha,112,kinnikuman,https://mangal.shuichi0725.workers.dev/manga/kinnikuman
72,夕焼けの詩,2026-03,,ongoing,西岸良平,shogakukan,72,yuuyake-no-uta,https://mangal.shuichi0725.workers.dev/manga/yuuyake-no-uta
63,金瓶梅,2026-07,,completed,竹崎真実,bunkasha,63,kinpeibai,https://mangal.shuichi0725.workers.dev/manga/kinpeibai
62,新コボちゃん,2026-11,予約,ongoing,植田まさし,houbunsha,62,shin-kobo-chan,https://mangal.shuichi0725.workers.dev/manga/shin-kobo-chan
50,名探偵コナン特別編,2026-05,,ongoing,青山剛昌/平良隆久/阿部ゆたか/丸伝次郎/太田勝/窪田一裕,shogakukan,50,meitantei-conan-2005,https://mangal.shuichi0725.workers.dev/manga/meitantei-conan-2005
45,しずくちゃん,2026-09,,ongoing,ぎぼりつこ,iwasakishoten,45,shizuku-chan,https://mangal.shuichi0725.workers.dev/manga/shizuku-chan
40,WORST外伝グリコ,2026-10,予約,ongoing,髙橋ヒロシ/鈴木リュータ,akita,40,worst-gaiden-guriko,https://mangal.shuichi0725.workers.dev/manga/worst-gaiden-guriko
36,あおざくら,2025-04,,completed,二階堂ヒカル,shogakukan,36,aozakura,https://mangal.shuichi0725.workers.dev/manga/aozakura
35,幼女戦記,2026-08,,ongoing,東條チカ,kadokawa,35,youjo-senki,https://mangal.shuichi0725.workers.dev/manga/youjo-senki
34,ソード・オラトリア,2026-07,,ongoing,大森藤ノ/矢樹貴,square-enix,34,sword-oratoria,https://mangal.shuichi0725.workers.dev/manga/sword-oratoria
32,成長チートでなんでもできるようになったが、無職だけは辞められないようです,2026-09,,ongoing,時野洋輔/橋本良太,kadokawa,32,seichou-cheat-de-nandemo-dekiru-you-ni-nattaga-mushoku-dake-wa-yamerarenai-you-desu,https://mangal.shuichi0725.workers.dev/manga/seichou-cheat-de-nandemo-dekiru-you-ni-nattaga-mushoku-dake-wa-yamerarenai-you-desu
31,純情ロマンチカ,2026-09,,ongoing,中村春菊,kadokawa,31,junjou-romantica,https://mangal.shuichi0725.workers.dev/manga/junjou-romantica
31,蒼き鋼のアルペジオ,2026-08,,ongoing,Ark performance,shonen-gahosha,31,aoki-hagane-no-arpeggio,https://mangal.shuichi0725.workers.dev/manga/aoki-hagane-no-arpeggio
30,+ チック姉さん,2026-07,,ongoing,栗井茶,square-enix,30,plus-chikku-nee-san,https://mangal.shuichi0725.workers.dev/manga/plus-chikku-nee-san
30,KIPPO,2025-12,,completed,田中宏,shonen-gahosha,30,kippo,https://mangal.shuichi0725.workers.dev/manga/kippo
30,Q.E.D.iff,2025-04,,completed,加藤元浩,kodansha,30,q-e-d-iff,https://mangal.shuichi0725.workers.dev/manga/q-e-d-iff
30,塔の管理をしてみよう,2026-08,,ongoing,早秋/盧恩/雪笠,kadokawa,30,tou-no-kanri-o-shitemiyou,https://mangal.shuichi0725.workers.dev/manga/tou-no-kanri-o-shitemiyou
29,Murciélago,2026-07,,ongoing,よしむらかな,square-enix,29,murci-lago,https://mangal.shuichi0725.workers.dev/manga/murci-lago
29,OUT,2026-04,,ongoing,井口達也/みずたまこと,akita,29,out-mizuta,https://mangal.shuichi0725.workers.dev/manga/out-mizuta
28,ゲート,2025-11,,ongoing,竿尾悟,seiunsha,28,gate,https://mangal.shuichi0725.workers.dev/manga/gate
27,咲,2026-03,,ongoing,小林立,square-enix,27,saki,https://mangal.shuichi0725.workers.dev/manga/saki
27,終の退魔師-エンダーガイスター-,2026-10,予約,ongoing,四方山貴史,shogakukan,27,tsui-no-taimashi-endaagaisutaa,https://mangal.shuichi0725.workers.dev/manga/tsui-no-taimashi-endaagaisutaa
26,ガールズ&パンツァーもっとらぶらぶ作戦です!,2026-10,予約,ongoing,弐尉マルコ,kadokawa,26,girls-ando-panzer-motto-raburabu-sakusen-desu,https://mangal.shuichi0725.workers.dev/manga/girls-ando-panzer-motto-raburabu-sakusen-desu
25,怪物(けもの)事変,2026-08,,ongoing,藍本松,shueisha,25,kemono-jihen,https://mangal.shuichi0725.workers.dev/manga/kemono-jihen
24,クローズ外伝鳳仙花,2026-01,,completed,高橋ヒロシ,akita,24,crows-gaiden-housenka,https://mangal.shuichi0725.workers.dev/manga/crows-gaiden-housenka
24,今宵、妻が。,2026-10,予約,ongoing,佐野タカシ,nihon-bungeisha,24,koyoi-tsuma-ga,https://mangal.shuichi0725.workers.dev/manga/koyoi-tsuma-ga
24,十字架のろくにん,2026-03,,completed,中武士竜,kodansha,24,juujika-no-rokunin,https://mangal.shuichi0725.workers.dev/manga/juujika-no-rokunin
24,金色の文字使い(ワードマスター),2026-01,,ongoing,十本スイ/尾﨑祐介,kadokawa,24,konjiki-no-waado-master,https://mangal.shuichi0725.workers.dev/manga/konjiki-no-waado-master
23,信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐&『ざまぁ!』します!,2026-08,,ongoing,明鏡シスイ/大前貴史,kodansha,23,shinjite-ita-nakamatachi-ni-dungeon-okuchi-de-korosarekaketaga-gift-mugen-gacha-de-level-9999-no,https://mangal.shuichi0725.workers.dev/manga/shinjite-ita-nakamatachi-ni-dungeon-okuchi-de-korosarekaketaga-gift-mugen-gacha-de-level-9999-no
23,俺の現実は恋愛ゲーム??-かと思ったら命がけのゲームだった,2026-10,予約,ongoing,彭傑/わるいおとこ/奈栩,square-enix,23,ore-no-genjitsu-wa-love-game-ka-to-omottara-inochigake-no-game-datta,https://mangal.shuichi0725.workers.dev/manga/ore-no-genjitsu-wa-love-game-ka-to-omottara-inochigake-no-game-datta
22,Fate/Grand Order-turas réalta-,2026-05,,ongoing,TYPE-MOON/カワグチタケシ,kodansha,22,fate-grand-order-turas-r-alta,https://mangal.shuichi0725.workers.dev/manga/fate-grand-order-turas-r-alta
21,SUPER LOVERS,2026-09,,ongoing,あべ美幸,kadokawa,21,super-lovers,https://mangal.shuichi0725.workers.dev/manga/super-lovers
21,世界一初恋,2026-05,,ongoing,中村春菊,kadokawa,21,sekaiichi-hatsukoi,https://mangal.shuichi0725.workers.dev/manga/sekaiichi-hatsukoi
21,大家さんは思春期!,2026-09,,ongoing,水瀬るるう,houbunsha,21,ooya-san-wa-shishunki,https://mangal.shuichi0725.workers.dev/manga/ooya-san-wa-shishunki
21,実は俺、最強でした?,2026-09,,ongoing,澄守彩/高橋愛,kodansha,21,jitsu-wa-ore-saikyou-deshita,https://mangal.shuichi0725.workers.dev/manga/jitsu-wa-ore-saikyou-deshita
20,とある科学の超電磁砲,2025-06,,completed,冬川基/鎌池和馬,kadokawa,20,toaru-kagaku-no-railgun,https://mangal.shuichi0725.workers.dev/manga/toaru-kagaku-no-railgun
20,戦国小町苦労譚,2026-06,,ongoing,夾竹桃/平沢下戸/沢田一,earth-star,20,sengoku-komachi-kurou-tan,https://mangal.shuichi0725.workers.dev/manga/sengoku-komachi-kurou-tan
20,王国へ続く道,2026-07,,ongoing,湯水快/伊藤寿規,kadokawa,20,oukoku-e-tsuzuku-michi,https://mangal.shuichi0725.workers.dev/manga/oukoku-e-tsuzuku-michi
19,ドローイング,2026-07,,ongoing,林達永/金光鉉,kill-time-communication,19,drawing,https://mangal.shuichi0725.workers.dev/manga/drawing
19,ファイブスター物語,2026-05,,ongoing,永野護,kadokawa,19,faibu-star-stories,https://mangal.shuichi0725.workers.dev/manga/faibu-star-stories
19,マチネとソワレ,2026-09,,ongoing,大須賀めぐみ,shogakukan,19,machine-to-soiree,https://mangal.shuichi0725.workers.dev/manga/machine-to-soiree
19,姫様拷問の時間です,2026-01,,completed,春原ロビンソン/ひらけい,shueisha,19,hime-sama-goumon-no-jikan-desu,https://mangal.shuichi0725.workers.dev/manga/hime-sama-goumon-no-jikan-desu
19,治癒魔法の間違った使い方,2026-10,予約,ongoing,九我山レキ,kadokawa,19,chiyu-mahou-no-machigatta-tsukaikata,https://mangal.shuichi0725.workers.dev/manga/chiyu-mahou-no-machigatta-tsukaikata
19,解雇された暗黒兵士〈30代〉のスローなセカンドライフ,2026-07,,ongoing,岡沢六十四/るれくちぇ,kodansha,19,kaikosareta-sareta-ankoku-heishi-30-dai-no-slow-na-sekando-life,https://mangal.shuichi0725.workers.dev/manga/kaikosareta-sareta-ankoku-heishi-30-dai-no-slow-na-sekando-life
18,異世界(ファンタジー)美少女受肉おじさんと,2026-06,,ongoing,池澤真/津留崎優,shogakukan,18,fantasy-bishoujo-juniku-oji-san-to,https://mangal.shuichi0725.workers.dev/manga/fantasy-bishoujo-juniku-oji-san-to
17,Wジュリエット2,2026-07,,ongoing,絵夢羅,hakusensha,17,w-juliet-2,https://mangal.shuichi0725.workers.dev/manga/w-juliet-2
