title	kana	authors	vols	lacking
アウトドアごはん. No.	アウトドアゴハン		[11, 12, 14]	巻不連続[11, 12, 14];著者無;v1書影無(楽天)
あなたが体験した怖い話 : 守護霊vs. 邪悪霊	アナタガタイケンシタコワイハナシ:シュゴレイvs.ジャアクレイ		[1]	著者無;v1書影無(楽天)
ANIME & MANGA Digital COLORING Guide : Choose the Colors That Bring Your Drawings to Life!	アニメアンドマンガデジタルカラーリングガイド:チューズザカラーズザットブリングユ	Teruko Sakurai [著]	[1]	v1書影無(楽天)
俺流!絶品めし.	オレリュウ!ゼッピンメシ		[34, 35, 36, 37, 38, 39, 40]	巻不連続[34, 35, 36, 37, 38, 39, 40];著者無;v1書影無(楽天)
カラッポの主人公 : 名作マンガ再々読	カラッポノシュジンコウ:メイサクマンガサイサイドク	上田啓太	[1]	v1書影無(楽天)
危機の時代に読み解く『風の谷のナウシカ』	キキノジダイニヨミトクカゼノタニノナウシカ	朝日新聞社/赤坂憲雄, 杏, 稲葉振一郎, 大木毅, 大澤真幸, 大童澄瞳, 叶精二, 川上弘美, 小泉悠, 河野真太郎, 佐藤雄亮, 杉本バウエンスジェシカ, 鈴木涼美, 鈴木敏夫, 竹宮惠子, 長沼毅, 福岡伸一, 宮崎哲弥	[1]	v1書影無(楽天)
銀河鉄道の夜 : new version四次稿編	ギンガテツドウノヨル:newversionヨジコウヘン	宮沢賢治原作 ; ますむらひろし作画 ; 増村昭子彩色	[3, 4]	巻不連続[3, 4];v1書影無(楽天)
ゴーストワールド	ゴーストワールド	ダニエル・クロウズ著 ; 山田祐史, Presspop Lab日本語翻訳 ; 峯岸康隆編集	[1]	v1書影無(楽天)
The Long Journey's Diary|A COMIC|	ザロングジャーニーズダイアリーアコミック	浅田弘幸	[1]	v1書影無(楽天)
週刊文春エンタ+特集80年代!少年マンガの熱狂	シュウカンブンシュンエンタプラストクシュウハチジュウネンダイショウネンマンガノネ		[1]	著者無;v1書影無(楽天)
朝ごはん : 朝ごはん亭へようこそ♪	アサゴハン:アサゴハンテイエヨウコソ♪		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 68 (きつねうどん編)	オモイデショクドウ		[68]	巻不連続[68];著者無;v1書影無(楽天)
くっ殺ヒロインズ. SP13	クッコロヒロインズ		[13]	巻不連続[13];著者無;v1書影無(楽天)
コミック艶.	コミックエン		[25, 26, 27, 28, 29, 30]	巻不連続[25, 26, 27, 28, 29, 30];著者無;v1書影無(楽天)
コミック版三国志.	コミックバンサンゴクシ	[羅貫中] [原作]/能田達規	[1, 2, 3]	v1書影無(楽天)
ごはん日和.	ゴハンビヨリ		[39, 40, 41, 42, 43, 44]	巻不連続[39, 40, 41, 42, 43, 44];著者無;v1書影無(楽天)
OTOMO THE COMPLETE WORKS.	オオトモザコンプリートワークス	大友克洋	[1, 5, 24]	巻不連続[1, 5, 24];題不一致(NDL/楽天):銃声
君は世界で一番美しい色 = You are the best colour in the world.	キミワセカイデイチバンウツクシイイロ	Golo Zhao/[BPS株式会社] [翻訳協力]	[1, 2, 3]	題不一致(NDL/楽天):君は世界で一番美しい色1
心を熱くするスラムダンクの言葉 = SLAM DUNK SPECIAL WORDS	ココロオアツクスルスラムダンクノコトバ	齋藤孝	[1]	v1書影無(楽天)
異種姦百合えっち	イシュカンユリエッチ		[1]	著者無;v1書影無(楽天)
思い出食堂. No. 69 (祖母のお赤飯編)	オモイデショクドウ		[69]	巻不連続[69];著者無;v1書影無(楽天)
今日から!新生活ごはん : 初めてのしょうが焼き : グリーンカレー、三色弁当、他人丼♪	キョウカラ!シンセイカツゴハン:ハジメテノショウガヤキ:グリーンカレー、サンショ		[1]	著者無;題不一致(NDL/楽天):今日から!新生活ごはん 初め
業界の裏側大バクロSP : 本当にあった笑える話	ギョウカイノウラガワダイバクロSP:ホントウニアッタワラエルハナシ		[1]	著者無;v1書影無(楽天)
Qpano. 2023sunny spring	クパノ		[2023]	巻不連続[2023];著者無;v1書影無(楽天)
クリスタはじめての漫画制作入門 : 漫画づくりの流れがすっきりわかる!	クリスタハジメテノマンガセイサクニュウモン:マンガズクリノナガレガスッキリワカル	まりむぅ	[1]	v1書影無(楽天)
決定版!!漫画原作の書き方 : 原稿作成からデビューまで!	ケッテイバンマンガゲンサクノカキカタ:ゲンコウサクセイカラデビューマデ	高津太郎	[1]	v1書影無(楽天)
AISHA : 愛と殺戮の童話.	アイシャ:アイトサツリクノドウワ	法吉特/[BPS株式会社] [翻訳協力]	[1]	題不一致(NDL/楽天):AISHA 愛と殺戮の童話
あなたが体験した怖い話 : 自殺霊の呪い	アナタガタイケンシタコワイハナシ:ジサツレイノノロイ		[1]	著者無;v1書影無(楽天)
くっ殺ヒロインズ. SP14	クッコロヒロインズ		[14]	巻不連続[14];著者無;v1書影無(楽天)
三条陸HERO WORKS	サンジョウリクヒーローワークス	三条陸	[1]	v1書影無(楽天)
アダムス・ファミリー全集	アダムスファミリーゼンシュウ	チャールズ・アダムス/H・ケヴィン・ミゼロッキ	[1]	v1書影無(楽天)
オタクのたのしい創作論	オタクノタノシイソウサクロン	カレー沢薫	[1]	v1書影無(楽天)
思い出食堂. No. 70 (人情のカツ定食編)	オモイデショクドウ		[70]	巻不連続[70];著者無;v1書影無(楽天)
コンビニ : 大好き!ツナマヨおにぎり	コンビニ:ダイスキ!ツナマヨオニギリ		[1]	著者無;題不一致(NDL/楽天):コンビニ 大好き!ツナマヨお
#新人漫画家と編集者 : SNSでバズ連発の漫画家が教えるヒット術	シンジンマンガカトヘンシュウシャ:エスエヌエスデバズレンパツノマンガカガオシエル	洋介犬	[1]	v1書影無(楽天)
