title	kana	authors	vols	lacking
あいとえき	アイトエキ	fu-ta	[1]	v1書影無(楽天)
青池保子 : 騒がしき男たちとマンガの冒険	アオイケヤスコ:サワガシキオトコタチトマンガノボウケン	青池保子/芸術新潮編集部	[1]	題不一致(NDL/楽天):青池保子 騒がしき男たちとマ
青の秘密 = Secrets in Blue	アオノヒミツ		[1]	著者無
アナザー・フロンティア・オンライン~生産系スキルを極めたらチートなNPCを雇えるようになりました~@COMIC.	アナザーフロンティアオンラインセイサンケイスキルオキワメタラチートナエヌピーシー	fufu/ぺんぎん	[8]	巻不連続[8];v1書影無(楽天)
あなたが体験した怖い話 : 前世の怖い因縁	アナタガタイケンシタコワイハナシ:ゼンセノコワイインネン		[1]	著者無;v1書影無(楽天)
妖 : 輪廻の事件簿	アヤカシ:リンネノジケンボ	山本まゆり, 一綺サチア, 三原千恵利, 紫垣まゆみ, 冬森雪湖/説話社 編集	[1]	題不一致(NDL/楽天):妖ー輪廻の事件簿ー
アンダーザスカート	アンダーザスカート	SAEKI	[1]	v1書影無(楽天)
イケナイことだ~いすき	イケナイコトダーイスキ	mirudora	[1]	v1書影無(楽天)
いけないよ、佐藤先生!	イケナイヨサトウセンセイ	高野真之	[1]	v1書影無(楽天)
陰キャ優等生の性交体験	インキャユウトウセイノセイコウタイケン	広乃あずま	[1]	v1書影無(楽天)
淫謀	インボウ	シャイン・ナビス	[1]	v1書影無(楽天)
羽林、乱世を翔る : 異伝淡海乃海.	ウリンランセオカケル:イデンアフミノウミ	藤科遥市/イスラーフィール	[4]	巻不連続[4];v1書影無(楽天)
運命の番?ならばその赤い糸とやら切り捨てて差し上げましょう@COMIC = Threads of Fate?Well Then,I Shall Cut It Off.	ウンメイノツガイナラバソノアカイイトトヤラキリステテサシアゲマショウアットマーク	南澤久佳/音無砂月	[7]	巻不連続[7];v1書影無(楽天)
王子様などいりません! = I don't need a prince. : 脇役の金持ち悪女に転生していたので、今世では贅沢三昧に過ごします.	オウジサマナドイリマセン	ゆいまーる/別所燈	[1]	題不一致(NDL/楽天):王子様などいりません! 1 
応天の門 = Ohten no mon	オウテンノモン	灰原薬 [著]	[20]	巻不連続[20];v1書影無(楽天)
おーばーふろぉ. [7]	オーバーフロォ	かいづか	[7]	巻不連続[7];v1書影無(楽天)
顔が見分けられない伯爵令嬢ですが、悪人公爵様に溺愛されています@COMIC = She is a countess whose face is unrecognizable,but she is doted upon by the evil	カオガミワケラレナイハクシャクレイジョウデスガアクニンコウシャクサマニデキアイサ	樋木ゆいち/櫻田りん	[2]	巻不連続[2];v1書影無(楽天)
鴉天狗様と最愛の契り : 落ちこぼれの私が、最強のあやかしに執着されるまで.	カラステングサマトサイアイノチギリ:オチコボレノワタシガサイキョウノアヤカシニシ	七瀬なつ/琴子	[1]	題不一致(NDL/楽天):鴉天狗様と最愛の契り〜落ちこ
カワイイ恋は着飾らない = DON'T DRESS UP MY SWEET SWEET LOVE.	カワイイコイワキカザラナイ	直正也	[2, 3]	巻不連続[2, 3];v1書影無(楽天)
監禁飼育 : JKペット	カンキンシイク:ジェイケイペット	やまのべきった	[1]	v1書影無(楽天)
キミ推しっ!	キミオシッ	雨宮ミズキ	[1]	v1書影無(楽天)
キミの本性を曝して	キミノホンショウオサラシテ	れい	[1]	v1書影無(楽天)
キラー通りのソムリエ探偵.	キラードオリノソムリエタンテイ	天樹征丸/草壁エリザ	[3]	巻不連続[3];v1書影無(楽天)
KING of the PARADISE	キングオブザパラダイス	Karl	[1]	v1書影無(楽天)
薬屋のひとりごと : 猫猫の後宮謎解き手帳	クスリヤノヒトリゴト:マオマオノコウキュウナゾトキテチョウ	日向夏原作 ; 倉田三ノ路作画 ; しのとうこキャラクター原案	[20, 21]	巻不連続[20, 21];v1書影無(楽天)
グランアヴェール : お守りの魔導師は最推しラスボスお兄様を救いたい.	グランアヴェール:オマモリノマドウシワサイオシラスボスオニイサマオスクイタイ	彩戸ゆめ/夏河もか	[3]	巻不連続[3];v1書影無(楽天)
ケモミミの占術師	ケモミミノセンジュツシ	れぐでく	[1]	v1書影無(楽天)
賢者の弟子を名乗る賢者 = She professed herself pupil of the wise man. : THE COMIC.	ケンジャノデシオナノルケンジャ	すえみつぢっか/りゅうせんひろつぐ	[13]	巻不連続[13];v1書影無(楽天)
皇帝陛下のスキャンダル☆ベイビー : 逃亡するはずが甘く捕まえられました.	コウテイヘイカノスキャンダルベイビー:トウボウスルハズガアマクツカマエラレマシタ	佐東ゆかり/藍杜雫	[2, 3]	巻不連続[2, 3];v1書影無(楽天)
アイアンファミリア = IRON FAMILIAR.	アイアンファミリア	竜丸	[5]	巻不連続[5];v1書影無(楽天)
青池保子『エロイカより愛をこめて』の世界	アオイケヤスコエロイカヨリアイオコメテノセカイ		[1]	著者無
あなたにご奉仕するために	アナタニゴホウシスルタメニ	可座ミドリ	[1]	v1書影無(楽天)
あの、もう1回しませんか...?	アノモウイッカイシマセンカ	ろうか	[1]	v1書影無(楽天)
異種族ラブガールズ	イシュゾクラブガールズ	アシオミマサト	[1]	v1書影無(楽天)
異世界!異文化!性交流!	イセカイイブンカセイコウリュウ	由雅なおは	[1]	v1書影無(楽天)
異世界に来たみたいだけど如何すれば良いのだろう : 社畜SEのマイペース冒険記.	イセカイニキタミタイダケドドウスレバヨイノダロウ:シャチクSEノマイペースボウケ	舞/天野こひつじ	[4]	巻不連続[4];v1書影無(楽天)
イリオス = IΛIOΣ.	イリオス	円城寺真己	[10]	巻不連続[10];v1書影無(楽天)
淫辱迷宮 : エロトラップで乱れ咲く魔勇	インジョクメイキュウ:エロトラップデミダレザクマユウ	へたれん	[1]	v1書影無(楽天)
淫足のマリオネット : 触手に溺れるオトメ達	インソクノマリオネット:ショクシュニオボレルオトメタチ	蘭田夢	[1]	v1書影無(楽天)
写らナイんです = The ghost doesn't show up.	ウツラナインデス	コノシマルカ	[3]	巻不連続[3];v1書影無(楽天)
えろいことするために巨乳美少女奴隷を買ったはずが、お師匠さまと慕われて思った通りにいかなくなる話.	エロイコトスルタメニキョニュウビショウジョドレイオカッタハズガオシショウサマトシ	佐藤36/煮豆シューター	[6]	巻不連続[6];v1書影無(楽天)
思い出食堂. No. 80 (熱々♨ハンバーグ編)	オモイデショクドウ		[80]	巻不連続[80];著者無;v1書影無(楽天)
Kaiju on the Earthボルカルス = KAIJU ON THE EARTH VULCANUS.	カイジュウオンジアースボルカルス	渡辺範明/中道裕大	[3]	巻不連続[3];v1書影無(楽天)
