slug	isbn	title	rakuten_kana	ndl_kana
ma-me-ga-kikanai-ore-wa-otogi-hanashi-no-yon-dai-maou-ni-dekiai-sare-teiru	9784065441244	魔眼が効かない俺は、御伽話の四大魔王に溺愛されている。	マガンガキカナイオレハ、オトギバナシノヨンダイマオウニデキアイサレテイル	マガンガキカナイオレハ オトギバナシノヨンダイマオウニデキアイサレテイル(001)
kouhaichan-wa-yarisugiru	9784065444085	後輩ちゃんはやりすぎる	コウハイチャンハヤリスギル	コウハイチャンハヤリスギル(001)
yosoji-fukuda-no-ore-gohan	9784065444900	四十路福田の俺ご飯	ヨソジフクダノオレゴハン	ヨソジフクダノオレゴハン(001)
jiko-bukken-de-neko-o-kau	9784107729552	事故物件で猫を飼う	ジコブッケンデネコヲカウイチ	ジコブッケンデネコヲカウ01
kodomo-hiro-yuki	9784065441893	こどもひろゆき	コドモヒロユキ	コドモヒロユキ(001)
aishi-tehoshiino-wa-ore-janai-noni	9784065442722	愛してほしいのは俺じゃないのに！　〜BLゲームの悪役令息に転生したのに嫌われなくて困ってます〜	アイシテホシイノハオレジャナイノニ! ~ビーエルゲームノアクヤクレイソクニテンセイシタノニキラワレナクテコマッテマス~	アイシテホシイノハオレジャナイノニ! ~ビーエルゲームノアクヤクレイソクニテンセイシタノニキラワレナクテコマッテマス~(001)
maajan-combo-riron-hou-juuritsu-no-mitsumori-to-oshibiki-senjutsu	9784801949782	麻雀コンボ理論　放銃率の見積もりと押し引き戦術	マージャンコンボリロン　ホウジュウリツノミツモリトオシヒキセンジュツ	マージャン コンボ リロン : ホウジュウリツ ノ ミツモリ ト オシヒキ センジュツ
comic-essei-asuperugaa-shoukougun-to-no-jouzuna-tsukiaikata-nyuumon-zouho-kaitei	9784299080325	コミックエッセイ アスペルガー症候群との上手なつきあい方入門 増補改訂版	コミックエッセイアスペルガーショウコウグントノジョウズナツキアイカタニュウモンゾウホカイテイバン	コミックエッセイジヘイスペクトラムショウエーエスディートノジョウズナツキアイカタニュウモン
tomodachiijou-koibitomiman-no-mahoutsukaitachi	9784824207463	友だち以上恋人未満の魔法使いたち	トモダチイジョウコイビトミマンノマホウツカイタチ	トモダチイジョウコイビトミマンノマホウツカイタチ : リュウオウヘイカモカーストジョウイジョシモワタシノジンセイノジャマハシナイデクダサイ
fuguushoku-tamer-nasei-de-party-o-tsuihou-sareta-node-henkyou-de-slow-life-o-oku	9784824207302	不遇職『テイマー』なせいでパーティーを追放されたので、辺境でスローライフを送ります	フグウショクテイマーナセイデパーティーヲツイホウサレタノデヘンキョウデスローライフヲオクリマス	フグウショクテイマーナセイデパーティーヲツイホウサレタノデヘンキョウデスローライフヲオクリマス : ヤクタタズトツイホウサレタオトコヘンキョウカイタクノシュワンハイチリュウニツキ
kanchigaida-yo-ne-senookun	9784813766407	勘違いだよね？瀬尾くん。	カンチガイダヨネセオクンイチ	カンチガイダヨネセオクン
mangaban-bright-prison-gakuen-no-kegareta-junjou	9784065446003	漫画版　ブライト・プリズン　学園の穢れた純情	マンガバンブライトプリズン ガクエンノケガレタジュンジョウ	マンガバンブライトプリズン(001)
sekokan	9784065447475	セコカン！	セコカン	セコカン(001)
juri-to-erena-no-mori-no-soudansho	9784824207227	ジュリとエレナの森の相談所	ジュリトエレナノモリノソウダンジョ	ジュリトエレナノモリノソウダンジョ : フヨノチカラデアナタノミライヲオマモリシマス
dekai-wa-chi	9784041175590	でかいはち	デカイハチ	デカイハチ（１）
manga-de-wakaru-hajimete-no-ninchishou-kea-to-assessment	9784815627652	マンガでわかるはじめての認知症ケアとアセスメント	マンガデワカルハジメテノニンチショウケアトアセスメント	マンガデワカルハジメテノニンチショウケアトアセスメント : リンショウノゲンバデアスカラツカエル
seiryaku-yori-ai-o-eranda-kekkon	9784434370151	政略より愛を選んだ結婚。	セイリャクヨリアイヲエランダケッコン	セイリャクヨリアイヲエランダケッコン : コウカイハジュウネンゴニヤッテキタ
maousama-wa-kaifuku-majutsu-o-kiwametai	9784824207135	魔王様は回復魔術を極めたい	マオウサマハカイフクマジュツヲキワメタイ	マオウサマハカイフクマジュツヲキワメタイ : ソノセイジョセカイサイキョウニツキ
sudamadoro	9784434381485	魑魅どろ	チミドロ	チミドロ : ホウガミニンポウチョウ
