slug	title	author	category	ndl_records
finding-dory	ファインディング・ドリー	(unknown)	NO_NDL	0
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	虎哉孝征	COMPLEX	18
final-fantasy-lost-stranger-2021	Final fantasy lost stranger	むつきらん	NO_NDL	0
guresanpo	グレさんぽ	グレゴリ青山	COMPLEX	6
trinity-seven	トリニティセブン	奈央晃徳	COMPLEX	118
honda-kanoko-no-hondana	本田鹿の子の本棚	佐藤将	COMPLEX	24
kusuriya-no-hitorigoto-shino-2017	薬屋のひとりごと	ねこクラゲ	COMPLEX	46
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	カワグチタケシ	NO_NDL	0
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	さばねこ	COMPLEX	26
neko-youkai	ねこようかい	ぱんだにあ	COMPLEX	22
neko-youkai-gorogoro	ねこようかいゴロゴロ	ぱんだにあ	COMPLEX	2
neko-youkai-mugyutsu	ねこようかいムギュッ!	ぱんだにあ	COMPLEX	2
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	きくち正太	COMPLEX	18
chibikasu-kun	チビカスくん	村瀬範行	COMPLEX	12
mashou-no-ahosuta-san	マショウのあほすたさん	あほすたさん	COMPLEX	6
sekai-o-sukuu-tame-ni-watashi-to-asachun-dekimasu-ka	世界を救うために亜人(わたし)と朝チュンできますか?	音井れこ丸	COMPLEX	14
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	森ゆきなつ	COMPLEX	2
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	マジコ!	COMPLEX	14
douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne	どうやら私の身体(からだ)は完全無敵のようですね	さばねこ	COMPLEX	4
in-hand-2019	インハンドプロローグ	朱戸アオ	COMPLEX	4
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	やまち	COMPLEX	6
imootaru-princess-hajimemashita	人外姫様(イモータルプリンセス)、始めました	割田コマ	COMPLEX	20
suki-ni-sasete-miseru-kara	好きにさせてみせるから!	衣田ぬぬ	COMPLEX	16
nichi-nichi-sora-no-tayori	日・日・天(そら)のたより	夢路行	COMPLEX	14
kumo-desu-nanika	蜘蛛ですが、なにか?	グラタン鳥	COMPLEX	28
shiori-experience-2021	Shiori experience	長田悠幸	COMPLEX	22
pachinko	ぱちん娘(こ)。	若林稔弥	COMPLEX	10
new-normal	ニューノーマル	しゅがーぺろぺろ	NO_NDL	0
niwatori-fighter	ニワトリ・ファイター	桜谷シュウ	COMPLEX	22
himekishi-wa-barubaroi-no-yome	姫騎士は蛮族(バルバロイ)の嫁	コトバノリアキ	COMPLEX	14
heisei-kochikame-13-nen	平成こち亀13年	秋本治	COMPLEX	4
heisei-kochikame-14-nen	平成こち亀14年	秋本治	COMPLEX	4
heisei-kochikame-15-nen	平成こち亀15年	秋本治	COMPLEX	4
heisei-kochikame-16-nen	平成こち亀16年	秋本治	COMPLEX	4
heisei-kochikame-17-nen	平成こち亀17年	秋本治	COMPLEX	4
heisei-kochikame-18-nen	平成こち亀18年	秋本治	COMPLEX	4
heisei-kochikame-19-nen	平成こち亀19年	秋本治	COMPLEX	4
koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	恋ヶ窪くんにはじめてを奪われました	美麻りん	COMPLEX	20
netoraretemo-anata-no-kanojo	寝取られてもアナタのカノジョ。	ももしか藤子	COMPLEX	12
heisei-kochikame-20-nen	平成こち亀 20年	秋本治	COMPLEX	4
heisei-kochikame-21-nen	平成こち亀 21年	秋本治	COMPLEX	4
heisei-kochikame-22-nen	平成こち亀 22年	秋本治	COMPLEX	4
heisei-kochikame-23-nen	平成こち亀23年	秋本治	COMPLEX	4
heisei-kochikame-24-nen	平成こち亀24年	秋本治	COMPLEX	4
heisei-kochikame-25-nen	平成こち亀25年	秋本治	COMPLEX	4
skill-rendaa-no-torikaeshi	技巧貸与(スキル・レンダー)のとりかえし	小山ナオト	COMPLEX	14
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	桜木さゆみ	COMPLEX	8
kusattemo-neko-nanode	くさっても猫なので	ふかさわ映	NO_NDL	0
densetsu-no-yarichin-vs-teppeki-no-shiriana	伝説のヤリチンvs鉄壁の尻穴	ととふみ	COMPLEX	10
heisei-kochikame-26-nen	平成こち亀26年	秋本治	COMPLEX	4
heisei-kochikame-27-nen	平成こち亀27年	秋本治	COMPLEX	4
heisei-kochikame-28-nen	平成こち亀28年	秋本治	COMPLEX	4
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	服部了	NO_NDL	0
jiiteiiyuu-ikari-no-desu-yamada	GTU-怒りのDEATH山田-	藤沢とおる	COMPLEX	4
