slug	title	author	category	ndl_records
out	アウト	麻生歩	COMPLEX	22
saibaa-comics	サイバーコミックス	こやま基夫	COMPLEX	2
doctor-hankotsui	ドクター反骨医	根本テツヤ	NO_NDL	0
perman	パーマン	藤子・F・不二雄	COMPLEX	88
manga-ningen-no-jouken	マンガ人間の條件	石川森彦	NO_NDL	0
red-mask	レッドマスク	横山光輝	COMPLEX	36
ningen-no-jouken	人間の條件	石川森彦	NO_NDL	0
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	叶精作	COMPLEX	46
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	叶精作	COMPLEX	120
myououden-rei	明王伝レイ	菊池としを	COMPLEX	52
nagi	椰	流水凜子	COMPLEX	22
hana-takeda-1988	花	武田京子	COMPLEX	10
wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	新井雅人	COMPLEX	8
fuuhai-ni-kike	風牌に訊け	嶺岸信明	COMPLEX	12
marubou-kabushikigaisha	〔○暴〕株式会社	緒方恭二	COMPLEX	52
shippo-ga-tomodachi	シッポがともだち	桜沢エリカ	COMPLEX	40
hardboiled-daddy	ハードボイルド・ダディ	石原浩平	COMPLEX	10
lemon-kids	レモンキッズ	AKIRA	COMPLEX	12
gekiga-ningen-kakumei	劇画人間革命	石井いさみ	COMPLEX	108
nomizukushi-sakezukushi	呑みづくし酒づくし	まきのこうじ	COMPLEX	6
youma-no-fuuin	妖魔の封印	葉月しのぶ	COMPLEX	50
tokyo-monogatari	東京物語	いしかわじゅん	COMPLEX	26
ariel-comic	ARIEL COMIC	笹本祐一	COMPLEX	8
shoichi	Shoichi	神田たけ志	COMPLEX	22
nee-try-shite	ねえトライ（try）して!	かわだ寛	COMPLEX	4
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	はた万次郎	COMPLEX	6
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	COMPLEX	2
power-bomb-theater	パワーボムtheater	青山広美	NO_NDL	0
kenrou-densetsu	犬狼伝説	藤原カムイ	COMPLEX	16
seiden-rg-veeda	聖伝 RG VEDA	CLAMP	COMPLEX	28
hana-no-deka	花の慶次	原哲夫	COMPLEX	120
shamo-1990	軍鶏	篠原とおる	COMPLEX	8
seishun	青春	国友やすゆき	COMPLEX	6
quartet	かるてっと	山花典之	NO_NDL	0
mameda-sensei	まめだ先生	高知市浦戸小学校5年	COMPLEX	2
manga-girishia-shinwa-1991	まんがギリシア神話	石原しゅん	COMPLEX	8
image	イマージュ	すたんだっぷ	COMPLEX	62
jiimago-rhapsody	ジイマゴらぷそでぃー	高井研一郎	COMPLEX	8
basutaado	バスタード	萩原一至	COMPLEX	118
waibaan-no-kodomotachi	ワイバーンの子供たち	和由宇子	COMPLEX	8
oedo-hankachou-tansakuya-gai	大江戸犯科帖 探索屋ガイ	さいとう・たかを	COMPLEX	10
tokyo-babylon	東京BABYLON	CLAMP	COMPLEX	64
intron-depot	INTRON DEPOT	士郎正宗	COMPLEX	24
oruchuban-ebichu	おるちゅばんエビちゅ	伊藤理佐	COMPLEX	22
heba-hello-chan	へば!Helloちゃん	小林まこと	COMPLEX	16
fire-emblem-watanabe-1992	ファイアーエムブレム	佐野まさき	NO_NDL	0
pose-file	ポーズ・ファイル	(unknown)	NO_NDL	0
zenkan-shutsugeki	全艦出撃!!	ふくやまけいこ	NO_NDL	0
yume-maboroshi-no-gotoku	夢幻の如く	本宮ひろ志	COMPLEX	52
shouta-no-sushi	将太の寿司	寺沢大介	COMPLEX	120
chou-puroresu-fun-rendetsu	最狂超プロレスファン烈伝	徳光康之	COMPLEX	16
sora-no-ue-no-aren	空の上のアレン	筒井百々子	COMPLEX	8
hashire-merosu	走れメロス	太宰治	COMPLEX	120
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	かわぐちかいじ	COMPLEX	12
umanari-1-haron-theater	馬なり1ハロン劇場	よしだみほ	COMPLEX	56
1-yamamoto-1993	1	山本英夫	COMPLEX	120
kuooto-ando-half	1/4×1/2	篠原烏童	COMPLEX	18
joker	JOKER	道原かつみ	COMPLEX	16
sleeping-beauty-clinic	Sleeping beauty clinic	江ノ本瞳	COMPLEX	4
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	戸川視友	COMPLEX	20
alice-no-ochakai	アリスのお茶会	和田エリカ	COMPLEX	12
super-mario-kun	スーパーマリオくん	嵩瀬ひろし	COMPLEX	26
takeru-1997-2	タケル	葉月京	NO_NDL	0
pink-chan-v	ピンクちゃんV	蒔野靖弘	NO_NDL	0
fire-emblem-1993	ファイアーエムブレム	島田ひろかず	COMPLEX	2
platonic	プラトニック	東宮千子	COMPLEX	14
hana	花	さそうあきら	COMPLEX	10
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	遊人	COMPLEX	6
ryoushuu	領袖	さいとう・たかを	COMPLEX	26
cobra-1995	Cobra	寺沢武一	COMPLEX	120
crew-1994	Crew 1994	御茶漬海苔	COMPLEX	2
omega-7	Omega 7	小林源文	COMPLEX	16
x-men-1994-3	X-MEN	中原れい	NO_NDL	0
x-men-1994-5	X-MEN	児嶋都	NO_NDL	0
x-men-1994	X-MEN	ヒグチヒロシ	NO_NDL	0
x-men	X-MEN	レイニル・フランシス・ユー	NO_NDL	0
chotto-dake-kaettekita-dokutaa-slump	ちょっとだけかえってきたDr.SLUMP	中鶴勝祥	NO_NDL	0
x-men-1994-4	エックスメン	児嶋都	COMPLEX	2
bird	バード	かざま鋭二	COMPLEX	16
piasu-club	ピアスクラブ	しのざき嶺	COMPLEX	2
fire-emblem-4-koma-manga-gekijou	ファイアーエムブレム4コママンガ劇場	魔神ぐり子	NO_NDL	0
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	G・G・C	NO_NDL	0
yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	企画	COMPLEX	26
hanamori-no-kitsune	花守の狐	西澤暁	COMPLEX	6
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	伊東岳彦	COMPLEX	4
onmyouji	陰陽師	岡野玲子	COMPLEX	62
canon-1995	CANON	潮見知佳	COMPLEX	10
sprite-arimura-1995	SPRITE	有村しのぶ	COMPLEX	28
atagoul	アタゴオル	ますむらひろし	COMPLEX	120
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	ゲームドラゴンクエストシリーズ	NO_NDL	0
b-t-x	ビート・エックス	車田正美	COMPLEX	64
macross-7-trash-2009	マクロス7trash	美樹本晴彦	COMPLEX	8
shousetsu-fajji	小説FUDGE	原田やよい	COMPLEX	8
gensou-tairiku	幻想大陸	夜麻みゆき	COMPLEX	14
gekki	月姫	穂実あゆこ	COMPLEX	6
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	松浦まさふみ	COMPLEX	4
dr-typhoon-1996	Dr.Typhoon	かざま鋭二	COMPLEX	10
kiss-de-goukaku	Kissで合格	粕谷紀子	COMPLEX	2
perfect-angel-lip	Perfectエンジェルリップ	雨宮淳	COMPLEX	4
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	坂辺周一	COMPLEX	8
yatteranneeze	やってらんねェぜ!	こいでみえこ	COMPLEX	12
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	むっちりむうにい	NO_NDL	0
purodeyuusaa-ni-naritai	プロデューサーになりたい	磯山晶	COMPLEX	4
ring-1996	リング	永井幸二郎	COMPLEX	4
shitsurakuen-1996	失楽園	ジェームスほたて	COMPLEX	2
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	田島みるく	COMPLEX	120
shinpi-no-sekai-eruhazaado-tsubura-1996	神秘の世界エルハザード	つぶらひでとも	COMPLEX	6
hana-1996	花	松野美鳥	COMPLEX	4
yasei-densetsu	野性伝説	矢口高雄	COMPLEX	34
botsu-chan-no-jidai	『坊っちゃん』の時代	谷口ジロー	COMPLEX	66
hajime-ningen-gon	はじめ人間ゴン	しのだひでお	NO_NDL	0
anata-ni-mo-angel	アナタにもAngel	石原浩平	COMPLEX	14
condor-king	コンドル・キング	武内つなよし	COMPLEX	40
jinjuu-houretsuden	仁獣芳烈伝	森本秀	COMPLEX	26
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	窪田一裕	COMPLEX	60
meitantei-conan-2005	名探偵コナン特別編	阿部ゆたか	COMPLEX	28
mazin-saga-nagai	魔神サーガ	永井豪	COMPLEX	2
generous-kiss	GENEROUS KISS	かんべあきら	COMPLEX	2
shadow-skill	Shadow skill	岡田芽武	COMPLEX	60
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	きくち正太	COMPLEX	38
dekirukana	できるかな	西原理恵子	COMPLEX	26
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	琴川彩	COMPLEX	2
bolt-and-nut	ボルト＆ナット	田中むねよし	COMPLEX	34
shiro-no-fiorenteiina	白のフィオレンティーナ	戸川視友	COMPLEX	62
b-t-x-1999	B'T X-ビート・エックス-	車田正美	NO_NDL	0
duel-masters	DUEL MASTERS	松本しげのぶ	COMPLEX	86
rave	Rave	真島ヒロ	COMPLEX	120
samurai-deeper-kyo	SAMURAI DEEPER KYO	上条明峰	COMPLEX	120
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	(unknown)	NO_NDL	0
psychic-academy-koura-banshou	サイキックアカデミー煌羅万象	克・亜樹	NO_NDL	0
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	うさ銀太郎	NO_NDL	0
kinshin-soukan-ando-esuemu-taiken	近親相姦＆SM体験	(unknown)	NO_NDL	0
beck	BECK	ハロルド作石	COMPLEX	120
kanon	Kanon	森嶋プチ	COMPLEX	4
valkyrie-profile-2000	VALKYRIE PROFILE	魔神ぐり子	NO_NDL	0
valkyrie-profile-2001-2	VALKYRIE PROFILE	金田一蓮十郎	NO_NDL	0
valkyrie-profile-2001	VALKYRIE PROFILE	祥寺はるか	NO_NDL	0
red-eyes	red Eyes	神堂潤	COMPLEX	38
la-blue-girl	ラ・ブルー・ガール	前田俊夫	COMPLEX	8
taiyou-no-romance	太陽のロマンス	やまかみ梨由	COMPLEX	6
matenrou	摩天楼	廿里祥一郎	COMPLEX	20
bishou-hari	美少玻璃	小澤奈央	COMPLEX	12
harukanaru-toki-no-naka-de	遙かなる時空の中で	水野十子	COMPLEX	120
haruka-naru-toki-no-naka-de	遥かなる時空の中で	水野十子	COMPLEX	120
ginga-densetsu-weed	銀牙伝説Weed	高橋よしひろ	COMPLEX	120
best-of-naka-tomoko	閑古鳥の巣	名香智子	COMPLEX	6
denkou-sekka-boys	電光石火BOYS	東城麻美	COMPLEX	4
kuroi-kizuato-no-otoko	黒い傷痕の男	佐藤まさあき	COMPLEX	14
