aid	n_pages	kind_hint	slug	title	first_author
30885	4	B?扇形/別題	kafuka	カフカ	由貴香織里
30885	4	B?扇形/別題	wasure-rareta-juliet	忘れられたジュリエット	由貴香織里
41696	4	B?扇形/別題	tottoko-hamutarou-aishiterudechu	とっとこハム太郎あいしてるでちゅ	河井リツ子
41696	4	B?扇形/別題	tottoko-hamutarou-daibouken-dechu	とっとこハム太郎大ぼうけんでちゅ	河井リツ子
41696	4	B?扇形/別題	tottoko-hamutarou-hamuchanzu-de-gozaimachu	とっとこハム太郎ハムちゃんずでございまちゅ	河井リツ子
41696	4	B?扇形/別題	tottoko-hamutarou	とっとこハム太郎	河井リツ子
58353	4	B?扇形/別題	shiori-to-shimiko-no-namakubi-jiken	栞と紙魚子の生首事件	諸星大二郎
58353	4	B?扇形/別題	shiori-to-shimiko-satsuriku-shishuu	栞と紙魚子殺戮詩集	諸星大二郎
58353	4	B?扇形/別題	shiori-to-shimiko-to-aoi-uma	栞と紙魚子と青い馬	諸星大二郎
58353	4	B?扇形/別題	shiori-to-shimiko	栞と紙魚子	諸星大二郎
89873	4	B?扇形/別題	mahou-shoujo-lyrical-nanoha-vivid-life-adobansu	魔法少女リリカルなのはViVid LIFE Advance	ねことうふ
89873	4	B?扇形/別題	mahou-shoujo-lyrical-nanoha-vivid-life-intaa-midoruhen	魔法少女リリカルなのはViVid LIFEインターミドル編	ねことうふ
89873	4	B?扇形/別題	mahou-shoujo-lyrical-nanoha-vivid-life-intaabaruhen	魔法少女リリカルなのはViVid LIFEインターバル編	ねことうふ
89873	4	B?扇形/別題	mahou-shoujo-lyrical-nanoha-vivid-life	魔法少女リリカルなのはViVid LIFE	ねことうふ
95864	4	B?扇形/別題	kounai-shasei-phobia	校内写生＆フォビア	遊人
95864	4	B?扇形/別題	kounai-shasei-sutoresu-furiiku	校内写生＆ストレスフリーク	遊人
95864	4	B?扇形/別題	kounai-shasei	校内写生	遊人
95864	4	B?扇形/別題	shin-kounai-shasei	新・校内写生	遊人
100260	5	B?扇形/別題	gudaguda-ace	ぐだぐだエース	経験値
100260	5	B?扇形/別題	koha-ace-collection	コハエースこれくしょん	経験値
100260	5	B?扇形/別題	koha-ace-ekkusupii	コハエースXP	経験値
100260	5	B?扇形/別題	koha-ace-iiekkusu	コハエースEX	経験値
100260	5	B?扇形/別題	koha-ace	コハエース	経験値
154902	5	B?扇形/別題	akujo-series	悪女シリーズ	わたなべまさこ
154902	5	B?扇形/別題	aru-ai-no-owari-ni	ある愛の終わりに	わたなべまさこ
154902	5	B?扇形/別題	mama-to-nyan-nyan	ママとニャンニャン	わたなべまさこ
154902	5	B?扇形/別題	mitsu-no-aji-watanabe-1982	蜜の味	わたなべまさこ
154902	5	B?扇形/別題	tonari-no-beddo	隣のベッド	わたなべまさこ
59249	9	B?扇形/別題	mikosuri-gekijou-byouinhen	みこすり半劇場 病院編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-famiriihen	みこすり半劇場 ファミリー編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-harikeen	みこすり半劇場 ハリケーン	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-jidaigekihen	みこすり半劇場 時代劇編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-kappuruhen	みこすり半劇場 カップル編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-keijihen	みこすり半劇場 刑事編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-seishunhen	みこすり半劇場 青春編	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou-typhoon	みこすり半劇場 タイフーン	岩谷テンホー
59249	9	B?扇形/別題	mikosuri-gekijou	みこすり半劇場	岩谷テンホー
33373	13	B?扇形/別題	kowai-hon	こわい本	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-hebi	楳図かずおこわい本 蛇	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-igyou	楳図かずおこわい本 異形	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-jubaku	楳図かずおこわい本 呪縛	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-kage	楳図かずおこわい本 影	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-kao	楳図かずおこわい本 顔	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-kumo	楳図かずおこわい本 蜘蛛	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-kyouran	楳図かずおこわい本 狂乱	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-mushi	楳図かずおこわい本 虫	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-onnen	楳図かずおこわい本 怨念	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-shinbatsu	楳図かずおこわい本 神罰	楳図かずお
33373	13	B?扇形/別題	umezu-kazuo-kowai-hon-yami	楳図かずおこわい本 闇	楳図かずお
33373	13	B?扇形/別題	zoku-kowai-hon	ゾクこわい本	楳図かずお
