消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	genwaku-no-matenrou	眩惑の摩天楼	standard	通常版	ハローウィンコミックス	5	ハロウィンコミックス[\朝日ソノラマ,朝日ソノラマ] / ハロウィン少女コミック館[朝日ソノラマ] / ハローウィンコミックス[朝日ソノラマ]		
0	genyou	幻羽	standard	通常版	Wings comics	9	Paper comics[日本エディターズ] / Wings comics[新書館]		
0	gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	義風堂々!!直江兼続-前田慶次酒語り	standard	通常版	ゼノンコミックス	10	ゼノンコミックス[徳間 書店,徳間書店] / ゼノンコミックス[徳間書店] / ゼノンコミックス[徳間書店]		
0	gin-no-sereira	銀のセレイラ	standard	通常版	Missy comics	4	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	gravitation	グラビテーション	standard	通常版	SONY MAGAZINES COMICS	12	BIRZ COMICS[幻冬舎] / SONY MAGAZINES COMICS[ソニー・マガジンズ]		
0	guilty-crown-dancing-endlaves	ギルティクラウンDANCING ENDLAVES	standard	通常版	アスキー・メディアワークス	3	アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	gundam-exa	GUNDAM EXA	standard	通常版	角川コミックス・エース	7	角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング,角川グループホールデ]		
0	gunka-no-baltzar	軍靴のバルツァー	standard	通常版	Bunch comics	21	Bunch comics[新潮社] / KCDX. 週刊少年マガジン[講談社] / KCDX[講談社]		
0	guranpuri-tengoku	グランプリ天国	standard	通常版	NEWS MOOK	6	NEWS MOOK[ニューズ出版] / NEWS MOOK[三栄書房] / [ニューズムック][三栄書房] / ニューズムック[三栄書房]		
0	habatake-kotatsu-chan	はばたけ!こたつちゃん	standard	通常版		3	None[水井麻紀子,自力制作出版] / None[自力制作出版]		
0	hakaba-kitarou	墓場鬼太郎	bunkobon	文庫版	サラ文庫	6	角川文庫[角川グループパブリッシング,角川書店] / 角川文庫[角川書店]		
