状態	match	owner_slug	series_key	title	subtitle	number	isbn	release_date	date_gap_days	imprint	edition_type	authors	材料
DUP	SIBLING	12-n-12-no-kekkon-monogatari	qid:Q11513052|name:新12の結婚物語	新12の結婚物語		1	9784063339505	1998-06	11	KCデラックス	deluxe	星野めみ	未取得
DUP	SIBLING	12-n-12-no-kekkon-monogatari	qid:Q11513052|name:新12の結婚物語	新12の結婚物語		1	9784063342147	1999-08	415	KCデラックス	deluxe	星野めみ	未取得
DUP	SIBLING	12-n-12-no-kekkon-monogatari	qid:Q11513052|name:新12の結婚物語	新12の結婚物語		1	9784063342154	1999-08	415	KCデラックス	deluxe	星野めみ	未取得
DUP	SIBLING	12-n-12-no-kekkon-monogatari	qid:Q11513052|name:新12の結婚物語	新12の結婚物語		1	9784063342161	1999-08	415	KCデラックス	deluxe	星野めみ	未取得
DUP	TITLE	12-shoku-monogatari	name:坂口尚作品保存会午后の風|name:12色物語	12色物語		1	9784909333001	2017-07	5356		standard	坂口尚 / 坂口尚作品保存会午后の風	未取得
DUP	SIBLING	12sai	qid:Q11278120|name:12歳。	12歳。		7	9784091375254	2015-07-29	7	ちゃおコミックス	standard	まいた菜穂	未取得
DUP	SIBLING	13-nichi-no-ochazukenori	qid:Q11489301|name:13日の御茶漬海苔	13日の御茶漬海苔		1	9784821194919	1996-09-01	3014	ぶんか社コミックス	standard	御茶漬海苔	未取得
DUP	SIBLING	13gatsu-no-higeki	qid:Q272319|name:13月の悲劇	13月の悲劇		1	9784800279415	2018-01	9194	このマンガがすごい!comics	standard	美内すずえ	未取得
DUP	SIBLING	14	qid:Q1141948|name:14歳	14歳		1	9784091848208	2012-11	8097	BIG COMICS SPECIAL	standard	楳図かずお	未取得
DUP	SIBLING	14	qid:Q1141948|name:14歳	14歳		2	9784091848222	2012-11	7975	BIG COMICS SPECIAL	standard	楳図かずお	未取得
DUP	SIBLING	14	qid:Q1141948|name:14歳	14歳		3	9784091848239	2012-12	7854	BIG COMICS SPECIAL	standard	楳図かずお	未取得
DUP	SIBLING	14	qid:Q1141948|name:14歳	14歳		4	9784091848246	2012-12	7732	BIG COMICS SPECIAL	standard	楳図かずお	未取得
DUP	SIBLING	16-fiito-no-manatsu	name:井上泰樹|name:16フィートの真夏	16フィートの真夏		1	9784777050123	2003-10	4475		standard	井上泰樹 / 田中誠一	未取得
DUP	SIBLING	17	name:木下けい子|name:17	17		1	9784813031741	2018-02	488	Craft series	standard	木下けい子	未取得
DUP	SIBLING	17-bangai-no-joukei	qid:Q7310129|name:17番街の情景	17番街の情景		1	9784835447803	2011-12	7153		standard	山田玲司	未取得
DUP	TITLE	17-nanasai-1989	name:みきもと凛|name:17歳	17歳		1	9784063415490	2007-10	6698	講談社コミックスB	standard		未取得
DUP	SIBLING	17sai-no-mama	name:樋口真里奈|name:17歳のママ	17歳のママ		1	9784253197144	2006-07	242	Petit princess	standard	樋口真里奈	未取得
DUP	SIBLING	1945nen-10dai-no-1945-sou	name:いしかわまみ|name:1945年10代の戦争	1945年10代の戦争		1	9784063653373	2005-08	365	講談社コミックスデザート	standard	いしかわまみ	未取得
DUP	SIBLING	19sai-no-hisokana-yokubou	name:捨井タスコ|name:19歳の密かな欲望	19歳の密かな欲望		1	9784757736931	2007-08	1999	B's-LOVEY COMICS	standard	捨井タスコ	未取得
DUP	SIBLING	1genme-wa-yaruki-no-minpou	qid:Q1065383|name:1限めはやる気の民法	1限めはやる気の民法		1	9784882718130	1998-07	3471	Be-boy comics	standard	よしながふみ	未取得
DUP	SIBLING	1genme-wa-yaruki-no-minpou	qid:Q1065383|name:1限めはやる気の民法	1限めはやる気の民法		2	9784835213187	2002-03	2132	Be-boy comics	standard	よしながふみ	未取得
DUP	SIBLING	2001-ya-monogatari	qid:Q1377779|name:2001夜物語	2001夜物語		1	9784575727296	2009-09	8780	双葉文庫	bunkobon	星野之宣	未取得
DUP	SIBLING	2001-ya-monogatari	qid:Q1377779|name:2001夜物語	2001夜物語		2	9784575727302	2009-09	8648	双葉文庫	bunkobon	星野之宣	未取得
DUP	SIBLING	2001-ya-monogatari	qid:Q1377779|name:2001夜物語	2001夜物語		3	9784575727319	2009-09	6637	双葉文庫	bunkobon	星野之宣	未取得
DUP	SIBLING	2012-nen-chikyuu-metsubou-no-kiki	qid:Q11282004|name:2012年地球滅亡の危機!!	2012年地球滅亡の危機!!		1	9784054055261	2012-11	1858	ムーコミックス	standard	ゑびす屋ぼん子 / スパイスコミニケーションズ / ムー・探Qコミック編集部	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		1	9784091875365	2016-02	5847	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		10	9784091875600	2016-11	5177	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
