class	slug	base	title	base_title	isbn_overlap	n_slug	n_base
NO_OVERLAP	gakkou-kachinukisen-jikken-taiketsu-2016	gakkou-kachinukisen-jikken-taiketsu	学校勝ちぬき戦 実験対決	学校勝ち抜き戦 実験対決	0	5	20
NO_OVERLAP	boku-no-nee-chan-2015	boku-no-nee-chan	続・僕の姉ちゃん	僕の姉ちゃん	0	1	2
NO_OVERLAP	karura-mau-2016	karura-mau	カルラ舞う! 外伝安倍晴明編	カルラ舞う!	0	3	26
NO_OVERLAP	card-kyaputaa-sakura-2016	card-kyaputaa-sakura	カードキャプターさくら クリアカード編	カードキャプターさくら	0	16	24
NO_OVERLAP	kamen-rider-amazon-1974	kamen-rider-amazon	仮面ライダーアマゾン1974	仮面ライダーアマゾン	0	1	1
NO_OVERLAP	karura-mau-2017	karura-mau	カルラ舞う! 湖国幻影城	カルラ舞う!	0	1	26
NO_OVERLAP	duel-masters-2017	duel-masters	デュエル・マスターズ（2017年）	デュエル・マスターズ	0	11	17
NO_OVERLAP	naki-no-ryuu-2017	naki-no-ryuu	哭きの竜 外伝	哭きの竜	0	5	12
NO_OVERLAP	yokohama-hyakunen-shokudou-2017	yokohama-hyakunen-shokudou	続横浜百年食堂	横浜百年食堂	0	1	1
NO_OVERLAP	u12-2018	u12	U12(アンダートゥエルブ)	U12	0	3	6
NO_OVERLAP	kyou-kara-city-hunter-2021	kyou-kara-city-hunter	今日から City hunter	今日からシティハンター	0	18	5
NO_OVERLAP	animagear-2022	animagear	アニマギアダブルエッジ	アニマギア	0	2	2
NO_OVERLAP	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun	顔に出ない柏田さんと顔に出る太田君+	顔に出ない柏田さんと顔に出る太田君	0	3	10
NO_OVERLAP	kaitou-joker-2025	kaitou-joker	かいとうジョーカー	怪盗ジョーカー	0	1	26
NO_OVERLAP	maia-2025	maia	まいあMaia	まいあ	0	4	7
