重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+TITLEDIFF+RAKPUB	beautiful-place	ビューティフルプレイス	standard	ヒーローズコミックスわいるど	小学館クリエイティブ	4	978-4-86468x2	小学館クリエイティブ	4	9784868051664	978-4-86805	小学館クリエイティブ	2026-03-25	2巻2024-04→-	23		beautiful place（4）	わいるどヒーローズコミックス	ヒーローズ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+OTHER_ED+RAKPUB	cleopatra-d-c	クレオパトラD.C.	standard	バーガーKC	講談社	5	978-4-06x3	講談社	6	9784796240444	978-4-7962	スコラ	1990-05-16	3巻1988-06→-	23		クレオパトラD．C．（6）	バーガーSC	スコラ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON8(57%)	eeaaru-maruchipuru-savaivu	AR/MS(マルチプル・サヴァイヴ)!!	standard	MeDu COMICS	ジーオーティー	7	978-4-8236x5	ジーオーティー	1	9784814801534	978-4-8148	ジーオーティー	2019-02	-→3巻2021-01	23		AR／MS！！（01）	MeDu　COMICS	ジーオーティー
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	hyakko	ヒャッコ	standard	Flex comix	ソフトバンククリエイティブ	7	978-4-7973x6	ソフトバンククリエイティブ	7	9784593856763	978-4-593	ほるぷ出版	2013-01	6巻2011-02→-	23		ヒャッコ（7）	フレックスコミックス	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	made-in-abyss	メイドインアビス	standard	Bamboo comics	竹書房	15	978-4-8019x13	竹書房	1	9784812483800	978-4-8124	竹書房	2013-08	-→3巻2015-07	23		メイドインアビス　1	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(24%)	princess-lucia	Princess Lucia	standard	Blade comics	マッグガーデン	5	978-4-86127x3	マッグガーデン	4	9784800002785	978-4-8000	マッグガーデン	2014-04	3巻2012-05→-	23		Princess　Lucia（4）	ブレイドコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	shibainuko-san	しばいぬ子さん	standard	Bamboo comics	竹書房	4	978-4-8124x3	竹書房	4	9784801953796	978-4-8019	竹書房	2016-07	3巻2014-08→-	23		しばいぬ子さん（04）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	shiki-hime-hajimemashita-shoukan-sareta-sekai-de-haru-o-tsukasadoru-o-	四季姫、始めました〜召喚された世界で春を司るお仕事します〜(4)(完)	standard	ガンガンコミックスUP！	スクウェア・エニックス	4	978-4-7575x3	スクウェア・エニックス	4	9784301007401	978-4-301	スクウェア・エニックス	2026-09-07	3巻2024-10→-	23				
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(29%)	sonna-kao-shite-sasotteru	そんな顔して、誘ってる?	standard	LOVE COFFRE COMICS	ブライト出版	3	978-4-86787x2	ブライト出版	1	9784861238604	978-4-86123	ブライト出版	2022-04-22	-→2巻2024-03	23		そんな顔して、誘ってる？ 〜溺愛社長と身代わりお見合い結婚！？〜（1）		
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+ANACHRON20+PAIRONLY+RAKPUB	tsuri-baka-taishou	釣りバカ大将	standard	トラウママンガブックス	小学館	4	978-4-09x3	小学館	1	9784754232122	978-4-7542	英知出版	1981-07-28	-→8巻1983-06	23		釣りバカ大将（第1集）	トラウママンガブックス	インフォレスト
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	uchi-no-3-neko	うちの3ねこ	standard		竹書房	6	978-4-8019x5	竹書房	1	9784812494387	978-4-8124	竹書房	2013-04	-→2巻2015-03	23		うちの3ねこ（1）	Bamboo　comics	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON37(26%)	dekikon-dekiaisarerudekichattakon	溺婚	standard	マーマレードコミックス	ハーパーコリンズ・ジャパン	3	978-4-596x2	ハーパーコリンズ・ジャパン	3	9784302120789	978-4-302	ハーパーコリンズ・ジャパン	2026-06-19	2巻2024-08→-	22		溺婚〜溺愛されるできちゃった婚〜　3	マーマレードコミックス　マーマレードコミックス　CMMBL2	ハーパーコリンズ・ジャパン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON8(24%)	isekai-izakaya-nobu-eefa-to-makanai-oyatsu	異世界居酒屋「のぶ」エーファとまかないおやつ	standard	このマンガがすごい!comics	宝島社	9	978-4-299x7	宝島社	1	9784800284396	978-4-8002	宝島社	2018-07	-→3巻2020-05	22		異世界居酒屋「のぶ」エーファとまかないおやつ	このマンガがすごい！Comics	宝島社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON16(39%)	kikonsha-desu-kedo-nani-ka	既婚者ですけど、何か?	standard	Daria comics	フロンティアワークス	3	978-4-86134x2	フロンティアワークス	3	9784866570136	978-4-86657	フロンティアワークス	2017-06-22	2巻2015-08→-	22		既婚者ですけど、何か？ 3		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON19(13%)+RAKPUB	maraya	マラヤ	standard	DENGEKI COMICS	メディアワークス	4	978-4-07x3	メディアワークス	4	9784840216401	978-4-8402	メディアワークス	2000-10	3巻1998-12→-	22		マラヤ（4）	Dengeki　comics　EX	アスキー・メディアワークス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON19(13%)+RAKPUB	marou-ou-reppuu-den	魔狼王烈風伝	standard	Dengeki Comics EX	メディアワークス	9	978-4-07x8	メディアワークス	9	9784840211840	978-4-8402	メディアワークス	2000-12-10	8巻1999-02→-	22		魔狼王烈風伝（9）	電撃コミックスEX	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON7(37%)+RAKPUB	ore-janee-to-dame-na-kuseni	俺じゃねぇとダメなくせに	standard	ラブきゅんcomic	日販アイ・ピー・エス	3	978-4-909699x2	日販アイ・ピー・エス (発売)	3	9784911186367	978-4-911186	日販アイ・ピー・エス	2025-09-09	2巻2023-11→-	22		俺じゃねぇとダメなくせに〜この男、愛し方も超一流3	ラブきゅんコミック	モバイルメディアリサーチ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	ouru-naito	オウルナイト	standard	ガンガンコミックス	スクウェア・エニックス	7	978-4-7575x5	スクウェア・エニックス	7	9784301005742	978-4-301	スクウェア・エニックス	2026-06-20	5巻2024-08→-	22		オウルナイト（7）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON12(48%)	rose-x-marie	ローズ×マリー	standard	ヴァルキリーコミックス	キルタイムコミュニケーション	3	978-4-86032x2	キルタイムコミュニケーション	3	9784799200438	978-4-7992	キルタイムコミュニケーション	2011-03	2巻2009-05→-	22		ローズ×マリー（vol．3）	ヴァルキリーコミックス	キルタイムコミュニケーション
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON37(26%)	shio-taiou-osananajimi-ni-amasugi-body-o-taberaremashita	塩対応幼馴染に甘過ぎボディを食べられました	standard	プティルHoneyコミックス	ハーパーコリンズ・ジャパン	4	978-4-596x2	ハーパーコリンズ・ジャパン	3	9784302103799	978-4-302	ハーパーコリンズ・ジャパン	2025-10-03	2巻2023-12→-	22		塩対応幼馴染に甘過ぎボディを食べられました 〜身長差35センチの♂事情〜　3		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON37(26%)	shio-taiou-osananajimi-ni-amasugi-body-o-taberaremashita	塩対応幼馴染に甘過ぎボディを食べられました	standard	プティルHoneyコミックス	ハーパーコリンズ・ジャパン	4	978-4-596x2	ハーパーコリンズ・ジャパン	4	9784302103812	978-4-302	ハーパーコリンズ・ジャパン	2025-10-03	2巻2023-12→-	22		塩対応幼馴染に甘過ぎボディを食べられました 〜身長差35センチの♂事情〜　4		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON25(16%)	afuresouna-pool	あふれそうなプール	standard	Be-boy comics	ビブロス	6	978-4-88271x4	青磁ビブロス	6	9784835211817	978-4-8352	ビブロス	2001-04-24	4巻1999-07→-	21		あふれそうなプール（6）	Be-boy　comics	ビブロス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	akuyaku-reijou-no-kyouji	悪役令嬢の矜持	standard	ガンガンコミックスup!	スクウェア・エニックス	4	978-4-7575x2	スクウェア・エニックス	4	9784301005582	978-4-301	スクウェア・エニックス	2026-06-20	2巻2024-09→-	21				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(75%)+OTHER_ED	cleopatra-d-c	クレオパトラD.C.	shinsoban	バーガーSC	スコラ	6	978-4-88275x4	スコラ	7	9784796240673	978-4-7962	スコラ	1990-09-14	4巻1988-12→-	21		クレオパトラD．C．（7）	バーガーSC	スコラ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON3(60%)	daijoubu-club	大丈夫倶楽部	standard	路草COMICS	トゥーヴァージンズ	3	978-4-86791x2	トゥーヴァージンズ	1	9784910352459	978-4-910352	トゥーヴァージンズ	2022-08-24	-→2巻2024-05	21		大丈夫倶楽部 1		
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON41(23%)+RAKPUB	dejipara	でじぱら	standard	DENGEKI COMICS	角川グループパブリッシング	5	978-4-04x3	KADOKAWA	1	9784840235730	978-4-8402	メディアワークス	2006-09-02	-→3巻2008-06	21		でじぱら（1）	電撃コミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	gakeppuchi-angel-magical-hanna-chan	崖っぷち天使マジカルハンナちゃん	standard	Bamboo comics	竹書房	3	978-4-8124x2	竹書房	3	9784801955028	978-4-8019	竹書房	2016-04-16	2巻2014-07→-	21		崖っぷち天使マジカルハンナちゃん（3）	バンブーコミックス　MOMO　SELECTION	竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	PUB不明+BANDRARE2+PAIRONLY	going-to-hell	Going to hell	standard		オークラ出版	5	978-4-87278x3	オークラ出版	1	9784900780002	978-4-900780		1995-02	-→3巻1996-11	21		Going　to　hell（1）	アイス　コミックス	オークラ出版
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	katakoi-canon	カタコイ・カノン	standard	Bamboo comics	竹書房	3	978-4-8019x2	竹書房	1	9784812481875	978-4-8124	竹書房	2013-06	-→2巻2015-03	21		カタコイ・カノン（1）	バンブー・コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRONLY	koi-ha-itsumo-arashi-no-youni	恋はいつも嵐のように	standard	光彩コミックス	光彩書房	5	978-4-87775x3	光彩書房	5	9784860931568	978-4-86093	光彩書房	2004-08	3巻2002-11→-	21		恋はいつも嵐のように（5）	光彩コミックス　Boys　Lコミック	光彩書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	makai-ishi-mephisto	魔界医師メフィスト	standard	MFコミックス	メディアファクトリー	3	978-4-8401x2	メディアファクトリー	3	9784040675039	978-4-04	KADOKAWA	2015-04-27	2巻2013-07→-	21		魔界医師メフィスト　3	MFコミックス ジーンシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON22(63%)	murasaki	ムラサキ	standard	LINE COMICS	LINE Digital Frontier	5	978-4-86697x3	LINE Digital Frontier	2	9784909767783	978-4-909767	LINE Digital Frontier	2019-09-13	-→3巻2021-06	21		ムラサキ　2	LINEコミックス	LINE Digital Frontier
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON30(25%)	onnanoko-pokopon	おんなのこポコポン	standard	Bamboo comics	竹書房	5	978-4-88475x3	竹書房	4	9784812451144	978-4-8124	竹書房	1996-12-17	3巻1995-03→-	21		おんなのこポコポン（4）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	oomuroke	大室家	standard	IDコミックス	一迅社	9	978-4-7580x8	一迅社	9	9784825101784	978-4-8251	一迅社	2026-10-28	8巻2025-01→-	21				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON60(72%)	ponkotsu-outaishi-no-mobu-ane-joou-rashiikedo-akuyaku-reijou-ga-kawaisou-nanode-tasukeyou-to	ポンコツ王太子のモブ姉王女らしいけど、悪役令嬢が可哀想なので助けようと思います～王女ルートがない!?なら作ればいいのよ!～@COMIC	standard	コロナ・コミックス	TOブックス	4	978-4-86699x2	TOブックス	4	9784867945773	978-4-86794	TOブックス	2025-06-21	2巻2023-09→-	21		ポンコツ王太子のモブ姉王女らしいけど、悪役令嬢が可哀想なので助けようと思います〜王女ルートがない！？なら作ればいいのよ！	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	裏少年サンデーコミックス	小学館	7	978-4-09x5	小学館	11	9784868660545	978-4-86866	Cygames	2026-10-30	5巻2025-01→-	21				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON7(64%)	adoribu-tenchou	アドリブ店長	standard	白夜コミックス	白夜書房	5	978-4-89367x3	白夜書房	5	9784861910739	978-4-86191	白夜書房	2005-10-28	3巻2004-02→-	20		アドリブ店長（5）	白夜コミックス	白夜書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)	chouyaku-hyakunin-isshu-utakoi	超訳百人一首 うた恋い。	standard		メディアファクトリー	4	978-4-8401x3	メディアファクトリー	4	9784040661834	978-4-04	KADOKAWA	2013-12-12	3巻2012-04→-	20		超訳百人一首　うた恋い。4		
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON66(17%)	christie-london-massive	クリスティ・ロンドンマッシブ	standard	MFコミックス	KADOKAWA	5	978-4-04x3	KADOKAWA	1	9784840144889	978-4-8401	メディアファクトリー	2012-06-23	-→3巻2014-02	20		クリスティ・ロンドンマッシブ　1	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(39%)	coyote	コヨーテ	standard	Daria comics	フロンティアワークス	5	978-4-86657x4	フロンティアワークス	1	9784861349492	978-4-86134	フロンティアワークス	2016-12	-→2巻2018-08	20				
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON25(16%)	gin-no-yami-meikyuu	銀の闇迷宮	standard	Zero comics	ビブロス	3	978-4-88271x2	青磁ビブロス	3	9784835211565	978-4-8352	ビブロス	2001-02-10	2巻1999-06→-	20		銀の闇迷宮（3）	Zero　comics	ビブロス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON8(7%)+RAKPUB	gravitation	グラビテーション	standard	SONY MAGAZINES COMICS	ソニー・マガジンズ	12	978-4-7897x11	ソニー・マガジンズ	12	9784344801172	978-4-344	幻冬舎	2002-08	11巻2000-12→-	20		グラビテーション（12）	バーズコミックス　ガールズコレクション	幻冬舎
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	kenminsei-maruwakari-gotouchi-aruaru-waidoshou	県民性丸わかり!ご当地あるあるワイドSHOW	standard	BAMBOO ESSAY SELECTION	竹書房	4	978-4-8019x3	竹書房	1	9784812497531	978-4-8124	竹書房	2013-12	-→2巻2015-08	20		県民性丸わかり！ご当地あるあるワイドSHOW	BAMBOO　ESSAY　SELECTION	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	koma-no-ko	よんこまのこ	standard	SUKUPARA SELECTION	竹書房	6	978-4-8124x4	竹書房	5	9784801906389	978-4-8019	竹書房	2016-02	4巻2014-06→-	20		よんこまのこ（5）	Sukupara　selection	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON30(25%)	koume-chan-ga-yuku	小梅ちゃんが行く!!	standard	Bamboo comics	竹書房	3	978-4-88475x2	竹書房	3	9784812450635	978-4-8124	竹書房	1996-07	2巻1994-11→-	20		小梅ちゃんが行く！！（3）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	kuusou-kagaku-taisen	空想科学大戦	standard	空想科学COMICALIZATION	メディアファクトリー	4	978-4-88991x2	メディアファクトリー	4	9784789717250	978-4-7897	ソニー・マガジンズ	2001-07	2巻1999-11→-	20		空想科学大戦（4）		ソニー・ミュージックソリューションズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(24%)	kyouraku-region	京洛れぎおん	standard	Blade comics	マッグガーデン	5	978-4-86127x3	マッグガーデン	5	9784800002402	978-4-8000	マッグガーデン	2013-12	3巻2012-04→-	20		京洛れぎおん（5）	ブレイドコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON26(59%)	level-1-no-saikyou-kenja	レベル1の最強賢者	standard	コミックポルカ	一二三書房	5	978-4-89199x4	一二三書房	5	9784824202666	978-4-8242	一二三書房	2024-08-09	4巻2022-12→-	20		レベル1の最強賢者（5）	ポルカコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON41(23%)+RAKPUB	nanatsuiro-drops	ななついろ★ドロップス	standard	DENGEKI COMICS	メディアワークス	5	978-4-8402x3	メディアワークス	5	9784048683210	978-4-04	KADOKAWA	2009-12-18	3巻2008-04→-	20		ななついろ★ドロップス（5）	電撃コミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	onii-chan-dakedo-ai-sae-areba-kankei-nai-yonetsu	お兄ちゃんだけど愛さえあれば関係ないよねっ	standard	MFコミックス	メディアファクトリー	7	978-4-8401x5	メディアファクトリー	7	9784040672861	978-4-04	KADOKAWA	2015-06-23	5巻2013-10→-	20		お兄ちゃんだけど愛さえあれば関係ないよねっ　7	MFコミックス アライブシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	qt-t	qtμt	standard	ビッグガンガンコミックス	LINE Digital Frontier	5	978-4-909767x3	LINE Digital Frontier	1	9784757552050	978-4-7575	スクウェア・エニックス	2017-03-25	-→3巻2018-11	20		qtμtキューティーミューティー（1）	ビッグガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON60(72%)	saigo-no-isha-wa-ameagari-no-sora-ni-kimi-o-negau	最後の医者は雨上がりの空に君を願う	standard	コロナ・コミックス	TOブックス	4	978-4-86699x3	TOブックス	4	9784867941539	978-4-86794	TOブックス	2024-05	3巻2022-09→-	20		最後の医者は雨上がりの空に君を願う4		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON8(24%)	senritsu-no-majutsushi-to-goteijuu	戦慄の魔術師と五帝獣	standard	このマンガがすごい!comics	宝島社	13	978-4-299x11	宝島社	1	9784800287069	978-4-8002	宝島社	2018-10	-→3巻2020-06	20		戦慄の魔術師と五帝獣	このマンガがすごい！comics	宝島社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	usagi	兎	standard	近代麻雀コミックス	竹書房	17	978-4-8124x15	竹書房	16	9784801952713	978-4-8019	竹書房	2015-06-15	15巻2013-10→-	20		兎（16）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	裏少年サンデーコミックス	小学館	7	978-4-09x5	小学館	10	9784868660033	978-4-86866	Cygames	2026-09-30	5巻2025-01→-	20				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	watashi-no-shiawasena-kekkon	わたしの幸せな結婚	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x5	スクウェア・エニックス	6	9784301003465	978-4-301	スクウェア・エニックス	2026-03-27	5巻2024-07→-	20		わたしの幸せな結婚（6）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	assassin-cinderella	アサシン&シンデレラ	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x4	スクウェア・エニックス	6	9784301007074	978-4-301	スクウェア・エニックス	2026-08-10	4巻2025-01→-	19				
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON66(17%)	double-gauge	ダブルゲージ	standard	MFコミックス	KADOKAWA	6	978-4-04x5	KADOKAWA	1	9784840147293	978-4-8401	メディアファクトリー	2012-09-27	-→2巻2014-04	19		ダブルゲージ　1		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON35(22%)+OTHER_ED+RAKPUB	go-go-purin-teikoku	GO GO!ぷりん帝国	standard	ガンガンコミックスSPECIAL	エニックス	6	978-4-87025x4	エニックス	6	9784757502604	978-4-7575	スクウェア・エニックス	2000-07-22	4巻1998-12→-	19		GO　GO！ぷりん帝国（6）	ガンガンコミックススペシャル	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB	hana-inka-choukyoushi	花～淫華調教師～	standard	Daito comics TL（teens love） シリーズ	大都社	3	978-4-86495x2	大都社	1	9784886539939	978-4-88653	大都社	2012-12-21	-→2巻2014-07	19		花〜淫華調教師〜	DaitoComics／TLシリーズ	大都社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+RAKPUB	hanabi-chan-wa-okuregachi	ハナビちゃんは遅れがち	standard	HCヒーローズコミックス	小学館クリエイティブ	10	978-4-86468x8	小学館クリエイティブ	10	9784868051473	978-4-86805	小学館クリエイティブ	2026-03-25	8巻2024-08→-	19		ハナビちゃんは遅れがち（10）	ヒーローズコミックス	ヒーローズ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	standard	NOVA COMICS	一二三書房	6	978-4-8242x4	一二三書房	1	9784891997991	978-4-89199	一二三書房	2022-03-18	-→3巻2023-10	19		異世界還りのおっさんは終末世界で無双する（1）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	ito-okashi	いとをかし	standard	Bamboo comics	竹書房	3	978-4-8124x2	竹書房	3	9784801950627	978-4-8019	竹書房	2015-01	2巻2013-06→-	19		いとをかし（3）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	jansou-no-saeko-san	雀荘のサエコさん	standard	近代麻雀コミックス	竹書房	5	978-4-8019x4	竹書房	1	9784812485422	978-4-8124	竹書房	2014-03	-→2巻2015-10	19		雀荘のサエコさん（1）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(76%)	joou-denka-wa-oikari-no-youdesu	王女殿下はお怒りのようです	standard	ガルドコミックス	オーバーラップ	5	978-4-86554x3	オーバーラップ	5	9784824003195	978-4-8240	オーバーラップ	2022-10-25	3巻2021-03→-	19		王女殿下はお怒りのようです 5	ガルドコミックス	オーバーラップ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	kaseifu-no-etsuko-san	家政婦のエツ子さん	standard	Bamboo comics	竹書房	8	978-4-8124x7	竹書房	8	9784801950290	978-4-8019	竹書房	2014-12	7巻2013-05→-	19		家政婦のエツ子さん（8）	バンブーコミックス　MOMO　SELECTION	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB	keep-out	Keep out!	standard		桜桃書房	3	978-4-87183x2	桜桃書房	3	9784756702227	978-4-7567	桜桃書房	1995-07	2巻1993-12→-	19		Keep　out！（3）	チェリームーンコミックス	桜桃書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	kinsou-no-verumeiyu	金装のヴェルメイユ	standard	ガンガンコミックス	スクウェア・エニックス	11	978-4-7575x9	スクウェア・エニックス	11	9784301005735	978-4-301	スクウェア・エニックス	2026-06-20	9巻2024-11→-	19		金装のヴェルメイユ 〜崖っぷち魔術師は最強の厄災と魔法世界を突き進む〜（11）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	kuroshitsuji	黒執事	standard	G fantasy comics	スクウェア・エニックス	36	978-4-7575x34	スクウェア・エニックス	35	9784301001973	978-4-301	スクウェア・エニックス	2025-11-15	34巻2024-04→-	19		黒執事(35)	Gファンタジーコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	mannen-2i-dakara-to-kandou-sareta-shounen-mujikaku-2-musou-suru	万年2位だからと勘当された少年、無自覚に無双する	standard	ガンガンコミックスup!	スクウェア・エニックス	5	978-4-7575x4	スクウェア・エニックス	5	9784301005506	978-4-301	スクウェア・エニックス	2026-06-05	4巻2024-11→-	19		万年2位だからと勘当された少年、無自覚に無双する（5）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)+TITLEDIFF	miuchi-ni-maruya-ga-orimashiten	身内に〔○ヤ〕がおりましてん。	standard	BAMBOO ESSAY SELECTION	竹書房	4	978-4-8124x3	竹書房	4	9784801901049	978-4-8019	竹書房	2014-12	3巻2013-05→-	19		身内に（ヤ）がおりましてん。（4）	BAMBOO　ESSAY　SELECTION	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(17%)+RAKPUB	oda-cinnamon-nobunaga	織田シナモン信長	standard	ゼノンコミックス	徳間書店	10	978-4-19x8	徳間書店	10	9784867202753	978-4-86720	コアミックス	2021-11	8巻2020-04→-	19		織田シナモン信長（10）	ゼノンコミックス	コアミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRONLY	omega-syndrome	オメガ・シンドローム	standard	ビーエフシリーズ	ジーウォーク	4	978-4-86297x3	ジーウォーク	4	9784867171561	978-4-86717	ジーウォーク	2021-04	3巻2019-09→-	19				
