重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON8(12%)+RAKPUB	break-age	ブレイク-エイジ	standard	アスペクトコミックス	アスペクト	10	978-4-7572x9	アスペクト	8	9784757702127	978-4-7577	エンターブレイン	1997-07-22	7巻1996-12→9巻1998-05			ブレイクーエイジ（8）改訂版	Beam　comix	エンターブレイン
D低(同社/系列の別記号)	散発	SAME_PUB+PAIRCOMMON19(13%)+RAKPUB	d4-princess	D4プリンセス	standard	DENGEKI COMICS	メディアワークス	4	978-4-8402x3	メディアワークス	2	9784073114963	978-4-07	メディアワークス	1999-04-15	1巻1998-02→3巻2000-02			D4プリンセス（2）	電撃コミックス	アスキー・メディアワークス
D低(同社/系列の別記号)	散発	SAME_PUB+PAIRCOMMON19(13%)+RAKPUB	gundriver	ガンドライバー	standard	Dengeki Comics EX	メディアワークス	8	978-4-8402x6	メディアワークス	3	9784073071938	978-4-07	メディアワークス	1997-11	2巻1996-09→4巻1998-08			ガンドライバー（3）	Dengeki　comics　EX	アスキー・メディアワークス
D低(同社/系列の別記号)	散発	SAME_PUB+PAIRCOMMON19(13%)+RAKPUB	gundriver	ガンドライバー	standard	Dengeki Comics EX	メディアワークス	8	978-4-8402x6	メディアワークス	5	9784073119067	978-4-07	メディアワークス	1999-04	4巻1998-08→6巻1999-12			ガンドライバー（5）	Dengeki　comics　EX	アスキー・メディアワークス
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON66(17%)	hawkwood	ホークウッド	standard	MFコミックス	KADOKAWA	8	978-4-04x6	KADOKAWA	4	9784840153256	978-4-8401	メディアファクトリー	2013-09-21	3巻2013-02→5巻2014-04			ホークウッド（4）	MFコミックス フラッパーシリーズ	KADOKAWA
D低(同社/系列の別記号)	散発	SAME_PUB+PAIRCOMMON3(50%)+SEQFILL	hoshi-furu-mori-no-little-majo	星降る森のリトル魔女	standard	MOEコミックス	偕成社	6	978-4-03x5	偕成社	2	9784895943017	978-4-89594	偕成社	1990-06	1巻1990-06→3巻1992-06		9784039695208			
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON66(17%)	madan-no-ou-to-vanadis	魔弾の王と戦姫	standard	MFコミックス	KADOKAWA	10	978-4-04x9	KADOKAWA	4	9784840153416	978-4-8401	メディアファクトリー	2013-10-23	3巻2013-03→5巻2014-04			魔弾の王と戦姫　4		
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON8(12%)+RAKPUB	otona-no-shikumi	おとなのしくみ	standard	Ascii comix	エンターブレイン	4	978-4-7577x3	エンターブレイン	2	9784757203624	978-4-7572	アスペクト	1999-04-14	1巻1997-11→3巻2000-12			おとなのしくみ（2）	アスペクトコミックス	アスキー・メディアワークス
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON7(12%)+RAKPUB	petshop-of-horrors	Petshop of horrors	standard	ミッシィコミックスDX	宙出版	10	978-4-87287x8	宙出版	2	9784391915495	978-4-391	主婦と生活社	1995-10-11	1巻1995-03→4巻1996-07			Petshop　of　Horrors（2）	MISSYCOMICS	主婦と生活社
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON7(12%)+RAKPUB	petshop-of-horrors	Petshop of horrors	standard	ミッシィコミックスDX	宙出版	10	978-4-87287x8	宙出版	3	9784391915754	978-4-391	主婦と生活社	1996-02	1巻1995-03→4巻1996-07			Petshop　of　Horrors（3）	MISSYCOMICS	主婦と生活社
D低(同社/系列の別記号)	散発	PUBDIFF+PAIRCOMMON4(29%)+RAKPUB	shitomeya-kagyou-asami	仕留屋稼業あさみ	standard	Bunkasha comics	ぶんか社	7	978-4-8211x6	ぶんか社	2	9784867044926	978-4-86704	楽楽出版	2022-01	1巻2018-12→3巻2022-12			仕留屋稼業あさみ　血風編	RK　COMICS	楽楽出版
