slug	last_pub_year	anilist_status	anilist_end_year
houkago-marumaru-club	2015	FINISHED	2014
ichigo-no-ouji-to-entremets	2015	FINISHED	2015
ii-to-teii	2015	-	
ito-okashi	2015	FINISHED	2013
jikoman	2015	-	
kami-sama-sakuragi-produce	2015	FINISHED	2015
kami-sama-wa-ikiru-noga-tsurai	2015	FINISHED	2015
karura-mau-katsuraginokodaishin	2015	-	
kigurumi-guardians	2015	RELEASING	
kimi-ni-chiisana-uso-hitotsu	2015	FINISHED	2015
kodoku-no-naka-no-watashi	2015	FINISHED	2015
koi-to-naru	2015	-	
love-dester	2015	FINISHED	2018
love-houteishiki	2015	FINISHED	2015
m-game	2015	-	
mansen-maou-shoujo-ena-sama	2015	FINISHED	2015
marusei-2014	2015	FINISHED	2015
memento-mori	2015	FINISHED	2015
mitsukubi-condol	2015	FINISHED	2014
momopuro-zetto-z-super-star-rendetsu	2015	RELEASING	
mononokesou-no-niitodomo	2015	FINISHED	2015
mousou-suit-yamamoto	2015	FINISHED	
mudazumo-naki-kaikaku	2015	FINISHED	2015
nagi-to-arashi	2015	FINISHED	2015
nana-no-literacy	2015	FINISHED	2015
nanona-foto-goroo	2015	-	
nazotokiki-drill	2015	FINISHED	2015
nijigen-janpin	2015	FINISHED	2015
nijiiro-atsu-chan	2015	-	
norausagi	2015	FINISHED	2014
oishii-kamishama	2015	FINISHED	2015
olga-no-shinzou	2015	FINISHED	2015
osananajimi-wa-onnanoko-ni-naare	2015	FINISHED	2015
ossu-tonko-chan	2015	FINISHED	2003
osuteki-darling	2015	FINISHED	
pochifuru	2015	-	
poputepipikku	2015	RELEASING	
rikei-kun	2015	-	
rin-chan-now	2015	FINISHED	2014
ruten-no-teruma	2015	FINISHED	2016
saboten-no-musume	2015	-	
sawaike-no-gohan-wa-musuko-no-hikari-ga-tsukutteiru	2015	FINISHED	2015
sayonara-harumegido	2015	FINISHED	2015
secret	2015	FINISHED	2015
shikakenin-fujieda-baian-saitou2002	2015	-	
shinjuku-dii-bai-dii	2015	FINISHED	2016
shinryaku-mono-de	2015	FINISHED	2014
shiroi-machi-no-yorutachi	2015	FINISHED	2015
shizuko-wa-ore-no-yome	2015	FINISHED	2015
sk8r-s	2015	FINISHED	2015
slapstick	2015	-	
sweets-honbuchou-ichinose-kai	2015	-	
takujou-no-ageha	2015	FINISHED	2015
tawaraneko-to-machigai-jinsei	2015	FINISHED	2015
tenkuu-shoujo-kishidan	2015	-	
tetsuko-no-sodatekata	2015	-	
tomodachi-x-monster	2015	FINISHED	2015
torisetsuna-katekyo	2015	FINISHED	2015
toropikaruzamurai	2015	-	
tougorou-to-marosuke	2015	-	
tsubakisou-101goushitsu	2015	-	
uchi-no-musume-ni-te-o-dasuna	2015	FINISHED	2015
uketsuke-no-shirayuki-san	2015	-	
umareru-kachi-no-nakatta-jibun-ga-anna-no-tame-ni-dekiru-ikutsuka-no-koto	2015	FINISHED	2015
vampire-romanshiki	2015	FINISHED	2015
voynich-hotel	2015	FINISHED	2015
waga-tousou	2015	FINISHED	2015
yagate-maken-no-alicebell	2015	FINISHED	2015
yagi-san-yuubin	2015	FINISHED	2015
youkoso-utsutsu-no-bunkou	2015	-	
yume-de-aimashou	2015	-	
yume-hotel-e-youkoso	2015	-	
yuujou-kakin-karuman-gein	2015	FINISHED	2014
z-aihara-2013	2015	dump不在	
akuma-mo-fumu-o-osoreru-tokoro	2016	FINISHED	2016
amaitamashii	2016	FINISHED	2013
ao-no-jidai	2016	FINISHED	2000
atataka-na-hari	2016	FINISHED	2016
benten-rock-yuu	2016	FINISHED	2016
best-blue	2016	FINISHED	2015
boku-no-joshiryoku-wa-ano-ko-no-pantsu-ni-tsumatte-iru	2016	FINISHED	2016
boku-wa-ohime-sama-ni-narenai	2016	FINISHED	2016
cafe-chan-to-bureeku-time	2016	-	
choukyuukaku-tantei-enuiizuii	2016	FINISHED	2016
classmate-wa-zenin-megane	2016	FINISHED	2016
cocktail	2016	-	
coffee-ikaga-deshou	2016	FINISHED	2016
daimahoutsukai-nandesu-yone	2016	FINISHED	2016
datsuotashite-wa-mita-monono	2016	FINISHED	2016
deadpool-samurai	2016	-	
diamond-no-burasu-seidou-koukou-suisougakubu	2016	-	
dokutaa-toumori-akira-no-shoken	2016	-	
earth-furonteia-e-youkoso	2016	-	
etsu-heibon-desuyo	2016	FINISHED	2016
fairy-tail-gaiden	2016	FINISHED	2016
furatsuki	2016	FINISHED	2016
gakeppuchi-angel-magical-hanna-chan	2016	-	
gakumon	2016	FINISHED	2016
gal-japon	2016	RELEASING	
glass-no-kamen	2016	RELEASING	
guran-maison-murasakibashi	2016	-	
haisai-taiyou-musume	2016	-	
hajimari-no-haru	2016	-	
hakuba-no-oyome-san	2016	FINISHED	2016
hakushaku-sama-wa-amai-yoru-ga-osuki	2016	FINISHED	2015
haraheri-arata-no-kyoto-meshi	2016	-	
hibikore	2016	-	
hitomi-gokuu-no-hiyama-san	2016	FINISHED	2016
hitorigurashi-no-shougakusei	2016	FINISHED	2017
houkago-lucky-girl	2016	FINISHED	2016
ichikyuukyuupeke	2016	FINISHED	2016
jibun-ga-tsuinteeru-no-kawaii-onnanoko-dato-omoikonde-kyou-no-dekigoto-o-4-koma-ni-suru	2016	RELEASING	
kaidan-nikki	2016	FINISHED	2015
katsute-mahou-shoujo-to-aku-wa-tekitaishiteita	2016	CANCELLED	2015
killer-killer-girls	2016	FINISHED	2016
kimi-no-tonari	2016	FINISHED	2016
kimi-wa-ore-ga-suki-tte-ittara-donna-kao-suru-darou	2016	FINISHED	2016
koibito-ijou-yome-miman	2016	FINISHED	2016
kokage-kun-wa-majo	2016	FINISHED	2015
kokubyaku	2016	-	
kuchiireya-kyouji	2016	FINISHED	2016
kuroneko-kareshi-no-afurekata	2016	FINISHED	2016
kyou-wa-shinu-noni-mottekoi-no-hi	2016	-	
kyoukai-no-nai-sekai	2016	FINISHED	2016
kyoushi-no-junjou-seito-no-yokubou	2016	-	
licht	2016	-	
mahou-shoujo-lyrical-nanoha-innocents	2016	FINISHED	2016
mata-ashita	2016	FINISHED	2015
matane	2016	-	
moeyo-sensha-gakkou	2016	-	
nagisa-shokudou	2016	FINISHED	2016
neko-tan	2016	-	
nishimuki-mai-room	2016	-	
nyankoro-kamui	2016	-	
onimote	2016	FINISHED	2016
ore-no-himegutsu-o-haite-kure	2016	FINISHED	2016
oyaji-no-aijin-to-class-ore	2016	-	
pi-nyan	2016	-	
poison-girl	2016	FINISHED	2016
puchipuchi-tan-tan-puchi-tan-tan	2016	FINISHED	2016
reset-game	2016	RELEASING	
rokudai	2016	-	
saihate-ni-circus	2016	FINISHED	2016
shibusugi-gijutsu-ni-otokonaki	2016	-	
shiibui-ore	2016	FINISHED	2016
shin-toshi-densetsu	2016	-	
shisha-no-teikoku	2016	FINISHED	2016
shoujo-kessen-orugia	2016	FINISHED	2016
sodateko	2016	-	
sono-vanpiiru-wa-tadashikunai-yume-o-miru	2016	FINISHED	2015
soredemo-kimi-ga	2016	FINISHED	2016
sousou-no-limit	2016	FINISHED	2016
suki-desu	2016	FINISHED	2013
suzuki-san-wa-tada-shizuka-ni-kurashitai	2016	FINISHED	2016
tadaima-okaeri	2016	FINISHED	2016
takuan-to-batsu-no-nichijou-enmachou	2016	FINISHED	2016
tatakae-aku-no-soshiki-dark-dream	2016	-	
tetsumin	2016	FINISHED	2016
tribology	2016	FINISHED	2016
tsuma-ga-nani-yara	2016	FINISHED	2015
undergroun-dogs	2016	-	
ushiro-no-gosenzo-sama	2016	-	
usotsuki-wa-imouto-no-hajimari	2016	FINISHED	2015
watoson-no-inbou	2016	FINISHED	2016
yoru-no-suit-okamura-2015	2016	FINISHED	2016
youkoso-genkai-shuuraku-e	2016	FINISHED	2016
yume-kara-sametemo	2016	FINISHED	2016
yumekui-tantei-utsunomiya-airi-no-kikan	2016	-	
yuri-na-watashi-to-akuma-na-kanojo	2016	FINISHED	2016
yuusha-gojo-kumiai-kouryuugata-keijiban	2016	FINISHED	2016
zombie-ga-deta-node-gakkou-yasumi	2016	FINISHED	2016
4-banme-no-iinazuke-kouho	2017	FINISHED	2017
7-nin-no-shieikusupia	2017	-	
ai-sensei-wa-wakaranai	2017	FINISHED	2017
baby-god-zangyaku-to-junjou-no-mejiedo-sama	2017	-	
baccano	2017	FINISHED	2017
bakubaku-bakuchi-gohan	2017	-	
beauty-mark	2017	-	
bono-chan	2017	FINISHED	2017
chekkumeito	2017	-	
chocolat-no-mahou	2017	RELEASING	
dokidoki-sister-aoi-chan	2017	FINISHED	2016
enueichikee-darwin-ga-kita	2017	-	
fukushima-note	2017	-	
futago-no-teikoku	2017	RELEASING	
gakkou-kachinukisen-jikken-taiketsu-2016	2017	-	
geetama	2017	-	
gesu-kijoumae	2017	FINISHED	2017
ginrou-ni-kodoku-o-mita	2017	FINISHED	1976
gitei-to-tsunagaru-karada-kedamono-no-koi	2017	FINISHED	2016
goinkyo-maou-no-hinichijou	2017	FINISHED	2016
hana-to-hina-wa-houkago	2017	FINISHED	2016
hasshouku	2017	-	
hazama-kun-wa-erabenai	2017	-	
hidan-no-aria	2017	FINISHED	2017
higekaa-chan-to-musume-san	2017	-	
hitorigurashi-no-ol-o-egakimashita	2017	FINISHED	2018
hittoraa-no-musuko	2017	-	
homeless-salaryman	2017	FINISHED	2017
houkago-play-haihiiruzu	2017	FINISHED	2016
ibitsu-no-amalgam	2017	FINISHED	2017
idai-naru-majo-puan-sama-no-kansatsu-nikki	2017	-	
inochi-o-waketa-kimi-to-jinsei-saigo-no-yume-o-miru	2017	FINISHED	2017
itoshi-no-sakura-san	2017	FINISHED	2017
izure-shinwa-no-houkago-sensou	2017	FINISHED	2017
kageki-no-kuni-no-alice	2017	FINISHED	2017
kaigui-harapekora	2017	-	
kami-app-za-rabu-game	2017	-	
kantai-collection-kancolle-itsuka-shizuka-na-umi-de	2017	FINISHED	2016
karura-mau-2016	2017	-	
kimiyoubi	2017	-	
kimusume-love-kinshirei	2017	FINISHED	2016
kirika-c-a-t-s	2017	FINISHED	2017
kishi-gundam-seiden	2017	-	
knuckle-down	2017	-	
koisuru-shougakusei	2017	FINISHED	2017
kozure-kouraku	2017	-	
loveless	2017	RELEASING	
machi-no-tomu-ando-sooya	2017	FINISHED	2017
mad-dog	2017	-	
madoka-engawa	2017	FINISHED	2016
majimekei-kuzu-no-nichijou	2017	RELEASING	
mamagoto-shoujo-to-jinzou-ningen	2017	-	
mazarian	2017	FINISHED	2017
mermaid-boys	2017	RELEASING	
mobile-suit-gundam-anaheim-record	2017	FINISHED	2017
mobile-suit-zeta-gundam-difain	2017	-	
mononote	2017	FINISHED	2017
mutant-taatoruzu	2017	FINISHED	2015
nagisa-nite	2017	FINISHED	2016
nanatsu-no-taizai-king-no-mangamichi	2017	FINISHED	2017
neko-tono-mofumofu-kurashi	2017	-	
okitegami-kyouko-no-bibouroku	2017	FINISHED	2017
onna-no-mado	2017	-	
oretachi-shouginzoku	2017	-	
ossu-haruka-chan	2017	FINISHED	2017
princess-biyori	2017	FINISHED	2017
red-thimble	2017	FINISHED	2017
reikan-koumuten-ripea	2017	-	
saiyuuki-reload-blast	2017	RELEASING	
sayonara-nokutaan	2017	FINISHED	2016
seishun-wa-zombie-deshita	2017	FINISHED	2017
sengoku-basara-dokugan	2017	-	
seven-greys	2017	-	
shanghai-hakujatei-ki-tan	2017	FINISHED	2016
shikkoku-no-ten	2017	FINISHED	2017
smoky-god-express	2017	FINISHED	2016
sofii-rose-to-ibara-no-warlock	2017	FINISHED	2017
soul-liquid-chambers	2017	FINISHED	2017
spirit-migration	2017	FINISHED	2017
sumi-ni-byakuren	2017	FINISHED	2017
tokubetsu-no-egoist	2017	-	
tomari-ni-oideyo	2017	-	
tsubasa-no-kurusedaazu	2017	-	
uchi-no-class-no-joshi-ga-yabai	2017	FINISHED	2016
wakuwaku-rokko-mooshon	2017	FINISHED	2016
winged-mermaids	2017	FINISHED	2017
10-dance-dance-dance	2018	-	
8-jou-carnival	2018	FINISHED	2018
allison-wa-haitenai	2018	FINISHED	2018
ameku-takao-no-suiri-karte	2018	FINISHED	2018
an-to-kyouju-no-rekishi-tokei	2018	FINISHED	2018
anata-no-osenaka-nagashitai	2018	-	
arai-rie-gekijou-nekoyama-san	2018	RELEASING	
ayakashi-parade-game	2018	FINISHED	2018
ayashi-no-mori-no-genyakan	2018	FINISHED	2018
bakarei-dogs	2018	-	
bokutachi-no-shinsekai	2018	FINISHED	2018
bunkou-no-hitotachi	2018	FINISHED	2017
chloe-no-ryuugi	2018	FINISHED	2018
chuugoku-yome-nikki	2018	RELEASING	
class-2-kanojo-ga-futari-iru	2018	-	
dance-in-za-vampire-bund-sledge-hammer-no-tsuioku	2018	FINISHED	
datenshi-no-jijou	2018	-	
doubutsu-iiaaru-wanko-wa-wanko	2018	-	
dungeon-ni-deai-o-motomeru-nowa-machigatteirudarouka-familia-chronicle	2018	FINISHED	2018
dungeon-ni-deai-o-motomerunowa-machigatteirudarouka	2018	CANCELLED	2019
dungeon-no-hotori-no-yadoya-no-oyaji	2018	RELEASING	
farao	2018	FINISHED	2018
fate-grand-order-comic-collection	2018	-	
fate-grand-order-comic-la-carte	2018	FINISHED	2018
fujoshi-no-tsuzui-san	2018	FINISHED	2018
futari-de-hitorigurashi	2018	-	
futaribocchi-sensou	2018	FINISHED	2018
future-card-buddyfight-dark-game-iden	2018	-	
glass-no-kakera-wa-neko-no-tameikii	2018	FINISHED	2019
goshujin-sama-to-kemonomimi-no-shoujo-meru	2018	FINISHED	2018
graineliers	2018	RELEASING	
granblue-fantasy	2018	FINISHED	2019
great-old	2018	FINISHED	2018
handosutando	2018	-	
hatsujouji-made-ato-1-jikan	2018	FINISHED	2018
heppoko-yuusha-ni-senryaku-o	2018	-	
hidamari-hoikuen-otonagumi	2018	-	
high-school-dxd	2018	FINISHED	2018
himekishi-san-to-orc	2018	FINISHED	2018
honami-sutoratto	2018	-	
honey-days	2018	FINISHED	2018
ikemen-sengoku	2018	FINISHED	2018
ikitemasuka-honda-kun	2018	FINISHED	2018
indo-meoto-jawan	2018	-	
isekai-goumon-hime	2018	FINISHED	2018
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	2018	RELEASING	
isekai-shoukan-gourmet-magical-table-cross	2018	FINISHED	2019
jieiota-otoko-asahina-kun	2018	FINISHED	2018
joou-no-jouken	2018	FINISHED	2017
junketsu-sensen	2018	-	
kami-sama-no-iru-keshiki	2018	FINISHED	2019
kanaeru-love-sick	2018	FINISHED	2018
kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	2018	RELEASING	
kinryou-rokku	2018	-	
kirakira-sutadii	2018	-	
kojirase-boy-meets-girl	2018	FINISHED	2018
kono-ai-wa-i-tan	2018	FINISHED	2018
kuma-otoko	2018	-	
kyuubanme-no-musashi-silent-black	2018	FINISHED	2019
mahou-shoujo-nante-mou-ii-desu-kara	2018	FINISHED	2018
makai-gacha-wa-kyou-mo-shibui	2018	RELEASING	
manga-assistant-no-nichijou	2018	FINISHED	2017
mannaka-no-ritsu-kun	2018	FINISHED	2018
maria-17	2018	-	
martian-dice	2018	FINISHED	2018
mofumofu-no-kamisamasagashi	2018	FINISHED	2018
nanbaka	2018	FINISHED	2022
neko-ga-arawareta	2018	-	
neru-joshi	2018	FINISHED	2018
nishikida-keibu-wa-dorobou-ga-osuki	2018	FINISHED	2018
no-game-no-life	2018	CANCELLED	2018
obaa-chan-to-game	2018	FINISHED	
onihime	2018	-	
osanazuma-no-hoshi	2018	-	
otasaa-no-hime-satsujin-jiken	2018	FINISHED	2018
otoko-koukousei-to-fureau-houhou	2018	FINISHED	2019
oyama-kikunosuke-san	2018	FINISHED	2018
rakudai-kishi-no-kyabarurii	2018	FINISHED	2017
renzusou-no-sankaku	2018	FINISHED	2018
rurou-no-gourmet	2018	-	
sakura-maimai	2018	FINISHED	2018
seifuku-no-vampiress-road	2018	FINISHED	2017
seishun-soukanzu	2018	FINISHED	2018
shijin-keisatsu	2018	FINISHED	2018
shirogane-shinshi-club	2018	FINISHED	2018
shishou-series	2018	FINISHED	2018
sougihime	2018	FINISHED	2014
sumi-de-ii-desu-kamawanai-de-kudasaiyo	2018	-	
sundome-jieitai	2018	FINISHED	2018
tei-sensei	2018	FINISHED	2018
tensei-shitara-slime-datta-ken-mamono-no-kuni-no-arukikata	2018	CANCELLED	2021
tokeijikake-no-ane	2018	FINISHED	2018
tomodachi-gokko-yamada-2016	2018	FINISHED	2018
tonarimachi-no-katasutorofu	2018	FINISHED	2018
undead-girl-murder-farce	2018	FINISHED	2025
wagamama-diy	2018	-	
wagamama-hanii-holic	2018	-	
wani-danshaku	2018	FINISHED	2018
watashi-to-kanojo-no-otomari-eiga	2018	FINISHED	2018
yamijo	2018	-	
yoakeato-no-shizu	2018	FINISHED	2018
zetsubou-no-tama	2018	-	
1-nichi-ikkai-etchi-shinakucha-dame-desuka	2019	-	
100-mankai-no-suki-o-ageru	2019	FINISHED	2019
6-gatsu-no-rabu-letter	2019	FINISHED	2019
8ldk-shisha-no-ou	2019	FINISHED	2019
afurika-no-salaryman	2019	RELEASING	
akatora	2019	FINISHED	2019
alicia-san-no-diet-quest	2019	FINISHED	2018
amaetai-hi-wa-soba-ni-ite	2019	FINISHED	2019
amaku-yasashii-sekai-de-ikiru-niwa	2019	FINISHED	2019
assistant-assassin	2019	RELEASING	
bachikan-kiseki-chousakan	2019	FINISHED	2018
bakumatsu-tenseiden-shinsengumi-rebellion	2019	FINISHED	2019
batman-and-justice-league	2019	FINISHED	2019
bijin-ga-konkatsu-shite-mitara	2019	-	
blue-striker	2019	FINISHED	2019
bokura-ga-ai-o-sakebu-toki	2019	FINISHED	2019
butsuri-san-de-musou-shitetara-motemote-ni-narimashita	2019	FINISHED	2019
captain-harlock-jigen-koukai	2019	-	
celebrity-game	2019	-	
cosmo-familia	2019	FINISHED	2019
dengeki-travellers	2019	FINISHED	2019
dokasen	2019	-	
donketsu	2019	FINISHED	2018
dungeon-seeker	2019	FINISHED	2019
einstein-no-kaibutsu	2019	FINISHED	2019
fenrir-nee-san-to-boku	2019	FINISHED	2019
gaiken-shijou-shugi	2019	-	
gal-kishi-angelica	2019	FINISHED	2019
gankutsusou-no-fuyajou-san	2019	-	
gatou-zero-ichi-no-senjou	2019	-	
gekikara-ojou-sama-wa-jibun-o-basshitai	2019	FINISHED	2019
harumineeshon	2019	FINISHED	2019
heroines-game	2019	FINISHED	2019
herupuman-shuzaiki	2019	-	
himeyadori	2019	FINISHED	2019
hoshikuzu-no-prince	2019	-	
hyoujin	2019	-	
ichiichi-seichi	2019	-	
ima-kimi-o-sukuitai	2019	FINISHED	2026
isekai-death-game-ni-tensou-sarete-tsurai	2019	FINISHED	2019
isekai-ekisha-no-kissaten	2019	FINISHED	2019
isekai-elf-no-dorei-chan	2019	FINISHED	2019
isekai-omotenashi-gohan	2019	FINISHED	2019
isekai-shoukansaretaga-kyousei-soukansareta-ore-wa-shikatanaku-yaseru-koto-ni-shita	2019	RELEASING	
jikai-no-death-game-ni-gokitai-kudasai	2019	FINISHED	2019
kai-to-kaijuu-no-tane	2019	-	
kainushi-juujin-to-pet-joshikousei	2019	FINISHED	2020
kakure-wotaku-no-love-senryaku	2019	FINISHED	2018
kami-sama-no-yokogao	2019	FINISHED	2019
kimongai	2019	FINISHED	2019
kiss-kyoujin-sora-o-tobu	2019	FINISHED	2019
kokubetsu-niwa-mada-hayai-yuigon-shikkounin-lily	2019	FINISHED	2018
kono-subarashii-sekai-ni-nichijou-o	2019	FINISHED	2019
kowamote-koukousei-to-jimiko-san	2019	FINISHED	2019
kusanagi-sensei-wa-tamesarete-iru	2019	FINISHED	2019
kyou-mo-onnanoko-o-kouryaku-shita	2019	FINISHED	2019
love-jack	2019	-	
mahou-shoujo-no-kareinaru-yosei	2019	FINISHED	2018
majutsu-yaburi-no-revenge-magia	2019	-	
mameneko	2019	-	
manga-no-mori-kara-joshi-joshikousei	2019	-	
mankan-pocha-muki-n	2019	FINISHED	2018
maou-no-mama-ni-narundayo	2019	FINISHED	2019
mata-no-okoshi-o-suzune-2018	2019	FINISHED	2018
mononobe-koshoten-kaiki-tan	2019	RELEASING	
mugi-no-koro	2019	FINISHED	2019
naisho-no-koi-hajimemashita	2019	-	
nanji-rinjin-o-batsu-seyo	2019	RELEASING	
ninja-tensei-shinobikiru	2019	FINISHED	2019
ore-to-kawazu-san-no-isekai-hourouki	2019	FINISHED	2019
osaka-kanjou-kekkai-toshi	2019	FINISHED	2019
otto-o-kamu	2019	RELEASING	
owatta-mangaka	2019	-	
piano-no-koibito-pianisshishimo	2019	-	
qp-gaiden-azuma-ryou	2019	FINISHED	2014
radio-lady	2019	-	
ryuuka-mami-no-kiyuu	2019	RELEASING	
saigo-no-saiyuuki	2019	FINISHED	2019
seijo-wa-naitotachi-ni-midasareru	2019	-	
sensei-yasumasete-kudasai	2019	FINISHED	2019
shachiku-kun-to-dorei-chan	2019	-	
shin-juuishi-no-file	2019	-	
shinariodoori-ni-taijou-shita-noni-imasara-nanno-goyou-desuka	2019	-	
siscon-ani-to-burakon-imouto-ga-shoujiki-ni-nattara	2019	FINISHED	2019
sketchbook	2019	FINISHED	2019
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	2019	-	
suikoden-2000	2019	FINISHED	1971
supi-otako-chan	2019	-	
sweet-revenge	2019	-	
tama-ou-hibi	2019	-	
tasukete-maou-sama	2019	FINISHED	2018
tonari-no-akujo	2019	FINISHED	2019
tonzura-gohan	2019	-	
try-knights	2019	FINISHED	2019
tsuma-wa-tanin	2019	-	
uchuujin-puruka	2019	FINISHED	2019
warui-ko-demo-iino	2019	FINISHED	2019
watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	2019	RELEASING	
yanyan-kokoyan	2019	FINISHED	2019
yuki-to-matsu	2019	FINISHED	2018
yuugai-shitei-doukyuusei	2019	FINISHED	2019
yuusha-no-party-ni-eiyoushi-ga-kuwawatta	2019	-	
zetsurin-hanyunyu-2018	2019	RELEASING	
10sai-10-ta-no-kare-dakedo	2020	FINISHED	2020
10saishita-demo-anata-o-dakitai	2020	-	
23-ku-tokyo-majo	2020	FINISHED	2020
6gou-keibi	2020	RELEASING	
alma	2020	FINISHED	2020
animeta	2020	RELEASING	
aoniyoshi-sore-mo-yoshi	2020	RELEASING	
asa-ninattemo-owa-ranaitsu	2020	-	
beast-children	2020	FINISHED	2019
bem	2020	FINISHED	2020
choujin-rokku-gaia-no-kiba	2020	-	
cinderella-girls-gekijou	2020	RELEASING	
corseltel-no-ryuujitsushi	2020	-	
crystal-dragon	2020	RELEASING	
daijukai-no-monster-partner	2020	FINISHED	2019
dear-noman	2020	FINISHED	2020
doahorizumu	2020	FINISHED	2019
dungeon-no-maou-wa-saijaku	2020	RELEASING	
edomae-no-shun-deluxe	2020	-	
erii-golden-to-itazura-na-tenkan-busu-de-debu-demo-ikemen-elite	2020	FINISHED	2020
erzsebet	2020	FINISHED	2020
fate-grand-order-comic-la-carte-plus	2020	RELEASING	
gekidan-nijuumensou-baasasu-nanairo-inko	2020	FINISHED	2020
golden-age-2019	2020	-	
golden-sakura	2020	RELEASING	
goohoo-mafia-kajita-kun	2020	-	
goreijou-takashima-kiyono-wa-hisoka-ni-tashinamu	2020	FINISHED	2020
guraburutsu	2020	RELEASING	
hajimete-no-gyakusatsu	2020	FINISHED	2019
hanjuku-familia	2020	-	
hidamari-ga-kikoeru	2020	-	
hidarikiki-no-eren-nifuni-2020	2020	RELEASING	
hina-chan-change	2020	FINISHED	2020
hokuou-joshi-oosa-ga-mitsuketa-nippon-no-fushigi	2020	FINISHED	2020
houkago-pedal	2020	-	
isekai-desu-mamono-saibai-shite-imasu	2020	FINISHED	2020
isekai-hoikuen-o-hirakimashita	2020	RELEASING	
itoshi-koishi	2020	FINISHED	2019
kami-shufu-enta	2020	-	
kansaijin-to-fukumen-satsujinki	2020	FINISHED	2020
kao-ga-konoyo-ni-muite-nai	2020	FINISHED	2020
kedama-no-gonjiroo	2020	FINISHED	2020
kenka-kagyou	2020	FINISHED	2020
khan-kusa-to-tetsu-to-hitsuji	2020	FINISHED	2020
kimi-wa-idol	2020	RELEASING	
kiss-shite-kurenakya-shinjau	2020	FINISHED	2020
kochira-rasubosu-maoujou-mae-kyoukai	2020	FINISHED	2020
kojirase-hyakki-domainaa	2020	FINISHED	2020
kondo-koso-shiawase-ni-narimasu	2020	FINISHED	2020
kotonaru-jigen-no-kanrinin-san	2020	FINISHED	2020
kuro-no-souzou-shoukanshi	2020	FINISHED	2016
kuroane-insomnia	2020	FINISHED	2019
kyoodai-nanka-ja-irarenai	2020	FINISHED	2020
kyoryuu-senki	2020	FINISHED	2020
kyou-doko-san-ikuto	2020	FINISHED	2019
kyuukyoku-no-komyushou-wotaku-joshi-no-watashi-ga-soshage-no-sekai-ni-kita-kedo-oshi-ga-toutosugite	2020	-	
last-order-sumi-2019	2020	FINISHED	2020
madougushi-dariya-wa-utsumukanai-kei-2019	2020	FINISHED	2020
madoushi-wa-heibon-o-nozomu	2020	FINISHED	2019
majo-raba-majo-reba	2020	FINISHED	2020
maou-ga-yadoya-o-yatteinu	2020	FINISHED	2019
maou-no-migiude-ni-natta-node-gensaku-kaiaku-shimasu	2020	FINISHED	2020
matataki-no-soonya	2020	RELEASING	
mei-chan-wa-yakiniku-ga-koishii	2020	RELEASING	
mobile-suit-gundam-ground-zero-colony-no-ochita-chi-de	2020	FINISHED	2020
monkey-peak-the-rock-2020	2020	FINISHED	2021
motokare-to-konna-koto-ni-naru-nante	2020	-	
mr-applicant	2020	FINISHED	2019
musou-kouro	2020	FINISHED	2020
muteki-no-hito-kizuki-2019	2020	FINISHED	2020
nishino	2020	FINISHED	2020
nyanko-days	2020	FINISHED	2020
ohitorisama-no-yutaka-na-nenshuu-200-man-seikatsu	2020	-	
ookami-no-sumika	2020	FINISHED	2020
ore-to-jashin-to-mahoutsukai-no-onnanoko	2020	-	
osananajimi-ni-najimitai	2020	FINISHED	2019
otokonokozuma	2020	FINISHED	2020
piisu-maker-kurogane	2020	-	
raise-o-chikatte-tenseishitara-taihenna-kotoni-natta	2020	FINISHED	2020
ryuujin-sama-to-kurashitara	2020	FINISHED	2020
sakura-no-izakaya-saijiki	2020	FINISHED	2020
satsujin-game-haishin-gentei	2020	-	
sayonara-otokonoko	2020	FINISHED	2020
seijo-futari-no-isekai-burari-tabi	2020	FINISHED	2020
seire-sama-no-nangina-nichijou	2020	FINISHED	2020
seiryaku-kekkon-no-danna-sama-kari-to-koi-o-hajimemasu	2020	-	
sekai-baegoroshi-tsuaazu	2020	-	
sensei-no-oningyou	2020	FINISHED	2019
shashinya-kafuka	2020	RELEASING	
sheerlore	2020	FINISHED	2020
shinibitogatari	2020	FINISHED	2020
shinrigaku-wa-yaku-ni-tatanai	2020	-	
shirokuma-tensei	2020	RELEASING	
siscon-onee-chan-to-kinishinai-imouto	2020	FINISHED	2020
sono-dekiai-okotowari-shimasu	2020	FINISHED	2019
sono-otsu-san-isekai-de-nishuume-play-o-mankitsuchuu	2020	RELEASING	
soroete-choudai	2020	FINISHED	2020
sorokatsu	2020	-	
suzu-chan-desho	2020	-	
tabi-to-gohan-to-shuumatsu-sekai	2020	FINISHED	2020
tenpai-gaiden-deluxe	2020	-	
tensei-ouji-wa-daraketai	2020	FINISHED	2020
tetsuoberutta	2020	FINISHED	2020
tokyo-alice-girly	2020	FINISHED	2020
tsukigami-to-bonbon	2020	FINISHED	2020
tsukikage-moratorium	2020	FINISHED	2019
tsumugi-kun-no-sakippo	2020	FINISHED	2021
