slug	title	authors	year	publisher	total_volumes
emerald-ha-kidoriya	エメラルドは気取り屋	名香智子	1999	shogakukan	1
hamster-no-kyuukyuubako	ハムスターの救急箱	めで鯛	1999	(unknown)	1
konoshitayami	木下闇	田辺真由美	1999	akita	1
zoku-kanaike-no-hitobito	続 金井家の人々	藤臣柊子	1999	bunkasha	1
hana-kariudo	花狩人	田辺真由美	1999	akita	1
skip-kiss	SKIP-KISS	大和名瀬	2000	oto-shobo	1
hisauchi-michio-kenkyuu-2-ai-no-tabou-ni-tsuite-sukebe-wa-tsurai-yotsu	ひさうちみちお研究2 愛の多忙について スケベはつらいよっ!	ひさうちみちお	2000	(unknown)	1
manga-zankoku-nippon-banashi-inagaki	まんが残酷日本むかしばなし	稲垣みさお	2000	bunkasha	1
watanabe-masako-kyoufu-gekijou-yashagaike	わたなべまさこ恐怖劇場 夜叉ヶ池	わたなべまさこ	2000	futabasha	1
supooshon-kid	スポーションKID	高田裕三	2000	kodansha	1
bon-kudo	ボン	工藤かずや	2000	leed	1
touya	凍夜	田辺真由美	2000	akita	1
osaka-geijutsu-daigaku-kanan-bungei-manga-hen	大阪芸術大学河南文藝 漫画篇	小池一夫	2000	(unknown)	1
ninpou-juuban-shoubu-shirato	忍法十番勝負	白土三平	2000	akita	1
magatte-soorou	曲がってそーろう	坂辺周一	2000	wani-magazine	1
kibun-wa-mou-sensou-2002	気分はもう戦争	藤原カムイ	2000	kadokawa	1
mayonaka-no-raburetaa	真夜中のラブレター	つのだじろう	2000	shufu-to-seikatsu	1
magatsuhi-boshi	禍津日星	田辺真由美	2000	akita	1
juuou-mujin-no-kaze	縦横無尽の風	名香智子	2000	shogakukan	1
kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	前川つかさ	2000	asuka-shinsha	1
honkon-tokusou-lady	香港特捜Lady	真行寺たつや	2000	wani-magazine	1
suteki-na-kekkon	すてきな結婚	たらさわみち	2001	futabasha	1
sourenki	双恋記	田辺真由美	2001	akita	1
