slug	title	canonical	norm_key	巻番号	版
katte-ni-shirokuma	かってにシロクマ	同名	有	ACTIONCOMICS	重複	standard/ACTION COMICS/6巻[1, 2, 3, 4, 5, 6] || shinsoban/ACTION COMICS/2巻[1, 2]
kozure-ookami	子連れ狼	同名	有	アクシヨンコミツクス	重複	standard/アクション・コミックス/28巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28] || shinsoban/アクション・コミックス/14巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
kubikiri-asa	首斬り朝	同名	有	劇画キングシリーズ	重複	standard/劇画キングシリーズ/12巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] || shinsoban/劇画キングシリーズ/7巻[1, 2, 3, 4, 5, 6, 7]
kurobee-2002	黒ベエ	同名	有	藤子不二雄Aランド	重複	standard/藤子不二雄Aランド/3巻[1, 2, 3] || shinsoban/藤子不二雄Aランド/3巻[1, 2, 3]
kyojin-no-hoshi	巨人の星	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/19巻[6, 5, 4, 3, 2, 1, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7] || bunkobon/講談社漫画文庫/11巻[11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
love-pack	ラブパック	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/3巻[3, 2, 1] || bunkobon/講談社漫画文庫/2巻[2, 1]
makai-tenshou	魔界転生	同名	有	SPコミツクス	重複	standard/SPコミックス/6巻[1, 2, 3, 4, 5, 6] || aizoban/SPコミックス/2巻[1, 2] || shinsoban/SPコミックス/2巻[1, 2]
meitantei-hokenshitsu-no-oba-san	名探偵保健室のオバさん	同名	有	マーガレツトコミツクス	重複	standard/マーガレットコミックス/8巻[1, 2, 3, 4, 5, 6, 7, 8] || shinsoban/マーガレットコミックス/1巻[1]
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	同名	有	水木しげる漫画大全集	重複	standard/水木しげる漫画大全集/69巻[1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 15, 16, 17, 21, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 59, 60, 62, 63, 64, 65, 66, 68, 69, 70, 72, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 91, 93, 94, 95, 96, 97, 101] || shinsoban/水木しげる漫画大全集/37巻[3, 4, 5, 9, 10, 11, 13, 18, 19, 20, 22, 23, 24, 32, 40, 41, 42, 43, 44, 45, 46, 51, 58, 61, 67, 71, 73, 82, 88, 89, 90, 92, 98, 99, 100, 102, 103]
monokage-ni-ashibyoushi	物陰に足拍子	同名	有	マンサンコミツクス	重複	standard/マンサンコミックス/4巻[1, 2, 3, 4] || shinsoban/マンサンコミックス/4巻[3, 4, 2, 1]
