isbn	reason	adult	title	base	vol	brand	pub	date
9784865892949	no_creator		HQ ＋ カレシ : room shareただいま!	HQ ＋ カレシ		HQアンソロジーspike番外編	ふゅーじょんぷろだくと	2017-02
9784865892819	no_creator		HQ ＋ カレシ : diet	HQ ＋ カレシ		HQアンソロジーspike番外編	ふゅーじょんぷろだくと	2016-12
9784865895148	no_creator		オオカミ + カレシ : 野獣が君臨する世界	オオカミ + カレシ		Be comics	ふゅーじょんぷろだくと	2018-10
9784865892970	no_creator		真冬男子	真冬男子		Baby comics extra	ふゅーじょんぷろだくと	2017-02
9784758031554	no_creator		異種恋愛物語集 : アンソロジー	異種恋愛物語集		IDコミックス	一迅社	2016-02
9784802131438	no_creator		アリス・ギア・アイギス公式アンソロジーコミック	アリス・ギア・アイギス公式アンソロジーコミック			メディアパル	2019-03
9784758009218	no_creator		King of prism by pretty rhythmコミックアンソロジー	King of prism by pretty rhythmコミックアンソロジー	vol. 3	DNAメディアコミックス	一迅社	2016-10
9784865892710	no_creator		オレに構うな	オレに構うな		Baby comics extra	ふゅーじょんぷろだくと	2016-12
9784758009157	no_creator		King of prism by pretty rhythmコミックアンソロジー	King of prism by pretty rhythmコミックアンソロジー	vol. 2	DNAメディアコミックス	一迅社	2016-08
9784758067935	no_creator		ヤンデレ少女にいちゃラブされちゃうアンソロジーコミック	ヤンデレ少女にいちゃラブされちゃうアンソロジーコミック	2	IDコミックス	講談社	2019-03
9784758079174	no_creator		いちゃらぶしかない百合アンソロジーコミック	いちゃらぶしかない百合アンソロジーコミック		IDコミックス	講談社	2019-03
9784758009270	no_creator		ダンガンロンパ3-the end of希望ヶ峰学園-コミックアンソロジー	ダンガンロンパ3-the end of希望ヶ峰学園-コミックアンソロジー		DNAメディアコミックス	一迅社	2016-11
9784799212332	no_creator	1	人外お姉さんによる甘やかし搾精編 : 別冊コミックアンリアル	人外お姉さんによる甘やかし搾精編		アンリアルコミックス	キルタイムコミュニケーション	2019-03
9784799212318	no_creator	1	無知ムチカノジョがエッチを覚えたら…?	無知ムチカノジョがエッチを覚えたら…?		二次元コミックマガジン	キルタイムコミュニケーション	2019-03
9784821167890	no_creator		Comic陣	Comic陣	vol. 11	ぶんか社ムック	ぶんか社	2019-02
9784815550172	no_creator		ポルノBL : (秘)スポットにズームIN♂	ポルノBL		DAISY COMICS	三交社	2019-03
9784865892598	no_creator		Travel lovers	Travel lovers		Baby comics extra	ふゅーじょんぷろだくと	2016-11
9784865358827	no_creator		漫画パチンカーZ +	漫画パチンカーZ +	vol. 3	GW mook	ガイドワークス	2019-04
9784758066297	no_creator		童貞を殺すアンソロジーコミック	童貞を殺すアンソロジーコミック		IDコミックス	一迅社	2016-11
9784865892581	no_creator		オレにひれ伏せ	オレにひれ伏せ		Baby comics extra	ふゅーじょんぷろだくと	2016-11
9784865892673	no_creator		ごはん + カレシ	ごはん + カレシ		Be comics	ふゅーじょんぷろだくと	2016-11
9784799212387	no_creator	1	敗北乙女エクスタシー	敗北乙女エクスタシー	SP.07	二次元ドリームコミックス	キルタイムコミュニケーション	2019-04
9784845854127	no_creator		コミック乱セレクション英明果敢	コミック乱セレクション英明果敢		SPコミックス	リイド社	2019-01
9784845854134	no_creator		コミック乱twinsセレクション : 江戸の光と闇	コミック乱twinsセレクション		SPコミックス	リイド社	2019-01
9784863882683	no_creator		トランスフォーマークラシックス	トランスフォーマークラシックス	VOL.2	MEDIABOY MOOK	メディアボーイ	2019-01
9784863882782	no_creator		トランスフォーマークラシックススペシャル:ヘッドマスターズ	トランスフォーマークラシックススペシャル:ヘッドマスターズ		MEDIABOY MOOK	メディアボーイ	2019-01
9784821167982	no_creator		平成最後の(生)読者投稿祭り : 本当にあった笑える話	平成最後の(生)読者投稿祭り		ぶんか社ムック	ぶんか社	2019-04
9784821167975	no_creator		Comic陣	Comic陣	vol. 12	ぶんか社ムック	ぶんか社	2019-04
9784821137640	no_creator		ごほうび食堂 : しあわせ?おひとりごはん	ごほうび食堂		Bunkasha comics	ぶんか社	2019-04
9784865890907	no_creator		OP + カレシ	OP + カレシ	OPアンソロジー	Poe backs	ふゅーじょんぷろだくと	2015-11
9784821167814	no_creator		ワンコインレディコミ超貧困女vs. ドケチ女	ワンコインレディコミ超貧困女vs. ドケチ女		ぶんか社ムック	ぶんか社	2019-04
9784845854387	no_creator		コミック乱twinsセレクション : 侍たちの掟	コミック乱twinsセレクション		SPコミックス	リイド社	2019-03
9784845863068	no_creator		時代劇ベスト	時代劇ベスト	vol. 3	パーフェクト・メモワール	リイド社	2019-03
9784344844414	no_creator		たそがれ食堂	たそがれ食堂	vol. 12	バーズコミックスプラス	幻冬舎	2019-04
9784799212455	no_creator	1	男の娘を尻穴快楽でメス堕ち陵辱!	男の娘を尻穴快楽でメス堕ち陵辱!		二次元コミックマガジン	キルタイムコミュニケーション	2019-04
9784832270848	no_creator		マギアレコード : 魔法少女まどか☆マギカ外伝アンソロジーコミック	マギアレコード	volume 1	Kirara menu	芳文社	2019-05
9784073406358	no_creator		しあわせ一献!いただきますわたしのお酒	しあわせ一献!いただきますわたしのお酒	春号	主婦の友ヒットシリーズ	主婦の友社	2019-05
9784799212509	no_creator	1	美少女ハッキング～発情させたり操ったり憑依女体化したり!?～ : 別冊コミックアンリアル	美少女ハッキング～発情させたり操ったり憑依女体化したり!?～		アンリアルコミックス	キルタイムコミュニケーション	2019-05
9784396784768	no_creator		On blue : boys love anthology for ultimate entertainment	On blue	vol. 40		祥伝社	2019-05
9784801918665	no_creator		本当にあった愉快な話芸能プレミアム	本当にあった愉快な話芸能プレミアム	2019 春号	バンブームック	竹書房	2019-05
9784821137473	no_creator		俺流!絶品めし	俺流!絶品めし	vol. 10	Bunkasha comics	ぶんか社	2019-01
9784821137602	no_creator		ごはん日和	ごはん日和	vol. 15	Bunkasha comics	ぶんか社	2019-02
9784821137244	no_creator		俺流!絶品めし	俺流!絶品めし	vol. 9	Bunkasha comics	ぶんか社	2018-11
9784821137923	no_creator		ごほうび食堂 : ドドンとどんぶり!	ごほうび食堂		Bunkasha comics	ぶんか社	2019-06
9784821137305	no_creator		ごはん日和	ごはん日和	vol. 14	Bunkasha comics	ぶんか社	2018-12
9784821137664	no_creator		俺流!絶品めし	俺流!絶品めし	vol. 11	Bunkasha comics	ぶんか社	2019-03
9784821137879	no_creator		ごはん日和	ごはん日和	vol. 16	Bunkasha comics	ぶんか社	2019-04
9784758079228	no_creator		マカロン : アイドル百合アンソロジー	マカロン		IDコミックス	講談社	2019-04
9784758067973	no_creator		異世界で一夫多妻なハーレム性活?アンソロジーコミック	異世界で一夫多妻なハーレム性活?アンソロジーコミック		IDコミックス	講談社	2019-04
9784758079235	no_creator		ユリキュール : アルコール百合アンソロジー	ユリキュール		IDコミックス	講談社	2019-04
9784845863082	no_creator		コミック艶	コミック艶	vol. 3	パーフェクト・メモワール	リイド社	2019-04
9784049125054	no_creator		SSSS.GRIDMANコミックアンソロジーSIDE:新条アカネ	SSSS.GRIDMANコミックアンソロジーSIDE:新条アカネ		電撃コミックスNEXT	KADOKAWA	2019-04
9784758066167	no_creator		異世界転生して勇者になろう! : アンソロジーコミック	異世界転生して勇者になろう!		IDコミックス	一迅社	2016-08
9784049125047	no_creator		SSSS.GRIDMANコミックアンソロジーSIDE:宝多六花	SSSS.GRIDMANコミックアンソロジーSIDE:宝多六花		電撃コミックスNEXT	KADOKAWA	2019-04
9784758032186	no_creator		オネエと私アンソロジー	オネエと私アンソロジー		IDコミックス	一迅社	2016-08
9784758009164	no_creator		Fate/grand orderコミックアンソロジーfor girl	Fate/grand orderコミックアンソロジーfor girl		DNAメディアコミックス	一迅社	2016-09
9784785964054	no_creator		中華 : 街角の名店 : 思い出食堂特別編集	中華		Comic	少年画報社	2019-04
9784785964078	no_creator		思い出食堂	思い出食堂	no. 45	Comic	少年画報社	2019-04
9784073406877	no_creator		おいしさ満点☆ごちそう屋	おいしさ満点☆ごちそう屋	初夏号	主婦の友ヒットシリーズ	主婦の友社	2019-06
9784758009171	no_creator		King of prism by pretty rhythm 4コマkings	King of prism by pretty rhythm 4コマkings		DNAメディアコミックス	一迅社	2016-09
9784821168064	no_creator		Comic陣	Comic陣	vol. 13	ぶんか社ムック	ぶんか社	2019-06
9784785963958	no_creator		お江戸ねこぱんち	お江戸ねこぱんち	其の21	にゃんcomi	少年画報社	2019-03
9784801918269	no_creator		女のブラック事件簿	女のブラック事件簿	vol. 4	バンブームック	竹書房	2019-03
9784785964023	no_creator		ひとりごはん : オール新作よみきり漫画	ひとりごはん	no. 23	Comic	少年画報社	2019-03
9784865891997	no_creator		クロバス ＋ カレシ : 食	クロバス ＋ カレシ		Poe backs	ふゅーじょんぷろだくと	2016-09
9784865895209	no_creator		オメガバースプロジェクト	オメガバースプロジェクト	シーズン5-2	Poe backs	ふゅーじょんぷろだくと	2018-11
9784865892499	no_creator		Mofumofu lovers	Mofumofu lovers		Baby comics extra	ふゅーじょんぷろだくと	2016-10
9784865892352	no_creator		執着らぶ	執着らぶ		Baby comics extra	ふゅーじょんぷろだくと	2016-09
9784865892420	no_creator		テニプリ + カレシ : 将来	テニプリ + カレシ		Poe backs	ふゅーじょんぷろだくと	2016-10
9784865892277	no_creator		ギントキ ＋ カレシ : ひと夏の恋	ギントキ ＋ カレシ		Poe backs	ふゅーじょんぷろだくと	2016-09
9784865892482	no_creator		寮生男子	寮生男子		Baby comics extra	ふゅーじょんぷろだくと	2016-10
