判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	tange-sazen-ozawa2011	tange-sazen	1	0	0	丹下左膳 乾雲坤竜	丹下左膳	小沢さとる/林不忘	伊藤隆夫/湖玉次吉/林不忘	2011	1959	tange-sazen-ozawa2011	tange-sazen
別題ISBN無交差=概ね正当	B_基底頁あり	tengoku-2023	tengoku	1	12	0	天国	天獄	ゴトウユキコ/Seinen	うたたねひろゆき/Seinen	2023	2004	tengoku-2023	tengoku
別題ISBN無交差=概ね正当	B_基底頁あり	to-heart-2-2005	to-heart-2	3	4	0	To Heart	ToHeart2	高雄右京/アクアプラス/Shounen	御形屋はるか/アクアプラス/Shounen	1998	2005	to-heart	to-heart-2
別題ISBN無交差=概ね正当	B_基底頁あり	train-train-2002	train-train	3	6	0	トレイン・トレイン	TRAIN+TRAIN	影木栄貴/Shoujo/Trains	たくま朋正/倉田英之/Shounen/Trains	2002	2000	train-train-2002	train-train
別題ISBN無交差=概ね正当	B_基底頁あり	u12-2018	u12	3	6	0	U12(アンダートゥエルブ)	U12	闇川コウ/Tragedy/Seinen/Gore	闇川コウ/Tragedy/Seinen/Gore	2018	2015	u12-2018	u12
別題ISBN無交差=概ね正当	B_基底頁あり	uchi-no-3-shimai-2012	uchi-no-3-shimai	1	32	0	うちの3姉妹 番外編	うちの3姉妹	松本ぷりっつ	松本ぷりっつ	2012	2006	uchi-no-3-shimai-2012	uchi-no-3-shimai
別題ISBN無交差=概ね正当	B_基底頁あり	uchuu-senkan-yamato-1987	uchuu-senkan-yamato	2	9	0	宇宙戦鑑ヤマト	宇宙戦艦ヤマト	松本零士/Space Opera/Shounen/Military	ひおあきら/藤川桂介/松本零士	1987	1974	uchuu-senkan-yamato-1987	uchuu-senkan-yamato
別題ISBN無交差=概ね正当	B_基底頁あり	wani-bunsho-2010	wani-bunsho	1	3	0	82分署	ワニ分署	篠原とおる/Seinen/Police	篠原とおる/Seinen/Police	2010	1978	wani-bunsho-2010	wani-bunsho
別題ISBN無交差=概ね正当	B_基底頁あり	wild-pitch-2006	wild-pitch	3	16	0	わいるど・ぴっち	WILD PITCH!!!	まりお金田/Seinen	中原裕/加藤潔/Seinen/Baseball	2006	2016	wild-pitch-2006	wild-pitch
別題ISBN無交差=概ね正当	B_基底頁あり	winning-ticket-2011	winning-ticket	4	21	0	ウイニング・チケットⅡ	ウイニング・チケット	小松大幹	小松大幹	2011	2006	winning-ticket-2011	winning-ticket
別題ISBN無交差=概ね正当	B_基底頁あり	yokohama-hyakunen-shokudou-2017	yokohama-hyakunen-shokudou	1	1	0	続横浜百年食堂	横浜百年食堂	高井研一郎/Food	高井研一郎	2017	2014	yokohama-hyakunen-shokudou-2017	yokohama-hyakunen-shokudou
別題ISBN無交差=概ね正当	B_基底頁あり	yuugo-akana2011	yuugo	6	24	0	勇午 the negotiator	勇午	赤名修/真刈信二/Seinen	赤名修/真刈信二	2004	1994	yuugo-akana2011	yuugo
別題ISBN無交差=概ね正当	B_基底頁あり	zaaruburugu-no-renkinjutsushi-2007	zaaruburugu-no-renkinjutsushi	3	5	0	ザールブルグの錬金術士　second season	ザールブルグの錬金術士	越智善彦	越智善彦/Shounen	2007	2000	zaaruburugu-no-renkinjutsushi-2007	zaaruburugu-no-renkinjutsushi
別題ISBN無交差=概ね正当	B_基底頁あり	zig-zag-2000	zig-zag	2	9	0	ZIG×ZAG	ZIG☆ZAG	安永圭/Shoujo/Baseball	なかじ有紀/Shoujo/Gender Bending	2000	2005	zig-zag-2000	zig-zag
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	aku-no-meshitsukai-2011	aku-no-meshitsukai	1	2	0	悪ノ召使	悪ノ召使	猫山宮緒/Shounen/Tragedy/Royal Affairs/Magic/Assassins/Vocal Synth/Yuri	眼鏡犬/mothy_悪ノP/Shounen/Tragedy/Royal Affairs/Magic/Assassins/Vocal Synth/Yuri	2011	2014	aku-no-meshitsukai-2011	aku-no-meshitsukai
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	akuerian-age-2004	akuerian-age	1	2	0	アクエリアンエイジ	アクエリアンエイジ	あさぎ桜/加納新太/ブロッコリー	八重咲馨/中井まれかつ/ブロッコリー	2004	2001	akuerian-age-2004	akuerian-age
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	akuma-ga-kitarite-fue-o-fuku-jet2002	akuma-ga-kitarite-fue-o-fuku	1	1	0	悪魔が来りて笛を吹く	悪魔が来りて笛を吹く	JET/横溝正史	影丸穣也/横溝正史	2002	2001	akuma-ga-kitarite-fue-o-fuku-jet2002	akuma-ga-kitarite-fue-o-fuku
