hold_reason	class	fix_layer	stem	pub_slug	isbn13	vol	ours	theirs	delta_days	prec	ev_src	ev_at	has_override	unreleased	placeholder_cover	page_status	edition_type	imprint	n_pages_with_isbn	page_title	rakuten_title
★NDL未更新の疑い(NDL=現在値2026-10-07 / 楽天=2026-12-07 / 差+61日)= 人が裁定	POSTPONED	PREORDER	gedou-tenisha-no-harem-dungeon-seisakuki	gedou-tenisha-no-harem-dungeon-seisakuki	9784801991088	3	2026-10-07	2026-12-07	61	day	harvest	2026-09-04	no	yes	yes	ongoing	standard	バンブーコミックス 異世界BC	1	外道転移者のハーレムダンジョン製作記	外道転移者のハーレムダンジョン製作記（3）
★NDL未更新の疑い(NDL=現在値2026-11-19 / 楽天=2026-12-18 / 差+29日)= 人が裁定	POSTPONED	SEED4	todoroki-daimaru-no-kikai-taikendan	todoroki-daimaru-no-kikai-taikendan	9784253020800	5	2026-11-19	2026-12-18	29	day	harvest	2026-09-04	no	yes	no	ongoing	standard	チャンピオンREDコミックス	1	轟大丸の奇怪体験談	轟大丸の奇怪体験談　5
★NDL未更新の疑い(NDL=現在値2026-09-24 / 楽天=2026-09-18 / 差-6日)= 人が裁定	ADVANCED	PREORDER	anchan-wa-honto	anchan-wa-honto	9784041177822	1	2026-09-24	2026-09-18	-6	day	harvest	2026-09-04	no	yes	no	ongoing	standard	あすかコミックスDX	1	あんちゃんはほんと	あんちゃんはほんと 01
★NDL未更新の疑い(NDL=現在値2026-09-24 / 楽天=2026-09-18 / 差-6日)= 人が裁定	ADVANCED	PREORDER	kaitou-kitan	kaitou-kitan	9784041175514	2	2026-09-24	2026-09-18	-6	day	harvest	2026-09-04	no	yes	yes	ongoing	standard	あすかコミックスDX	1	怪島奇譚	怪島奇譚 〜不死の少年と妖猫の旅〜　2
★NDL未更新の疑い(NDL=現在値2026-09-24 / 楽天=2026-09-18 / 差-6日)= 人が裁定	ADVANCED	SEED4	katana	katana	9784041177815	23	2026-09-24	2026-09-18	-6	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ぶんか社コミックス	1	KATANA	KATANA　23 百鬼夜行
奥付日vs店頭日(NDL=現在値2026-09-04 / 楽天=2026-09-03)= 既知の仕様差・変更しない	MINOR	PREORDER	bungou-sutoreidoggusu-tanteisha-setsuritsu-hiwa	bungou-sutoreidoggusu-tanteisha-setsuritsu-hiwa	9784041176948	3	2026-09-04	2026-09-03	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	角川コミックス・エース	1	文豪ストレイドッグス 探偵社設立秘話	文豪ストレイドッグス 探偵社設立秘話　（3）
奥付日vs店頭日(NDL=現在値2026-09-04 / 楽天=2026-09-03)= 既知の仕様差・変更しない	MINOR	PREORDER	noa-no-tokouken	noa-no-tokouken	9784041176900	1	2026-09-04	2026-09-03	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	角川コミックス・エース	1	ノアの渡航券	ノアの渡航券　1
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	akujo-rankingu	akujo-rankingu	9784040765365	1	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	悪女ランキング	悪女ランキング　1
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	downer-megami-wa-oshiga-tsuyoi	downer-megami-wa-oshiga-tsuyoi	9784040765327	1	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	ダウナー女神は推しが強い	ダウナー女神は推しが強い 1
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	fuyajou-tensei-kinyoku-shiteta-saikyou-yuushadesu-ga-seinaru-skill-de-	fuyajou-tensei-kinyoku-shiteta-saikyou-yuushadesu-ga-seinaru-skill-de-	9784040763149	2	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	不夜城転生	不夜城転生 〜禁欲してた最強勇者ですが、精なるスキルで悦楽の都を無双します〜　2
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	9784040765310	4	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	completed	standard	ドラゴンコミックスエイジ	1	田舎の黒ギャルJKと結婚しました	田舎の黒ギャルJKと結婚しました 4
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	isekai-nonbiri-nouka	isekai-nonbiri-nouka	9784040765273	17	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	異世界のんびり農家	異世界のんびり農家　17
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	isekai-nonbiri-nouka-no-nichijou	isekai-nonbiri-nouka-no-nichijou	9784040765280	8	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	異世界のんびり農家の日常	異世界のんびり農家の日常　8
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	itoko-no-ko	itoko-no-ko	9784040765297	6	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	いとこのこ	いとこのこ 6
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	midarini-kasete-wa-narimasen	midarini-kasete-wa-narimasen	9784040764245	2	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	みだりに憑かせてはなりません	みだりに憑かせてはなりません　2
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	murabito-desu-nanika	murabito-desu-nanika	9784040765433	18	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	村人ですが何か?	村人ですが何か？　18
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	ore-ochi-slave-hero-korekushon	ore-ochi-slave-hero-korekushon	9784040765396	3	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	completed	standard	ドラゴンコミックスエイジ	1	俺堕ちスレイブヒーローコレクション	俺堕ちスレイブヒーローコレクション 3
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	SEED4	ougon-no-keikenchi	ougon-no-keikenchi	9784040765372	5	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	黄金の経験値	黄金の経験値　5
奥付日vs店頭日(NDL=現在値2026-09-09 / 楽天=2026-09-08)= 既知の仕様差・変更しない	MINOR	PREORDER	yuusha-no-moto-nakama-fuufu-wa-inaka-de-nonbiri-shiawase-ni-kurasu	yuusha-no-moto-nakama-fuufu-wa-inaka-de-nonbiri-shiawase-ni-kurasu	9784040765334	1	2026-09-09	2026-09-08	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	ドラゴンコミックスエイジ	1	勇者の元仲間夫婦は田舎でのんびり幸せに暮らす	勇者の元仲間夫婦は田舎でのんびり幸せに暮らす　1
奥付日vs店頭日(NDL=現在値2026-09-10 / 楽天=2026-09-09)= 既知の仕様差・変更しない	MINOR	PREORDER	game-sekai-de-mamono-ni-tensei-shiteshimatta-ore	game-sekai-de-mamono-ni-tensei-shiteshimatta-ore	9784041176634	2	2026-09-10	2026-09-09	-1	day	harvest	2026-09-04	no	yes	no	ongoing	standard	角川コミックス・エース	1	ゲーム世界で魔物に転生してしまった俺、前世で推しだったヒロインを拾ってしまう	ゲーム世界で魔物に転生してしまった俺、前世で推しだったヒロインを拾ってしまう（2）
