series_key	訳者	role
name:アレハンドロ・ホドロフスキー|name:猫の目	原正人	訳
name:アンディ・ディグル|name:グリーンアロー イヤーワン	中沢俊介	訳
name:アンドレア・ソレンティーノ|name:ジョーカー:キラースマイル	石川裕人	訳
name:アンヘル・ウインスエータ|name:スター・ウォーズ 砕かれた帝国	石川裕人	訳
name:アーロン・ブレイビー|name:バッドガイズ	中井はるの	訳
name:イブ・ユーイング|name:ミズ・マーベル:チーム・アップ	中沢俊介	訳
name:ウィル・コロナ・ピルグリム|name:マーベル・スーパーヒーローズ	高木亮	訳
name:ウンベルト・ラモス|name:ウルヴァリン:シビル・ウォー	石川裕人	訳
name:エサッド・リビッチ|name:ソー＆ロキ ブラッド・ブラザーズ	中沢俊介	訳
name:エド・ブルベイカー|name:イモータル・アイアンフィスト	中沢俊介	訳
name:エド・ブルベイカー|name:ゴッサム・セントラル:正義と悪徳と	高木亮	訳
name:エド・ブルベイカー|name:デス・オブ・キャプテン・アメリカ:バーデン・オブ・ドリーム	石川裕人	訳
name:エド・ブルベイカー|name:バットマン 笑う男	高木亮	訳
name:エド・マクギネス|name:スパイダーマン/デッドプール:イッツィ・ビッツィ	高木亮	訳
name:エミール・ブラヴォ|name:ぼくのママはアメリカにいるんだ	原正人	訳
name:エリック・バトル|name:ゴジラ:アウェイクニング＜覚醒＞	石川裕人	訳
name:エンリコ・マリーニ|name:バットマン:ダーク・プリンス・チャーミング	高木亮	訳
name:オーレリアン・デュクードレ|name:金正日の誕生日	原正人	訳
name:カイル・ヒギンズ|name:ザ・ミステリー・オブ・ウルトラセブン	石川裕人	訳
name:カミ・ガルシア|name:ジョーカー/ハーレイ:クリミナル・サニティ	高木亮	訳
name:カミ・ガルシア|name:ティーン・タイタンズ:レイブン失われた記憶	中沢俊介	訳
name:カルロ・バルベリー|name:スーパーサンズ	中沢俊介	訳
name:カルロ・パグラヤン|name:アイアンマン:ホーンテッド	石川裕人	訳
name:カレラ|name:Jimmy Corrigan.	中沢俊介	訳
name:カレン・バン|name:デッドプール:バック・イン・ブラック	高木亮	訳
name:カレン・バン|name:ナイト・オブ・ザ・リビング・デッドプール	高木亮	訳
name:カレン・バン|name:リターン・オブ・ザ・リビング・デッドプール	高木亮	訳
name:ガース・エニス|name:ゴーストライダー:破滅への道	中沢俊介	訳
name:ガース・ヱニス|name:ヒットマン	海法紀光	訳
name:キャメロン・スチュアート|name:バットガール:バーンサイド	中沢俊介	訳
