series_key	訳者	role
name:チャールズ・M・シュルツ|name:SNOOPY COMIC SELECTION 90's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:ウッドストックの小さいって大きないのち	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:スヌーピーとしあわせの毛布	金原瑞人	訳
name:チャールズ・M・シュルツ|name:スヌーピーのぼくの家は屋根の上	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:スヌーピーのもっと気楽に	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:スヌーピーの大好きって手をつないで歩くこと	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:スヌーピー全集	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:チャーリー・ブラウンのクリスマスの靴下	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:君にリンゴの果樹園を約束したおぼえはないね	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:完全版ピーナッツ全集	谷川俊太郎	訳
name:チャールズ・シュルツ|name:スヌーピーへの手紙	谷川俊太郎	訳
name:チャールズ・シュルツ|name:ペパミント・パティのパリだより	谷川俊太郎	訳
name:チャールズ・シュルツ|name:小さなグルメ、スヌーピー	谷川俊太郎	訳
name:チャールズ・シュルツ|name:教室のミステリーだよスヌーピー	谷川俊太郎	訳
name:チャールズ・シュルツ|name:生き残りキャンプだよ、スヌーピー	谷川俊太郎	訳
name:チャールズ・シュルツ|name:雨ふりだったら何をする?スヌーピー	谷川俊太郎	訳
name:ティム・シーリー|name:デッドプールVS.サノス	中沢俊介	訳
name:デイビッド・ハイン|name:スパイダーマン・ノワール	中沢俊介	訳
name:デイビッド・フィンチ|name:バットマン:アイ・アム・ゴッサム	中沢俊介	訳
name:デイビッド・フィンチ|name:バットマン:アイ・アム・ベイン	中沢俊介	訳
name:デイビッド・ミケライニー|name:ヴェノム:リーサル・プロテクター	高木亮	訳
name:デイブ・ガルシア|name:ミュータントタートルズ:アドベンチャーズ	中沢俊介	訳
name:デイブ・ピルキー|name:ドッグマン	中井はるの	訳
name:デビッド・ミシェリーニ|name:ベスト・オブ・ヴェノム	石川裕人	訳
name:デビッド・ラッファン|name:スパイダーマン:ウィズ・グレート・パワー	石川裕人	訳
name:デレク・フライドルフス|name:バットマン:リル・ゴッサム	中沢俊介	訳
name:デレク・フライドルフス|name:バットマン・テイルズ:ワンス・アポン・ア・クライム	高木亮	訳
name:デレク・ランディ|name:ファルコン&ウィンター・ソルジャー	中沢俊介	訳
name:トニー・ヴァレント|name:ラディアン	原正人	訳
name:トニー・ヴァレント|name:ラディアン.	原正人	訳
name:トマス・デイ|name:ウィカ	原正人	訳
name:トム・キング|name:バットマン:キリング・タイム	高木亮	訳
name:トム・キング|name:ヒーローズ・イン・クライシス	高木亮	訳
name:トム・キング|name:ロールシャッハ	中沢俊介	訳
name:トム・ゴールド|name:ゴリアテ	金原瑞人	訳
name:トム・テイラー|name:ディシースト:デッド・プラネット	中沢俊介	訳
name:トム・テイラー|name:デッドプール:ブラック、ホワイト&ブラッド	中沢俊介	訳
name:トム・テイラー|name:マーベル:ダーク・エイジズ	中沢俊介	訳
name:トラビス・ビーチャム|name:パシフィック・リム:ドリフト	中沢俊介	訳
name:トレバー・ヘアシン|name:ディシースト	中沢俊介	訳
name:ドニ=ピエール・フィリッピ|name:Songes	原正人	訳
name:ドリュー・エドワード・ジョンソン|name:ゴジラ:ドミニオン	石川裕人	訳
name:ドン・フィゲロア|name:トランスフォーマー:フォー・オール・マンカインド	石川裕人	訳
name:ニコラ・ド・クレシー|name:プロレス狂想曲	原正人	訳
name:ニコラ・ド・クレシー|name:天空のビバンドム	原正人	訳
name:ニック・ブラッドショー|name:スパイディ:ファースト・ディ	高木亮	訳
name:ニール・ゲイマン|name:SANDMAN	柳下毅一郎	訳
name:ニール・ゲイマン|name:SANDMAN	海法紀光	翻訳
name:ニール・ゲイマン|name:バイオレント・ケース	中沢俊介	訳
name:ヌリア・タマリット|name:2枚のコイン|sub:アフリカで暮らした3か月	吉田恵	訳
name:ネイサン・ストックマン|name:スパイディ:アフタースクール・スペシャル	高木亮	訳
name:バスティアン・ヴィヴェス|name:ポリーナ	原正人	訳
name:バスティアン・ヴィヴェス|name:ラストマン	原正人	訳
name:バスティアン・ヴィヴェス|name:塩素の味	原正人	訳
name:バスティアン・ヴィヴェス|name:年上のひと	原正人	訳
name:バラック|name:ラストマン	原正人	訳
name:バンジャマン・ルグラン|name:ローン・スローン	原正人	訳
name:パトリック・グリーソン|name:スーパーマン:サン・オブ・スーパーマン	中沢俊介	訳
name:ビタ・アヤラ|name:モービウス	中沢俊介	訳
name:ピエール・クリスタン|name:ヴァレリアン	原正人	訳
name:ピーター・J・トマシ|name:スーパーサンズ	中沢俊介	訳
name:ピーター・J・トマシ|name:スーパーマン:トライアルズ・オブ・スーパーサン	中沢俊介	訳
name:ピーター・デイビッド|name:デッドプールの兵法入門	高木亮	訳
name:ピーター・ミリガン|name:スパイダーマン:ヴェノムVS.カーネイジ	高木亮	訳
name:ファビアン・ニシーザ|name:スパイダーマン/デッドプール:プロローグ	高木亮	訳
name:ファビアン・ニシーザ|name:バットマン ブルース・ウェインの選択	高木亮	訳
name:ファビアン・ニシーザ|name:ベスト・オブ・デッドプール	石川裕人	訳
name:ファビアン・ニュリ|name:わが名はレギオン	原正人	訳
name:ファビアン・ヴェルマン|name:かわいい闇	原正人	訳
name:フィリップ・ティロー|name:ミス	原正人	訳
name:フェデリコ・ダロッチオ|name:スーサイド・スクワッド	高木亮	訳
name:フランク・クワイトリー|name:オールスター スーパーマン	石川裕人	訳
name:フランク・ミラー|name:スリーハンドレッド	中沢俊介	訳
name:フランク・ミラー|name:スーパーマン:イヤーワン	高木亮	訳
name:フランシス・マナプル|name:ジャスティス・リーグ:ノー・ジャスティス	高木亮	訳
name:フランチェスコ・マナ|name:ザ・トライアルズ・オブ・ウルトラマン	石川裕人	訳
name:フレッド・ヴァン・レンテ|name:デッドプールvs.パニッシャー	高木亮	訳
name:ブライアン・アザレロ|name:ジョーカー	高木亮	訳
name:ブライアン・アザレロ|name:フラッシュポイント:バットマン	石川裕人	訳
name:ブライアン・ヒッチ|name:ジャスティス・リーグ:アウトブレイク	高木亮	訳
name:ブライアン・ヒッチ|name:ジャスティス・リーグ:エクスティンクション・マシン	高木亮	訳
name:ブライアン・ブッチェラート|name:スーサイド・スクワッド:デッドショット	高木亮	訳
name:ブライアン・ブッチェラート|name:フラッシュ	中沢俊介	訳
name:ブライアン・ブッチェラート|name:フラッシュ ローグズの逆襲	中沢俊介	訳
name:ブライアン・ブッチェラート|name:フラッシュ:グロッドの脅威	中沢俊介	訳
name:ブライアン・ブッチェラート|name:フラッシュ:邪悪なる閃光	中沢俊介	訳
name:ブライアン・マイケル・ベンディス|name:X-MEN/アベンジャーズ ハウス・オブ・M	石川裕人	訳
name:ブライアン・マイケル・ベンディス|name:インビンシブル・アイアンマン:ウォーマシン	中沢俊介	訳
name:ブライアン・マイケル・ベンディス|name:インビンシブル・アイアンマン:リブート	中沢俊介	訳
name:ブライアン・マイケル・ベンディス|name:シークレット・インベージョン	石川裕人	訳
name:ブライアン・マイケル・ベンディス|name:スパイダーメン	高木亮	訳
name:ブライアン・マイケル・ベンディス|name:ニューアベンジャーズ:シビル・ウォー	石川裕人	訳
name:ブライアン・マイケル・ベンディス|name:ニューアベンジャーズ:トラスト	石川裕人	翻訳
name:ブライアン・マイケル・ベンディス|name:ニューアベンジャーズ:レボリューション	石川裕人	訳
name:ブライアン・マイケル・ベンディス|name:マイティ・アベンジャーズ ベノム・ボム	石川裕人	翻訳
name:ブライアン・マイケル・ベンディス|name:マイティ・アベンジャーズ:ウルトロン・イニシアティブ	石川裕人	訳
name:ブライアン・リンチ|name:ミュータントタートルズ オムニバス	中沢俊介	訳
name:ブライアン・リー・オマリー|name:スコット・ピルグリムVSザ・ワールド	石川裕人	訳
name:ブライアン・リー・オマリー|name:スコット・ピルグリムVSジ・ユニバース	石川裕人	訳
name:ブライアン・リー・オマリー|name:スコット・ピルグリム＆インフィニット・サッドネス	石川裕人	訳
name:ブルース・ティム|name:バットマン:マッドラブハーレイ＆アイビー	石川裕人	訳
name:ヘンリー・デイヴィッド・ソロー|name:シンプルに暮らそう!ソロー『森の生活』を漫画で読む	金原瑞人	訳
name:ベンジャミン・パーシー|name:X・ライブズ・オブ・ウルヴァリン/X・デス・オブ・ウルヴァリン	高木亮	訳
name:ベンジャミン・パーシー|name:ティーン・タイタンズ:ダミアン・ノウズ・ベスト	中沢俊介	訳
name:ベン・アッカー|name:デッドプールVS.ガンビット	高木亮	訳
name:ホセ・ガリバルディ|name:ドッグマン	中井はるの	訳
name:ホルヘ・ヒメネス|name:スーパーサンズ	中沢俊介	訳
name:ホルヘ・ヒメネス|name:バットマン:ジョーカー・ウォー	中沢俊介	訳
name:ボブ・ゲイル|name:スパイダーマン:ブランニュー・デイ	高木亮	訳
name:ボブ・ゲイル|name:バットマン:ノーマンズ・ランド	高木亮	訳
name:ボブ・バディアンスキー|name:トランスフォーマークラシックス	石川陽介	訳
name:ポール・ジェンキンス|name:ダークナイト:姿なき恐怖	高木亮	訳
name:ポール・ディニ|name:DCスーパーヒーローズ	石川裕人	訳
name:ポール・ディニ|name:ハーレイ・クイン&バーズ・オブ・プレイ	高木亮	訳
name:ポール・ポープ|name:バットマン:イヤー100	高木亮	訳
name:マイク・W・バー|name:スーサイド・スクワッド:カタナ	高木亮	訳
name:マイク・ジョンソン|name:スター・トレック/グリーン・ランタン	中沢俊介	訳
name:マイク・ベンソン|name:デッドプール	高木亮	訳
name:マイケル・グリーン|name:バットマン:ラバーズ＆マッドメン	高木亮	訳
name:マイケル・ラーク|name:ゴッサム・セントラル:狂気と哄笑と	高木亮	訳
name:マッテオ・カサーリ|name:バットマン:ヨーロッパ	中沢俊介	訳
name:マットソン・トムリン|name:バットマン:インポスター	高木亮	訳
name:マット・フラクション|name:ホークアイ	中沢俊介	訳
name:マット・フラクション|name:ホークアイリオ・ブラボー	中沢俊介	訳
name:マット・ワグナー|name:トリニティ	高木亮	訳
name:マテオ・ロリ|name:デッドプール:デッドプールVS.セイバートゥース	高木亮	訳
name:マリコ・タマキ|name:ハーレイ・クイン:ガールズ・レボリューション	高木亮	訳
name:マルク=アントワーヌ・マチュー|name:3秒	原正人	訳
name:マーク・ウェイド|name:JLA バベルの塔	高木亮	訳
name:マーク・シルベストリ|name:BATMAN & THE JOKER THE DEADLY DUO|sub:THE DELUXE EDITION	中沢俊介	訳
name:マーク・ミラー|name:ウォンテッド	中沢俊介	訳
name:マーク・ミラー|name:ウルヴァリン:エネミー・オブ・ステイト	高木亮	訳
name:マーク・ミラー|name:キングスマン:ザ・シークレット・サービス	中沢俊介	訳
name:マーク・ミラー|name:シビル・ウォー	石川裕人	訳
name:マーク・ミラー|name:スペリアー	中沢俊介	訳
name:マーク・ミラー|name:スーパークルックス	中沢俊介	訳
name:マーク・ミラー|name:スーパーマン:レッド・サン	高木亮	訳
name:マーク・ミラー|name:ネメシス	中沢俊介	訳
name:ミケル・ハニン|name:バットマン:アイ・アム・スーサイド	中沢俊介	訳
name:ミケル・ハニン|name:バットマン:ウエディング	中沢俊介	訳
name:ミケル・ハニン|name:バットマン:ウォー・オブ・ジョーク＆リドル	中沢俊介	訳
name:ミケル・ハニン|name:バットマン:ブライド・オア・バーグラー?	中沢俊介	訳
name:ミシェル・ド・フランス|name:冒険者たちの世界史	榊原晃三	訳
name:メビウス|name:エデナの世界	原正人	訳
name:ヤニック・パケット|name:BATMAN:INCORPORATED	高木亮	訳
name:ヤン・グラフ|name:ジャスティス・リーグアンソロジー	原正人	訳
name:ヤン・グラフ|name:ジャスティス・リーグアンソロジー	石川裕人	監訳
name:ヤン・グラフ|name:ワンダーウーマンアンソロジー	原正人	訳
name:ライアン・ノース|name:イヤー・オブ・マーベルズ	中沢俊介	訳
name:ライリー・ブラウン|name:デッドプール＆ケーブル:スプリット・セカンド	中沢俊介	訳
name:ラス・キック|name:大人のためのコミック版世界文学傑作選	金原瑞人	訳
name:リア・ウィリアムズ|name:X-MEN:ザ・トライアル・オブ・マグニートー	高木亮	訳
name:リー・ガーベット|name:アイデンティティ・ウォー	高木亮	訳
name:リー・バーデュゴ|name:ワンダーウーマン:戦禍を呼ぶ者	中沢俊介	訳
name:リー・ベルメホ|name:バットマン:ノエル	高木亮	訳
name:ルーク・ロス|name:スター・ウォーズ:去りし日の希望	石川裕人	訳
name:レジス・ロワゼル|name:時の鳥を求めて	原正人	訳
name:レジナルド・ハドリン|name:ブラックパンサー 暁の黒豹	中沢俊介	訳
name:レジナルド・ハドリン|name:ブラックパンサー:黒豹を継ぐ者	中沢俊介	訳
name:レン・ウェイン|name:DC UNIVERSE LEGACIES	石川裕人	訳
name:ロジャー・スターン|name:X-MEN VS.アベンジャーズ〈プレミア・クラシック〉	中沢俊介	訳
name:ロジャー・スターン|name:ドクター・ストレンジ＆ドクター・ドゥーム	中沢俊介	訳
name:ロジャー・ラングリッジ|name:ソー:マイティ・アベンジャー	石川裕人	訳
name:ロバート・カークマン|name:マーベルゾンビーズ	市川裕文	訳
name:ロビー・トンプソン|name:スパイダーウィメン	中沢俊介	訳
name:ロビー・トンプソン|name:続スパイダーマン/デッドプール:スパデプ、パパになる	高木亮	訳
name:ロビー・トンプソン|name:続スパイダーマン/デッドプール:スパデプの異次元旅行	高木亮	訳
name:ロビー・トンプソン|name:続スパイダーマン/デッドプール:スパデプよ永遠に	高木亮	訳
name:ロビー・トンプソン|name:続スパイダーマン/デッドプール:デップーが多すぎる	高木亮	訳
name:ロビー・トンプソン|name:続スパイダーマン/デッドプール:破壊兵器、売ります	高木亮	訳
name:ロラン・オプマン|name:ルーカス・ウォーズ	原正人	訳
name:ヴィクター・ギシュラー|name:デッドプール	高木亮	訳
name:ヴィンシュルス|name:デス・クラブへようこそ	原正人	訳
name:ヴィンシュルス|name:ピノキオ	原正人	訳
name:中沢俊介|name:ヒップホップ家系図	中沢俊介	翻訳協力
name:佐竹美保|name:ピーナッツ・エッセンス	谷川俊太郎	訳
name:原正人|name:LOVE IN VAIN	原正人	翻訳
name:岡田理|name:純姫	岡田理	ほか訳
name:成冨英俊|name:MATSUMOTO	原正人	訳
name:成美江子|name:虎物語	成美江子	翻訳
name:房学基|name:劇画韓国デカメロン	金容権	訳
name:房学基|name:李朝水滸伝	金容権	訳
name:曹雪芹|name:中国劇画紅楼夢	松枝茂夫	訳
name:李潤福|name:あの空にも悲しみが	金容権	訳
name:村松暎|name:中国劇画西遊記	村松暎	訳
name:村松暎|name:画本西遊記	村松暎	訳
name:松枝茂夫|name:画本紅楼夢	松枝茂夫	訳
name:柳下毅一郎|name:ロバート・クラムbest	柳下毅一郎	編・訳
name:桂|name:忠犬アシスト彼氏に愛されたい	さわめぐ	訳
name:桂|name:王子様配信者彼氏を愛してる	さわめぐ	訳
name:桃桃子|name:デーモン・デイズ	中沢俊介	訳
name:王春雄|name:演義三国志	王春雄	原典訳
name:田嶋きよ子|name:愛が舞う場所	田嶋きよ子	ほか訳
name:町山智浩|name:ブーンドックス	町山智浩	編訳
name:石川裕人|name:DCコミックスアンソロジー	原正人	訳
name:石川裕人|name:DCコミックスアンソロジー	石川裕人	監訳
name:石川裕人|name:アートオブヘルボーイ	石川裕人	監訳
name:石川裕人|name:ジョーカーアンソロジー	原正人	訳
name:石川裕人|name:ジョーカーアンソロジー	石川裕人	監訳
name:石川裕人|name:バットマン テイルズ・オブ・デーモン	石川裕人	企画構成・翻訳
name:石川裕人|name:バットマンアンソロジー	石川裕人	監訳
name:祖父江慎|name:SNOOPY	谷川俊太郎	訳
name:行徒|name:北斗の拳|sub:BBQ味	河田雄志	訳
name:角口美絵|name:A PEANUTS BOOK featuring SNOOPY	谷川俊太郎	訳
name:谷川俊太郎|name:SNOOPY COMIC ALL COLOR 60's	谷川俊太郎	訳
name:野崎充彦|name:マンガものがたり韓国史	野崎充彦	日本語版監訳
name:鈴木成一デザイン室|name:スヌーピーたちの心の相談室	谷川俊太郎	訳
name:陳舜臣|name:中国劇画 三国志	陳舜臣	監訳
name:陳舜臣|name:中国劇画孫子の兵法	陳舜臣	訳・監修
name:駒田信二|name:中国劇画水滸伝	駒田信二	訳
qid:Q11543862|name:にっぽん|sub:イラスト版オリジナル	ブレンダン・ダスウェル	英訳
qid:Q1370780|name:スーパーマンの最期	モンキー・パンチ	監訳
qid:Q18054942|name:世相漫画で知る中国	小田敬子	訳
qid:Q2496707|name:とべ!アンパンマン	たまきゆりこ	英語訳
qid:Q348436|name:ターニングポイント	原正人	訳
qid:Q471103|name:サイボーグ009	石森プロ	訳
qid:Q5398742|name:英語 生徒諸君!	クレイトン・アレン	英訳
name:金庸|name:射鵰英雄伝 EAGLET	金海南	(ガード=無印creator兼任・未処理)
name:金庸|name:射鵰英雄伝 EAGLET	金海南	(ガード=無印creator兼任・未処理)
qid:Q11281919|name:ニンジャスレイヤー	杉ライカ	(ガード=無印creator兼任・未処理)
name:ブノワ・ペータース|name:闇の国々	原正人	(ガード=無印creator兼任・未処理)
name:ロバート・カークマン|name:マーベルゾンビーズ	石川裕人	(ガード=無印creator兼任・未処理)
name:朴晟佑|name:ナウ	丁昌烈	(ガード=無印creator兼任・未処理)
qid:Q11281919|name:ニンジャスレイヤーグラマラス・キラーズ	杉ライカ	(ガード=無印creator兼任・未処理)
name:AL WILLIAMSON|name:STAR WARS	武田英明	(ガード=無印creator兼任・未処理)
name:いのまたのりこ|name:Kue (9)	いのまたのりこ	(ガード=無印creator兼任・未処理)
