class	slug	stem	title	gap	missing_no	candidate_isbn
C 自前DBに無い(真の取込もれ)	da-capo-3	da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	dai-chouhen-doraemon-1984	dai-chouhen-doraemon-1984	大長編ドラエもん	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	dainiji-chousen-sensou-yugio	dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	dfk	dfk	DFK	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	doctor-hankotsui	doctor-hankotsui	ドクター反骨医	standard#0:[11]	11	
C 自前DBに無い(真の取込もれ)	doragonkuesuto-4-koma-manga-gekijou	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	standard#0:[4]	4	
C 自前DBに無い(真の取込もれ)	dotou-no-saikyou-suit-suima-kun	dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	dr-nekoyanagita-no-kagakuteki-seishun	dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	edomae-no-shun-ginzayanagisushisandaime	edomae-no-shun-ginzayanagisushisandaime	江戸前の旬	standard#0:[134]	134	
C 自前DBに無い(真の取込もれ)	etchi-ni-kisu-shite	etchi-ni-kisu-shite	Hにキスして!	standard#0:[4]	4	
C 自前DBに無い(真の取込もれ)	evangelion-anthology-comic	evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	fate-kishi	fate-kishi	Fate騎士	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	fuuhai-ni-kike	fuuhai-ni-kike	風牌に訊け	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	gaddesu-megami-no-ketsumyaku	gaddesu-megami-no-ketsumyaku	ガッデス 女神の血脈	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	gakushuu-comic-sengoku-no-bushou	gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	gamurakan	gamurakan	臥夢螺館	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	gekiga-ningen-kakumei	gekiga-ningen-kakumei	劇画人間革命	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	goshujin-sama-no-oshioki	goshujin-sama-no-oshioki	ご主人様のおしおき?	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	grand-vacances	grand-vacances	グラン・バカン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	guruguru-shoukougun	guruguru-shoukougun	ぐるぐる症候群	standard#0:[9]	9	
C 自前DBに無い(真の取込もれ)	gush-mania	gush-mania	GUSH mania	standard#0:[8]	8	
C 自前DBに無い(真の取込もれ)	haishin-chuu-megami-channel	haishin-chuu-megami-channel	【配信中】女神チャンネル!	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hajime-ningen-gon	hajime-ningen-gon	はじめ人間ゴン	standard#0:[6]	6	
C 自前DBに無い(真の取込もれ)	hana-ichimonme	hana-ichimonme	花いちもんめ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hereteku-no-ana	hereteku-no-ana	ヘレテクの穴	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hetalia-world-stars-gangsta	hetalia-world-stars-gangsta	ヘタリアWorld★Stars Gangsta	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	himitsu-de-naito	himitsu-de-naito	ひ・み・つでナイト	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	hodogaya-saichuusokuha-seven	hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	holy-maruo-1996	holy-maruo-1996	Holy	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	honomi-bureikutsu	honomi-bureikutsu	ほのみぶれいくっ!	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hontou-ni-atta-nama-maji-giretsu-byouin-esupii	hontou-ni-atta-nama-maji-giretsu-byouin-esupii	本当にあった〔○生〕マジギレッ病院SP	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	hoshi-no-kirby-manpukupupupufantajii	hoshi-no-kirby-manpukupupupufantajii	星のカービィ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	houga-purezen-joshikousei-houkichi-eiko-san	houga-purezen-joshikousei-houkichi-eiko-san	邦画プレゼン女子高生邦キチ!映子さん	standard#0:[14]	14	
C 自前DBに無い(真の取込もれ)	hyouman	hyouman	豹マン	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	jinjuu-houretsuden	jinjuu-houretsuden	仁獣芳烈伝	standard#0:[11]	11	
C 自前DBに無い(真の取込もれ)	kaika-ansatsuchou-tenpousen	kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kaina-surugajou-gozen-jiai	kaina-surugajou-gozen-jiai	腕 駿河城御前試合	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kandouou-rendetsu	kandouou-rendetsu	感動王列伝	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	karabuki-shitene	karabuki-shitene	からぶき♥してね	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	karutteto	karutteto	かるってと	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kasei-yakiyoku	kasei-yakiyoku	華星夜曲	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kasumigaseki-furiimeeson	kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kasuribana	kasuribana	掏摸花	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	katakoi-kekkon	katakoi-kekkon	片恋結婚	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kibaken	kibaken	牙拳	standard#0:[9]	9	
C 自前DBに無い(真の取込もれ)	kiken-na-chouai	kiken-na-chouai	危険な寵愛	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kikou-kiden-hiwou-senki	kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kizuato	kizuato	痕	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kizudarake-no-tenshitachi	kizudarake-no-tenshitachi	傷だらけの天使たち	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	koukoukyoushimonogatari	koukoukyoushimonogatari	高校教師物語	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	koyoi-omae-to	koyoi-omae-to	今宵おまえと	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kureyon-shin-chan-gemu-book	kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	(1巻が無い):[1]	1	
