severity	kind	slug	title	ed_idx	ed_type	ed_imprint	ed_publisher	date	gran	n	ed_vols	frac	ed_batch	vols	cadence_mo	cad_src	span_months	serial_years	year_started	year_ended	event_slugs	isbn_block	nbr_n	nbr_same	nbr_inside	nbr_titles	nbr_titles_flat	nbr_span_mo	serial_width	isbn_proof_ok	local_rate	implied_months	rakuten	rk_distinct	rk_spread_mo	rk_offset_mo	rk_mono	rakuten_dates	legit_hint
BROKEN	RAKUTEN_STAGGERED	madame-joker	マダム・ジョーカー	0	standard	JOUR COMICS	双葉社	2003-09	month	3	30	0.1	1	1-3	9.1	observed	18.1	24	2003		1	3/10	45	0	4	9	2	103	10	1	1.2	7.5	3種/3件/散9ヶ月 ★楽天はバラける=本番の同一日が偽	3	9	0	1	1:2003年08月 2:2003年09月 3:2004年05月	
BROKEN	RAKUTEN_STAGGERED	genji-monogatari-asaki-yumemishi	源氏物語あさきゆめみし	0	standard		講談社	1989-08	month	3	7	0.43	1	1-3	5.0	observed	10.0	4	1989	1992	1	3/3	0	0	0	0	0	0	3	0			3種/3件/散14ヶ月 ★楽天はバラける=本番の同一日が偽	3	14	-16	1	1:1987年10月01日頃 2:1988年04月01日頃 3:1988年12月12日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる)
BROKEN	ISBN_SPREAD_PROOF	shikii-no-juunin	敷居の住人	0	standard	アスペクトコミックス	エンターブレイン	2001-05	month	3	7	0.43	1	1-5(飛)	4.3	observed	8.7	3	2000	2002	1	3/247	131	7	51	26	2	52	247	1	1.03	238.3	3種/3件/散11ヶ月 ★楽天はバラける=本番の同一日が偽	3	11	-8	0	1:2000年09月 2:2000年06月 5:2001年05月	
BROKEN	RAKUTEN_STAGGERED	shakuou	借王	0	standard	SPコミックス	リイド社	1999-04	month	3	4	0.75	3	1-3	2.0	observed	4.0	1	1998	1998	1	3/52	82	1	28	21	0	99	52	1	1.33	38.4	3種/3件/散8ヶ月 ★楽天はバラける=本番の同一日が偽	3	8	-32	1	1:1996年03月22日頃 2:1996年08月07日頃 3:1996年11月08日頃	
BROKEN	ISBN_SPREAD_PROOF	banana-fish	BANANA FISH	1	bunkobon	小学館文庫	小学館	1997-06	month	3	11	0.27	2	9-11	0.5	observed	1.0	32	1987	2018	1	3/13	113	1	10	26	8	222	13	1	0.14	87.0	1種/3件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	9:1997年05月16日頃 10:1997年05月16日頃 11:1997年05月16日頃	再版種別 / 楽天も実質同日
BROKEN	ISBN_SPREAD_PROOF	soukaikessen	蒼海訣戰	0	standard	IDコミックス	角川グループパブリッシング	2012-03	month	3	10	0.3	2	5-7	0.4	observed	0.9	2	2011	2012	1	3/153	92	21	40	7	3	18	153	1	5.43	28.0	1種/3件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	5:2012年03月 6:2012年03月 7:2012年03月	楽天も実質同日
HIGH	RAKUTEN_CONFLICT	kamui-den	カムイ伝	1	kanzenban	カムイ伝全集	小学館	2005	year	7	15	0.47	2	9-15	0.4	observed	2.6	5	1967	1971	1	7/7	101	2	0	8	1	148	7	0	0.02	284.0	4種/7件/散3ヶ月 ★楽天はバラける=本番の同一日が偽	4	3	8	1	9:2006年01月30日 10:2006年01月30日 11:2006年02月28日 12:2006年02月28日 13:2006年03月30日 14:2006年03月30日 15:2006年04月27日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 学習/全集/BOX語 / 再版種別
HIGH	RAKUTEN_CONFLICT	garfield	ガーフィールド	0	standard		研究社	1990	year	6	20	0.3	5	2-9(飛)	1.3	observed	6.3	3	1990	1992	1	6/8	0	0	0	0	0	0	8	0			2種/6件/散6ヶ月 ★楽天はバラける=本番の同一日が偽	2	6	1	1	2:1990年07月 3:1990年07月 4:1990年07月 5:1990年07月 8:1991年01月 9:1991年01月	
HIGH	ISBN_SPREAD	nekomeewaku	ねこめ～わく	0	standard	ミッシィコミックスDX	朝日新聞社	2007-10	month	5	8	0.62	1	1-5	8.6	observed	34.3	6	2007	2012	1	5/31	104	51	18	18	3	36	31	1	3.63	8.3	1種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2007年10月 2:2007年10月 3:2007年10月 4:2007年10月 5:2007年10月	楽天も実質同日
HIGH	ISBN_SPREAD	star-wars-1998	スター・ウォーズ	0	standard		メディアワークス	1998-05	month	4	6	0.67	1	3-6	2.0	observed	6.0	2	1997	1998	1	4/1006	55	6	19	11	0	16	1006	1	113.14	8.9	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	3:1998年05月 4:1998年05月 5:1998年05月 6:1998年05月	楽天も実質同日
