key	base	role	new_slug	title	vols	year	surname	sur_src	flag
qid:Q11474563|name:無頼	burai	main	burai	無頼	8	1997	iwasaki	anilist	
name:一の瀬正|name:無頼	burai	sub	burai-ichinose-1991	無頼	4	1991	ichinose	anilist	
name:壱コトコ|name:ベイビィベイビィ	baby-baby	main	baby-baby	ベイビィベイビィ	2	2015	ichi	anilist	
qid:Q11586990|name:ベイベェベイベェ	baby-baby	sub	baby-baby-1997	ベイベェベイベェ	1	1997		none	
qid:Q1627449|name:Baby Baby|sub:田島昭宇画業35周年作品集	baby-baby	sub	baby-baby-2021	Baby Baby	1	2021		none	
name:稲妻桂|name:金の糸	kin-no-ito	main	kin-no-ito	金の糸	2	2021	inazuma	anilist	
qid:Q11588848|name:金の糸	kin-no-ito	sub	kin-no-ito-1983	金の糸	1	1983		none	
qid:Q1377779|name:ブルー・ワールド	blue-world	main	blue-world	ブルー・ワールド	9	1996	hoshino	anilist	
name:茨芽ヒサ|name:ブルーワールド	blue-world	sub	blue-world-2013	ブルーワールド	2	2013		pykakasi	
name:羽公|name:聖女になるので二度目の人生は勝手にさせてもらいます|sub:王太子は、前世で私を振った恋人でした	seijo-ni-naru-node-nidome-no-jinsei-wa-katte-ni-sasete-moraimasu	main	seijo-ni-naru-node-nidome-no-jinsei-wa-katte-ni-sasete-moraimasu	聖女になるので二度目の人生は勝手にさせてもらいます	5	2019	kogomori	anilist	
name:小々森鵺|name:聖女になるので二度目の人生は勝手にさせてもらいます	seijo-ni-naru-node-nidome-no-jinsei-wa-katte-ni-sasete-moraimasu	sub	seijo-ni-naru-node-nidome-no-jinsei-wa-katte-ni-sasete-moraimasu-kogomori-2024	聖女になるので二度目の人生は勝手にさせてもらいます	2	2024	kogomori	anilist	
name:雨宮由樹|name:07-GHOST	07-ghost	main	07-ghost	07-GHOST	17	2005	amemiya	anilist	
name:雨市|name:07-ghost	07-ghost	sub	07-ghost-2015	07-ghost	5	2015		pykakasi	
name:後藤友香|name:正義隊	seigitai	main	seigitai	正義隊	4	2005	goto	anilist	
name:浦山慎也|name:セイギタイ	seigitai	sub	seigitai-urayama-2018	セイギタイ	3	2018	urayama	anilist	
qid:Q11412836|name:彼はトモダチ	kare-wa-tomodachi	main	kare-wa-tomodachi	彼はトモダチ	7	2008	yoshioka	anilist	
name:浦野月鼓|name:彼は友達	kare-wa-tomodachi	sub	kare-wa-tomodachi-urano-2025	彼は友達	3	2025	urano	anilist	
name:永井義男|name:いちげき	ichigeki	main	ichigeki	いちげき	7	2016	matsumoto	anilist	
qid:Q4348970|name:一撃	ichigeki	sub	ichigeki-1999	一撃	2	1999		none	
qid:Q11575851|name:イチゲキ!!	ichigeki	sub	ichigeki-2001	イチゲキ!!	1	2001		none	
qid:Q551359|name:デビルマンレディー	devilman-lady	main	devilman-lady	デビルマンレディー	17	1997	nagai	anilist	
name:永井豪＆ダイナミックプロ|name:デビルマンレディー	devilman-lady	sub	devilman-lady-2000	デビルマンレディー	9	2000		pykakasi	
qid:Q551359|name:グレートマジンガー	great-mazinger	main	great-mazinger	グレートマジンガー	4	1997	ota	anilist	
name:永井豪=ダイナミックプロ|name:グレートマジンガー	great-mazinger	sub	great-mazinger-1986	グレートマジンガー	2	1986		pykakasi	
name:永尾まる|name:ホームメイド*ホーム	homemade-home	main	homemade-home	ホームメイド*ホーム	2	2010	nagao	anilist	
qid:Q202229|name:Homemade home	homemade-home	sub	homemade-home-ashihara-1997	Homemade home	1	1997	ashihara	anilist	
name:越智千文|name:breath	breath	main	breath	breath	5	2003	ochi	anilist	
qid:Q608806|name:BREATH	breath	sub	breath-1999	BREATH	2	1999		none	
name:円陣闇丸|name:二重螺旋	nijuu-rasen	main	nijuu-rasen	二重螺旋	3	2018	enjin	anilist	
qid:Q56059979|name:二重ラセン	nijuu-rasen	sub	nijuu-rasen-watanabe-1994	二重ラセン	1	1994	watanabe	anilist	
qid:Q1141948|name:ウルトラマン	ultraman	main	ultraman	ウルトラマン	9	1978		pykakasi	
qid:Q11561006|name:ULTRAMAN	ultraman	sub	ultraman-2012	ULTRAMAN	9	2012		pykakasi	
qid:Q11352635|name:ウルトラマン	ultraman	sub	ultraman-kazumine-1968	ウルトラマン	8	1968	kazumine	anilist	
name:円谷プロダクション|name:ウルトラマン	ultraman	sub	ultraman-tsuburaya-1997	ウルトラマン	3	1997	tsuburaya	anilist	
qid:Q11455165|name:ウルトラマン	ultraman	sub	ultraman-1992	ウルトラマン	1	1992		none	
qid:Q6308970|name:忍恋	ninkoi	main	ninkoi	忍恋	5	2019	suzuki	anilist	
name:炎堂たつや|name:にんこい	ninkoi	sub	ninkoi-endo-2014	にんこい	3	2014	endo	anilist	
name:奥田英朗|name:ガール	girl	main	girl	ガール	2	2007		pykakasi	
qid:Q11583263|name:Girl	girl	sub	girl-1990	Girl	1	1990		none	
qid:Q11668955|name:Girl	girl	sub	girl-1992	Girl	1	1992		none	
qid:Q11549573|name:Girl	girl	sub	girl-2001	Girl	1	2001		none	
qid:Q16263656|name:ナビガトリア	navigatoria	main	navigatoria	ナビガトリア	3	2013		none	
name:押石和佳|name:ナヴィガトリア	navigatoria	sub	navigatoria-oshiishi-2024	ナヴィガトリア	2	2024	oshiishi	anilist	
name:押切蓮介|name:ツバキ	tsubaki	main	tsubaki	ツバキ	3	2011	oshikiri	anilist	
qid:Q11276104|name:椿	tsubaki	sub	tsubaki-hiura-1999	椿	1	1999	hiura	anilist	
name:押川雲太郎|name:BET	bet	main	bet	BET	3	2000		pykakasi	
name:山崎童々|name:BET	bet	sub	bet-yamazaki-2012	BET	3	2012	yamazaki	anilist	
name:横溝正史|name:犬神家の一族	inugamike-no-ichizoku	main	inugamike-no-ichizoku	犬神家の一族	8	1984	yokomizo	anilist	
name:長尾文子|name:犬神家の一族	inugamike-no-ichizoku	sub	inugamike-no-ichizoku-nagao-2004	犬神家の一族	2	2004	nagao	anilist	
qid:Q11488080|name:八つ墓村	yatsuhakamura	main	yatsuhakamura	八つ墓村	5	1976		none	
name:横溝正史|name:八つ墓村	yatsuhakamura	sub	yatsuhakamura-yokomizo-1984	八つ墓村	4	1984	yokomizo	anilist	
qid:Q11225662|name:八つ墓村	yatsuhakamura	sub	yatsuhakamura-1996	八つ墓村	1	1996		none	
qid:Q11272388|name:八つ墓村	yatsuhakamura	sub	yatsuhakamura-2017	八つ墓村	1	2017		none	
qid:Q11405867|name:くれよん・でいず	kureyon-days	main	kureyon-days	くれよん・でいず	3	2012		pykakasi	
name:横山ゆきね|name:くれよん・でいず	kureyon-days	sub	kureyon-days-1985	くれよん・でいず	2	1985		pykakasi	
name:横山旬|name:変身!	henshin	main	henshin	変身!	3	2015	yokoyama	anilist	
qid:Q11573256|name:へんしん!	henshin	sub	henshin-1989	へんしん!	1	1989		none	
qid:Q11664780|name:変身	henshin	sub	henshin-2019	変身	1	2019		pykakasi	
name:加太こうじ|name:黄金バット	ougon-bat	main	ougon-bat	黄金バット	3	2005	kazumine	anilist	
name:黄金バット企画|name:黄金バット|sub:大正髑髏奇譚	ougon-bat	sub	ougon-bat-yamane-2023	黄金バット	2	2023	yamane	anilist	
name:黄毛あつき|name:子供の情景	kodomo-no-joukei	main	kodomo-no-joukei	子供の情景	2	1995		pykakasi	
qid:Q11267967|name:子供の情景	kodomo-no-joukei	sub	kodomo-no-joukei-2003	子供の情景	2	2003		none	
qid:Q5209147|name:子供の情景	kodomo-no-joukei	sub	kodomo-no-joukei-2013	子供の情景	1	2013		none	
qid:Q9333892|name:HORIZON	horizon	main	horizon	HORIZON	7	2001	kikuta	anilist	
name:岡田卓也|name:ホライズン	horizon	sub	horizon-takuya-2014	ホライズン	3	2014	takuya	anilist	
name:岡本蛍|name:おもひでぽろぽろ	omoide-poroporo	main	omoide-poroporo	おもひでぽろぽろ	10	1988	tone	anilist	
qid:Q17161729|name:おもひでぽろぽろ	omoide-poroporo	sub	omoide-poroporo-2005	おもひでぽろぽろ	5	2005		pykakasi	
qid:Q55400|name:おもひでぽろぽろ	omoide-poroporo	sub	omoide-poroporo-1991	おもひでぽろぽろ	2	1991		pykakasi	
name:沖田有美子|name:ツガル	tsugaru	main	tsugaru	ツガル	2	1991		pykakasi	
qid:Q11468762|name:津軽	tsugaru	sub	tsugaru-2011	津軽	1	2011		none	
name:加瀬大輝|name:マンけん。	manken	main	manken	マンけん。	7	2011	kase	anilist	
qid:Q11647067|name:漫犬	manken	sub	manken-2014	漫犬	2	2014		none	
name:加藤潔|name:WILD PITCH!!!	wild-pitch	main	wild-pitch	WILD PITCH!!!	14	2016	nakahara	anilist	
qid:Q3293468|name:わいるど・ぴっち	wild-pitch	sub	wild-pitch-2006	わいるど・ぴっち	3	2006		none	
name:加藤伸吉|name:国民クイズ	kokumin-quiz	main	kokumin-quiz	国民クイズ	2	2001	kato	anilist	
qid:Q11399093|name:国民クイズ	kokumin-quiz	sub	kokumin-quiz-2	国民クイズ	1			none	DEFER_YEAR_MISSING
name:加藤友朗|name:GUY	guy	main	guy	GUY	4	2011		pykakasi	
qid:Q2661273|name:ガイ	guy	sub	guy-2	ガイ	1			none	DEFER_YEAR_MISSING
name:夏芽あこ|name:HALF AND HALF	half-and-half	main	half-and-half	HALF AND HALF	2	2002		pykakasi	
qid:Q38277733|name:ハーフ・アンド・ハーフ	half-and-half	sub	half-and-half-nanami-2008	ハーフ・アンド・ハーフ	2	2008	nanami	anilist	
qid:Q9047351|name:COCOON	cocoon	main	cocoon	COCOON	3	2004	takeshita	anilist	
name:夏原エヰジ|name:Cocoon	cocoon	sub	cocoon-2021	Cocoon	3	2021		pykakasi	
qid:Q11377035|name:cocoon	cocoon	sub	cocoon-kyo-2015	cocoon	1	2015	kyo	anilist	
name:夏目漱石|name:それから	sorekara	main	sorekara	それから	2	2009	natsume	anilist	
qid:Q11382072|name:それから	sorekara	sub	sorekara-1994	それから	1	1994		none	
qid:Q11433491|name:三四郎	sanshirou	main	sanshirou	三四郎	2	1992		none	
name:夏目漱石|name:三四郎	sanshirou	sub	sanshirou-natsume-2010	三四郎	2	2010	natsume	anilist	
qid:Q11574300|name:年上ノ彼女	toshiue-no-hito	main	toshiue-no-hito	年上ノ彼女	6	2004	amazume	anilist	
name:河合あめ|name:年上のひと	toshiue-no-hito	sub	toshiue-no-hito-kawai-2020	年上のひと	4	2020	kawai	anilist	
name:小田原みづえ|name:年上のヒト。	toshiue-no-hito	sub	toshiue-no-hito-odawara-2007	年上のヒト。	3	2007	odawara	anilist	
qid:Q11265498|name:きらきら	kirakira	main	kirakira	きらきら	3	1998		none	
name:河崎芽衣|name:キラキラ!	kirakira	sub	kirakira-kawasaki-2006	キラキラ!	3	2006	kawasaki	anilist	
qid:Q110403918|name:キラ・キラ	kirakira	sub	kirakira-2002	キラ・キラ	1	2002		pykakasi	
qid:Q11359655|name:キラ・キラ	kirakira	sub	kirakira-miike-2008	キラ・キラ	1	2008	miike	anilist	
qid:Q20041218|name:キラキラ	kirakira	sub	kirakira-takemiya-2011	キラキラ	1	2011	takemiya	anilist	
name:河野やす子|name:Do?	do	main	do	Do?	3	1997		pykakasi	
name:舟木こお|name:Do!	do	sub	do-funaki-1985	Do!	2	1985	funaki	anilist	
qid:Q418449|name:YASHA-夜叉-	yasha	main	yasha	YASHA-夜叉-	18	1997	yoshida	anilist	
name:河野那歩也|name:夜者	yasha	sub	yasha-kohno-2023	夜者	3	2023	kohno	anilist	
name:花巻杏奈|name:ネフィリム	nefirimu	main	nefirimu	ネフィリム	2	2005	hanamaki	anilist	
qid:Q45819655|name:ネフィリム	nefirimu	sub	nefirimu-kusakabe-2008	ネフィリム	1	2008	kusakabe	anilist	
name:花樹いちや|name:Eve	eve	main	eve	Eve	3	1999		pykakasi	
qid:Q3276552|name:EVE	eve	sub	eve-2001	EVE	1	2001		none	
qid:Q11626418|name:Shion	shion	main	shion	Shion	3	1988		none	
name:花村萬月|name:紫苑	shion	sub	shion-1995	紫苑	2	1995		pykakasi	
name:睦月れい|name:Missing	missing	main	missing	Missing	2	2005	koda	anilist	
name:花邑まい|name:Missing	missing	sub	missing-hino-2023	Missing	2	2023	hino	anilist	
name:我楽谷|name:よなよな。|sub:今夜も呑んで忘れましょう	yonayona	main	yonayona	よなよな。	2	2023	garakutani	anilist	
qid:Q11264396|name:よなよな	yonayona	sub	yonayona-karma-2010	よなよな	1	2010	karma	anilist	
qid:Q11474365|name:Joy	joy	main	joy	Joy	2	1991		none	
name:絵津鼓|name:JOY	joy	sub	joy-etsuko-2018	JOY	2	2018	etsuko	anilist	
name:梶研吾|name:シャングリラ	shangri-la	main	shangri-la	シャングリラ	8	1995	okamura	anilist	
name:池上永一|name:シャングリ・ラ	shangri-la	sub	shangri-la-karasuma-2008	シャングリ・ラ	4	2008	karasuma	anilist	
qid:Q11283866|name:シャングリラ	shangri-la	sub	shangri-la-1995	シャングリラ	1	1995		none	
name:梶研吾|name:烈王	reo	main	reo	烈王	4	1992	kaji	anilist	
qid:Q11657222|name:零王!	reo	sub	reo-shingo-2002	零王!	3	2002	shingo	anilist	
name:兜公司|name:猿MONEY	saru-money	main	saru-money	猿MONEY	2	2001		pykakasi	
qid:Q9184732|name:サル!マネー!!	saru-money	sub	saru-money-2013	サル!マネー!!	1	2013		none	
qid:Q11649074|name:嘆きのサイレン|sub:クラッシュ・ブレイズコミック・バージョン	nageki-no-siren	main	nageki-no-siren	嘆きのサイレン	5	2005		none	
name:茅田砂胡|name:嘆きのサイレン	nageki-no-siren	sub	nageki-no-siren-2	嘆きのサイレン	0			pykakasi	DEFER_V0_STUB
name:甘岸久弥|name:魔導具師ダリヤはうつむかない	madougushi-dariya-wa-utsumukanai	main	madougushi-dariya-wa-utsumukanai	魔導具師ダリヤはうつむかない	9	2019	sumikawa	anilist	
name:景|name:魔導具師ダリヤはうつむかない|sub:今日から自由な職人ライフ	madougushi-dariya-wa-utsumukanai	sub	madougushi-dariya-wa-utsumukanai-kei-2019	魔導具師ダリヤはうつむかない	3	2019	kei	anilist	
qid:Q11632868|name:一緒にごはん	isshokenmei-ni-gohan	main	isshokenmei-ni-gohan	一緒にごはん	2	2002	tanikawa	anilist	
name:丸山のりこ|name:いっしょにごはん。	isshokenmei-ni-gohan	sub	isshokenmei-ni-gohan-maruyama-2012	いっしょにごはん。	2	2012	maruyama	anilist	
name:岸浩史|name:夢を見た	yume-o-mita	main	yume-o-mita	夢を見た	2	2011		pykakasi	
qid:Q7385253|name:夢をみた。	yume-o-mita	sub	yume-o-mita-ikuemi-1985	夢をみた。	1	1985	ikuemi	anilist	
name:岩井恭平|name:Oz	oz	main	oz	Oz	6	2008	iwai	anilist	
qid:Q619010|name:OZ	oz	sub	oz-itsuki-2004	Oz	5	2004	itsuki	anilist	
name:岩井俊二|name:ラヴレター	love-letter	main	love-letter	ラヴレター	2	1995	iwai	anilist	
qid:Q11670967|name:ラブ・レター	love-letter	sub	love-letter-takahashi-1989	ラブ・レター	1	1989	takahashi	anilist	
name:岩下倫子|name:芦原妃名子傑作集	ashihara-hinako-kessakushuu	main	ashihara-hinako-kessakushuu	芦原妃名子傑作集	2	2014		pykakasi	
qid:Q202229|name:芦原妃名子傑作集	ashihara-hinako-kessakushuu	sub	ashihara-hinako-kessakushuu-2	芦原妃名子傑作集	0			none	DEFER_V0_STUB
name:岩崎つばさ|name:骨まで愛して	hone-made-aishite	main	hone-made-aishite	骨まで愛して	3	1993	iwasaki	anilist	
qid:Q11668955|name:骨まで愛して	hone-made-aishite	sub	hone-made-aishite-takaguchi-2011	骨まで愛して	2	2011	takaguchi	anilist	
name:岩尾収蔵|name:CRESCENT	crescent	main	crescent	CRESCENT	20	1988	tojo	anilist	
qid:Q11620792|name:CRESCENT	crescent	sub	crescent-2	CRESCENT	1			pykakasi	DEFER_YEAR_MISSING
name:祈崎ひな汰|name:好きだ。|sub:挿れたら伝わる…堅物オトコのひたむきな最愛	suki	main	suki	好きだ。	3	2021	inozaki	anilist	
qid:Q11587665|name:スキ!	suki	sub	suki-1999	スキ!	1	1999		none	
qid:Q11352635|name:ナショナル・キッド	national-kid	main	national-kid	ナショナル・キッド	3	2008		none	
qid:Q1388268|name:ナショナル・キッド	national-kid	sub	national-kid-maruo-1989	ナショナル・キッド	1	1989	maruo	anilist	
name:輝竜司|name:蜘蛛ですが、なにか?	kumo-desu-nanika	main	kumo-desu-nanika	蜘蛛ですが、なにか?	14	2016	kakashi	anilist	
qid:Q11263580|name:蜘蛛ですが、なにか?|sub:蜘蛛子四姉妹の日常	kumo-desu-nanika	sub	kumo-desu-nanika-kakashi-2020	蜘蛛ですが、なにか?	8	2020	kakashi	anilist	
name:亀井高秀|name:ホーム、スイートホーム	home-sweet-home	main	home-sweet-home	ホーム、スイートホーム	2	1997		pykakasi	
qid:Q11390770|name:ホームスイートホーム	home-sweet-home	sub	home-sweet-home-2014	ホームスイートホーム	2	2014		pykakasi	
qid:Q11372142|name:Home sweet home	home-sweet-home	sub	home-sweet-home-1999	Home sweet home	1	1999		none	
qid:Q11464212|name:ホームスイートホーム	home-sweet-home	sub	home-sweet-home-2008	ホームスイートホーム	1	2008		none	
name:菊池まりこ|name:カプチーノ	cappuccino	main	cappuccino	カプチーノ	3	2013	kikuchi	anilist	
qid:Q266996|name:カプチーノ	cappuccino	sub	cappuccino-yoshizumi-2009	カプチーノ	1	2009	yoshizumi	anilist	
name:平井和正|name:エリート	elite	main	elite	エリート	8	1968	hirai	anilist	
qid:Q269498|name:エリート!!	elite	sub	elite-2011	エリート!!	5	2011		none	
name:吉永啓之輔|name:エリート	elite	sub	elite-yoshinaga-2025	エリート	3	2025	yoshinaga	anilist	
qid:Q471103|name:宮本武蔵	miyamoto-musashi	main	miyamoto-musashi	宮本武蔵	12	1974	ishinomori	anilist	
qid:Q11590535|name:宮本武蔵	miyamoto-musashi	sub	miyamoto-musashi-1985	宮本武蔵	6	1985		pykakasi	
name:吉田窓|name:呼火走	ahiru	main	ahiru	呼火走	3	1994		pykakasi	
qid:Q11492393|name:アヒル	ahiru	sub	ahiru-ezuki-2004	アヒル	1	2004	ezuki	anilist	
name:吉田優希|name:スノウ	snow	main	snow	スノウ	2	2025	yoshida	anilist	
qid:Q1036246|name:SNOW	snow	sub	snow-2006	SNOW	1	2006		none	
name:吉田雄太|name:Forward!-フォワード!-	forward	main	forward	Forward!-フォワード!-	3	2020	yoshida	anilist	
qid:Q3814171|name:フォワード	forward	sub	forward-1999	フォワード	1	1999		none	
name:吉野匠|name:レイン	rain	main	rain	レイン	19	2009	sumikawa	anilist	
qid:Q11280478|name:ライン	rain	sub	rain-hashiba-2003	ライン	1	2003	hashiba	anilist	
name:珠梨やすゆき|name:聖女の魔力は万能です	seijo-no-maryoku-wa-bannou-desu	main	seijo-no-maryoku-wa-bannou-desu	聖女の魔力は万能です	9	2018	shuri	anilist	
name:橘由華|name:聖女の魔力は万能です	seijo-no-maryoku-wa-bannou-desu	sub	seijo-no-maryoku-wa-bannou-desu-tachibana-2025	聖女の魔力は万能です	2	2025	tachibana	anilist	
name:久織ちまき・山根公利|name:ランブルフィッシュ	rumble-fish	main	rumble-fish	ランブルフィッシュ	3	2002		pykakasi	
qid:Q11469401|name:ランブルフィッシュ	rumble-fish	sub	rumble-fish-1997	ランブルフィッシュ	1	1997		none	
qid:Q471133|name:項羽と劉邦	kou-u-to-ryuu-hou	main	kou-u-to-ryuu-hou	項羽と劉邦	43	1991	yokoyama	anilist	
name:久保田千太郎|name:項羽と劉邦	kou-u-to-ryuu-hou	sub	kou-u-to-ryuu-hou-sentaro-1987	項羽と劉邦	4	1987	sentaro	anilist	
name:李志清|name:項羽と劉邦	kou-u-to-ryuu-hou	sub	kou-u-to-ryuu-hou-2009	項羽と劉邦	2	2009		pykakasi	
qid:Q471133|name:三国志	sangokushi	main	sangokushi	三国志	210	1974	yokoyama	anilist	
name:李志清|name:三国志	sangokushi	sub	sangokushi-1993	三国志	46	1993		pykakasi	
name:久保田千太郎|name:三国志	sangokushi	sub	sangokushi-sentaro-1980	三国志	24	1980	sentaro	anilist	
name:勝間田具治|name:三国志	sangokushi	sub	sangokushi-1992	三国志	12	1992		pykakasi	
qid:Q11280478|name:さんごくし	sangokushi	sub	sangokushi-yamasaki-2005	さんごくし	6	2005	yamasaki	anilist	
name:竹川弘太郎|name:三国志	sangokushi	sub	sangokushi-2005	三国志	6	2005		pykakasi	
qid:Q471133|name:史記	shiki	main	shiki	史記	49	1994	yokoyama	anilist	
name:久保田千太郎|name:史記	shiki	sub	shiki-sentaro-1979	史記	29	1979	sentaro	anilist	
name:小野不由美|name:屍鬼	shiki	sub	shiki-ono-2008	屍鬼	17	2008	ono	anilist	
qid:Q17225147|name:四季	shiki	sub	shiki-yuki-2002	四季	1	2002	yuki	anilist	
qid:Q614514|name:忠臣蔵	chuushingura	main	chuushingura	忠臣蔵	2	2009	kojima	anilist	
name:久保田千太郎|name:忠臣蔵	chuushingura	sub	chuushingura-sentaro-2014	忠臣蔵	2	2014	sentaro	anilist	
name:宮沢賢治|name:風の又三郎	kaze-no-matasaburou	main	kaze-no-matasaburou	風の又三郎	6	1983	miyazawa	anilist	
qid:Q11468776|name:風の又三郎	kaze-no-matasaburou	sub	kaze-no-matasaburou-1991	風の又三郎	1	1991		pykakasi	
qid:Q1075056|name:IS	is	main	is	IS	17	2002	rokuhana	anilist	
qid:Q11606613|name:IS	is	sub	is-2010	IS	5	2010		none	
qid:Q669049|name:ゲゲゲの鬼太郎	gegege-no-kitarou	main	gegege-no-kitarou	ゲゲゲの鬼太郎	3	2002	tsuge	anilist	
name:水木プロ|name:ゲゲゲの鬼太郎	gegege-no-kitarou	sub	gegege-no-kitarou-1987	ゲゲゲの鬼太郎	2	1987		pykakasi	
name:橋本以蔵|name:軍鶏	shamo	main	shamo	軍鶏	35	1998	tanaka	anilist	
qid:Q7862713|name:軍鶏	shamo	sub	shamo-1990	軍鶏	4	1990		none	
name:橋本教子|name:ケイコク。	keikoku	main	keikoku	ケイコク。	5	2009	hashimoto	anilist	
qid:Q9046723|name:警告	keikoku	sub	keikoku-takahashi-1991	警告	1	1991	takahashi	anilist	
name:響あい|name:ひとりじめ	hitorijime	main	hitorijime	ひとりじめ	9	2014	hibiki	anilist	
qid:Q38276673|name:ひとりじめ	hitorijime	sub	hitorijime-napata-2019	ひとりじめ	1	2019	napata	anilist	
name:暁なつめ|name:けものみち	kemonomichi	main	kemonomichi	けものみち	12	2017	mattaku	anilist	
name:真樹日佐夫|name:けものみち	kemonomichi	sub	kemonomichi-kagemaru-1980	けものみち	11	1980	kagemaru	anilist	
name:山浦サク|name:ケモノみち	kemonomichi	sub	kemonomichi-2013	ケモノみち	4	2013		pykakasi	
name:玉兎|name:反逆のソウルイーター	hangyaku-no-soul-eater	main	hangyaku-no-soul-eater	反逆のソウルイーター	3	2020	yunagi	anilist	
name:溝口隆一郎|name:反逆のソウルイーター	hangyaku-no-soul-eater	sub	hangyaku-no-soul-eater-mizoguchi-2025	反逆のソウルイーター	2	2025	mizoguchi	anilist	
name:玉島ノン|name:ぼくらのヒミツ。	bokura-no-himitsu	main	bokura-no-himitsu	ぼくらのヒミツ。	2	2016	tamashima	anilist	
qid:Q11045541|name:ぼくらのひみつ	bokura-no-himitsu	sub	bokura-no-himitsu-yamamoto-2021	ぼくらのひみつ	1	2021	yamamoto	anilist	
name:江坂純|name:she is beautiful	she-is-beautiful	main	she-is-beautiful	she is beautiful	4	2022	totsuno	anilist	
name:近藤悦子|name:She is beautiful	she-is-beautiful	sub	she-is-beautiful-2010	She is beautiful	2	2010		pykakasi	
name:近藤史恵|name:サクリファイス	sacrifice	main	sacrifice	サクリファイス	3	2009	kondo	anilist	
qid:Q11405166|name:サクリファイス	sacrifice	sub	sacrifice-jubaori-2003	サクリファイス	1	2003	jubaori	anilist	
name:金城りえ|name:悪い男	warui-otoko	main	warui-otoko	悪い男	5	2007		pykakasi	
qid:Q7386178|name:悪い男	warui-otoko	sub	warui-otoko-2002	悪い男	1	2002		none	
qid:Q4811878|name:惡い男	warui-otoko	sub	warui-otoko-nakamura-2024	惡い男	1	2024	nakamura	anilist	
name:金城一紀|name:SP	sp	main	sp	SP	7	2010	kaneshiro	anilist	
qid:Q11420594|name:SP	sp	sub	sp-2000	SP	2	2000		none	
name:金城宗幸|name:神さまの言うとおり	kami-sama-no-iutoori	main	kami-sama-no-iutoori	神さまの言うとおり	11	2011	haruba	anilist	
qid:Q11563265|name:かみさまのいうとおり!	kami-sama-no-iutoori	sub	kami-sama-no-iutoori-2005	かみさまのいうとおり!	9	2005		none	
name:昼間行燈|name:おにさん、こちら	oni-san-kochira	main	oni-san-kochira	おにさん、こちら	2	2012		pykakasi	
name:金色スイス|name:鬼さんこちら!	oni-san-kochira	sub	oni-san-kochira-kaneshiki-2019	鬼さんこちら!	2	2019	kaneshiki	anilist	
name:金森重樹|name:タカネの花	takane-no-hana	main	takane-no-hana	タカネの花	2	2007	shinkyu	anilist	
qid:Q2280124|name:高嶺の花	takane-no-hana	sub	takane-no-hana-shigeno-2014	高嶺の花	2	2014	shigeno	anilist	
qid:Q11463739|name:Desire	desire	main	desire	Desire	25	1997	kotani	anilist	
name:金沢有倖|name:Desire	desire	sub	desire-kanazawa-2001	Desire	3	2001	kanazawa	anilist	
qid:Q6858005|name:デザイアー	desire	sub	desire-1989	デザイアー	1	1989		none	
qid:Q11523385|name:神の子	kami-no-ko	main	kami-no-ko	神の子	3	1986		none	
name:金沢有倖|name:神の子	kami-no-ko	sub	kami-no-ko-kanazawa-2003	神の子	3	2003	kanazawa	anilist	
name:九段そごう|name:ぷらすアルファ	plus-alpha	main	plus-alpha	ぷらすアルファ	4	2021	kudan	anilist	
qid:Q43424557|name:プラスα	plus-alpha	sub	plus-alpha-1995	プラスα	1	1995		none	
name:栗橋伸祐|name:Nocturne	nocturne	main	nocturne	Nocturne	3	1997	takamure	anilist	
qid:Q841880|name:ノクターン	nocturne	sub	nocturne-2011	ノクターン	1	2011		none	
name:栗本薫|name:グイン・サーガ	guin-saga	main	guin-saga	グイン・サーガ	6	2007	kurimoto	anilist	
qid:Q11534451|name:グイン・サーガ	guin-saga	sub	guin-saga-yanagisawa-2001	グイン・サーガ	1	2001	yanagisawa	anilist	
name:鯨川リョウ|name:マルセイ!!	marusei	main	marusei	マルセイ!!	8	2018	gujira	anilist	
qid:Q3412279|name:まるせい	marusei	sub	marusei-2014	まるせい	3	2014		pykakasi	
name:結野ちり|name:スカーレット	scarlet	main	scarlet	スカーレット	2	2019	yuino	anilist	
qid:Q8977925|name:スカーレット	scarlet	sub	scarlet-2013	スカーレット	1	2013		none	
name:剣名舞|name:鳳凰の翼	houou-no-tsubasa	main	houou-no-tsubasa	鳳凰の翼	2	1987	tsurugina	anilist	
qid:Q7046116|name:鳳凰の翼	houou-no-tsubasa	sub	houou-no-tsubasa-1992	鳳凰の翼	2	1992		none	
name:源一|name:御手洗くんの冒険	mitarai-kun-no-bouken	main	mitarai-kun-no-bouken	御手洗くんの冒険	2	1999		pykakasi	
name:源一実|name:御手洗くんの冒険	mitarai-kun-no-bouken	sub	mitarai-kun-no-bouken-minamoto-2003	御手洗くんの冒険	2	2003	minamoto	anilist	
name:古田久恵|name:あたって砕けろ!	atatte-kudakero	main	atatte-kudakero	あたって砕けろ!	3	1983		pykakasi	
qid:Q3433097|name:あたって砕けろ!!	atatte-kudakero	sub	atatte-kudakero-1995	あたって砕けろ!!	1	1995		none	
name:古田久恵|name:誰にも言えない	darenimo-ienai	main	darenimo-ienai	誰にも言えない	2	1993		pykakasi	
qid:Q11657721|name:だれにもいえない	darenimo-ienai	sub	darenimo-ienai-1995	だれにもいえない	1	1995		none	
