isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784867166505	2024.11	マイクロマガジン社	Ride Comics	5	異世界転移したら愛犬が最強になりました : シルバーフェンリルと俺が異世界暮らしを始めたら : THE COMIC. 5	イセカイテンイシタラアイケンガサイキョウニナリマシタ:シルバーフェンリルトオレガ	一花, ハナ/龍央	一花ハナ:漫画/龍央:原作/りりんら:キャラクター原案
9784824203281	2024.11	一二三書房	NOVA COMICS	1	異世界転生したら愛犬ベスのほうが強かったんだが : 職業街の人でも出来る宿屋経営と街の守り方. 1	イセカイテンセイシタラアイケンベスノホウガツヨカッタンダガ:ショクギョウガイノヒ	影木, とふ/藍川, ユヅル	影木とふ:原作/藍川ユヅル:漫画/クロがねや:キャラクター原案
9784575420197	2024.11	双葉社	モンスターコミックス	3	異世界転生スラム街からの成り上がり : 採取や猟をしてご飯食べてスローライフするんだ. 3	イセカイテンセイスラムガイカラノナリアガリ:サイシュヤリョウオシテゴハンタベテス	幾夜大黒堂/滝川, 海老郎	幾夜大黒堂:漫画/滝川海老郎:原作/沖史慈宴:キャラクター原案
9784800015228	2024.11	マッグガーデン	MGC. Web comic beat&#39;	11	異世界転生の冒険者. 11	イセカイテンセイノボウケンシャ	しばの, 番茶/ケンイチ	しばの番茶:漫画/ケンイチ:原作
9784049160765	2024.11	KADOKAWA	電撃コミックスNEXT ; N612-01	1	異世界でチート能力を手にした俺は、現実世界をも無双するガールズサイド = I got a cheat ability in a different world,and became extraordinary even in the rea	イセカイデチートスキルオテニシタオレワゲンジツセカイオモムソウスルガールズサイド	瀬尾, みいのすけ/琴平, 稜/美紅	瀬尾みいのすけ:漫画/琴平稜:原作/美紅 原案・監修:/桑島黎音:キャラクター原案
9784774732862	2024.11	コスミック出版	Kyun comics. Maomao	1	異世界で真心包み屋カフェをオープンです. 1	イセカイデマゴコロツツミヤカフェオオープンデス	はやぶち, 伶子/朝陽, ゆりね	はやぶち伶子:/朝陽ゆりね:原作
9784434348433	2024.11	アルファポリス	アルファポリスCOMICS	2	異世界で水の大精霊やってます。. 2	イセカイデミズノダイセイレイヤッテマス	穂高, 稲穂/青木, 千尋	穂高稲穂:原作/青木千尋:漫画/つなかわ:キャラクター原案
9784047381544	2024.11	KADOKAWA	ビーズログコミックス	6	異世界の沙汰は社畜次第. 6	イセカイノサタワシャチクシダイ	采, 和輝/八月, 八	采和輝:著/八月八:原作/大橋キッカ:キャラクター原案
9784801984790	2024.11	竹書房	Bamboo comics	4	異世界バトルロイヤル. 4	イセカイバトルロイヤル	平石, 六/巖本, 英利	平石六:原作/巖本英利:漫画
9784098537068	2024.11	小学館	裏少年サンデーコミックス	2	異世界ポメラニアンと虹のもふもふ旅. 2	イセカイポメラニアントニジノモフモフタビ	春日, 有	春日有:著
9784575419023	2024.11	双葉社	モンスターコミックス	1	異世界マジックミラー号 = Isekai MAGIC MIRROR gou. 1	イセカイマジックミラーゴウ	まめこ, 漫画家/けてる	まめこ:漫画/けてる:原作
9784065373965	2024.11	講談社	シリウスKC	11	異世界マンチキン : HP1のままで最強最速ダンジョン攻略. 11	イセカイマンチキン:ヒットポイントイチノママデサイキョウサイソクダンジョンコウリ	志瑞, 祐/青桐, 良	志瑞祐:原作/青桐良:漫画
9784824010025	2024.11	オーバーラップ	ガルドコミックス	7	異世界迷宮の最深部を目指そう = Aim the Deepest Part of the Different World Labyrinth. 7	イセカイメイキュウノサイシンブオメザソウ	割内, タリサ/左藤, 圭右	割内タリサ:原作/左藤圭右:漫画/鵜飼沙樹:キャラクター原案
9784824202642	2024.11	一二三書房	NOVA COMICS	1	異世界メイドがやってきた : 異邦人だった頃のメイドが現代の我が家でエッチなメイドさんに. 1	イセカイメイドガヤッテキタ:イホウジンダッタコロノメイドガゲンダイノワガヤデエッ	立石立飲/ウニドン\120	立石立飲:原作/ウニドン\120:漫画/わかるティッシュ:キャラクター原案
9784047381551	2024.11	KADOKAWA	ビーズログコミックス	6	異世界もふもふカフェ. 6	イセカイモフモフカフェ	高岡, ゆう/ぷにちゃん	高岡ゆう:著/ぷにちゃん:原作/Tobi:キャラクター原案
9784868120117	2024.11	ワニマガジン社	WANIMAGAZINE COMICS SPEC		いたずらごころ	イタズラゴコロ	えーすけ 著	えーすけ:著
9784309257846	2024.11	河出書房新社			1秒24コマのぼくの人生	イチビョウニジュウヨンコマノボクノジンセイ	りん, たろう, 1941-	りんたろう:著
9784815618773	2024.11	SBクリエイティブ	GAコミック	4	一瞬で治療していたのに役立たずと追放された天才治癒師、闇ヒーラーとして楽しく生きる : コミック. 4	イッシュンデチリョウシテイタノニヤクタタズトツイホウサレタテンサイチユシヤミヒー	十乃壱, 天/菱川, さかく	十乃壱天:漫画/菱川さかく:原作/だぶ竜:キャラクター原案
9784796417006	2024.11	海王社	Kaiohsha comics. Gush co		いっしょにいたいって言い訳	イッショニイタイッテイイワケ	わが	わが:著
9784049160864	2024.11	KADOKAWA	電撃コミックスNEXT ; N506-03	3	一緒に剣の修行をした幼馴染が奴隷になっていたので、Sランク冒険者の僕は彼女を買って守ることにした. 3	イッショニケンノシュギョウオシタオサナナジミガドレイニナッテイタノデエスランクボ	笹, 塔五郎/湊, 良弘	笹塔五郎:原作/湊良弘:作画/菊田幸一:キャラクターデザイン
9784867870723	2024.11	ブライト出版	LOVE COFFRE COMICS	5	イツやめ : イッても、イッても…止めないよ?この男、猛獣。. 5	イツヤメ:イッテモイッテモヤメナイヨコノオトコモウジュウ	こしあん	こしあん:著
9784048113885	2024.11	KADOKAWA	Pomme Comics	2	偽りの巫女は帝王の手に堕ちる : エロティクス・エンペラー. 2	イツワリノミコワテイオウノテニオチル:エロティクスエンペラー	乙黒, ゆう/水戸, 泉, 1971-	乙黒ゆう:漫画/水戸泉:原作
9784088934426	2024.11	集英社	ヤングジャンプコミックス・ウルトラ	1	いとこのお姉ちゃんに甘えちゃう? 1	イトコノオネエチャンニアマエチャウ	五十嵐, 恭平	五十嵐恭平:著
9784801984677	2024.11	竹書房	Bamboo comics. Moment		愛しのアンダードッグ	イトシノアンダードッグ	みよし, あやと	みよしあやと:
9784041155769	2024.11	KADOKAWA	角川コミックス・エース	13	田舎のホームセンター男の自由な異世界生活. 13	イナカノホームセンターオトコノジユウナイセカイセイカツ	うさぴょん, pub. 2017/古来, 歩	うさぴょん:原作/古来歩:漫画/市丸きすけ:キャラクター原案
