title	vol	version	special_isbn	normal_isbn	status
お金ありきの関係ですが	2	限定版	9784758023351		series=お金ありきの関係ですが/none
鬼上司・獄寺さんは暴かれたい。	2	初回限定小冊子付特装版	9784864424325		series=鬼上司・獄寺さんは暴かれたい。2/none
鬼上司・獄寺さんは暴かれたい。	3	初回限定小冊子付特装版	9784864424578		series=鬼上司・獄寺さんは暴かれたい。3/none
鬼上司・獄寺さんは暴かれたい。	4	初回限定小冊子付特装版	9784864424851		series=鬼上司・獄寺さんは暴かれたい。4/none
狼への嫁入り	2	[特装版]	9784396785673		series=狼への嫁入り〜異種婚姻譚〜/none
狼の花嫁	5	小冊子付き限定版	9784866576145		no-title
大奥	19	小冊子付き特装版	9784592162803		series=大奥 公式ビジュアルファンブック/none
教えてください、藤縞さん!	5	小冊子付き特装版	9784861239649		no-title
パパだって、したい	6	[小冊子付特装版]	9784434333088		no-title
プリフェクトの熾火	1	小冊子付き特装版	9784867870068		series=プリフェクトの熾火ーおきびー/none
ぷちゴナビス	1	初回限定版	9784048994736		series=ぷちゴナビス/none
レムナント	7	初回限定版	9784866575889		no-title
漣蒼士に処女を捧ぐ	3	[小冊子付特装版]	9784434313844		no-title
理想的恋愛の条件	1	特装版	9784758021692		series=理想的恋愛の条件/none
理想的恋愛の条件	2	特装版	9784758023214		series=理想的恋愛の条件/none
理想的恋愛の条件	3	特装版	9784758025942		no-title
さきたま	2	特装版	9784022142771		series=Nemuki＋コミックス　さきた/none
さきたま	3	特装版	9784022143112		series=さきたま3/none
さきたま	4	特装版	9784022143549		series=さきたま4/none
さよなら絶望先生	18	限定版	9784063583021		series=さよなら絶望先生 第18集/none
性癖ヤバめなオトコに狙われました。	5	[小冊子付特装版]	9784434303685		series=性癖ヤバめなオトコに狙われました/none
聖剣少女伝説	1	NFTデジタル特典付限定版	9784801978768		series=聖剣少女伝説　引退間際のおっさん/none
世界一初恋	12	イラスト集付き限定版	9784041057858		series=世界一初恋 〜小野寺律の場合12/none
世界一初恋	15	小冊子付き特装版	9784041094778		series=世界一初恋 〜小野寺律の場合15/none
世界一初恋	19	小冊子付き特装版	9784041148372		series=世界一初恋 〜小野寺律の場合19/none
先生、我慢できません	1	限定版	9784758022729		series=先生、我慢できません/none
先生、我慢できません	2	限定版	9784758024884		no-title
私立すとぷり小学校	1	アクリルスタンドつき特装版	9784099431631		series=私立すとぷり小学校 アクリルスタ/none
執事様のお気に入り	21	ドラマCD付き初回限定版	9784592105626		series=執事様のお気に入り（第/none
紫雲寺家の子供たち	2	特装版	9784592168034		series=紫雲寺家の子供たち 公式アンソロ/none
少年セバスチャンの執事修行	1	初回特典版小冊子付	9784403619823		series=少年セバスチャンの執事修行/none
そんな顔して、誘ってる?	1	CD付き限定版	9784861238604		no-title
宙(そら)に参る	4	特装版	9784845866229		series=宙に参る　（/none
