slug	title	edition	cnt	nums
comic-bii-tarou	コミックビー太郎	通常版	4	[2, 3, 4, 5]
comic-chuurippu-1988	コミックチューリップ	通常版	6	[2, 4, 6, 11, 14, 16]
comic-cue	Comic cue	通常版	2	[2, 3]
comic-image-special	コミックイマージュ・スペシャル	通常版	2	[2, 3]
comic-luna	コミックルナ	通常版	2	[5, 6]
comic-shin-3-goku-musou-san-battle-iryuujon	コミック真・三國無双3バトルイリュージョン	通常版	2	[7, 8]
comic-shin-genjitsu	Comic新現実	通常版	4	[2, 3, 4, 5]
comic-tulip	コミックチューリップ	通常版	5	[2, 4, 6, 11, 16]
cosmos-rakuenki	コスモス楽園記	デラックス版	4	[2, 3, 4, 5]
coyote	コヨーテ	通常版	3	[2, 3, 4]
crash-junky-spirit	Crash junky × spirit	通常版	2	[2, 3]
crew-1994	Crew 1994	通常版	3	[7, 9, 10]
cross-game-2014	CROSS GAME	通常版	3	[4, 5, 6]
crown	CROWN	通常版	4	[2, 3, 4, 5]
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	通常版	2	[2, 3]
dai-kaizoku-jidai	大海賊時代	通常版	2	[2, 9]
daiki-no-baka-h-special	大紀のバカHスペシャル	通常版	2	[2, 10]
dakasete-kudasai-furutaka-shunin	抱かせてください古高主任	通常版	2	[2, 3]
dameo-no-shiina-senpai-to-yabao-no-sasaki-kun	ダメ男の椎名先輩とヤバ男の佐々木くん	通常版	2	[2, 3]
danna-sama-kaseide-rikon-sasete-itadakimasu	旦那様、稼いで離婚させていただきます!	通常版	2	[2, 3]
danshikou-no-hime	男子校の姫	通常版	2	[2, 3]
dare-nimo-ienai-hi	誰にも言えない(秘)	通常版	14	[6, 9, 16, 21, 25, 26, 27, 28]
densetsu-no-yarichin-vs-teppeki-no-shiriana	伝説のヤリチンvs鉄壁の尻穴	デラックス版	4	[2, 3, 4, 5]
destiny-unchain-online	Destiny Unchain Online	デラックス版	3	[10, 11, 12]
diamond-no-a-act-2	ダイヤのA act 2	通常版	23	[12, 13, 14, 15, 16, 17, 18, 19]
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××なんです	通常版	2	[2, 3]
dokuoya-ni-sodateraremashita	毒親に育てられました	通常版	2	[2, 3]
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	通常版	3	[21, 22, 23]
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	通常版	9	[2, 4, 5, 6, 7, 8, 9, 10]
dorobune-kizoku-no-goreijou	泥船貴族のご令嬢	通常版	2	[2, 3]
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	通常版	2	[2, 3]
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	通常版	3	[2, 3, 4]
doughnuts-books	Doughnuts books	通常版	15	[16, 17, 18, 19, 20, 21, 22, 23]
dramatic-maestro	ドラマチック・マエストロ	通常版	2	[2, 3]
echiechi-gakuensai	えちえち学園祭	通常版	5	[2, 3, 4, 5, 6]
eguchi-hisashi-jump-works	江口寿史JUMP WORKS	通常版	3	[2, 3, 4]
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	通常版	3	[2, 3, 4]
eiyuu-buran-no-jinsei-keikaku	英雄ブランの人生計画	通常版	2	[2, 3]
ennead	Ennead	デラックス版	4	[3, 4, 5, 6]
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	通常版	2	[2, 4]
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	通常版	16	[2, 5, 6, 7, 8, 9, 10, 11]
fate-grand-order	Fate/grand order	通常版	4	[2, 3, 4, 5]
fate-kishi	Fate騎士	通常版	9	[2, 4, 5, 6, 7, 8, 9, 10]
fermat-no-ryouri	フェルマーの料理	デラックス版	2	[6, 7]
fluidrat	フルイドラット	通常版	2	[2, 3]
foot-gear	Foot gear	通常版	4	[3, 4, 5, 6]
fuguu-reijou-to-hikikomori-mahoutsukai	不遇令嬢とひきこもり魔法使い	通常版	2	[2, 3]
futsutsukamono-desu-dekiai-shite-kudasai	ふつつかものですが、溺愛してください。	通常版	2	[2, 3]
g-defend	G・defend	文庫版	26	[4, 5, 6, 7, 8, 9, 10, 11]
g-taste	G-taste	通常版	4	[4, 5, 6, 7]
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	通常版	2	[7, 11]
gakkou-kachinukisen-jikken-taiketsu-2016	学校勝ちぬき戦 実験対決	通常版	5	[21, 22, 23, 24, 25]
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	通常版	9	[9, 10, 11, 12, 13, 16, 18, 19]
gal-ga-sylvanian-family-o-dekiai-shitara	ギャルがシルバニアファミリーを溺愛したら。	通常版	5	[2, 3, 5, 6, 7]
ganbare-koppepan-wani	がんばれ!コッペパンわに	通常版	3	[2, 3, 4]
gekiga-hiroike-chikurou	劇画広池千九郎	通常版	4	[2, 3, 4, 5]
generous-kiss	GENEROUS KISS	通常版	3	[2, 4, 6]
gensou-fantasy	幻想ファンタジー	通常版	2	[4, 5]
gensou-labyrinth	幻想ラビリンス	通常版	2	[5, 6]
gessekai-ryokou	月世界旅行	通常版	2	[2, 3]
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	通常版	8	[6, 7, 8, 9, 10, 11, 13, 14]
gifuu-doudou	義風堂々!!	通常版	12	[3, 4, 5, 6, 7, 8, 9, 10]
ginga-tetsudou-999-andoromedahen	銀河鉄道999アンドロメダ編	通常版	6	[5, 6, 7, 8, 9, 10]
gou-himetachi-no-sengoku	江姫たちの戦国	通常版	3	[3, 4, 5]
gundam-exa-2013	ガンダムEXA	通常版	3	[2, 6, 7]
guranpuri-tengoku	グランプリ天国	通常版	4	[3, 4, 5, 6]
guruguru-shoukougun	ぐるぐる症候群	通常版	2	[10, 13]
gush-mania	GUSH mania	通常版	2	[7, 9]
gyouten-ningen-batsealer	仰天人間バトシーラー	デラックス版	2	[2, 3]
ha-ra-pekotsuuringurume	はらぺこツーリングルメ	通常版	2	[2, 3]
hai-kaburanai-hime	灰かぶらない姫	通常版	3	[2, 3, 4]
hai-to-gin-no-hane	灰と銀の羽根	通常版	2	[2, 3]
haisupe-sugiru-jiki-shachou-ga-naze-watashi-hon-no-mushi-ni-go-shuushin	ハイスペすぎる次期社長がなぜか私 (本の虫) にご執心!?	通常版	2	[2, 3]
hakuouki-2011	薄桜鬼 新選組奇譚	通常版	2	[3, 4]
hamada-buritonii-no-manga-de-wakaru-moe-business	浜田ブリトニーの漫画でわかる萌えビジネス	通常版	3	[2, 3, 4]
hamster-club	ハムスター倶楽部	通常版	2	[4, 6]
hamster-family	ハムスターファミリー	通常版	2	[3, 4]
hana-no-asukagumi-infinitei	花のあすか組!∞インフィニティ	通常版	5	[5, 6, 7, 8, 9]
hanagoromo-yumegoromo	花衣夢衣	通常版	13	[5, 6, 7, 8, 9, 10, 11, 12]
hanashippanashi	はなしっぱなし	デラックス版	2	[2, 3]
happy	ハッピー!	通常版	10	[24, 25, 26, 27, 28, 29, 30, 31]
haramu-made-midare-ike	孕むまで乱れいけ	通常版	3	[2, 4, 5]
haru-yo-kuruna	春よ来るな	通常版	3	[3, 4, 5]
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES	通常版	2	[2, 3]
hate-my-mia	Hate my Mia!	通常版	3	[2, 3, 4]
hatsumei-taiketsu	発明対決	通常版	6	[4, 5, 6, 7, 8, 9]
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	通常版	2	[2, 3]
hayou-no-ken	破妖の剣	デラックス版	2	[2, 3]
hazure-de-hajimaru-dekiai-jinsei	ハズレではじまる溺愛人生	通常版	3	[2, 3, 4]
hereteku-no-ana	ヘレテクの穴	通常版	2	[2, 3]
hidoku-shinaide	酷くしないで	デラックス版	3	[10, 11, 12]
high	High	通常版	2	[2, 3]
higurashi-no-naku-koi-ni-all-you-need-is-love	ひぐらしのなく恋に All you need is love	通常版	2	[2, 3]
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	通常版	5	[5, 6, 10, 11, 12]
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	通常版	2	[3, 4]
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	通常版	3	[2, 3, 4]
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	通常版	2	[2, 3]
hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	通常版	2	[2, 3]
honnyara-gokko-kariage-kun	ほんにゃらごっこ かりあげクン	通常版	10	[51, 52, 53, 54, 55, 56, 57, 58]
hontoni-atta-noroi-no-video-comic	ほんとにあった!呪いのビデオcomic	通常版	3	[3, 4, 5]
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	通常版	4	[204, 205, 207, 208]
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	通常版	4	[16, 17, 18, 19]
hoshizora-o-mitsumeta-sono-ato-de	星空を見つめたそのあとで	通常版	2	[2, 3]
hotel-2624	HOTEL	通常版	2	[2, 37]
houkago-hokenshitsu	放課後保健室	文庫版	4	[2, 3, 4, 5]
houkago-pedal	放課後ペダル	通常版	3	[6, 7, 8]
hyoujin	鏢人	通常版	2	[2, 3]
ib	ib	通常版	2	[3, 4]
ikenai-luna-sensei-r	いけない!ルナ先生R	デラックス版	3	[6, 7, 8]
ikukyuu-maou-to-nise-yuusha	育休魔王とニセ勇者	通常版	2	[2, 3]
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	通常版	2	[2, 3]
inakappe-taishou	いなかっぺ大将	文庫版	3	[3, 4, 5]
incubus-datte-junai-shitai	インキュバスだって純愛したい	通常版	2	[2, 3]
infinite-sutoratosu	IS〈インフィニット・ストラトス〉	通常版	2	[7, 8]
inukko-club	犬っこ倶楽部	通常版	2	[6, 7]
isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りた	通常版	3	[2, 3, 4]
isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	異世界でチート能力を手にした俺は、現実世界をも無双するガール	通常版	2	[2, 3]
isekai-no-sumikko-de-kaiteki-monozukuri-seikatsu	異世界のすみっこで快適ものづくり生活	通常版	3	[2, 3, 4]
isekai-oooku	異世界大奥	通常版	4	[2, 3, 4, 5]
isekai-shounin	異世界商人	通常版	3	[2, 3, 4]
itoshii-kimi-to-seiryaku-kekkon	愛しいきみと、政略結婚	通常版	2	[2, 3]
janai-hou-dakedo-aisarekon	じゃない方、だけど愛され婚	通常版	2	[2, 3]
jigoku-no-sata-mo-ougon-shidai	地獄の沙汰も黄金次第	通常版	2	[2, 3]
jingai-coupling-catalog	人外CP(カップリング)かたろぐ。	通常版	2	[2, 3]
jiraikei-kareshi-suzu-kun	地雷系彼氏すずくん	通常版	2	[2, 4]
joker	JOKER	通常版	5	[6, 7, 8, 9, 10]
jumon-yo-sekai-o-kutsugaese	呪文よ世界を覆せ	デラックス版	2	[3, 4]
kaeri-no-kai-o-hajimemasu	帰りの会をはじめます。	通常版	2	[2, 3]
kaikyaku-sengen	海客宣言	通常版	4	[12, 13, 14, 15]
kaisei-no-ketsumeisha	廻生の血盟者	通常版	5	[2, 3, 4, 5, 6]
kakushigoto	かくしごと	通常版	8	[5, 6, 7, 8, 9, 10, 11, 12]
kamui-den	カムイ伝	愛蔵版	2	[2, 4]
kandouou-rendetsu	感動王列伝	通常版	2	[2, 3]
kanon	Kanon	通常版	2	[2, 8]
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	通常版	7	[10, 12, 13, 14, 15, 16, 17]
kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	通常版	2	[20, 21]
kantai-collection-kancolle-comic-arakaruto	艦隊これくしょん-艦これ-コミックアラカルト	通常版	3	[15, 18, 19]
karada-ga-koisuru-keiyaku-kekkon	カラダが恋する契約結婚	通常版	3	[2, 3, 5]
karate-baka-ichidai	空手バカ一代	デラックス版	18	[12, 13, 14, 15, 16, 17, 18, 19]
karen-osakabe-2011	花恋	通常版	2	[6, 7]
karrafuru-na-etsubburidei	カッラフルなエッッブリデイ	通常版	2	[2, 4]
kasei-yakiyoku	華星夜曲	通常版	8	[2, 3, 4, 5, 6, 7, 8, 9]
kasuribana	掏摸花	通常版	3	[2, 3, 4]
katakoi-kekkon	片恋結婚	通常版	5	[2, 3, 4, 5, 6]
kawaii-kimi	かわいいきみ	通常版	3	[2, 3, 4]
kekkon-shita-node-sekkusu-yuukyuu-kudasai	結婚したので、セックス有休ください!	通常版	3	[2, 3, 4]
kekkon-zenjitsu-ni-suki-to-itta-kaisuu-ga-mieru-you-ni-natta-no-de-outaishihi-ni-wa-narimasen	結婚前日に「好き」と言った回数が見えるようになったので、王太	通常版	2	[2, 3]
kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	通常版	2	[3, 4]
kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	通常版	2	[3, 4]
kemonomichi-kagemaru-1980	けものみち	通常版	9	[2, 3, 4, 5, 6, 7, 8, 9]
khan-kusa-to-tetsu-to-hitsuji	ハーン-草と鉄と羊-	通常版	11	[2, 3, 4, 5, 6, 7, 8, 9]
kick-ass	キック・アス	通常版	2	[2, 3]
kiken-na-chouai	危険な寵愛	通常版	2	[2, 3]
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	通常版	3	[2, 3, 4]
kimi-to-natsu-no-naka	君と夏のなか	通常版	2	[2, 3]
kingdom-hearts-3	キングダムハーツⅢ	通常版	3	[2, 3, 4]
kinoshita-mahou-koumuten	きのした魔法工務店	通常版	2	[2, 3]
kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	通常版	2	[2, 3]
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	通常版	4	[6, 7, 8, 9]
kiruniru	キルニル	通常版	2	[2, 3]
kishin-kakka-no-migawari-hanayome	鬼神閣下の身代わり花嫁	通常版	4	[2, 3, 4, 5]
kiss-me-crying	Kiss me crying	デラックス版	4	[2, 3, 4, 5]
kisu-kara-hajimaru-isekai-harem	キスからはじまる異世界ハーレム	通常版	2	[2, 3]
kizuato	痕	通常版	3	[2, 4, 5]
kizuguchi-to-houtai	傷口と包帯	デラックス版	2	[3, 4]
koala-enikki	コアラ絵日記	通常版	4	[2, 3, 4, 5]
kogane-no-rafu-2	黄金のラフ2	通常版	4	[10, 11, 12, 13]
koharu-to-minato	小春と湊	通常版	2	[2, 3]
koori-no-koushaku-sama-to-karisome-no-hanayome	氷の侯爵様とかりそめの花嫁	通常版	2	[2, 3]
