slug	title	edition	numbers
ganbarekierunashikiso-usuko-san	がんばれ!消えるな!!色素薄子さん	通常版	3,4,5,6,7,8,9,10,11,12
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	通常版	3,4
gifuu-doudou	義風堂々!!	通常版	3,4,5,6,7,8,9,10,11,12,13,14
gokujou-no-koibito	極上の恋人	通常版	3,4
gou-himetachi-no-sengoku	江姫たちの戦国	通常版	3,4,5
guranpuri-tengoku	グランプリ天国	通常版	3,4,5,6
hakuouki-2011	薄桜鬼 新選組奇譚	通常版	3,4
hamada-buritonii-no-manga-de-wakaru-moe-business	浜田ブリトニーの漫画でわかる萌えビジネス	通常版	3,4
hamster-family	ハムスターファミリー	通常版	3,4
hana-himeru-kimi-no-meteor	花秘める君のメテオール	通常版	3,4,5
haru-yo-kuruna	春よ来るな	通常版	3,4,5
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	通常版	3,4
hontoni-atta-noroi-no-video-comic	ほんとにあった!呪いのビデオcomic	通常版	3,4,5
ib	ib	通常版	3,4
inakappe-taishou	いなかっぺ大将	文庫版	3,4,5
jumon-yo-sekai-o-kutsugaese	呪文よ世界を覆せ	デラックス版	3,4
kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	通常版	3,4
kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	通常版	3,4
kirawaremono-no-reijou-wa-watashi-ga-ai-shimashou	嫌われ者の令嬢は、私が愛しましょう。～いまさら溺愛してきても、もう遅いです!～	通常版	3,4
kizuguchi-to-houtai	傷口と包帯	デラックス版	3,4
majime-megane-kun-o-otoshitai	真面目メガネくんをオトしたい	通常版	3,4
mama	ママ	ワイド版	3,4,5,6
mousou-suit	妄想戦士	通常版	3,4
mushi-to-gankyuu-to-tedibea	蟲と眼球とテディベア	通常版	3,4,5,6
naniwa-ooeru-funsenki	なにわOL奮戦記	通常版	3,4
nekokko-club	猫っこ倶楽部	通常版	3,4,5,6,7
nigero-matsumoto	逃げろ松本	通常版	3,4
odebu-akujo-ni-tensei-shitara-naze-rasubosu-ouji-sama-ni-shuuchaku-sarete-imasu	おデブ悪女に転生したら、なぜかラスボス王子様に執着されています	通常版	3,4
onsen-e-yukou	温泉へゆこう!	デラックス版	3,4,5,6,7,8,9,10,11,12,13
premium	Premium	デラックス版	3,4
puramo-otoko-to-purichii-joshi	プラモ男子とプリチー女子	通常版	3,4
real-fuuzokujou-nikki	リアル風俗嬢日記	通常版	3,4,5,6
rising-sun	ライジングサン	通常版	3,4,5,6,7,8,9,10,11,12,13,14,15
samurai-kaasan-plus	サムライカアサンプラス	通常版	3,4
seishun-porunogurafutei	青春ぽるのぐらふてい	通常版	3,4
sengoku-jieitai-2014	戦国自衛隊	通常版	3,4
sensei-bokutachi-wa-koroshite-imasen	先生、僕たちは殺していません。	通常版	3,4
sensei-ga-suki	先生が好き	通常版	3,4,5,6
shanai-bitch-chan-wa-kyou-mo-tokimeki-ga-tomerarenai	社内ビッチちゃんは今日もときめきが止められない	通常版	3,4,5
sherlockian	シャーロッキアン!	通常版	3,4
shiharu-genesis	しはるじぇねしす	通常版	3,4,5,6
shikyuu-love	子宮恋愛	通常版	3,4
shitsuji-emu	執事M	通常版	3,4
shouta-no-sushi-2	将太の寿司2	通常版	3,4
silent-m-bius	サイレントメビウス	文庫版	3,4,5,6,7,8
sukui-sukuware	救い、巣喰われ	通常版	3,4
surooraifu-ieyasu	スローライフ家康	通常版	3,4
