slug	title	edition	publishers	majority	minority_vols
double-revenge	ダブルリベンジ	standard	楽楽出版:1 | ぶんか社:1	楽楽出版	[2]
doubt-amano-2012	Doubt!	standard	KADOKAWA:2 | 双葉社:1 | アスキー・メディアワークス:1	KADOKAWA	[1, 2]
douda-danshin-venechia-kokusaihen	ドゥダダンシン! ヴェネチア国際編	standard	集英社クリエイティブ:12 | 創美社:1	集英社クリエイティブ	[7]
douki	童鬼	standard	東京三世社:1 | 蒼馬社:1	東京三世社	[2]
dr-noguchi	Dr.NOGUCHI	bunkobon	講談社コミッククリエイト:4 | 講談社:4	講談社コミッククリエイト	[5, 6, 7, 8]
dragon-no-omawari-san	ドラゴンのおまわりさん	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
dramatic-maestro	ドラマチック・マエストロ	standard	リブレ:1 | リブレ出版:1	リブレ	[3]
dramatical-murder	DRAMAtical Murder	standard	エンターブレイン:1 | KADOKAWA:1	エンターブレイン	[2]
duan-surk	デュアン・サーク	standard	KADOKAWA:1 | アスキー・メディアワークス:1	KADOKAWA	[2]
dynamite-staff	ダイナマイトスタッフ	standard	ホビージャパン:2 | ノアール出版:1	ホビージャパン	[3]
ebiten	えびてん	standard	角川書店:2 | KADOKAWA:1	角川書店	[3]
eden-2021	エデン	standard	角川書店:1 | 少年画報社:1	角川書店	[2]
eden-sakurazawa-2014	エデン	standard	角川書店:1 | 集英社クリエイティブ:1	角川書店	[3]
eden-sugisaki-2006	EDEN	standard	地方・小出版流通センター:1 | シュベール出版:1	地方・小出版流通センター	[2]
edge	Edge	standard	講談社:2 | ムービック:1	講談社	[1]
egao-no-yukue-2003	笑顔の行方	standard	集英社:1 | ハーパーコリンズ・ジャパン:1	集英社	[2]
eigo-ga-perapera-ni-narimashita	英語がペラペラになりました	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
eikyuu-shimei-onegai-shimasu	永久指名おねがいします!	standard	Jパブリッシング:10 | ジュリアン:6	Jパブリッシング	[1, 2, 3, 4, 5, 6]
eiyuu-densetsu-sora-no-kiseki-esushii	英雄伝説空の軌跡SC	standard	フィールドワイ:4 | KADOKAWA:3	フィールドワイ	[1, 2, 3]
eiyuu-senki	英雄*戦姫	standard	KADOKAWA:1 | アスキー・メディアワークス:1	KADOKAWA	[2]
eleven	イレブン	bunkobon	コミックス:4 | 講談社コミッククリエイト:3	コミックス	[5, 6, 7]
elf-17	エルフ・17	standard	白泉社:7 | ジャイブ:1	白泉社	[6]
elf-o-karu-monotachi	エルフを狩るモノたち	standard	KADOKAWA:16 | アスキー・メディアワークス:5	KADOKAWA	[17, 18, 19, 20, 21]
elf-san-wa-yaserarenai	エルフさんは痩せられない。	standard	ワニブックス:7 | 秋田書店:1	ワニブックス	[8]
emerging	エマージング	standard	講談社:2 | リイド社:1	講談社	[3]
emma	エマ	standard	KADOKAWA:9 | エンターブレイン（角川GP）:1	KADOKAWA	[5]
engine-trouble	円陣とらぶる!	standard	KADOKAWA:2 | アスキー・メディアワークス:1	KADOKAWA	[1]
es	ES	standard	講談社:7 | 白夜書房:1	講談社	[1]
esudii-gundam-sangokuden-brave-battle-uooriaazu	SDガンダム三国伝ブレイブバトルウォーリアーズ	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
eternal-heart	Eternal heart	standard	海王社:1 | 桜桃書房:1	海王社	[2]
exit	EXIT	standard	ソニー・ミュージックソリューションズ:4 | 幻冬舎コミックス:4 | 白泉社:3	ソニー・ミュージックソリューションズ	[1, 2, 3, 8, 9, 10, 11]
f-1-densetsu	F-1伝説	standard	世界文化社:1 | ワニブックス:1	世界文化社	[2]
f1-guranpuri-tengoku	F1グランプリ天国	standard	ニューズ出版:1 | 双葉社:1	ニューズ出版	[2]
face-1992	Face	standard	白泉社:1 | ビブロス:1	白泉社	[2]
fade-out	Fade out	standard	小学館:1 | KADOKAWA:1	小学館	[2]
faibu-star-stories	ファイブスター物語	standard	KADOKAWA:16 | 角川書店:2	KADOKAWA	[1, 2]
fairy-tail-chronicle	フェアリーテイル・クロニクル	standard	フロンティアワークス:5 | KADOKAWA:3	フロンティアワークス	[2, 3, 6]
fantastic-lycaon	ファンタスティックリカオン	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[3]
fate-strange-fake	Fate/strange Fake	standard	ノーツ:2 | KADOKAWA:1	ノーツ	[3]
fate-zero	Fate/Zero	standard	KADOKAWA:13 | 角川書店:1	KADOKAWA	[2]
fight-2000	Fight!	standard	実業之日本社:2 | 講談社:2	実業之日本社	[3, 4]
figure-shifters	フィギュアシフターズ	standard	アスキー・メディアワークス:1 | KADOKAWA:1	アスキー・メディアワークス	[2]
fire-emblem-fuyuki-1999	ファイアーエムブレム	standard	スクウェア・エニックス:4 | ホビージャパン:1	スクウェア・エニックス	[1]
fortune-arterial	Fortune arterial	standard	角川書店:3 | KADOKAWA:2	角川書店	[4, 5]
fortune-quest	フォーチュン・クエスト	standard	主婦の友社:1 | アスキー・メディアワークス:1 | KADOKAWA:1	主婦の友社	[2, 3]
fostine	フォスティーヌ	deluxe	講談社:2 | コミックス:1	講談社	[1]
freesia	フリージア	standard	小学館:11 | 集英社:1	小学館	[1]
fuchin-senkan-kii	不沈戦艦紀伊	standard	Gakken:6 | ゴマブックス:1	Gakken	[2]
fujiwara-ranka-no-4koma-gekijou	藤原らんかの4コマ劇場	standard	ニューズ出版:1 | オフィスとらくしょん:1	ニューズ出版	[2]
fuku-yomo	ふくよも	standard	Fox出版:7 | 文苑堂:1	Fox出版	[1]
full-moon-ni-sasayaite	Full moonにささやいて	standard	秋田書店:1 | ビブロス:1	秋田書店	[2]
furenaba-ochin	ふれなばおちん	standard	集英社クリエイティブ:10 | 集英社:1	集英社クリエイティブ	[1]
furisode-ichima	振袖いちま	standard	偕成社:2 | エンターブレイン:1	偕成社	[3]
furuhon-yatai	古本屋台	standard	集英社:1 | 本の雑誌社:1	集英社	[2]
furyou-taimashi-reina	不良退魔師レイナ	standard	LINE Digital Frontier:4 | LINE　Digital　Frontie:1 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1, 4]
fushigi-no-kuni-no-juunin-tachi	不思議の学園の住人達	standard	ム-ビック:1 | ムービック:1	ム-ビック	[2]
fuufu	ふーふ	standard	アスキー・メディアワークス:1 | 一迅社:1	アスキー・メディアワークス	[2]
fuuunjitachi	風雲児たち	standard	潮出版社:30 | リイド社:4	潮出版社	[31, 32, 33, 34]
gachiiki-chouhatsu-night	ガチイキ挑発ナイト	standard	マガジン・マガジン:1 | ジュネット:1	マガジン・マガジン	[2]
gachikoi-nenchakujuu	ガチ恋粘着獣	standard	コアミックス:10 | 竹書房:6	コアミックス	[1, 2, 3, 4, 5, 6]
gachirin-ni-kiri-saku	月輪に斬り咲く	standard	幻冬舎コミックス:6 | 幻冬舎:1	幻冬舎コミックス	[1]
gaidoyaku-no-tenshi-o-naguri-taoshitara-shiryoujutsushi-ni-narimashita	ガイド役の天使を殴り倒したら、死霊術師になりました	standard	アース・スターエンターテイメント:1 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[2]
gaira	凱羅	standard	アスキー・メディアワークス:2 | 双葉社:1	アスキー・メディアワークス	[2]
gakkou-e-yukou	学校へ行こう!	standard	フジテレビ出版:1 | 扶桑社:1	フジテレビ出版	[2]
game	Game	standard	新書館:1 | 秋田書店:1	新書館	[2]
gandharva	ガンダルヴァ	standard	講談社:1 | 河出書房新社:1	講談社	[3]
gang-king	ギャングキング	standard	少年画報社:27 | 講談社:8	少年画報社	[30, 31, 32, 33, 34, 35, 36, 37]
ganso-edomae-sushiya-yohee	元祖江戸前寿し屋與兵衛	standard	双葉社:4 | リイド社:1	双葉社	[1]
garland	GARLAND	standard	ム-ビック:2 | ムービック:1	ム-ビック	[3]
garou-densetsu-2000	餓狼伝説	standard	新声社:1 | 講談社:1	新声社	[2]
garouden-boy	餓狼伝BOY	standard	講談社:2 | 秋田書店:1	講談社	[3]
garouden	餓狼伝	standard	講談社:20 | スコラ:4 | 朝日ソノラマ:1 | 秋田書店:1	講談社	[1, 2, 3, 4, 5, 26]
gate-2002	Gate	standard	リブレ:3 | ビブロス:1	リブレ	[1]
geboku-wa-sereburitei	下僕はセレブリティ	standard	アイプロダクション:1 | 祥伝社:1	アイプロダクション	[2]
ged-senki	ゲド戦記	standard	スタジオジブリ:1 | 徳間書店:1	スタジオジブリ	[2]
gegege-no-kitarou	ゲゲゲの鬼太郎	bunkobon	中央公論新社:7 | 筑摩書房:2 | 講談社コミッククリエイト:1	中央公論新社	[1, 2, 5]
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	standard	宙出版:6 | 主婦と生活社:4	宙出版	[1, 2, 3, 5]
gekiga-hiroike-chikurou	劇画広池千九郎	standard	広池学園出版部:2 | モラロジー道徳教育財団:2	広池学園出版部	[4, 5]
gekiga-kachikujin-yapuu	劇画家畜人ヤプー	standard	ポット出版:3 | 辰巳出版:1	ポット出版	[1]
gene-metarika	ジーンメタリカ	standard	KADOKAWA:1 | メディアファクトリー:1	KADOKAWA	[2]
genjuu-no-kuni-monogatari-1995	幻獣の國物語	standard	主婦と生活社:10 | 宙出版:6	主婦と生活社	[7, 8, 13, 14, 15, 16]
genjuu-no-kuni-monogatari-1997	幻獣の国物語	standard	主婦と生活社:10 | 宙出版:6	主婦と生活社	[7, 8, 13, 14, 15, 16]
genjuu-no-kuni-monogatari	幻獣の國物語	standard	主婦と生活社:10 | 宙出版:6	主婦と生活社	[7, 8, 13, 14, 15, 16]
genyou	幻羽	standard	日本エディターズ:8 | 新書館:1	日本エディターズ	[1]
get-azuma-1999	GET!	standard	スクウェア・エニックス:1 | 桜桃書房:1	スクウェア・エニックス	[2]
getsurei-15	月齢・15	standard	海王社:2 | 桜桃書房:1	海王社	[1]
getsuyou-kara-kinyou-no-otoko-koukousei	月曜から金曜の男子高校生	standard	LINE:3 | LINE Digital Frontier:2	LINE	[4, 5]
ghost-and-witch	ゴーストアンドウィッチ	standard	ブシロードワークス:2 | マッグガーデン:1	ブシロードワークス	[1]
giant-robo	ジャイアントロボ	standard	秋田書店:6 | 角川書店:2 | 講談社:1	秋田書店	[1, 2, 3]
gift-ichinose-2015	gift	standard	講談社:2 | 幻冬舎コミックス:1	講談社	[3]
gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	義風堂々!!直江兼続-前田慶次酒語り	standard	ノース・スターズ・ピクチャーズ:7 | 徳間書店:1	ノース・スターズ・ピクチャーズ	[1]
gin-no-sereira	銀のセレイラ	standard	ネクストF:3 | 宙出版:1	ネクストF	[1]
ginga-eiyuu-densetsu	銀河英雄伝説	standard	集英社:23 | 徳間書店:11	集英社	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	アスキー・メディアワークス:14 | KADOKAWA:7 | 角川書店:6	アスキー・メディアワークス	[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16]
ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	standard	イースト・プレス:1 | Gakken:1	イースト・プレス	[2]
ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	standard	ぎょうせい:1 | Gakken:1	ぎょうせい	[2]
ginga-tetsudou-no-yoru	銀河鉄道の夜	standard	講談社:1 | 風呂猫（台東区）:1	講談社	[2]
gingatetsudou-no-yoru	銀河鉄道の夜	standard	講談社:1 | Gakken:1	講談社	[2]
giniro-no-shiyousei	銀色の照星	standard	朝日ソノラマ:1 | スコラ:1	朝日ソノラマ	[2]
girls-cuvie-2003	Girls	standard	ジェネオン・ユニバーサル・エンターテイン:1 | パイオニアエルディーシー:1	ジェネオン・ユニバーサル・エンターテイン	[2]
girly-hypers	ガーリーハイパーズ	standard	宝島社:2 | 祥伝社:1	宝島社	[3]
go-west-2004	Go!west	standard	みのり書房:2 | ムービック:2	みのり書房	[5, 6]
go-west	Go West!	standard	アスキー・メディアワークス:2 | KADOKAWA:2	アスキー・メディアワークス	[3, 4]
gohan-shiyo	ごはんしよ!	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
gokuaku-binbounin	極悪貧乏人	standard	ベストセラ-ズ:1 | ベストセラーズ:1	ベストセラ-ズ	[2]
gokudoo-kun-manyuuki	ゴクドーくん漫遊記	standard	アスキー・メディアワークス:2 | KADOKAWA:1	アスキー・メディアワークス	[3]
gokuraku-hunter	極楽ハンター	standard	双葉社:2 | スコラ:1	双葉社	[2]
gold-2004	GOLD	standard	ビブロス:1 | 少年画報社:1	ビブロス	[9]
golgo-13	ゴルゴ13	standard	リイド社:156 | 小学館:1	リイド社	[1]
gomenasobase	ごめんあそばせ	standard	ソニー・ミュージックソリューションズ:2 | 日本文芸社:1	ソニー・ミュージックソリューションズ	[3]
goomanizumu-sengen	ゴーマニズム宣言	standard	扶桑社:8 | 双葉社:1	扶桑社	[9]
gravitation	グラビテーション	standard	ソニー・ミュージックソリューションズ:11 | 幻冬舎:1	ソニー・ミュージックソリューションズ	[12]
gundriver	ガンドライバー	standard	アスキー・メディアワークス:4 | KADOKAWA:4	アスキー・メディアワークス	[4, 6, 7, 8]
gunka-no-baltzar	軍靴のバルツァー	standard	新潮社:12 | 講談社:6	新潮社	[15, 16, 17, 18, 19, 20]
gunka-no-hibiki	軍靴の響き	standard	ワニブックス:1 | 世界文化社:1	ワニブックス	[3]
gunners	ガンナーズ	standard	KADOKAWA:4 | 角川書店:2	KADOKAWA	[1, 2]
guranpuri-tengoku	グランプリ天国	standard	三栄:2 | ニューズ出版:1 | サンズ:1	三栄	[3, 4]
guruguru-tekuteku	ぐるぐるてくてく	standard	LINE Digital Frontier:3 | LINE　Digital　Frontier:1	LINE Digital Frontier	[4]
guuguu-datte-neko-de-aru	グーグーだって猫である	standard	角川書店:5 | KADOKAWA:1	角川書店	[6]
hachimitsu-to-clover	ハチミツとクローバー	standard	集英社:9 | 宝島社:1	集英社	[1]
haiiro-no-kisetsu-hakoniwa-de	灰色の季節、箱庭で	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
hajimete-no-neko	はじめての猫	standard	ホーム社（千代田区）:1 | ホーム社:1	ホーム社（千代田区）	[2]
hakkenden	八犬伝	standard	角川書店:15 | KADOKAWA:9	角川書店	[16, 17, 18, 19, 20, 21, 22, 23, 24]
hamster-no-kenkyuu-report	ハムスターの研究レポート	standard	偕成社:5 | 白泉社:3	偕成社	[6, 7, 8]
hamster-shiiku-nikki	ハムスター飼育日記	standard	スコラ:1 | あおば出版:1	スコラ	[8]
hamuko-mairu	はむこ参る!	standard	朝日新聞出版:1 | ポプラ社:1	朝日新聞出版	[2]
hana-mo-mata-kimi-no-tame	花もまた、きみのため。	standard	フレックスコミックス:2 | ソフトバンククリエイティブ:1	フレックスコミックス	[2]
hana-no-android-gakuen	花のアンドロイド学園	standard	アスキー・メディアワークス:1 | KADOKAWA:1	アスキー・メディアワークス	[2]
hana-no-deka	花の慶次	standard	集英社:18 | 新潮社:1	集英社	[20]
hana-no-miyako-kirishima-2013	花のみやこ!	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[1]
hanako-lavatory	ハナコ@ラバトリー	standard	ジャイブ:2 | KADOKAWA:1	ジャイブ	[3]
hanamura-sanjussai	ハナムラさんじゅっさい	standard	銀杏社:4 | 株式会社 銀杏社:1	銀杏社	[1]
hanazakari-no-niwa	花盛りの庭	standard	集英社:1 | ホーム社（千代田区）:1	集英社	[2]
hanazono-to-egoist	花園とエゴイスト	standard	アスキー・メディアワークス:1 | KADOKAWA:1	アスキー・メディアワークス	[2]
hangyaku-no-soul-eater	反逆のソウルイーター	standard	アース・スターエンターテイメント:3 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[4]
hard-core	ハード・コア	standard	KADOKAWA:2 | 秋田書店:1 | エンターブレイン:1	KADOKAWA	[1, 3]
hardboiled-enji-cosmo-kun	ハードボイルド園児宇宙くん	standard	LINE:7 | LINE Digital Frontier:2	LINE	[8, 9]
hare-no-hi-yuki-chan	晴れの日ユキちゃん	standard	産經新聞出版:2 | 産経新聞出版:1	産經新聞出版	[1]
harem-beat-wa-yoake-made	ハーレムビートは夜明けまで	standard	KADOKAWA:3 | 角川書店:2	KADOKAWA	[1, 2]
harisu-mudan	ハリス無段	standard	マンガショップ:2 | パンローリング:1	マンガショップ	[1]
haru-o-daiteita	春を抱いていた	standard	ビブロス:11 | リブレ:3	ビブロス	[12, 13, 14]
haru-to-ao-no-obentoubako	ハルとアオのお弁当箱	standard	ノース・スターズ・ピクチャーズ:3 | コアミックス:3	ノース・スターズ・ピクチャーズ	[4, 5, 6]
haruchin	ハルチン	standard	マガジンハウス:1 | 祥伝社:1	マガジンハウス	[2]
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES	standard	チャールズ・イー・タトル出版:1 | チャールズ・イ・タトル出版:1	チャールズ・イー・タトル出版	[3]
haruyamachou-saabantsu	春山町サーバンツ	standard	エンターブレイン:2 | KADOKAWA:2	エンターブレイン	[3, 4]
hasegawa-chouji	HASEGAWA長治	standard	講談社:2 | 少年画報社:1	講談社	[3]
hasegawa-kunnoga-ookiku-te-iri-masen	長谷川くんのが大きくて入りません!?	standard	大都社:6 | 秋水社:1	大都社	[1]
hassaku-no-yuki	八朔の雪	standard	集英社クリエイティブ:2 | 集英社:1	集英社クリエイティブ	[2]
hatarake-onee-san	働け!おねえさん	standard	自力制作出版:2 | 芳文社:1	自力制作出版	[1]
hatenkou-yuugi	破天荒遊戯	standard	一迅社:21 | スクウェア・エニックス:3	一迅社	[1, 2, 3]
hatsuetchi-no-oaite-wa-masaka-no-houtaiotoko	初エッチのお相手は…まさかの包帯男!?	standard	彗星社:2 | 星雲社:1	彗星社	[1]
hatsukoi-yohou	初恋予報。	standard	角川書店:1 | KADOKAWA:1	角川書店	[2]
hatsuyuki-sakura	はつゆきさくら	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
haunted-campus	ホーンテッド・キャンパス	standard	朝日新聞出版:2 | KADOKAWA:1	朝日新聞出版	[2]
haunted-junction	HAUNTEDじゃんくしょん	standard	KADOKAWA:12 | アスキー・メディアワークス:1	KADOKAWA	[13]
hawkwood	ホークウッド	standard	KADOKAWA:7 | メディアファクトリー:1	KADOKAWA	[1]
hayate-cross-blade	はやて×ブレード	standard	集英社:10 | KADOKAWA:8	集英社	[1, 2, 3, 4, 5, 6, 7, 8]
heart-ni-nurse-call	はあとにナースコール	standard	小学館:6 | 小学館クリエイティブ:2	小学館	[7, 8]
heart-under-the-blade	ハートアンダーザブレイド	standard	アース・スター エンターテイメント:1 | アース・スター　エンターテイメント:1	アース・スター エンターテイメント	[2]
hebi	蛇	standard	実業之日本社:1 | 朝日ソノラマ:1	実業之日本社	[2]
hell-mode	ヘルモード	standard	アース・スターエンターテイメント:9 | 株式会社アース・スター エンターテイメント:2	アース・スターエンターテイメント	[12, 13]
hellhound-2018	ヘルハウンド	standard	日本文芸社:2 | 講談社:1	日本文芸社	[5]
henkyou-no-binbou-hakushaku-ni-totsugu-koto-ni-natta-node-ryouchi-kaikaku-ni-hagemimasu	辺境の貧乏伯爵に嫁ぐことになったので領地改革に励みます	standard	アース・スターエンターテイメント:3 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[4]
hensokukei-quadrangle	変則系クアドラングル	standard	フレックスコミックス:4 | ほるぷ出版:1	フレックスコミックス	[5]
hero-heel	Hero・heel	standard	リブレ:2 | ビブロス:1	リブレ	[1]
herubooi	ヘルボーイ	standard	ジャイブ:1 | 小学館集英社プロダクション:1	ジャイブ	[2]
hidan-no-aria	緋弾のアリア	standard	KADOKAWA:14 | メディアファクトリー:2	KADOKAWA	[1, 7]
higuma	悲熊	standard	LINE　Digital　Frontier:1 | LINE Digital Frontier:1	LINE　Digital　Frontier	[2]
higurashi-no-naku-koro-ni-kizuna	ひぐらしのなく頃に絆	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
hikari-no-kodomo	光の子ども	standard	リトル・モア:2 | リトルモア:1	リトル・モア	[3]
hikarishuppatsu-shinkou	ひかり!出発進行	standard	自力制作出版:3 | 芳文社:1	自力制作出版	[1]
himegotoasobi	秘めごとあそび	standard	角川書店:2 | KADOKAWA:1	角川書店	[3]
himitsu-no-gokko	ヒミツの××ごっこ	standard	アイプロダクション:1 | 祥伝社:1	アイプロダクション	[2]
himitsu-wa-kiss-de-abakareru	秘密はキスで暴かれる	standard	竹書房:3 | 彗星社:2	竹書房	[1, 2]
hina-chan-no-nichijou	ひなちゃんの日常	standard	産經新聞出版:21 | 産経新聞出版:3	産經新聞出版	[22, 23, 24]
hina-matsuri	ヒナまつり	standard	KADOKAWA:14 | エンターブレイン:5	KADOKAWA	[1, 2, 3, 4, 5]
hinadori-girl	ひなどりGIRL	standard	KADOKAWA:2 | アスキー・メディアワークス:1	KADOKAWA	[1]
hirari-kun	ヒラリ君	standard	北国新聞社:11 | 北國新聞社出版局:3	北国新聞社	[7, 8, 11]
hirokane-kenshi-tanpenshuu	弘兼憲史短編集	bunkobon	コミックス:6 | 講談社コミッククリエイト:2	コミックス	[7, 8]
hirugao	ひるがお	standard	エンジェル出版:3 | 双葉社:1	エンジェル出版	[1]
hissatsu-shioki-nagaya	必殺仕置長屋	standard	小池書院:2 | ホーム社（千代田区）:1	小池書院	[2]
hitman-2013	ヒットマン	standard	KADOKAWA:4 | エンターブレイン:1	KADOKAWA	[1]
hito-no-ko	ひとのこ	standard	新潮社:1 | リイド社:1	新潮社	[3]
hitori-camp-shitara-isekai-ni-teni-shita-hanashi	一人キャンプしたら異世界に転移した話	standard	双葉社:4 | SBクリエイティブ:1	双葉社	[3]
hitori-de-dekirumon	独りでできるもん	standard	メディアファクトリー:2 | KADOKAWA:1	メディアファクトリー	[2]
hitsuji-no-uta	羊のうた	standard	スコラ:3 | ソニー・ミュージックソリューションズ:2 | 幻冬舎:2	スコラ	[4, 5, 6, 7]
hokuou-ga-suki	北欧が好き!	standard	ダイヤモンド・ビッグ社:1 | ダイヤモンド社:1	ダイヤモンド・ビッグ社	[2]
hokuto-no-ken	北斗の拳	standard	集英社:27 | 新潮社:3	集英社	[28, 29, 30]
holy-holy	HOLY HOLY	standard	アース・スター エンターテイメント:1 | アース・スターエンターテイメント:1	アース・スター エンターテイメント	[2]
homemade-sweet-home	ホームメイド・スイートホーム	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
hon-to-neko	ほんとねこ	standard	学研パブリッシング:1 | 学研プラス:1	学研パブリッシング	[2]
hone-made-aishite-takaguchi-2011	骨まで愛して	standard	集英社:1 | 徳間書店:1	集英社	[2]
horobi-no-fue	滅びの笛	standard	秋田書店:2 | 世界文化社:1	秋田書店	[3]
horobi-no-utage	滅びの宴	standard	秋田書店:2 | 世界文化社:1	秋田書店	[3]
hoshi-no-arashi	星の旋嵐	standard	ビブロス:2 | 地方・小出版流通センター:1	ビブロス	[1]
hoshi-o-tsugu-mono	星を継ぐもの	standard	小学館:3 | KADOKAWA:1	小学館	[1]
hoshigahara-aomanjuu-no-mori	星が原あおまんじゅうの森	standard	朝日新聞出版:3 | 朝日新聞社:2	朝日新聞出版	[1, 3]
hoshirenge	星恋華	standard	主婦と生活社:10 | 宙出版:2	主婦と生活社	[11, 12]
hoshitabi-shounen	星旅少年	standard	パイ インターナショナル:5 | パイインターナショナル:1	パイ インターナショナル	[1]
hospital	ホスピタル	standard	白泉社:1 | エンターブレイン:1	白泉社	[2]
hot-pet-clinic	ほっと・ペットクリニック	standard	小学館:2 | 小学館クリエイティブ:1	小学館	[3]
hot-shot	Hot Shot	standard	講談社:4 | 集英社:1	講談社	[1]
hotel-hibiscus	ホテル・ハイビスカス	standard	ボーダーインク:2 | 地方・小出版流通センター:1	ボーダーインク	[4]
hyakki-yagyou-show	百鬼夜行抄	standard	朝日ソノラマ:15 | 朝日新聞出版:11 | 朝日新聞社:5	朝日ソノラマ	[16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]
hyakki-yagyou-show	百鬼夜行抄	bunkobon	朝日ソノラマ:9 | 朝日新聞出版:8 | 朝日新聞社:4	朝日ソノラマ	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
hyper-anna	ハイパーあんな	standard	アスキー・メディアワークス:3 | エンターブレイン:1	アスキー・メディアワークス	[4]
i-rob-you	I rob you	standard	LINE　Digital　Frontier:2 | LINE Digital Frontier:1	LINE　Digital　Frontier	[3]
i-sengokushi	異戦国志	standard	ゴマブックス:2 | Gakken:1	ゴマブックス	[1]
ichido-shinde-mita	一度死んでみた	standard	LINE Digital Frontier:1 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
ichioku-hensai-nikki	壱億返済日記	standard	マイクロマガジン社:6 | マイクロマガジン:1	マイクロマガジン社	[2]
ido-lising	アイドライジング!	standard	KADOKAWA:2 | アスキー・メディアワークス:1	KADOKAWA	[1]
ie-de-munou-to-iware-tsuzuketa-ore-desu-sekaiteki-niwa-chou-yuunou-datta-you-desu	家で無能と言われ続けた俺ですが、世界的には超有能だったようです	standard	スクウェア・エニックス:6 | SBクリエイティブ:1	スクウェア・エニックス	[5]
ihou-no-oswald	異邦のオズワルド	standard	ノース・スターズ・ピクチャーズ:2 | 竹書房:1	ノース・スターズ・ピクチャーズ	[3]
ii-denshi	いい電子	standard	KD（eb発行）:9 | KADOKAWA　Game　Linkage:2	KD（eb発行）	[10, 11]
ikai-hanjouki-hiyokoya-shouten	異界繁盛記ひよこや商店	standard	KADOKAWA:5 | 角川書店:1	KADOKAWA	[1]
ikenie-daini-joou-no-konwaku	生贄第二皇女の困惑	standard	アース・スターエンターテイメント:5 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[6]
ikiru	生きる	standard	青林工芸舎:1 | 青林堂:1	青林工芸舎	[2]
ikkimandara	一輝まんだら	standard	大都社:2 | 角川書店:1	大都社	[3]
ikusa-no-ko	いくさの子	standard	ノース・スターズ・ピクチャーズ:12 | コアミックス:7 | 徳間書店:1	ノース・スターズ・ピクチャーズ	[1, 14, 15, 16, 17, 18, 19, 20]
im-a-greaver	アイムアグリーバー!	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:2	LINE Digital Frontier	[2, 3]
imadoki-no-wakai-mon-wa	今どきの若いモンは	standard	講談社:3 | 一迅社:3	講談社	[4, 5, 6]
imawabi-no-dakini	忌火のダキニ	standard	アスキー・メディアワークス:2 | KADOKAWA:1	アスキー・メディアワークス	[2]
impact	インパクト	standard	Gakken:21 | 学研パブリッシング:2	Gakken	[28, 29]
imuri	イムリ	standard	エンターブレイン:14 | KADOKAWA:12	エンターブレイン	[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]
inari-konkon-koi-iroha	いなり、こんこん、恋いろは。	standard	KADOKAWA:8 | 角川書店:1	KADOKAWA	[4]
inden-san-to-enmusubi	印伝さんと縁結び	standard	宙出版:7 | ネクストF:5	宙出版	[8, 9, 10, 11, 12]
indona-hibi	インドな日々	standard	朝日ソノラマ:3 | 朝日新聞出版:1	朝日ソノラマ	[4]
inner-medicine	インナーメディスン	standard	朝日新聞出版:2 | 朝日新聞社:1	朝日新聞出版	[3]
inochi-mijikashi-koiseyo-otome	いのち短し恋せよおとめ	standard	ソニー・ミュージックソリューションズ:2 | スコラ:1	ソニー・ミュージックソリューションズ	[1]
inoue-santa	井上三太	standard	イースト・プレス:1 | 祥伝社:1	イースト・プレス	[2]
