slug	title	edition	publishers	majority	minority_vols
akahishi-no-eleven	赤菱のイレブン	standard	株）アスペクト:2 | エンターブレイン:1	株）アスペクト	[1]
akai-kemono	アカイケモノ	aizoban	ホーム社（千代田区）:1 | ホーム社:1	ホーム社（千代田区）	[2]
akapan-sensei	赤パン先生!	standard	エンターブレイン:2 | KADOKAWA:2	エンターブレイン	[3, 4]
akarito-shirono-shinrei-yawa	あかりとシロの心霊夜話	standard	青泉社（千代田区）:27 | Bbmfマガジン:2	青泉社（千代田区）	[13, 14]
akera-to-magozou	明楽と孫蔵	standard	双葉社:7 | 小池書院:1	双葉社	[3]
akitsushima	秋津島	standard	大陸書房:3 | 朝日ソノラマ:2	大陸書房	[5, 6]
aku-no-hana	悪の華	standard	徳間書店:3 | 実業之日本社:2 | ゴマブックス:1	徳間書店	[3, 5, 6]
akumagari	悪魔狩り	standard	スクウェア・エニックス:6 | マッグガーデン:1	スクウェア・エニックス	[7]
akuryou-tai-san-daisakusen	悪霊退散大作戦	standard	朝日ソノラマ:1 | 朝日新聞出版:1 | 朝日新聞社:1	朝日ソノラマ	[2, 3]
alice-no-hanamichi	アリスの花道	standard	白泉社:2 | KADOKAWA:1	白泉社	[3]
all-naito-live	オールナイトライブ	standard	アスキー・メディアワークス:3 | エンターブレイン:2 | KADOKAWA:1	アスキー・メディアワークス	[3, 5, 6]
amagami	アマガミ	standard	白泉社:4 | エンターブレイン:1	白泉社	[1]
amagamisama	アマガミサマ	standard	エンターブレイン:1 | KADOKAWA:1	エンターブレイン	[2]
amaitamashii	アマイタマシイ	standard	集英社:2 | 復刊ドットコム:1	集英社	[3]
amaterasu	アマテラス	standard	KADOKAWA:3 | 角川書店:1	KADOKAWA	[4]
anata-o-korosu-tabi	あなたを殺す旅	standard	秋田書店:1 | 徳間書店:1	秋田書店	[3]
and-love	アンド、ラブ!	standard	ビブロス:1 | リブレ:1	ビブロス	[2]
android-wa-ai-no-yume-o-miruka	アンドロイドは愛の夢をみるか?	standard	三交社:2 | 三交社（台東区）:1 | CLAPコミックス:1	三交社	[1, 2]
andromeda-stories	アンドロメダ・ストーリーズ	standard	朝日ソノラマ:2 | コミックス:1	朝日ソノラマ	[3]
ane-ni-iwarerugamama-ni-totsu-kun-o-shite-itara-tondemonai-tsuyosa-ni-natte-ita-otouto	姉に言われるがままに特訓をしていたら、とんでもない強さになっていた弟	standard	アース・スターエンターテイメント:8 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[9]
angel-arm	エンジェルアーム	standard	アスキー・メディアワークス:6 | 主婦の友社:1	アスキー・メディアワークス	[1]
angel-heart-2nd-season	エンジェル・ハート 2ndシーズン	standard	ノース・スターズ・ピクチャーズ:8 | 徳間書店:2	ノース・スターズ・ピクチャーズ	[1, 2]
angels	Angels	standard	フレックスコミックス:2 | ジャイブ:1	フレックスコミックス	[1]
anima	+ANIMA	standard	アスキー・メディアワークス:7 | KADOKAWA:3	アスキー・メディアワークス	[1, 9, 10]
animal-x	ANIMAL X	standard	角川書店:4 | 集英社:2 | ホーム社（千代田区）:2	角川書店	[5, 6, 7, 8]
ansangu-cinderella	アンサングシンデレラ	standard	コアミックス:12 | ノース・スターズ・ピクチャーズ:3	コアミックス	[1, 2, 3]
aoharu-tetsudou	青春鉄道	standard	KADOKAWA:3 | メディアファクトリー:1	KADOKAWA	[1]
aoi-hitsuji-no-yume	青い羊の夢	standard	日本文芸社:8 | 白泉社:1	日本文芸社	[1]
appare-tenka-gomen-oudou-rakudo	あっぱれ!天下御免櫻道楽都	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
aqua-step-up	アクア・ステップ・アップ	standard	ソニー・ミュージックソリューションズ:2 | 幻冬舎:1	ソニー・ミュージックソリューションズ	[4]
aquarion-evol	アクエリオンEVOL	standard	KADOKAWA:4 | メディアファクトリー:1	KADOKAWA	[2]
araburu-shishi	荒らぶる獅子	standard	ユサブル:4 | 竹書房:1	ユサブル	[1]
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	standard	スクウェア・エニックス:15 | KADOKAWA:1	スクウェア・エニックス	[1]
arafoo-riiman-no-cinderella-tensei	アラフォーリーマンのシンデレラ転生	standard	LINE Digital Frontier:3 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
arashi-no-destiny	嵐のデスティニィ	standard	朝日新聞出版:3 | 集英社クリエイティブ:2 | 主婦と生活社:1 | 朝日新聞社:1	朝日新聞出版	[1, 2, 3, 4]
arekusandaa-daiou	アレクサンダー大王	standard	小学館:2 | KADOKAWA:1	小学館	[1]
arslan-senki	アルスラーン戦記	standard	角川書店:13 | 講談社:10	角川書店	[14, 15, 16, 17, 18, 19, 21, 22, 23, 24]
arte	アルテ	standard	ノース・スターズ・ピクチャーズ:12 | コアミックス:8	ノース・スターズ・ピクチャーズ	[13, 14, 15, 16, 17, 18, 19, 21]
aru-nichi-toaru-nichi-totoaru-nichi-no-kuru	ある日とある日ととある日のクル	standard	秋水社:2 | Gakken:1 | 大都社:1	秋水社	[1, 4]
asa-ninattemo-owa-ranaitsu	朝になっても終わらないっ!	standard	大都社:2 | 秋水社:1	大都社	[1]
asaha-furu	朝羽振る	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:2	LINE Digital Frontier	[2, 3]
asu-no-tameni	明日のために	standard	スコラ:2 | ソニー・ミュージックソリューションズ:1	スコラ	[3]
atagoul	アタゴオル	standard	KADOKAWA:2 | 朝日ソノラマ:1	KADOKAWA	[1]
atashinchi	あたしンち	standard	メディアファクトリー:18 | KADOKAWA:3	メディアファクトリー	[19, 20, 21]
aurora-housoukyoku	オーロラ放送局	standard	Gakken:2 | 朝日ソノラマ:1	Gakken	[2]
avnai-yatsura	AVない奴ら	standard	集英社:2 | 復刊ドットコム:1	集英社	[3]
azuki-no-chi	あずきの地!	standard	宙出版:13 | ネクストF:1	宙出版	[14]
b-boy	b-Boy	standard	ビブロス:3 | 集英社:1	ビブロス	[1]
b-t-x-1999	B'T X-ビート・エックス-	standard	ホーム社（千代田区）:8 | 角川書店:3	ホーム社（千代田区）	[13, 14, 15]
baacharu-kun-wa-otonari-san-kara-nigetai	バーチャルくんはおとなりさんから逃げたい	standard	コスミック出版:1 | KADOKAWA:1	コスミック出版	[2]
