title	author	max_vol	runs(marker:巻数)
ファンション・ファデ（第3巻）	名香智子	4	文庫:4巻(〜4) / ワイド版:4巻(〜4)
フォスティーヌ（1）	原ちえこ	4	通常:4巻(〜4) / 文庫:3巻(〜3)
恋はいつもアマンドピンク（3）	赤星たみこ	4	通常:4巻(〜4) / 文庫:3巻(〜3)
セフィロト（3）	篠原烏童	4	通常:4巻(〜4) / 文庫:3巻(〜3)
わが指のオーケストラ（3）	山本おさむ	4	通常:4巻(〜4) / 文庫:3巻(〜3)
花田少年史（4）	一色まこと	4	文庫:4巻(〜4) / 通常:4巻(〜4)
プライム・ローズ（4）	手塚治虫	4	文庫:4巻(〜4) / 通常:4巻(〜4)
まちこの千夜一夜（1）	里中満智子	4	通常:4巻(〜4) / 文庫:3巻(〜3)
ルームメイツ（3）	近藤ようこ	4	通常:4巻(〜4) / 文庫:3巻(〜3)
メイミー・エンジェル（1）	いがらしゆみこ	4	通常:4巻(〜4) / 文庫:3巻(〜3)
風子のいる店（3）	岩明均	4	文庫:4巻(〜4) / 通常:4巻(〜4)
天地を喰らう（4）	本宮ひろ志	4	通常:4巻(〜4) / 文庫:4巻(〜4)
ワン・ゼロ（1）	佐藤史生	4	通常:4巻(〜4) / 文庫:3巻(〜3)
あばれ天童（1）	横山光輝	4	文庫:4巻(〜4) / 通常:3巻(〜4)
口紅コンバット（1）	佐伯かよの	4	通常:4巻(〜4) / 文庫:3巻(〜3)
係長　島耕作（1）	弘兼憲史	3	文庫:3巻(〜3) / 通常:3巻(〜3)
数寄です！（3）	山下和美	3	文庫:3巻(〜3) / 通常:3巻(〜3)
ヒメママ（1）	玖保キリコ	3	文庫:3巻(〜3) / 通常:3巻(〜3)
マンガ旧約聖書　3	里中満智子	3	文庫:3巻(〜3) / 通常:3巻(〜3)
わにとかげぎす（3）	古谷実	3	文庫:3巻(〜3) / 通常:3巻(〜3)
鉄コン筋クリート（3）	松本大洋	3	文庫:3巻(〜3) / 通常:3巻(〜3)
コーリング（第1巻）	岡野玲子	3	文庫:3巻(〜3) / 通常:3巻(〜3)
隣人13号（3）	井上三太	3	文庫:3巻(〜3) / 通常:3巻(〜3)
コドク・エクスペリメント（3）	星野之宣	3	文庫:3巻(〜3) / 通常:3巻(〜3)
呪いの招待状（3）	曽祢まさこ	3	文庫:3巻(〜3) / 通常:3巻(〜3)
ななこSOS（3）	吾妻ひでお	3	文庫:3巻(〜3) / 通常:3巻(〜4)
アトンの娘（3）	里中満智子	3	文庫:3巻(〜3) / 通常:3巻(〜3)
語り継がれる戦争の記憶（1）	三枝義浩	3	文庫:3巻(〜3) / 通常:3巻(〜3)
虹の伝説（1）	原ちえこ	3	文庫:3巻(〜3) / 通常:3巻(〜3)
スヌーピーたちの心の相談室（3）	チャールズモンローシュルツ	3	通常:3巻(〜3) / 文庫:3巻(〜3)
つらいぜ！ボクちゃん（1）	高橋亮子	3	文庫:3巻(〜3) / ワイド版:3巻(〜3)
時間をとめて待っていて（第1巻）	ひかわきょうこ	3	文庫:3巻(〜3) / 通常:3巻(〜3)
柴門ふみbest　selection（2）	柴門ふみ	3	文庫:3巻(〜3) / 通常:3巻(〜3)
夢みる惑星（第2巻）	佐藤史生	3	文庫:3巻(〜3) / 通常:3巻(〜4)
校内写生（3）	遊人	3	文庫:3巻(〜3) / 通常:3巻(〜3)
東周英雄伝（3）	鄭問	3	文庫:3巻(〜3) / 通常:3巻(〜3)
