shared_isbn	rk_title	ndl_title	ndl_author	owner_slug	owner_author	wrong_slug	wrong_author	wrong_vol	proposed_isbn	confidence
9784253202381	WORST（22）	Worst. 22	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	22		LOW
9784253202398	WORST（23）	Worst. 23	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	23		LOW
9784253202404	WORST（24）	Worst. 24	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	24		LOW
9784253216159	WORST（25）	Worst. 25	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	25		LOW
9784253216166	WORST（26）	Worst. 26	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	26		LOW
9784253216173	WORST（ワースト）（27）	Worst. 27	高橋ヒロシ	worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	27		LOW
9784253216203	WORST（30）			worst	髙橋ヒロシ	worst-komuro-1970	小室孝太郎	30		LOW
9784253262545	闇都市伝説（4）	闇都市伝説 = Black Urban Lege	亜月亮	yami-toshi-densetsu	亜月亮	kimi-no-tonari	亜月亮	4		CONFLICT
9784253262552	闇都市伝説（5）	闇都市伝説 = Black Urban Lege	亜月亮	yami-toshi-densetsu	亜月亮	kimi-no-tonari	亜月亮	5		CONFLICT
9784257033813	カレイドスコ-プ	Kaleidoscope	米田仁士	kaleidoscope	野間美由紀	kaleidoscope-1994	米田仁士	1		CONFLICT
9784257720010	楳図かずおこわい本（影）	楳図かずおこわい本. 影		kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	1		LOW
9784257720065	楳図かずおこわい本（蛇　2）	楳図かずおこわい本. 蛇2		kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	2		LOW
9784257724315	我楽多街奇譚新装版	我楽多街奇譚	高橋葉介	garakutamachi-ki-tan	高橋葉介	kamen-shounen	高橋葉介	1		CONFLICT
9784257900382	楳図かずおこわい本（vol．6）	楳図かずおこわい本. vol.6 (異形 1)		kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	6		LOW
9784257900399	楳図かずおこわい本（vol．7）	楳図かずおこわい本. vol.7 (異形 2)		kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	7		LOW
9784257900405		楳図かずおこわい本. vol.8 (神罰)		(所有者不明)		kowai-hon	楳図かずお	8		LOW
9784257900405		楳図かずおこわい本. vol.8 (神罰)		(所有者不明)		umezu-kazuo-kowai-hon	楳図かずお	8		LOW
9784257900405		楳図かずおこわい本. vol.8 (神罰)		(所有者不明)		zoku-kowai-hon	楳図かずお	8		LOW
9784257900412		楳図かずおこわい本. vol.9 (狂乱)		(所有者不明)		kowai-hon	楳図かずお	9		LOW
9784257900412		楳図かずおこわい本. vol.9 (狂乱)		(所有者不明)		umezu-kazuo-kowai-hon	楳図かずお	9		LOW
9784257900412		楳図かずおこわい本. vol.9 (狂乱)		(所有者不明)		zoku-kowai-hon	楳図かずお	9		LOW
9784257900429	怨念	楳図かずおこわい本. vol.10 (怨念)		(所有者不明)		kowai-hon	楳図かずお	10		LOW
9784257900429	怨念	楳図かずおこわい本. vol.10 (怨念)		(所有者不明)		umezu-kazuo-kowai-hon	楳図かずお	10		LOW
9784257900429	怨念	楳図かずおこわい本. vol.10 (怨念)		(所有者不明)		zoku-kowai-hon	楳図かずお	10		LOW
9784257904786	楳図かずおこわい本（vol．5）愛蔵版	口が耳までさける時 ; ヘビおばさん ; 蛇娘と		kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	5		LOW
9784257904847	楳図かずおこわい本（vol．11）愛蔵版	異形. 1	楳図かずお	kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	11		CONFLICT
9784257904854	楳図かずおこわい本（vol．12）愛蔵版	異形. 2	楳図かずお	kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	12		CONFLICT
9784257904861	楳図かずおこわい本（vol．13）愛蔵版	怪物	楳図かずお	kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	13		CONFLICT
9784257904878	楳図かずおこわい本（vol．14）愛蔵版	呪縛	楳図かずお	kowai-hon	楳図かずお	zoku-kowai-hon	楳図かずお	14		CONFLICT
9784257913887	赤い髪の少年			akaikaminoshounen	山岸凉子	akai-kami-no-shounen	山岸凉子	1		LOW
9784257915782	天人唐草			tenjinkarakusa	山岸凉子	natsu-no-guuwa	山岸凉子	1		LOW
9784257917090	最終戦争伝説（第2巻）	最終戦争伝説 (ハルマゲドンでんせつ) 1	山田ミネコ	saishuu-sensou-densetsu	山田ミネコ	juran	山田ミネコ	2		CONFLICT
9784257917489	最終戦争伝説（3）	最終戦争伝説 (ハルマゲドンでんせつ) 1	山田ミネコ	saishuu-sensou-densetsu	山田ミネコ	juran	山田ミネコ	3		CONFLICT
9784257917908	最終戦争伝説（4）	最終戦争伝説 (ハルマゲドンでんせつ) 1	山田ミネコ	saishuu-sensou-densetsu	山田ミネコ	juran	山田ミネコ	4		CONFLICT
9784257918264	最終戦争伝説（5）	最終戦争伝説 (ハルマゲドンでんせつ) 1	山田ミネコ	saishuu-sensou-densetsu	山田ミネコ	juran	山田ミネコ	5		CONFLICT
9784257918394	最終戦争伝説（第6巻）	最終戦争伝説 (ハルマゲドンでんせつ) 1	山田ミネコ	saishuu-sensou-densetsu	山田ミネコ	juran	山田ミネコ	6		CONFLICT
9784301000020	FINAL FANTASY LOST STRAN	ファイナルファンタジーロスト・ストレンジャー. 	亀屋樹	final-fantasy-lost-stranger-2021	むつきらん	final-fantasy-lost-stranger	むつきらん	13		LOW
9784344835931	テイクイットイージー新装版	テイクイットイージー	岡崎京子	take-it-easy-2000	岡崎京子	take-it-easy	岡崎京子	1		CONFLICT
9784396380038	クール／ドルチェ・ヴィータ	Cool ; Dolce vita	桜沢エリカ	(所有者不明)		cool-2001	桜沢エリカ	1		CONFLICT
9784403611865	クルセイダー（1）	Crusader 1	とおる;水縞	crusader-kawaso-2002	河惣益巳	crusader	水縞とおる	1		LOW
