class	n_pages	canonical	pages	authors	vol_overlap
誤接続/別題	2	mousou-suit-yamamoto	mousou-suit|mousou-suit-yamamoto	小野寺浩二	0.4
誤接続/別題	2	nageki-no-torisu-tan	castille-no-kifujin|nageki-no-torisu-tan	森川久美	1.0
誤接続/別題	2	natsu-no-omoide-1994	natsu-no-omoide-1994|yoru-no-ryouiki	山本直樹	1.0
誤接続/別題	2	nekken-kanfuu-club	nekken-kanfuu-club|nekkyo-kanfuu-club	魚戸おさむ	0.67
誤接続/別題	2	nito-monogatari	ichigo|nito-monogatari	六田登|滝沢聖峰	1.0
誤接続/別題	2	nobushi-no-gourmet	mangaban-nobushi-no-gourmet|nobushi-no-gourmet	土山しげる	1.0
誤接続/別題	2	ohi-sama-egao	himawari-2011|ohi-sama-egao	天野こずえ	1.0
誤接続/別題	2	oku-sama-wa-joshikousei	hiyoko-brand|oku-sama-wa-joshikousei	こばやしひよこ	1.0
誤接続/別題	2	onegai-maruchi-kun	mobile-hazure-no-meiwakusei|onegai-maruchi-kun	やぶうち優	1.0
誤接続/別題	2	oruchuban-ebichu	oruchuban-ebichu|oruchuban-ebichuchu	伊藤理佐	0.6
誤接続/別題	2	oshiete-danna-sama	oshie-danna-sama|oshiete-danna-sama	草薙竜樹	0.05
誤接続/別題	2	pangaea-ezel	pangaea-ezel|pangaea-ezel-2010	浅野りん	1.0
誤接続/別題	2	partner	partner|partner-1999	名香智子|麻乃真純	0.35
誤接続/別題	2	pastel-kazoku	golf-jinsei|pastel-kazoku	いけうち誠一|セイ	0.27
誤接続/別題	2	percolation	percolation|percolation-2010	SUEZEN	1.0
誤接続/別題	2	persona-1998	persona-1998|persona-2001	上田信舟|松枝尚嗣	1.0
誤接続/別題	2	puramo-otoko-to-purichii-joshi	puramo-otoko-to-purichii-joshi|puramo-otoko-to-purichii-joshi-mizuo-to-iena-no-ichinen-sensou	ソラキスズ	0.5
誤接続/別題	2	pure	pure|pure-1993	柿本ケンジロウ|深見じゅん	1.0
誤接続/別題	2	ragunasenki	amenohousoku|ragunasenki	外薗昌也	1.0
誤接続/別題	2	real-kiss	real-kiss|real-kiss-2014	宮坂香帆|小純月子	1.0
誤接続/別題	2	red-nakaji-1990	red-1999|red-nakaji-1990	なかじ有紀|小林博美	1.0
誤接続/別題	2	refrain-1988	refrain-1988|rifrein	ささやななえこ|岡田ユキオ	1.0
誤接続/別題	2	reigen-ohatsu-torimono-hikae	reigen-ohatsu-torimono-hikae|tengukaze	坂口よしを	0.5
誤接続/別題	2	ri-zero-kara-hajimeru-isekai-seikatsu	ri-zero-kara-hajimeru-isekai-seikatsu|ri-zero-kara-hajimeru-isekai-seikatsu-dai-sanshou-touruusu-obu-zero	マツセダイチ	0.5
誤接続/別題	2	ring	ring|ring-inagaki-1999	市野治美|稲垣みさお	1.0
誤接続/別題	2	ringo	ringo|ringo-takamochi	こいおみなと|たかもちげん	1.0
誤接続/別題	2	romanshingu-saga	romancing-saga|romanshingu-saga	紺野さおり|面堂かずき	1.0
誤接続/別題	2	roto-no-monshou	roto-no-monshou|roto-no-monshou-monshou-o-tsugu-monotachi-he	藤原カムイ	0.88
誤接続/別題	2	ryuugetsushou	besuteia|ryuugetsushou	池上遼一	1.0
誤接続/別題	2	saikikkuakademiikourabanshou	psychic-akademii-koura-banshou|saikikkuakademiikourabanshou	克・亜樹	0.73
誤接続/別題	2	saint-bladers	saint|saint-bladers	印照|赤石路代	1.0
誤接続/別題	2	sakura-moon	sakura-2020|sakura-moon	フクシマハルカ|吉村明美	1.0
誤接続/別題	2	samurai-7	samurai-7|samurai-japan	ダイナミックプロダクション|永井豪|浅野まいこ	0.67
誤接続/別題	2	samurai-spirits	samurai-spirits|samurai-spirits-1995	島本和彦|石川賢	1.0
誤接続/別題	2	sangoku-rensenki	sangoku-rensenki|sangoku-rensenki-otome-no-heihou	あず真矢	0.8
誤接続/別題	2	seiden	seiden|seiden-rg-veeda	CLAMP	0.8
誤接続/別題	2	seiryuu	blue-dragon|seiryuu	八坂考訓|木内一雅	0.18
誤接続/別題	2	series-atarimae-no-zeitaku	series-atarimae-no-zeitaku|series-atarimae-no-zeitaku-sakanaai-ga-tamesareru-sore-ga-nizakana	きくち正太	0.11
誤接続/別題	2	shanaou-yoshitsune-genpei-no-kassen	shanaou-yoshitsune|shanaou-yoshitsune-genpei-no-kassen	沢田ひろふみ	0.83
誤接続/別題	2	sherlock-berugureebia-no-shuubun	sherlock-berugureebia-no-shuubun|sherlock-ooinaru-game	Jay.	1.0
誤接続/別題	2	shin-agatte-nanbo-taichiyo-nakuna	shin-agatte-nanbo-taichiyo-nakuna|shinshin-agatte-nanbo-taichi-yo-nakuna	叶精作	1.0
誤接続/別題	2	shin-kurosagi	shin-kurosagi|shin-kurosagi-kanketsu-hen	夏原武|黒丸	0.33
誤接続/別題	2	shin-megami-tensei-ifu	shin-megami-tensei-ifu|shin-megami-tensei-kaan	ATLUS|柳澤一明	1.0
誤接続/別題	2	shin-onna-kudouden-rei	onna-kudouden-rei|shin-onna-kudouden-rei	叶精作	1.0
誤接続/別題	2	shin-tokyo-koushinkyoku	shin-tokyo-koushinkyoku|tokyo-koushinkyoku	どおくまん	0.5
誤接続/別題	2	shinpika-mizuki-shigeru-den	shinpika-mizuki-shigeru-den|watashi-ha-gegege	水木しげる	1.0
誤接続/別題	2	shinyaku-meruhen	shinyaku-meruhen|shinyaku-meruhien	Sound Horizon|えむけえ	0.4
誤接続/別題	2	shiritsu-kiwamemichi-koukou	2011-ritsu-kiwamemichi-koukou-2011|shiritsu-kiwamemichi-koukou	宮下あきら	1.0
誤接続/別題	2	shokugeki-no-sooma-retowaaru-2019	shokugeki-no-sooma-retowaaru|shokugeki-no-sooma-retowaaru-2019	昭時大紀	0.88
誤接続/別題	2	shouta-no-sushi-2	shouta-no-sushi-2|shouta-no-sushi-2-world-stage	寺沢大介	0.5
誤接続/別題	2	silver-suetsugu-2005	silver|silver-suetsugu-2005	末次由紀|藤田和子	1.0
誤接続/別題	2	sleeping-beauty-yoshikawa-2003	sleeping-beauty|sleeping-beauty-yoshikawa-2003	吉川新|芳崎せいむ	1.0
誤接続/別題	2	slope-mansion-ni-okaeri	fushigi-toshokan|slope-mansion-ni-okaeri	高尾滋	1.0
誤接続/別題	2	sonna-mainichi	sonna-mainichi|sonna-mainichi-popai-kyousoukyoku	おーはしるい	0.83
誤接続/別題	2	souseiki-1989	comic-kyuuyaku-seisho-souseiki|souseiki-1989	藤原カムイ	0.5
誤接続/別題	2	spiral-2003	spiral|spiral-2003	水野英多	1.0
誤接続/別題	2	steins-gate	steins-gate|steins-gate-2011	nini|さらちよみ|ニトロプラス	1.0
誤接続/別題	2	sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami|sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	Nyan|おがたちえ|おぎのじゅんこ	0.88
誤接続/別題	2	supi-sanpo	supi-sanpo|supi-sanpo-burari-pawasupo-reikan-tabi	伊藤三巳華	0.83
誤接続/別題	2	take-it-easy-2000	take-it-easy|take-it-easy-2000	岡崎京子	1.0
誤接続/別題	2	tale-of-rose-knight	bara-monogatari-2008|tale-of-rose-knight	滝沢聖峰	0.5
誤接続/別題	2	tales-of-eternia	tales-of-etaania-premium-stories|tales-of-eternia	小池陽子	1.0
誤接続/別題	2	tenjinkarakusa	natsu-no-guuwa|tenjinkarakusa	山岸凉子	1.0
誤接続/別題	2	tensai-choukoushi-houjou-mika	lady-q|tensai-choukoushi-houjou-mika	三浦みつる	1.0
誤接続/別題	2	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	tensei-shitara-koutei-deshita|tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	久松エイト|魔石の硬さ	0.33
誤接続/別題	2	toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	toaru-kagaku-no-railgun-2025|toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	冬川基|灰村キヨタカ|鎌池和馬	0.6
誤接続/別題	2	tobidase-doubutsu-no-mori	tobidase-doubutsu-no-mori|tobidase-doubutsu-no-mori-harikiri-sonchou-ippee	大崎亮平	0.71
誤接続/別題	2	tokyo-toyboxes-2020	tokyo-toyboxes|tokyo-toyboxes-2020	うめ	1.0
誤接続/別題	2	top	top|two-toppu	旭凛太郎|池田さとみ	1.0
誤接続/別題	2	toujuushi	toujuushi|toujuushi-besuteiariusu	柿崎正澄	0.86
誤接続/別題	2	uchuu-yuku-hansen	silkroad-uchuu-yuku-hansen|uchuu-yuku-hansen	神坂智子	0.5
誤接続/別題	2	ultraman-g	ultraman-2012|ultraman-g	下口智裕|島本和彦|清水栄一	1.0
誤接続/別題	2	unnamed-memory-chibi-2024	unnamed-memory|unnamed-memory-chibi-2024	オカカ|古宮九時	0.6
誤接続/別題	2	urami	noroi|urami	犬木加奈子	1.0
誤接続/別題	2	venus	venus|venus-2015	関口シュン|麻生歩	1.0
誤接続/別題	2	wani-bunsho	wani-bunsho|wani-bunsho-2010	篠原とおる	1.0
誤接続/別題	2	warattegoran	gatarou-sensei-arigatou|warattegoran	漫☆画太郎	1.0
誤接続/別題	2	wedding-dress	shiroi-egumonto|wedding-dress	池田理代子	1.0
誤接続/別題	2	wings-1995	wings|wings-1995	鎌田洋次	1.0
誤接続/別題	2	wonder-three	w3|wonder-three	手塚治虫|貴島煉瓦	1.0
誤接続/別題	2	worst	worst|worst-komuro-1970	小室孝太郎|髙橋ヒロシ	1.0
誤接続/別題	2	would-you-suck-my-blood	boku-no-chi-sutte-kuremasenka|would-you-suck-my-blood	山本小鉄子	1.0
誤接続/別題	2	yami-ni-hikaru-youjiyo-no-me	yami-ni-hikaru-youjiyo-no-me|yoru-aruku-shitai	浜慎二	1.0
誤接続/別題	2	yami-toshi-densetsu	kimi-no-tonari|yami-toshi-densetsu	亜月亮	1.0
誤接続/別題	2	yoh	yoh|you-2003	上条明峰|菊池としを	1.0
誤接続/別題	2	yorinuki-patalliro	yorinuki-patalliro|yorinuki-patalliro-daikonsen	魔夜峰央	0.5
誤接続/別題	2	yoru-shibari-oobaado	yoru-shibari-oobaado|yoshibari-oobaado	RAN	0.22
誤接続/別題	2	youseiou	dream|youseiou	山岸凉子	1.0
誤接続/別題	2	yuu-gi-ou-5ds	yuu-gi-ou-5ds|yuugiou-faibudiizu	あああ|佐藤雅史	0.67
誤接続/別題	2	zipang	jipang|zipang	かわぐちかいじ|速水翼	1.0
誤接続/別題	3	aoi-shundou	akai-shundou|aoi-shundou|shundou	園山二美	1.0
誤接続/別題	3	astaroth-2017	astaroth|astaroth-2003|astaroth-2017	魔夜峰央	1.0
誤接続/別題	3	aya	aya|aya-1999|aya-2004	やまねあやの|克・亜樹|速水翼	0.5
誤接続/別題	3	bidan-no-dendou-dii-ekkusu	bidan-no-dendou-dii-ekkusu|bidan-no-dendou-zetto|binan-no-dendou	神葉理世	1.0
誤接続/別題	3	boys-be-2nd-season	boys-be|boys-be-2nd-season|boys-be-itabashi-2010	玉越博幸	1.0
誤接続/別題	3	diamond-no-a-act-2	diamond-no-a-act-2|diamond-no-a-act-2-gaiden-teitou-vs-ugumori|diamond-no-ace-act-tsuu	寺嶋裕二	0.32
誤接続/別題	3	dragon-quest-dai-no-daibouken	dragon-quest|dragon-quest-dai-no-daibouken|dragon-quest-daino-daibouken	三条陸|堀井雄二|稲田浩司	1.0
誤接続/別題	3	fuufu-partner-kankei-mo-sore-de-ii	fuufu-partner-kankei-mo-sore-de-ii|sore-de-ii|yappari-sore-de-ii	水島広子|細川貂々	1.0
誤接続/別題	3	gegege-no-kitarou	gegege-no-kitarou|gegege-no-kitarou-1987|saishinban-gegege-no-kitarou	ラルフ・マッカーシー|松本しげのぶ|水木しげる	0.27
誤接続/別題	3	gekiman-2015	gekiman-2015|gekiman-devilman-no-show|gekiman-special	ダイナミックプロダクション|永井豪|永井豪＆ダイナミックプロ	1.0
誤接続/別題	3	genjuu-no-kuni-monogatari	genjuu-no-kuni-monogatari|genjuu-no-kuni-monogatari-1995|genjuu-no-kuni-monogatari-1997	Team猫十字社|猫十字社	1.0
誤接続/別題	3	gift-2002	gift-2002|gift-2012|gift-hirose-2003	中村かなこ|塩森恵子|秋本尚美	1.0
誤接続/別題	3	gold-1997	gold|gold-1997|gold-2004	山本隆一郎|藤田和子|魔木子	0.89
誤接続/別題	3	gundam-exa-2013	gundam-exa|gundam-exa-2013|gundam-exa-vs	しな|ときた洸一|鴇田洸一	1.0
誤接続/別題	3	home	home|home-sugihara-2010|home-ueda-2000	上田倫子|内田春菊|杉原マチコ	1.0
誤接続/別題	3	kenshuusei-jidai	ajia-he-no-michi|kenshuusei-jidai|senri-no-michi-mo	渡辺敏	1.0
誤接続/別題	3	kowai-hon	kowai-hon|umezu-kazuo-kowai-hon|zoku-kowai-hon	楳図かずお	1.0
誤接続/別題	3	kyuuso-wa-cheese-no-yume-o-miru-all-in-wan-edition	kyuuso-wa-cheese-no-yume-o-miru|kyuuso-wa-cheese-no-yume-o-miru-all-in-wan-edition|kyuuso-wa-cheese-no-yume-o-miru-reboot-edition	水城せとな	1.0
誤接続/別題	3	majime-ni-danjo-kousai	majime-ni-danjo-kousai|soredemo-majime-ni-danjo-kousai|yappari-majime-ni-danjo-kousai	桃伊いづみ	0.21
誤接続/別題	3	mayonaka-no-jewel	mayonaka-no-jewel|motto-mayonaka-no-jewel|motto-motto-mayonaka-no-jewel	麻見雅	1.0
誤接続/別題	3	neko-monster-fumifumi	neko-monster|neko-monster-fumifumi|neko-monster-nyaao	ぱんだにあ	1.0
誤接続/別題	3	neko-youkai-mugyutsu	neko-youkai|neko-youkai-gorogoro|neko-youkai-mugyutsu	ぱんだにあ	1.0
誤接続/別題	3	oz-itsuki-2004	oz|oz-itsuki-2004|oz-manual	刻夜セイゴ|樹なつみ	1.0
誤接続/別題	3	pocket-monsters-special-2014	pocket-monsters|pocket-monsters-special|pocket-monsters-special-2014	山本サトシ|日下秀憲|真斗	1.0
誤接続/別題	3	ranpushieedo	goburinzu-rai|ranpushieedo|satanikku-buranchi	坂田靖子	1.0
誤接続/別題	3	reset	reset|reset-2005|reset-2009	山本まゆり|筒井哲也|高橋ユキ	1.0
誤接続/別題	3	saishuu-sensou	juran|saishuu-sensou|saishuu-sensou-densetsu	山田ミネコ	1.0
誤接続/別題	3	sarutobi-etsu-chan	okashina-okashina-okashina-ano-ko-sarutobi-etsu-chan|okashina-okashina-okashina-anoko-sarutobi-etsu-chan|sarutobi-etsu-chan	石ノ森章太郎	1.0
誤接続/別題	3	takeru	takeru|takeru-1984|takeru-nakashima-2006	中島かずき|唐々煙|寺沢武一	1.0
誤接続/別題	3	tales-of-destiny	tales-of-destiny|tales-of-destiny-inomata-2000|tales-of-destiny2	Makoto2号|啄木鳥しんき|杉基イクラ	1.0
誤接続/別題	3	totoaruhi-no-kuru	aru-nichi-toaru-nichi-totoaru-nichi-no-kuru|toaru-hi-no-kuru|totoaruhi-no-kuru	竹本泉	1.0
誤接続/別題	3	trinity-seven	trinity-7-shichinin-no-masho-tsukai|trinity-seven|trinity-seven-anastasia-seiden	Bcoca|奈央晃徳	0.21
誤接続/別題	4	akai-hitsuji-no-kokuin	akai-hitsuji-no-kokuin|hakushaku-cain|kafuka|wasure-rareta-juliet	由貴香織里	1.0
誤接続/別題	4	chou-dai-mahou-touge	chou-chou-chou-daimahoutouge|chou-chou-dai-mahou-touge|chou-dai-mahou-touge|dai-mahou-touge	大和田秀樹	1.0
誤接続/別題	4	doraemon-2013	doraemon|doraemon-1994|doraemon-2002|doraemon-2013	手塚企画|朝松健|藤子・F・不二雄	1.0
誤接続/別題	4	face-osaka-1998	face|face-1992|face-2019|face-osaka-1998	ゆきもりりょう|サカワキヒロ太|六本木綾	1.0
誤接続/別題	4	gifuu-doudou	gifuu-doudou|gifuu-doudou-kaze-no-gunshi-kuroda-kanbei|gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari|gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	出口真人|山田俊明|武村勇治	1.0
誤接続/別題	4	jun-1983	jun-1983|jun-1997|jun-2012|jun-ishinomori-2003	森下裕美|石ノ森章太郎|紡木たく	1.0
誤接続/別題	4	june-pride	bibou-no-series|hana-chiru-yoru-ni-kimi-o-omoeba|june-pride|kisetsu-hazure-no-kaidan	おおや和美	1.0
誤接続/別題	4	king	gi-king|king|king-shinmura-2002|king-z	しんむらけーいちろー|一峰大二|河惣益巳	1.0
誤接続/別題	4	kouun-ryuusui-nobunaga	kouun-ryuusui|kouun-ryuusui-jo-fuku|kouun-ryuusui-jofuku-nobunaga|kouun-ryuusui-nobunaga	本宮ひろ志	1.0
誤接続/別題	4	mikke-neko-banashi	mikke-neko-banashi|neko-banashi-pandania-2020|nyanto-neko-banashi|yotsu-neko-banashi	ぱんだにあ	1.0
誤接続/別題	4	mobile-suit-gundam-f90	mobile-suit-gundam-f90|mobile-suit-gundam-seed|mobile-suit-gundam-seed-destiny|mobile-suit-gundam-zz	中原れい|富野由悠季|岩瀬昌嗣	1.0
誤接続/別題	4	mottox3-anata-no-omocha	anata-no-omocha|motto-2-kai-anata-no-omocha|motto-3-kai-anata-no-omocha|mottox3-anata-no-omocha	長江朋美	1.0
誤接続/別題	4	ninku-kazu-2006	ninku-kazu-2006|ninkuu|ninkuu-2nd-stage|ninkuu-zero	桐山光侍	1.0
誤接続/別題	5	koha-ace	gudaguda-ace|koha-ace|koha-ace-collection|koha-ace-ekkusupii|koha-ace-iiekkusu	経験値	1.0
誤接続/別題	5	oji-san-to-marshmallow	googoo-oji-san-to-marshmallow|motto-oji-san-to-marshmallow|oji-san-to-marshmallow|souda-oji-san-to-marshmallow|yondara-oji-san-to-marshmallow	音井れこ丸	1.0
誤接続/別題	7	15sai	15sai|16-sai-kiss|17sai|19sai|27sai|sai-1998|sai-2002	あさぎ龍|いのまたむつみ|わたなべ志穂	0.67
誤接続/別題	7	wakusei-nendaiki-gekkan-sachisachi	ao-wakusei-nendaiki|kan-wakusei-nendaiki|sui-wakusei-nendaiki|wakusei-nendaiki|wakusei-nendaiki-gekkan-sachisachi|wakusei-nendaiki-ruunyan|zoku-sui-wakusei-nendaiki	大石まさる	1.0
誤接続/別題	8	oryunposu-no-kamigami	aporon-no-kanashimi|eiyuu-herakuresu|higeki-no-ou-oidipusu|manga-girishia-shinwa|meikai-no-orufeusu|odeyusseusu-no-koukai|oryunposu-no-kamigami|toroi-no-mokuba	里中満智子	1.0
誤接続/別題	8	umimachi-diary	ano-hi-no-aozora|hi-no-ataru-sakamichi|kaerenai-futari|koi-to-junrei|mahiru-no-tsuki|semishigure-no-yamu-koro|shigatsu-ni-nareba-kanojo-wa|umimachi-diary	吉田秋生	0.88
誤接続/別題	13	hanitarou-desu	10-ko-iri-hani-tarou-desu|3-banme-no-hani-tarou-desu|7-banme-no-hani-tarou-desu|boyoyon-hani-tarou-desu|curry-aji-hani-tarou-desu|hanitarou-desu|irasshaimase-hani-tarou-desu|jinrui-metsubou-made-hani-tarou-desu|koryamata-hani-tarou-desu|maa-iijan-hani-tarou-desu|nannokotcha-hani-tarou-desu|upupu-hani-tarou-desu|yappari-hani-tarou-desu	前嶋昭人	1.0
