class	n_pages	canonical	pages	authors	vol_overlap
同名異作/版	2	yatsuhakamura-1996	yatsuhakamura|yatsuhakamura-1996	Jet|影丸穣也	0.5
同名異作/版	2	yume-de-aetara-2000	yume-de-aetara-1985|yume-de-aetara-2000	小椋冬美|山花典之	0.94
同名異作/版	2	zero-matsumoto	zero-1996|zero-matsumoto	冬目景|松本大洋	0.33
同名異作/版	3	comic-chuurippu-1988	comic-chuurippu|comic-chuurippu-1988|comic-tulip	いまざきいつき|おおや舞|眠田直	0.71
同名異作/版	3	doll-2009	doll-1996|doll-2000|doll-2009	岡戸達也|惣領冬実|緒方剛志	1.0
同名異作/版	3	esper-mami-1996	esper-mami|esper-mami-1996|esper-mami-1996-2	藤子・F・不二雄|藤子不二雄	1.0
同名異作/版	3	fire-emblem-1993	fire-emblem-1993|fire-emblem-fuyuki-1999|fire-emblem-nintendo-1996	うさ銀太郎|冬季ねあ|島田ひろかず	1.0
同名異作/版	3	genji-monogatari-miyagi-2010	genji-monogatari-2023|genji-monogatari-masaki-1983|genji-monogatari-miyagi-2010	Teamバンミカス|真崎春望|紫式部平安中期	1.0
同名異作/版	3	star-ocean-the-second-story	star-ocean-second-story|star-ocean-sekando-story|star-ocean-the-second-story	天麻灯|東まゆみ|魔神ぐり子	0.43
同名異作/版	4	gingatetsudou-no-yoru	ginga-tetsudou-no-yoru|ginga-tetsudou-no-yoru-2023|ginga-tetsudou-no-yoru-miyazawa-1992|gingatetsudou-no-yoru	Teamバンミカス|ますむらひろし|北原文野	1.0
同名異作/版	4	valkyrie-profile	valkyrie-profile|valkyrie-profile-2000|valkyrie-profile-2001|valkyrie-profile-2001-2	祥寺はるか|藍山恵|金田一蓮十郎	0.57
同名異作/版	4	x-men-1994-5	x-men|x-men-1994|x-men-1994-3|x-men-1994-5	やすえこーじ|ヒグチヒロシ|中原れい	0.77
同名異作/版	5	joker	joker|joker-1998|joker-1998-3|joker-2012|joker-yamane-1997	上杉可南子|山根和俊|河奈マリオ	0.43
同名異作/版	5	shin-mobile-senki-gundam-wing-1996-3	shin-mobile-senki-gundam-daburyuu|shin-mobile-senki-gundam-wing|shin-mobile-senki-gundam-wing-1996|shin-mobile-senki-gundam-wing-1996-2|shin-mobile-senki-gundam-wing-1996-3	ときた洸一|みずき健|むっちりむうにい	0.5
同名異作/版	9	nippon-no-rekishi-2015-2	nippon-no-rekishi-2015-10|nippon-no-rekishi-2015-2|nippon-no-rekishi-2015-3|nippon-no-rekishi-2015-4|nippon-no-rekishi-2015-5|nippon-no-rekishi-2015-6|nippon-no-rekishi-2015-7|nippon-no-rekishi-2015-8|nippon-no-rekishi-2015-9	上原佶|吉崎観音|小川京美	1.0
誤接続/別題	2	24colors	24colors|colors-1992	千葉コズエ|麻生歩	1.0
誤接続/別題	2	3-bunnoichi-sanbunnoichi	3-bunnoichi-sanbunnoichi|sanbunnoichi-2017	千葉コズエ	0.25
誤接続/別題	2	4teen	14|4teen	楳図かずお|海埜ゆうこ	1.0
誤接続/別題	2	5-2000	5-2000|five	ふるかわしおり|芳原のぞみ	1.0
誤接続/別題	2	adventure-2030-gakuen	adventure-2030-gakuen|adventure2030-gakuen	みやた泰宏	1.0
誤接続/別題	2	aimu-namu	aimu-namu|i-m-namu	細野不二彦	0.33
誤接続/別題	2	akai-kami-no-shounen	akai-kami-no-shounen|akaikaminoshounen	山岸凉子	1.0
誤接続/別題	2	aku-no-hana-2010	aku-no-hana-2010|aku-no-hana-2011	押見修造	0.09
誤接続/別題	2	amefuri-hime-to-sabaku-ouji	amefuri-hime-to-sabaku-ouji|ningyo-hime-to-hangyojin-ouji	清原なつの	1.0
誤接続/別題	2	angel	angel|angel-1987	遊人|高瀬由香	0.86
誤接続/別題	2	angel-dust-neo	angel-dust-neo|angel-dust-neo-nanase-2003	七瀬葵	1.0
誤接続/別題	2	angelic-kanbaseeshon	angelic-kanbaseeshon|are-you-enemy	宮本佳野	1.0
誤接続/別題	2	aozora-kazoku	aozora-kazoku|aozora-kazoku-serekuto	芝しってる	0.5
誤接続/別題	2	apuroozukassai	apuroozukassai|buruuju	有吉京子	0.17
誤接続/別題	2	aquarium-2000	aquarium|aquarium-2000	須藤真澄	1.0
誤接続/別題	2	arc-the-lad-ii	arc-the-lad-2|arc-the-lad-ii	藤凪かおる|西川秀明	1.0
誤接続/別題	2	atashi-ni-yarasena-stj	atashi-ni-yarasena|atashi-ni-yarasena-stj	酒井美羽	1.0
誤接続/別題	2	bad-blood	bad-blood|bad-blood-1999	尾崎南|松森正	1.0
誤接続/別題	2	bakudan-1995	bakudan-1985|bakudan-1995	宮下あきら|本宮ひろ志	1.0
誤接続/別題	2	bakuten-hero-bureedaa-diijiei	bakuten-hero-bureedaa-diijiei|bakuten-hero-bureedaa-dj	おおせよしお	0.5
誤接続/別題	2	bamboo-blade-b-2009	bamboo-blade-b|bamboo-blade-b-2009	スタジオねこ|土塚理弘	1.0
誤接続/別題	2	banzai-highway	banzai-haiuei|banzai-highway	オサム|守村大	0.92
誤接続/別題	2	bara-no-kabin	bara-no-kabin|golden-lilac	萩尾望都	1.0
誤接続/別題	2	bastard	bastard|basutaado	岸間信明|萩原一至	0.22
誤接続/別題	2	batsuichi-trentaine	batsuichi-30ans|batsuichi-trentaine	小池田マヤ	0.5
誤接続/別題	2	bird	bird|bird-1994	かざま鋭二	0.12
誤接続/別題	2	blazblue	blazblue|bureiburuu	スメラギ|吉岡榊	1.0
誤接続/別題	2	boku-to-ohiru-o	boku-to-ohiru-o|inasaku	古谷実	1.0
誤接続/別題	2	botsu-chan-no-jidai-1989	botsu-chan-no-jidai|botsu-chan-no-jidai-1989	谷口ジロー|関川夏央	0.8
誤接続/別題	2	brains-1997	brains|brains-1997	久保田眞二|伊藤智義	0.5
誤接続/別題	2	bunbuku-teii-potto-plus	bunbuku-tanuki-no-teii-party|bunbuku-teii-potto-plus	森長あやみ	1.0
誤接続/別題	2	buyuuden	buyuden|buyuuden	もりやまつる|満田拓也	1.0
誤接続/別題	2	c0de-breaker	c0de-breaker|code-breaker	上条明峰	0.54
誤接続/別題	2	cat-walk	cat-walk|catwalk	けろりん|佐多みさき	1.0
誤接続/別題	2	change-kitamura-2005	change-2018|change-kitamura-2005	冨山玖呂|曽田正人|篠塚ひろむ	1.0
誤接続/別題	2	chibi-hontou-ni-atta-waraeru-hanashi	chibi-hontou-ni-atta-waraeru-hanashi|chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	チャールズ後藤|桜木さゆみ|梅宮あいこ	0.05
誤接続/別題	2	chocolat-no-mahou-memorial-collection	chocolat-no-mahou-memorial-collection|chocolat-no-mahou-perfect-collection	みづほ梨乃	1.0
