slug	title	英化候補run
0-kara-hajimeru-office-rabu	0から始めるオフィスラブ	オフィスラブ→office-love
007-sakusen	007サンダーボール作戦	サンダーボール→thunder-ball
0sen-champion	0戦チャンピオン	チャンピオン→champion
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	クラス→class
1-hongo-ga-hanasenai-roshiajin-bishoujo-tennyuusei-ga-tayoreru-no-wa-tagengo-master-no-ore-hitori	日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	マスター→master
1-nen-a-gumi-no-monster	1年A組のモンスター	モンスター→monster
1-nen-ichikumi-uchi-no-class-no-joshi-ga-yabai	1年1組うちのクラスの女子がヤバい	クラス→class
17-street	17ストリート	ストリート→street
2-2-game	2×2ゲーム	ゲーム→game
2-bunnoichi-honeymoon	1/2ハネムーン	ハネムーン→honeymoon
2-nen-1-kumi-uchi-no-class-no-joshi-ga-yabai	2年1組うちのクラスの女子がヤバい	クラス→class
2050-raishisu-2050	クライシス2050	クライシス→crisis
2bun-no-1-heart	1/2ハート	ハート→heart
2nd-house	2ndハウス	ハウス→house
3-daa-surii	サンダー3	サンダー→thunder
3-jou-lovers-furu-count	球場ラヴァーズ3-2	ラヴァーズ→lovers
3gatsu-no-lion	3月のライオン	ライオン→lion
4-n-megami-tensei-devil-children-koma-gyagu-battle	真・女神転生デビルチルドレン 4コマギャグバトル	デビルチルドレン→devil-children
47-todou-fuken-nandemo-rankingu	47都道府県なんでもランキング!	ランキング→ranking
47-todoufuken-henteko-rankingu	47都道府県へんてこランキング!	ランキング→ranking
47-todoufuken-tokoton-rankingu	47都道府県とことんランキング!	ランキング→ranking
47-todoufuken-tondemo-rankingu	47都道府県とんでもランキング!	ランキング→ranking
4ldk-company	4LDKカンパニー	カンパニー→company
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	ストーリー→story
69-min-police-69	市民ポリス69	ポリス→police
6nen-3kumi-star-na-yatsura	6年3組スターなやつら	スター→star
7-nwairudo7	新ワイルド7	ワイルド→wild
70s-ai-life	70's愛ライフ	ライフ→life
7200-byou-no-romance	7200秒のロマンス	ロマンス→romance
77-rubaa-77	シルバー77	シルバー→silver
8-man-vs-cyborg-009	8マンvs(バーサス)サイボーグ009	サイボーグ→cyborg
99-suikan-super-99	潜水艦スーパー99	スーパー→super
999-dokutaa	999ドクター	ドクター→doctor
aaru-teii-ee-sousha-wa-game-sekai-kara-kaerenai	RTA走者はゲーム世界から帰れない	ゲーム→game
abunai-doctor	あぶないドクター	ドクター→doctor
abunai-paradise	あぶない❤パラダイス	パラダイス→paradise
action-daimaou	アクション大魔王	アクション→action
action-kamen	アクション仮面	アクション→action
ad-boy	ADボーイ	ボーイ→boy
adeyaka-prince	艶やかプリンス	プリンス→prince
adventure-2030-gakuen	アドベンチャー2030学園	アドベンチャー→adventure
adventure-kid	アドベンチャーkid	アドベンチャー→adventure
aho-jiru-reinboo	アホ汁レインボー	レインボー→rainbow
ai-no-memory	愛NOメモリー	メモリー→memory
ai-no-mystery-senshuu	愛のミステリー 選集	ミステリー→mystery
aimai-blue-beast	曖昧ブルー・ビースト	ブルー・ビースト→blue-beast
aimaina-green	曖昧なグリーン	グリーン→green
airin-dream	あいりんドリーム	ドリーム→dream
aishite-wolf-boy	AIしてウルフboy	ウルフ→wolf
aishiteru-game-o-owarasetai	愛してるゲームを終わらせたい	ゲーム→game
ajisai-planet	あじさい・プラネット	・プラネット→planet
aka-chan-ni-okuru-wedding	赤ちゃんに贈るウェディング	ウェディング→wedding
aka-pink	あかピンク	ピンク→pink
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	ミステリー→mystery
akage-no-lion	赤毛のライオン	ライオン→lion
akatsuki-ni-tatsu-lion	暁に立つライオン	ライオン→lion
akikazeiro-no-diamond	秋風色のダイヤモンド	ダイヤモンド→diamond
akishima-suicide-club	昭島スーサイド☆クラブ	クラブ→club
akiyama-san-no-tori-life	秋山さんのとりライフ	ライフ→life
akugyou-hunter	悪業ハンター!!	ハンター→hunter
akuma-game	悪魔★ゲーム	ゲーム→game
akumatachi-no-paradise	悪魔たちのパラダイス	パラダイス→paradise
akumu-nightmare	悪夢―ナイトメア―	ナイトメア→nightmare
akuryoumu	悪霊夢<ナイトメア>	ナイトメア→nightmare
akutou-ikka-no-manamusume-tenseisaki-mo-otome-game-no-gokudou-reijou-deshita-saijoukyuu-rank-no	悪党一家の愛娘、転生先も乙女ゲームの極道令嬢でした。～最上級ランクの悪役さま、その溺愛は不要です!～@COMIC	ゲーム→game
akuyaku-reijou-94-kaime-no-tensei-wa-heroine-rashii	悪役令嬢、94回目の転生はヒロインらしい。	ヒロイン→heroine
akuyaku-reijou-ga-sei-heroine-o-kudoki-otosu-hanashi	悪役令嬢が正ヒロインを口説き落とす話。	ヒロイン→heroine
akuyaku-reijou-ni-tensei-shippai-shite-kachi-heroine-ni-natte-shimaimashita	悪役令嬢に転生失敗して勝ちヒロインになってしまいました	ヒロイン→heroine
akuyaku-reijou-to-shite-heroine-to-konyakusha-o-kuttsukeyou-to-omou-no-desu-ga-umaku-ikimasen	悪役令嬢としてヒロインと婚約者をくっつけようと思うのですが、うまくいきません…。	ヒロイン→heroine
akuyaku-reijou-wa-heroine-o-ijimete-iru-baai-dewa-nai	悪役令嬢はヒロインを虐めている場合ではない	ヒロイン→heroine
akuyaku-reijou-wa-isekai-tensei-shitemo-otome-game-o-tsukuritai	悪役令嬢は異世界転生しても乙女ゲームをつくりたい!	ゲーム→game
amelia-no-koukiteki-romance	アメーリアの好奇的ロマンス	ロマンス→romance
anata-ga-paradise	あなたがパラダイス	パラダイス→paradise
android-na-koi-o-suru	アンドロイドな恋をする	アンドロイド→android
android-v	アンドロイドV	アンドロイド→android
android-wa-ai-no-yume-o-miruka	アンドロイドは愛の夢をみるか?	アンドロイド→android
android-wa-keiken-ninzuu-ni-hairimasu-ka	アンドロイドは経験人数に入りますか??	アンドロイド→android
angel-1987	エンジェル	エンジェル→angel
angel-1988	エンジェル	エンジェル→angel
angel-blood-abeno-2013	A+B-エンジェル+ブラッド-	エンジェル→angel; ブラッド→blood
angel-blood	エンジェル・ブラッド	エンジェル・ブラッド→angel-blood
angel-blue-2000	エンジェル・ブルー	エンジェル・ブルー→angel-blue
angel-blue-hiura-1988	エンジェル・ブルー	エンジェル・ブルー→angel-blue
angel-blue	エンジェルブルー	エンジェルブルー→angel-blue
angel-boy	エンジェル・ボーイ	エンジェル・ボーイ→angel-boy
angel-densetsu	エンジェル伝説	エンジェル→angel
angel-dust-neo	エンジェル/ダスト	エンジェル→angel
angel-engine	エンジェル・エンジン	エンジェル・エンジン→angel-engine
angel-heart-2nd-season	エンジェル・ハート 2ndシーズン	エンジェル・ハート→angel-heart
angel-heart	エンジェル・ハート	エンジェル・ハート→angel-heart
angel-kiss	エンジェルKiss	エンジェル→angel
angel-koukou	エンジェル高校	エンジェル→angel
angel-nisshi	エンジェル日誌	エンジェル→angel
angel-onayami-soudanjo	エンジェルお悩み相談所	エンジェル→angel
angel-police	えんじぇるポリス	ポリス→police
angel-syndrome	エンジェル❤シンドローム	エンジェル→angel
angel-wars-ueda-1995	エンジェル★ウォーズ	エンジェル→angel; ウォーズ→wars
angel-wars	エンジェルウォーズ	エンジェルウォーズ→angel-wars
ani-ga-rival	兄がライバル!	ライバル→rival
ani-world	兄ワールド	ワールド→world
ankoku-kishidanchou-to-seishun-girl	暗黒騎士団長と青春ガール	ガール→girl
ano-musume-wa-hakui-no-mermaid	あの娘は白衣のマーメイド❤	マーメイド→mermaid
anotoki-tasukete-itadaita-monster-musume-desu	あのとき助けていただいたモンスター娘です。	モンスター→monster
aoitori	青い鳥-ブルーバード-	ブルーバード→blue-bird
aoko-no-paradise	青子のパラダイス	パラダイス→paradise
aori-kei-game-haishinsha-hatachi-haishin-no-kiriwasure-20-iihito-bare-suru	煽り系ゲーム配信者〈20歳〉、配信の切り忘れによりいい人バレする。	ゲーム→game
apple-pie-story	アップルパイ❤ストーリー	ストーリー→story
aq-lovers	AQラヴァーズ!	ラヴァーズ→lovers
arakawa-under-za-bridge	荒川アンダー ザ ブリッジ	ブリッジ→bridge
arashi-no-jiei-boy-buttobi-fight	嵐のJボーイ ぶっとび闘人	ボーイ→boy
arashi-to-doctor	嵐とドクター	ドクター→doctor
arashino-champion	嵐のチャンピオン	チャンピオン→champion
asami-mitsuhiko-mystery-ando-ryojou-sasupensu	浅見光彦ミステリー＆旅情サスペンス	ミステリー→mystery; サスペンス→suspense
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	ミステリー→mystery; サスペンス→suspense
ashihama-family-keikaku	あしはまファミリー計画	ファミリー→family
ashita-wa-docchi-da-kyou-girl	明日はどっちだ今日ガール	ガール→girl
ashita-wa-happy-dog	あしたはハッピードッグ	ハッピードッグ→happy-dog
asoko-no-project	アソコのプロジェクト	プロジェクト→project
at-home	@ホーム	ホーム→home
atarashii-game-hajimemashita-comic	新しいゲーム始めました。@COMIC	ゲーム→game
atashi-no-lion	あたしのライオン	ライオン→lion
atashi-no-pink-ga-afurechau	あたしのピンクがあふれちゃう	ピンク→pink
atchi-kocchi-tamagotchi-town-hyper	あっちこっちたまごっちタウンはいぱー	タウン→town
atchi-kocchi-tamagotchi-town	あっちこっちたまごっちタウン	タウン→town
automatic-angel	オートマチック★エンジェル	エンジェル→angel
ayakashi-hunter	あやかしハンター	ハンター→hunter
b-b-fish	B.B.フィッシュ	フィッシュ→fish
baajin-road	ばあじんロード	ロード→road
baberushiki-kami-girl	バベル式神ガール	ガール→girl
baby-g	ベイビーG	ベイビー→baby
baby-god-zangyaku-to-junjou-no-mejiedo-sama	ベイビーゴッド残虐と純情のメジェドさま	ベイビーゴッド→baby-god
baby-kisu-o-douzo	ベイビー☆キスをどうぞ	ベイビー→baby
baby-no-tamago	ベイビーの卵	ベイビー→baby
baby-ote-o-douzo	ベイビー☆お手をどうぞ	ベイビー→baby
baby-shachuu-hackers	ベイビー車中ハッカーズ	ベイビー→baby
baby-wars	ベイビー・ウォーズ	ベイビー・ウォーズ→baby-wars
bad-end-mokuzen-no-heroine-ni-tensei-shita-watashi-konsei-dewa-love-suru-tsumori-ga-cheat-na-ani-ga	バッドエンド目前のヒロインに転生した私、今世では恋愛するつもりがチートな兄が離してくれません!?@COMIC	ヒロイン→heroine
baibai-earth	ばいばい、アース	アース→earth
baiorensuna-partner	バイオレンスなパートナー	パートナー→partner
baito-de-wizard	バイトでウィザード	ウィザード→wizard
bakugan-master-honoo-moetaroo	爆丸マスター炎もえたろー	マスター→master
bakuretsu-boy	爆裂ボーイ	ボーイ→boy
bakuretsu-hunter	爆れつハンター	ハンター→hunter
bakusou-police	爆走ポリス	ポリス→police
ballpark-de-tsukamaete	ボールパークでつかまえて!	ボールパーク→ball-park
bank-after5	バンクafter5	バンク→bank
bara-no-lady-to-shuubun	薔薇のレディと醜聞	レディ→lady
barairo-company	バラ色カンパニー	カンパニー→company
barairo-guardian	薔薇色ガーディアン	ガーディアン→guardian
batchon-girls	ばっちょんガールズ	ガールズ→girls
battle-club	バトルクラブ	バトルクラブ→battle-club
battle-fish	バトルフィッシュ	バトルフィッシュ→battle-fish
battle-girl-ai	バトルガール藍	バトルガール→battle-girl
battle-girl	バトルガール	バトルガール→battle-girl
battle-heart	バトル・ハート	バトル・ハート→battle-heart
battle-thunder	バトルサンダー	バトルサンダー→battle-thunder
beast-children	ビーストチルドレン	ビーストチルドレン→beast-children
beast-master-1996	ビースト マスター	ビースト→beast; マスター→master
beast-master	ビーストマスター	ビーストマスター→beast-master
beast-wars-2-2023	ビーストウォーズ2	ビーストウォーズ→beast-wars
beast-wars-2	ビーストウォーズⅡ	ビーストウォーズ→beast-wars
beauty-beast	ビューティ ビースト	ビューティ→beauty; ビースト→beast
beauty-otoko	ビューティ男	ビューティ→beauty
bengo-star	ベンゴ☆スター	スター→star
beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	ソウル→soul
bf-boys	BFボーイズ	ボーイズ→boys
bibiddo-kids-company	V-K☆カンパニー	カンパニー→company
bii-smile	美スマイル!	スマイル→smile
biieru-game-no-shujinkou-no-otouto-de-aru-koto-ni-kigatsukimashita	BLゲームの主人公の弟であることに気がつきました	ゲーム→game
biikyuu-paradise	B級パラダイス!	パラダイス→paradise
bijin-gahou-wonder	美人画報ワンダー	ワンダー→wonder
bijutsushitsu-no-monsters	美術室のモンスターず	モンスター→monster
binkan-idol-to-kaikan-ghost	敏感アイドルと快感ゴースト	ゴースト→ghost
binkan-usagi-road	ビンカン・うさぎ・ロード	・ロード→road
bird-1992	バード	バード→bird
bird-black-maaketto	バード	バード→bird
bird-black-market	バード BLACK MARKET	バード→bird
bird-jankai-angel-vs-tensai-magician	バード 雀界天使VS天才魔術師	バード→bird
bird-saikyou-bainin-vs-tensai-magician	バード 最凶雀士VS天才魔術師	バード→bird
bird-sensei-wa-sugoirashii	バード先生はすごいらしい	バード→bird
bird	バード	バード→bird
bishibashi-junjou-boy	ビシバシ純情ボーイ	ボーイ→boy
biyaku-cafe	媚薬カフェ	カフェ→cafe
bk-woman	BK.ウーマン	ウーマン→woman
bl-ero-mangaka-to-shoujo-mangaka-to-horror-mangaka-no-tadareta-nichijou	BLエロ漫画家と少女漫画家とホラー漫画家のただれた日常	ホラー→horror
black-gakkou-ni-tsutometeshimatta-sensei	ブラック学校に勤めてしまった先生	ブラック→black
black-galaxy-6	ブラックギャラクシー6	ブラックギャラクシー→black-galaxy
black-geinou-jimusho-desu-ga-nanika	ブラック芸能事務所ですが何か?	ブラック→black
black-heart-star	ブラックハートスター	ブラックハートスター→black-heart-star
black-kanojo	ブラック彼女	ブラック→black
black-kigyou-no-shine-ga-neko-ni-natte-jinsei-ga-kawatta-hanashi-mofuta-kun-no-baai	ブラック企業の社員が猫になって人生が変わった話〈モフ田くんの場合〉	ブラック→black
black-kokka-o-tsuihousareta-saretakedo-zenjidou-eirei-shoukan-ga-aru-kara-nanimo-komaranai	ブラック国家を追放されたけど〈全自動・英霊召喚〉があるから何も困らない。	ブラック→black
black-kousoku	ブラック校則	ブラック→black
black-madougushi-guild-o-tsuihousareta-sareta-watashi-oukyuu-majutsushi-to-shite-hirowareru	ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる	ブラック→black
black-na-kishidan-no-dorei-ga-white-na-boukensha-guild-ni-hikinukarete-esuranku-ni-narimashita	ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました	ブラック→black; ホワイト→white
black-rock-shooter-innocent-soul	ブラック★ロックシューターイノセントソウル	ブラック→black
black-shoukai-henkirou	ブラック商会変奇郎	ブラック→black
black-yome-ni-yoroshiku	ブラック嫁によろしく!	ブラック→black
blackbird	ブラックバード	ブラックバード→black-bird
blood-soul	ブラッドソウル	ブラッドソウル→blood-soul
blue-bird-blue	ブルーバードブルー	ブルーバードブルー→blue-bird-blue
blue-blue-soshite-blues	ブルーブルーそしてブルース	ブルーブルー→blue-blue
blue-friend	ブルーフレンド	ブルーフレンド→blue-friend
blue-moon-1991	ブルー・ムーン	ブルー・ムーン→blue-moon
blue-moon-makiko	ブルームーン	ブルームーン→blue-moon
blue-na-hibi-ni-oboresou	ブルーな日々におぼれそう	ブルー→blue
blue-na-kareshi-ni-akai-bara	ブルーな彼氏に赤いバラ	ブルー→blue
blue-school-park	空色スクールパーク	スクールパーク→school-park
blue-world-2013	ブルーワールド	ブルーワールド→blue-world
blue-world	ブルー・ワールド	ブルー・ワールド→blue-world
bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia	ぼっち博士とロボット少女の絶望的ユートピア	ロボット→robot
body-soul	ボディ＆ソウル	ボディ→body; ソウル→soul
boku-dake-no-princess	僕だけのプリンセス	プリンセス→princess
boku-no-diamond-star	僕のダイヤモンド・スター	ダイヤモンド・スター→diamond-star
boku-no-giniro-house	ぼくの銀色ハウス	ハウス→house
boku-no-robot	僕のロボット	ロボット→robot
boku-no-seito-wa-vampire	ぼくの生徒はヴァンパイア	ヴァンパイア→vampire
boku-no-super-hero	僕のスーパーヒーロー	スーパーヒーロー→super-hero
boku-star	僕×スター	スター→star
bokura-no-hikari-club	ぼくらの☆ひかりクラブ	クラブ→club
bokura-no-star-girl	ぼくらのスタア☆ガール	ガール→girl
bokusatsu-pink	撲殺ピンク	ピンク→pink
bone	ボーン	ボーン→bone
bonkotsu-shinpei-no-monster-life	凡骨新兵のモンスターライフ@COMIC	モンスターライフ→monster-life
bonnou-class	煩悩クラス	クラス→class
boorupaaku-e-youkoso	ボールパークへようこそ	ボールパーク→ball-park
boy-friend	ボーイフレンド	ボーイフレンド→boy-friend
boy-na-kimi	ボーイな君	ボーイ→boy
boy-x-meet-x-girl	ボーイ×ミーツ×ガール	ボーイ→boy; ガール→girl
boy-yanagisawa	ボーイ	ボーイ→boy
boyfriend-17	ボーイフレンド17	ボーイフレンド→boy-friend
boyfriend-girlfriend	ボーイフレンドガールフレンド	ボーイフレンドガールフレンド→boy-friend-girl-friend
boyfriend-no-jouken	ボーイフレンドの条件	ボーイフレンド→boy-friend
boyfriend-yamada-2009	ボーイフレンド	ボーイフレンド→boy-friend
boyfriend	ボーイフレンド	ボーイフレンド→boy-friend
boys-1986	ボーイズ	ボーイズ→boys
boys-girl	ボーイズ・ガール	ボーイズ・ガール→boys-girl
boys-life	ボーイズライフ	ボーイズライフ→boys-life
boys-love-2016	ボーイズラブ!	ボーイズラブ→boys-love
boys-make-up	ボーイズ★メイクアップ	ボーイズ→boys
bozu-life	ボーズ☆ライフ!	ライフ→life
break-cafe	ブレイク☆カフェ	カフェ→cafe
brother-2013	ブラザー	ブラザー→brother
brother-jingi	ブラザー仁義	ブラザー→brother
brother-sun-sister-moon	ブラザー・サン シスター・ムーン	シスター・ムーン→sister-moon
bukiyouna-spy	不器用なスパイ	スパイ→spy
bukkafe	ぶっカフェ!	カフェ→cafe
bullet-fang	バレット×ファング	ファング→fang
bura-girl	ぶらガール	ガール→girl
buruubaado-5	ブルーバード5	ブルーバード→blue-bird
but-bad-boys	But,badボーイズ!	ボーイズ→boys
butchake-nurse	ぶっちゃけナース	ナース→nurse
butsu-girl	仏ガール	ガール→girl
butto-bird	ぶっとバード	バード→bird
cafe-chan-to-bureeku-time	カフェちゃんとブレークタイム	カフェ→cafe
cafe-de-kafi-o	カフェでカフィを	カフェ→cafe
cafe-de-yoku-kakatte-iru-jieepoppu-no-bosanova-kabaa-o-utau-onna-no-isshou	カフェでよくかかっているJ-POPのボサノヴァカバーを歌う女の一生	カフェ→cafe
cafe-meruhen	カフェめるへん	カフェ→cafe
cafe-stella-to-shinigami-no-chou	喫茶(カフェ)ステラと死神の蝶	カフェ→cafe
captain-2	キャプテン2	キャプテン→captain
captain-donkabe	キャプテンどんかべ	キャプテン→captain
captain-earth	キャプテン・アース	キャプテン・アース→captain-earth
captain-ginzaru-kun	キャプテンぎんざる君!!	キャプテン→captain
captain-ken	キャプテンKen	キャプテン→captain
captain-no-mae	「キャプテン」の前	キャプテン→captain
captain-tsubasa-boys-dream	キャプテン翼BOYS DREAM	キャプテン→captain
captain-tsubasa-kids-dream	キャプテン翼KIDS DREAM	キャプテン→captain
captain-tsubasa-memories	キャプテン翼MEMORIES	キャプテン→captain
captain-tsubasa-rising-san	キャプテン翼ライジングサン	キャプテン→captain
captain-tsubasa	キャプテン翼	キャプテン→captain
captain-ultra	キャプテンウルトラ	キャプテンウルトラ→captain-ultra
captain-yamada	キャプテン山田	キャプテン→captain
captain	キャプテン	キャプテン→captain
cardfight-v-master	カードファイトVマスター	マスター→master
cat-street	キャットストリート	キャットストリート→cat-street
cat-tantei-club	キャット探偵くらぶ	キャット→cat
cat	キャット	キャット→cat
catch-ball	キャッチ★ボール	ボール→ball
celebru-couple	セレブるカップル	カップル→couple
champion-futoshi	チャンピオン太	チャンピオン→champion
chance-1987	チャンス!	チャンス→chance
chance-1996	チャンス!	チャンス→chance
chance-o-choudai	チャンスをちょうだい!	チャンス→chance
chance	チャンス	チャンス→chance
character-ikusei-gakuen-tokubetsu-akuyaku-class	キャラクター育成学園特別悪役クラス	クラス→class
chicchai-nurse	ちっちゃいナース	ナース→nurse
chicchai-shima-no-dekkai-girl	ちっちゃい島のでっかいガール	ガール→girl
chiguhagu-planet	ちぐはぐプラネット	プラネット→planet
chiigo-to-maigo-no-akai-heart	チーゴと迷子の赤いハート	ハート→heart
chijou-wa-pocket-no-naka-no-niwa	地上はポケットの中の庭	ポケット→pocket
chikarawaza-no-sister	力技のシスター	シスター→sister
chikyu-number-v-7	地球ナンバーV-7	ナンバー→number
child-planet	チャイルド☆プラネット	プラネット→planet
children	チルドレン	チルドレン→children
chinken-dukas-no-mystery	珍犬デュカスのミステリー	ミステリー→mystery
chiseigaku-boys	地政学ボーイズ	ボーイズ→boys
chitei-no-crisis	地底のクライシス	クライシス→crisis
chiteki-de-cool-na-kouhai-bijo-ore-no-kaineko-ni-naru	知的でクールな後輩美女、俺の飼い猫になる	クール→cool
choko-beast	Choko・ビースト!!	・ビースト→beast
chokugeki-supais	直撃スパイS	スパイ→spy
chotto-bijin-dokutaa	ちょっと美人ドクター?	ドクター→doctor
chottodake-kaettekita-bakuretsu-hunter	ちょっとだけ帰ってきた爆れつハンター	ハンター→hunter
chottodake-mermaid	ちょっとだけ☆マーメイド	マーメイド→mermaid
chou-shinsei-monster-road	超新世モンスターロード	モンスターロード→monster-road
choudonkan-mobu-mob-heroine-ga-kouryaku-sarete-otome-game-ga-hajimarimasen-attomaaku-comic	超鈍感モブにヒロインが攻略されて、乙女ゲームが始まりません@COMIC	ヒロイン→heroine; ゲーム→game
chouhatsu-baby	挑発ベイビー	ベイビー→baby
choukadou-girl-6-bunnoichi	超可動ガール1/6	ガール→girl
choukadou-girls	超可動ガールズ	ガールズ→girls
choukeroro-gunsou-urutorakuuru-gekitou-keroro-robo-daikessen	超ケロロ軍曹UC(ウルトラクール)激闘!!ケロロロボ大決戦	ウルトラクール→ultra-cool
choumori-hontou-ni-atta-nama-souzetsu-love-trouble-esupii	超盛!本当にあった〔○生〕壮絶恋愛トラブルSP	トラブル→trouble
chounouryokuuoozu	超能力ウォーズ	ウォーズ→wars
chouzunou-silver-wolf	超頭脳シルバーウルフ	シルバーウルフ→silver-wolf
chuchu-hunter	Chu❤chuハンター	ハンター→hunter
chuubyou-gekihatsu-boy-neo	厨病激発ボーイNEO	ボーイ→boy
chuubyou-gekihatsu-boy-rerulili-2017	厨病激発ボーイ	ボーイ→boy
chuubyou-gekihatsu-boy	厨病激発ボーイ	ボーイ→boy
chuukin-wars	駐禁ウォーズ!!	ウォーズ→wars
cinderella-green	シンデレラ❤グリーン	グリーン→green
cinderella-wa-princess-no-yume-o-miruka	シンデレラはプリンセスの夢を見るか?	プリンセス→princess
city-na-ore-ga-ochiru-made	シティな俺がオチるまで	シティ→city
class-2-kanojo-ga-futari-iru	クラスに彼女が2人いる。	クラス→class
class-de-2-banme-ni-kawaii-onnanoko-to-tomodachi-ni-natta	クラスで2番目に可愛い女の子と友だちになった	クラス→class
class-de-ichiban-kawaii-ko	クラスで一番可愛い子	クラス→class
class-ga-isekai-shoukan-sareta-naka-ore-dake-nokottandesuga	クラスが異世界召喚されたなか俺だけ残ったんですが	クラス→class
class-mate	クラスめいと	クラス→class
class-mushoku-no-eiyuu-tan	クラス《無職》の英雄譚	クラス→class
class-ni-ijime-wa-arimasen	クラスにいじめはありません	クラス→class
class-no-bocchi-gal-o-omochikaeri-shite-seisokei-bijin-ni-shiteyatta-hanashi	クラスのぼっちギャルをお持ち帰りして清楚系美人にしてやった話	クラス→class
class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta	クラスの大嫌いな女子と結婚することになった。	クラス→class
class-no-inkya-ni-kareshi-no-sainou-ga-arisugiru	クラスの陰キャに彼氏の才能がありすぎる	クラス→class
class-no-inkya-ojou-sama-no-shitsuji-ni-narimashita	クラスの陰キャお嬢様の執事になりました	クラス→class
class-saiyasune-de-urareta-ore-wa-jitsu-wa-saikyou-parameter	クラス最安値で売られた俺は、実は最強パラメーター	クラス→class
class-shoukan-ni-makikomareta-kyoushi-hazure-skill-de-kikai-shoujo-o-shuuri-suru	クラス召喚に巻き込まれた教師、外れスキルで機械少女を修理する	クラス→class
class-teni-de-ore-dake-haburareta-node-doukyuusei-harem-tsukuru-koto-ni-shita	クラス転移で俺だけハブられたので、同級生ハーレム作ることにした	クラス→class
class-teni-ni-makikomareta-konbini-tenin-no-otsu-san-yuusha-niwa-hitsuyou-nakatta-amarimono-skill-o	クラス転移に巻き込まれたコンビニ店員のおっさん、勇者には必要なかった余り物スキルを駆使して最強となるようです。	クラス→class
class-teni-shitara-naze-ka-hikikomori-no-ore-made-isekai-ni-tsuretekaretandaga	クラス転移したら、なぜか引きこもりの俺まで異世界に連れてかれたんだが	クラス→class
class-zenin-de-maou-tensei	クラス全員で魔王転生!	クラス→class
club-game-club	CLUBゲーム倶楽部	ゲーム→game
code-black-hayabiki-no-lelouch	コードブラック速弾きのルルーシュ	コードブラック→code-black
colors-1992	COLORS カラーズ	カラーズ→colors
comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	ミステリー→mystery
comic-asami-mitsuhiko-honkaku-ryojou-mystery	コミック浅見光彦本格旅情ミステリー	ミステリー→mystery
comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー	ミステリー→mystery
comic-higashino-keigo-mystery	コミック東野圭吾ミステリー	ミステリー→mystery
comic-morimura-seiichi-mystery	コミック森村誠一ミステリー	ミステリー→mystery
comic-natsuki-shizuko-mystery	コミック夏樹静子ミステリー	ミステリー→mystery
comics-project-ako-2	コミックス プロジェクトA子2	プロジェクト→project
cool-inoue	クール井上	クール→cool
cool-na-fukushachou-no-amasugiru-aishikata	クールな副社長の甘すぎる愛し方	クール→cool
cool-na-futari-wa-mikake-ni-yoranai	クールなふたりは見かけによらない	クール→cool
cool-na-megami-sama-to-isshokenmei-ni-sundara-amayakashisugite-ponkotsu-ni-shiteshimatta-ken-ni	クールな女神様と一緒に住んだら、甘やかしすぎてポンコツにしてしまった件について	クール→cool
cool-na-shiiiioo-to-shanai-seiryaku-kekkon	クールなCEOと社内政略結婚!?	クール→cool
cosmos-no-saku-kisetsu	コスモスの咲く季節	コスモス→cosmos
cosmos-rakuenki	コスモス楽園記	コスモス→cosmos
counter-stop-no-go-inkyo-demon-san	カンスト村のご隠居デーモンさん	デーモン→demon
couple-no-ichaicha-ppoi-no	カップルのイチャイチャっぽいの!	カップル→couple
crazy-dai-amon-dou	クレイジー大亜門道	クレイジー→crazy
crazy-love-game	クレイジーLOVEゲーム	クレイジー→crazy; ゲーム→game
crazy-smile	クレイジースマイル	クレイジースマイル→crazy-smile
crisis-girls	クライシス・ガールズ	クライシス・ガールズ→crisis-girls
crisis	クライシス	クライシス→crisis
crystal-dragon	クリスタル☆ドラゴン	クリスタル→crystal; ドラゴン→dragon
crystal-eyes	クリスタルeyes	クリスタル→crystal
crystal-ojou-sama-wa-otokonoko	クリスタルお嬢様は男の子	クリスタル→crystal
crystal-rose	クリスタル・ローズ	クリスタル・ローズ→crystal-rose
curry-udon-tree	カレーうどんツリー	ツリー→tree
cute-beat-oshare-club	CUTE BEAT おしゃれクラブ!	クラブ→club
cyborg-0-zeronain-zerozero-gakuen-kiki-ippatsu	サイボーグ009 00学園危機一髪	サイボーグ→cyborg
cyborg-009-bgooparts-delete	サイボーグ009 BGOOPARTS DELETE	サイボーグ→cyborg
